EVTNAME5002;스탠리 컵
COALITION_WIN;§Y$IDE$§W 연정이 $VAL$%의 득표율을 얻어 정부의 기반을 형성할 것입니다.
COLONY_SUCCESS_SETUP;프로빈스 식민화에 성공했을 때.
COLONY_FAIL_SETUP;프로빈스 식민화에 실패했을 때.
TOPBAR_INC_SPEED;속도 증가
REMOVE_TOPBAR_DEC_SPEED;속도 증가
TOPBAR_CLOSE_OUTLINER;아웃라이너 닫기
TOPBAR_OPEN_OUTLINER;아웃라이너 열기
SLOWEST_SPEED;매우 느림
SLOW_SPEED;느림
NORMAL_SPEED;보통
FAST_SPEED;빠름
FASTEST_SPEED;매우 빠름
TOPBAR_DATE;현재 날짜입니다.\n(클릭하여 일시정지)
TOPBAR_DATE_IS_PAUSED;현재 날짜입니다.\n(클릭하여 일시정지 해제)
TOPBAR_PAUSE_INDICATOR;현재 게임이 일시정지되었습니다.
TOPBAR_SPEED_INDICATOR;게임이 §Y$SPEED$§W 속도로 진행 중입니다.
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ 국가는 §Y$RANK$§W입니다.
HAS_TECH_SCHOOL;현재 §Y$TECH$§W입니다.\n
HAS_NOT_TECH_SCHOOL;§Y$TECH$§W을(를) 수용하지 않았습니다.\n
NEW_CORE_EFFECT_TAG;$TAG$ 국가가 §Y전체§W를 핵심주로 획득합니다.\n
ANY_OWNED_LIMITED;다음에 해당하는 모든 프로빈스:\n
TECH_MINE_SIZE;광산 크기
TECH_FARM_SIZE;농장 크기
USA_absolute_monarchy;아메리카 왕국
USA_absolute_monarchy_ADJ;아메리카
USA_hms_government;아메리카 왕국
USA_hms_government_ADJ;아메리카
USA_proletarian_dictatorship;아메리카 인민공화국
USA_proletarian_dictatorship_ADJ;아메리카
ENG_proletarian_dictatorship;노동자 연방
ENG_proletarian_dictatorship_ADJ;영국
BOH_democracy;체코 공화국
BOH_democracy_ADJ;체코
TUR_democracy;터키
TUR_democracy_ADJ;터키
KUK_democracy;다뉴브 연방
KUK_democracy_ADJ;다뉴브
BAV_proletarian_dictatorship;바이에른 평의회 공화국
RUS_proletarian_dictatorship;소비에트 연방
RUS_proletarian_dictatorship_ADJ;소비에트
NO_TECH_SELECTED;선택 안 됨
IS_CIVILIZED;문명국입니다.
IS_NOT_CIVILIZED;비문명국입니다.
IS_INDEP;외국의 영향력을 받고 있지 않습니다.
IS_NOT_INDEP;외국의 영향력을 받고 있습니다.
ELECTION_INFO_IN_GOV;선거 운동 진행 중
REGIMENT_POP_NAME;$NUM$$ORDER$ $POP$ $TYPE$
REGIMENT_HOME_NAME;$NUM$$ORDER$ $HOME$ $TYPE$
SUBUNIT_POP;§Y$LOCATION$§W 출신 §Y$CULTURE$§W $TYPE$.
army_tech_research_bonus;육군 기술 연구
commerce_tech_research_bonus;상업 기술 연구
culture_tech_research_bonus;문화 기술 연구
industry_tech_research_bonus;산업 기술 연구
navy_tech_research_bonus;해군 기술 연구
THERE_ARE_BACKING;인구의 §Y$VAL$§W가 이 개혁을 원합니다.
ORG_EXPLANATION_TT;이 비율이 높을수록 반란군의 봉기가 더욱 강력해집니다.
COLONIAL_MIGRATION_TECH;식민지 이주
COMBAT_WIDTH_TECH;전장 너비
PLURALITY_EXPLANATION;다원성은 우리 국가의 공유된 의식 수준입니다. 자유의 이름으로 거둔 과거의 승리와 패배의 기억은 우리 국민에게 무엇이 가능할 수 있는지를 상기시켜줍니다.
REMOVE_REVANCHISM_EXPLANATION;복수를 뜻하는 프랑스어에서 유래한 보복주의는 우리의 정당한 영토를 되찾고자 하는 열망입니다. 우리 국민들은 영토 수복을 위해 더 큰 희생을 감수할 준비가 되어 있습니다.
GAIN_PROVINCE;§Y$WHO$§W(으)로부터 §Y$WHERE$§W 획득.\n
build_kiel_canal_title;킬 운하 건설
build_kiel_canal_desc;발트해와 북해를 잇는 운하를 건설하는 것은 우리 해운에 엄청난 혜택이 될 것이며, 우리는 킬에 운하를 건설할 수 있는 위치에 있습니다.
build_suez_canal_title;수에즈 운하 건설
build_suez_canal_desc;극동 및 인도 무역의 항해에 있어 오랜 문제 중 하나는 그곳에 다다르기 위해 아프리카 희망봉을 돌아야 한다는 것이었습니다. 수에즈 운하를 건설함으로써 우리는 아시아로 가는 여정을 며칠이나 단축할 뿐만 아니라, 현대 공학의 경이로운 위업을 달성할 것입니다.
build_panama_canal_title;파나마 운하 건설
build_panama_canal_desc;파나마 지협을 가로지르는 운하에 대한 제안은 아마도 이 지역이 처음 발견된 시기로 거슬러 올라갈 것입니다. 북아메리카와 남아메리카 대륙을 잇는 이보다 더 좁은 땅은 없으며, 현대 공학의 도움을 받아 운하를 건설한다면 대서양과 태평양 사이의 이동 시간을 며칠이나 단축할 수 있습니다.
REVANCHISM_LOWER;보복주의가 §Y$VAL$§W 미만.\n
REVANSCHISM_ATLEAST;보복주의가 최소 §Y$VAL$§W 이상.\n
CANAL_1;킬 운하
CANAL_2;수에즈 운하
CANAL_3;파나마 운하
ENABLE_CANAL;§Y$NAME$§W 건설!\n
CANAL_NOT_ENABLED;§Y$NAME$§W(이)가 건설되지 않았습니다.
CANAL_ENABLED;§Y$NAME$§W(이)가 존재합니다!
ADMINISTRATIVE_TAX_EFFICIENCY;행정 조세 효율: §Y$VALUE$§W%.
AVG_MIL_ON_MAP;평균 투쟁성: §Y$VALUE$§W
POP_PRODUCED;생산량: §Y$VAL$§W
POP_SOLD;판매량: §Y$VAL$§W
POP_SOLD_DOMESTIC;내수 판매량: §Y$VAL$§W
POP_SOLD_EXPORT;수출 판매량: §Y$VAL$§W
POP_WANT_BOUGHT;구매량: §Y$VAL$§W
POP_WANT_BUY;수요량: §Y$VAL$§W
POP_WANT_AFFORD;지불 가능량: §Y$VAL$§W
POP_PRODUCER_MARKET;해당 생산자
POP_WORLD_MARKET;§Y세계 시장§W
OR_TRIG_SHORT;다음 중 하나..
GENERAL;장군
ADMIRAL;제독
CURR_COMB_STR;현재 병력 
CURR_COMB_ORG;현재 조직력
UW_ASSIGN;자동 할당
RANK_PRESTIGE;위신
RANK_PRESTIGE_D;위신은 문화적 발전과 국가의 성공적인 운영을 통해 축적됩니다.
RANK_INDUSTRY;산업력
RANK_INDUSTRY_D;산업 점수는 국가의 산업화 수준을 측정하는 척도입니다. 이는 공장의 수와 국가의 상품 산출량 총계를 결합한 것입니다.
RANK_MILITARY;군사력
RANK_MILITARY_D;군사 점수는 육군의 힘을 나타내는 척도이며, 군대의 규모와 장비를 기준으로 군사력을 평가합니다.
RANK_TOTAL_D;가장 높은 순위를 가진 8개 국가는 하위 국가에 영향력을 행사하고 통제할 능력을 지닌 §Y열강§W입니다. 그 다음 8개 국가는 식민지 개척 능력을 지니고 때때로 열강에 도전하게 될 §Y준열강§W입니다. 나머지 두 등급은 서구화 여부에 따라 평가되는 §Y문명국§W과 §Y비문명국§W입니다.
TYPE_SPECIAL;기타
COVIEW_ORG_VALUE;현재 조직력 수준
COVIEW_STR_NAVAL;이 함대에 속한 함선의 수.
COVIEW_STR_LAND;이 진영에서 전투 중인 병력의 수.
MAY_NOT_RETREAT;전투가 막 시작되는 도중에 전투에서 후퇴하는 것은 불가능하며, 명예롭지도 않습니다.
COMBAT_DICE;이 단계에서 해당 진영의 주사위 굴림 결과입니다.
COMBAT_TERRAIN;공격자가 받는 지형 불이익입니다.
COMBAT_CROSSING;도하 또는 해변 상륙 시 공격자에게 불이익이 주어집니다.
COMBAT_DIGIN;방어자의 참호화로 인해 공격자가 받는 불이익입니다.
PRODUCTION_COST_BUILD;건설 비용: §Y$VAL$§W
PRODUCTION_COST_INPUT;투입 비용: §Y$VAL$§W
PRODUCTION_NO_PROJECT;프로젝트 없음
PRODUCTION_PROJECT_MONEY;프로젝트에 필요한 §Y$NEED$§W¤ 중 §Y$MONEY$§W¤가 모였습니다.
WAR_HAS_COMPLETE_VICTORY;완전한 승리
DIPLOMACY_CAN_INTERVENE;전쟁 개입
DIPLOMACY_CANNOT_INTERVENE;전쟁 개입\n우리가 이 진영에 참여할 수 없는 이유는 다음과 같습니다:
DIPLOMACY_OPINION_INFLUENCE;§Y$GP$§W의 견해: §Y$OPINION$§W
DIPLOMACY_OPINION_INFLUENCE2;§Y$GP_ADJ$§W 영향력: §Y$VALUE$§W
DIPLOMACY_SET_PRIO_DESC;영향력은 한 국가 내에서 §Y열강§W이 지닌 파급력을 나타냅니다.
DIPLOMACY_PRIMARYCULTURE_DESC;주 문화는 우리나라에서 일등 시민에 해당하는 사람들을 나타냅니다
DIPLOMACY_ACCEPTEDCULTURE_DESC;수용 문화는 우리나라에서 용인되는 사람들을 나타냅니다
PROJECT_BUILD;건설
PROJECT_REOPEN;재가동
PROJECT_EXPAND;확장
EVTNAME22500;주가 대폭락!
EVTDESC22500;투기 거품이 터진 충격으로 $CAPITAL$의 금융 구역이 휘청거리면서 $COUNTRY$에 우울한 날이 찾아왔습니다. 지난 1년 반 동안 부동산 가격은 치솟았고, 일부 분석가들은 인플레이션적 과잉 소비로 인해 가격이 인위적으로 높게 형성되었다고 꽤 오랫동안 경고해 왔으나, 강세장을 이끄는 투기꾼들은 이러한 경고를 무시했습니다. 정부 내에서는 은행 및 통화 규제를 강화해야 한다는 목소리가 커지고 있으며, 이른바 '먹고 먹히는 약육강식 자본주의의 실패'를 종식시켜야 한다고 촉구하고 있습니다.
EVTOPTA22500;규제하라! 과세하라! 금지하라! 공황이다!
EVTOPTB22500;균형 잡힌 정부 예산, 규제 완화 그리고 건전한 화폐.
stock_market_crash;주식 시장 붕괴
stock_market_crash_desc;우리 국가는 주식 시장 붕괴의 여파를 실감하고 있습니다.
great_depression;대공황
great_depression;열강 중 한 국가의 주식 시장 붕괴가 대공황을 촉발시켰으며, 그 여파가 전 문명 세계에 걸쳐 체감되고 있습니다.
EVTNAME22510;대공황
EVTDESC22510;$CAPITAL$ 주식 시장의 대폭락은 은행 부문에 대한 예금자들의 신뢰 추락으로 촉발된 대규모 뱅크런에 뒤이어 훨씬 더 끔찍한 사태로 악화되었습니다. 사람들이 평생 모은 저축을 지키기 위해 앞다투어 몰려들면서 수많은 은행과 신용 기관들이 파산하게 되었고, 이는 전체 $COUNTRY_ADJ$ 금융 부문에 영향을 미치는 도미노 효과를 일으켰습니다. 대출이 채무 불이행에 빠지고 저축이 연기처럼 사라지는 듯 보이면서, 붕괴의 파장은 이내 민간 산업의 다른 부문으로까지 퍼져 나갑니다. 거의 하룻밤 사이에 산업 부문 전체가 무너지며 광범위한 실업 사태가 속출합니다. 서구 세계의 경제가 서로 얽혀 있는 탓에 위기는 다른 국가들로 빠르게 확산되며, 이제 폭락의 여파는 전 세계로 메아리쳐 후대에 다음과 같은 이름으로 기억될 것입니다: $YEAR$년 대공황.
EVTOPTA22510;일시적인 위기일 뿐, 누구도 탓할 수 없다
EVTNAME22520;자유 은행 제도
EVTDESC22520;$COUNTRY$에는 민간 은행 관행을 금지하거나 규제하는 법률이 존재하지 않기에 여러 민간 기관들이 각자의 화폐를 발행하고 있습니다. 일각에서는 평범한 사람들의 피땀 어린 저축이 민간 부문에 맡겨두기에는 너무 중요하다 주장하지만, 우리의 어떤 주에서는 완전히 상반된 상황이 펼쳐지고 있습니다. 그곳에서는 이용 가능한 은행 기관이 넘쳐나, 사람들이 자신이 진정으로 알고 신뢰하는 은행, 나아가 그 화폐에 돈을 저축할 수 있는 선택의 자유를 누리고 있습니다.
EVTOPTA22520;이러한 시스템이 실패할 가능성은 항상 존재하는데, 그리되면 어쩔 것인가?
EVTOPTB22520;그들이 만족한다면 이의는 없다.
EVTNAME22530;지역 철도 주식
EVTDESC22530;우리 주 중 한 곳에 신규로 설립된 철도 회사가 나날이 발전하는 기업의 자금 마련을 위해 회사 주식을 발행했으며, 이제 해당 주 내에서 매수자와 투자자를 유치하고 있습니다. 이 회사의 최고 경영자는 지역 정치인들에게 접근하여, 주 내의 철도망 확장은 모두에게 이득이 되는 일이니 장려되어야 한다고 역설하며 대중에게 주식을 마케팅하는 데 힘을 보태달라고 요청하고 있습니다. 일각에서는 민간 사업에 대한 공적 중립성 원칙을 훼손할 우려가 있다고 지적하지만, 다른 이들은 오직 기회만을 비라보고 있습니다.
EVTOPTA22530;물론 이런 훌륭한 민간의 주도적 시도를 원조하고 장려해야지
EVTOPTB22530;최소한으로 통치하는 정부가 최선의 정부라고 생각한다.
institute_central_bank_title;국립은행법
institute_central_bank_desc;우리 정부가 한동안 중앙은행을 유지해 왔지만, 경제 논의가 오가며 통화 발행 독점권을 철저한 정부의 특권으로 삼아야 한다는 목소리가 나오기 시작했습니다. 찬성파는 이것이 경제적 안정성을 높일 것이라고 주장하는 반면, 반대파는 자유무역의 근본적인 위반이라고 여깁니다.
central_bank_established;중앙은행
central_bank_established_desc;우리 정부의 중앙은행은 통화 발행에 대한 철저한 독점권을 유지하고 있습니다.
EVTNAME22540;증권 거래소
EVTDESC22540;"그린우드 & 번스 주 9.76에 매도, 9.5에 매수! 앳맨 & 선즈 주 8.12에 매도, 매도!"\n\n우리 프로빈스 중 한 곳의 지역 사업가들이 모여 상품 무역을 주 목적으로 하는 지역 증권 거래소를 설립하기 위한 합작 회사를 설립했습니다. 이 벤처는 의심할 여지 없이 지역 생산 노력에 크게 이바지할 것입니다!
EVTOPTA22540;훌륭한 소식이군!
local_stock_exchange;증권 거래소
local_stock_exchange_desc;이 프로빈스에는 지역 증권 거래소가 운영되고 있어, 지역 생산 산출량을 증가시키고 있습니다.
EVTNAME22550;살쾡이 지폐
EVTDESC22550;오늘 우리 주 중 한 곳의 지역 은행이 유동 자산을 훨씬 초과하는 가치의 통화를 발행했다는 소식이 전해진 이후 뱅크런이 발생했습니다. 이 상황은 국가와 의회 차원으로 확대되었으며, 자유은행업 반대파들은 이 사건을 자유은행 제도를 반대하는 논거로 삼아 정부가 은행 부문에 대한 더 강력한 규제를 향해 나아가야 한다고 촉구하고 있습니다. 한편 이 규제에는 다수의 산업가들과 자유무역 로비스트들의 강력한 반대가 따르고 있습니다.
EVTOPTA22550;자유은행 제도는 자유무역의 근본적인 기둥이다.
EVTOPTB22550;폭리 취자들의 변덕에 국가 경제 정책이 좌우되게 내버려 둘 수는 없다.
EVTNAME22560;경제 호황
EVTDESC22560;상대적으로 낮은 실업률과 여유로운 국민들의 수입이 장기간 유지되면서, 최근 우리 국가의 경제가 호황을 누리고 있습니다. 경제 수단의 발전과 투자 은행의 설립, 높은 저축률과 생산적인 인구의 결합은 우리가 국가 산업을 발전시키고 우리나라의 경제를 새로운 차원으로 끌어올릴 최고의 위치에 서 있다는 것을 의미합니다.
EVTOPTA22560;훌륭하군!
EVTOPTB22560;우리는 이 풍요로움을 활용해야 한다.
economic_boom;경제 호황
economic_boom_desc;투자 은행과 장기간 유지된 낮은 실업률 덕분에 우리 경제가 호황을 누리고 있습니다.
EVTNAME22570;주력 기업 파산
EVTDESC22570;우리 주 중 한 곳에 있는 주요 회사 중 하나가 오랜 적자 운영 끝에 최근 파산했습니다. 지역 정치인들은 이러한 침체는 일시적일 뿐이며, 회사가 구조 조정과 통합을 거칠 시간만 주어진다면 다시 일어설 수 있다고 주장하며 정부에 회사 지원에 나서 달라고 청원했습니다. 우리가 그 사업을 지원할 수도 있겠지만, 의회의 일부 목소리 큰 의원들은 자유무역의 기본적 자유와 정부의 불개입 원칙을 훼손하는 터무니없는 짓이라며 이 제안을 맹비난하고 있습니다.
EVTOPTA22570;당연히 이 힘든 시기를 겪고 있는 회사를 도와야 한다.
EVTOPTB22570;사기업을 지원하기 위해 정부의 예산을 낭비하지는 않을 것이다.
EVTNAME22580;철도 트러스트 적발!
EVTDESC22580;$COUNTRY$는 한 주에 설립된 반독점 위원회에서 적발한 철도 트러스트 사건에 대한 소문으로 떠들썩합니다. 지역 자본가들은 어떠한 악의적인 가격 조정이나 담합도 없었다고 주장하며 혐의가 터무니없다 항변하고 있습니다. 노동자 계급 중 다수는 이 사건에 분노하고 있으며, 고달픔 속에서 이익을 얻으려는 자본가 거물들에게 심하게 착취당하고 있다고 생각합니다. 트러스트를 분쇄하면 지역 철도 건설이 몇 년 뒤처지겠지만, 그렇게 하지 않는다면 광범위한 계층의 인구를 분노케 할 것입니다.
EVTOPTA22580;어떠한 대가를 치르더라도 우리 노동자들을 보호해야 하며, 이런 매점매석은 개방되어야 한다.
EVTOPTB22580;자유무역은 결코 어떠한 방식으로도 제한받아서는 안 된다.
BUDGET_GOLD_INCOME_DESC;금광 수입
TOTAL_TAX_EFFICIENCY;조세 효율: §Y$VAL$§W
TOTAL_TAX_EFFICIENCY_BASED;계산 기준:
TAX_POOR_DESC;하류층의 수입 중 어느 정도를 세금으로 징수할지 조정합니다. 과도한 세금은 그들이 각자의 욕구에 쓸 수 있는 돈을 줄입니다.
TAX_MIDDLE_DESC;중산층의 수입 중 어느 정도를 세금으로 징수할지 조정합니다. 과도한 세금은 그들이 각자의 욕구나 사업에 쓸 수 있는 돈을 줄입니다.
TAX_RICH_DESC;상류층의 수입 중 어느 정도를 세금으로 징수할지 조정합니다. 과도한 세금은 그들이 각자의 욕구에 쓸 수 있는 돈을 줄이고 새로운 공장 건설 같은 프로젝트에 투자할 가능성을 낮춥니다.
MIL_COST_DESC;당신 군대의 보급 비용입니다.
NAT_STOCK_DESC;국가 비축량을 채우기 위한 무역 비용입니다.
IND_SUP_DESC;정부가 공장 보조금을 지급하기 위한 비용입니다. 정부의 현금 보유고가 공장들이 필요 상품을 구매하고 노동자 급여를 지급하는 데 사용됩니다.
TARIFFS_DESC;관세는 수입 상품에 추가적인 비용을 부과하며, 그 수익은 국고로 들어갑니다. 마이너스 관세는 당신 국가의 그 누구에게든 수입 보조금을 지급하는 데 사용될 수 있습니다.
WARSUBSIDIES_EXPENSE;전쟁 보조금: §R$VAL$§W
WARINDEMNITIES_EXPENSE;전쟁 배상금: §R$VAL$§W
WARSUBSIDIES_INCOME;전쟁 보조금: §G$VAL$§W
WARINDEMNITIES_INCOME;전쟁 배상금: §G$VAL$§W
REMOVE_BUDGET_DIPL_DESC;외교나 평화 협정을 통해 발생하는 다양한 비용/수입입니다.
sami;사미
pan_romanian;루마니아
MODIFIER_MOBILISED;동원됨: $VALUE$
MODIFIER_OVERSEAS;해외 불이익: $VALUE$
TRADE_OVERSEAS_NEED;해외 프로빈스를 위한 $VAL$.\n
BUDGET_OVERSEAS;해외 유지비
BUDGET_DIPL_DESC;외교나 평화 협정을 통해 발생하는 다양한 비용/수입입니다.
POP_DETAILS_INTERNAL_MIGRATION;국내 이주:
POP_DETAILS_EXTERNAL_MIGRATION;국외 이주:
POP_DETAILS_COLONIAL_MIGRATION;식민지 이주:
PRODUCTION_OUTPUT_YESTERDAY;어제 §Y$VALUE$§W 생산함.
PRODUCTION_OUTPUT_GOODS_TOOLTIP2;최대 산출량: §Y$CURR$§W
PRODUCTION_CURRENT_STOCKPILE;현재 비축량: §Y$VALUE$§W
POP_DAILY_INTEREST;저축 이자: §Y$VAL$§W¤
MODIFIER_OVERSEAS_PRODUCTION_PENALTY;해외 공장/RGO 불이익: $VALUE$
PRODUCTION_FACTORY_EMPLOYEECOUNT_TOOLTIP2;현재 고용 인원: $EMPLOYEES$/$EMPLOYEE_MAX$
LIFERATING_EFFECT;$DIRECTION$ $VALUE$ 생활 등급\n
MILITARY_ARMY_COUNT_TOOLTIP;육군 부대 수: §Y$VALUE$§W
MILITARY_NAVY_COUNT_TOOLTIP;해군 함대 수: §Y$VALUE$§W
MILITARY_ARMY_CONSTRUCTION_TOOLTIP;모집 중인 여단 수: §Y$VALUE$§W
MILITARY_NAVY_CONSTRUCTION_TOOLTIP;건조 중인 함선 수: §Y$VALUE$§W
MILITARY_SORT_BY_TYPE_TOOLTIP;지휘관 유형별 정렬
MILITARY_SORT_BY_NAME_TOOLTIP;이름별 정렬
MILITARY_SORT_BY_ASSIGNMENT_TOOLTIP;배치별 정렬
MILITARY_SORT_BY_STRENGTH_TOOLTIP;병력별 정렬
MILITARY_SORT_ASSIGNMENT;배치
MILITARY_BACKGROUND;출신: §Y$NAME$§W
MILITARY_PERSONALITY;성격: §Y$NAME$§W
REMOVE_MILITARY_LEADER_NAME_TOOLTIP;§Y$NAME$§W(은)는 §Y$ARMY$§W에 배치되었으며,\n현재 §Y$$LOCATION§W에 있습니다.
MILITARY_STRENGTH_TOOLTIP2;부대 병력은 §Y$PERCENT$%§W입니다.\n병력: $VALUE$/§Y$MAX$§W
MILITARY_SHIPSTRENGTH_TOOLTIP2;부대 전력은 §Y$PERCENT$%§W입니다.
MILITARY_REGIMENTS_TOOLTIP;여단 수: §Y$VALUE$§W
MILITARY_SHIPS_TOOLTIP;함선 수: §Y$VALUE$§W
MILITARY_CURRENT_LOCATION;현재 위치: §Y$LOC$§W
REMOVE_MILITARY_MOBILIZE;인구 동원
REMOVE_MILITARY_MOBILIZE_DESC;TODO 동원 설명 작성
REMOVE_MILITARY_DEMOBILIZE;인구 동원 해제
REMOVE_MILITARY_DEMOBILIZE_DESC;TODO 동원 해제 설명 작성
MILITARY_WAR_EXHAUSTION;전쟁 피로도
MILITARY_SUPPLY_CONSUMPTION;보급품 소비
MILITARY_ORG_REGAIN;조직력 회복
MILITARY_ARMY_ORG;육군 조직력
MILITARY_NAVY_ORG;해군 조직력
MILITARY_UNIT_EXPERIENCE;부대 초기 경험치
MILITARY_RECRUIT_TIME;모집 시간
MILITARY_COMBAT_WIDTH;전장 너비
COMWID_BASE;기본값: §Y$VAL$§W
MILITARY_WAR_EXHAUSTION_TOOLTIP;전쟁 피로도: $VALUE$
MILITARY_MAX_WAR_EXHAUSTION_TOOLTIP;최대 전쟁 피로도: $VALUE$
MILITARY_BASEVALUE_PERCENT;기본값: §Y100%§W
MILITARY_BASEVALUE;기본값: §Y0.00§W
AVAILABLE_EXPORTS;수출 시장: $VAL$
MILITARY_BUILD_UNIT_TOOLTIP;§Y$LOC$§W에 §Y$NAME$§W 생산
MILITARY_CANCEL_BUILD_UNIT_TOOLTIP;§Y$LOC$§W의 §Y$NAME$§W 생산 취소
traditional_academic;전통적 학풍
army_tech_school;군산복합체
naval_tech_school;해양력과 상선대
industrial_tech_school;조합주의적 산업주의
culture_tech_school;아방가르드 지식인층
commerce_tech_school;경영 학교와 거물 자본주의
prussian_tech_school;융커, 육군과 크루프
EVTNAME14730;반식민주의 연맹
EVTDESC14730;그리고 $COUNTRY$의 대표자들이 식민지에서 저지른 불의를 고려할 때, 우리나라 해안에서 멀리 떨어진 많은 곳에서 '$COUNTRY_ADJ$'이라는 단어가 절도, 절취, 살인의 대명사가 되었다는 사실은 놀랍지 않을 것입니다. 오늘 여기서 전하는 우리의 메시지는 크고 분명합니다: $COUNTRY$! 식민지에서 물러나라!'\n\n$COUNTRY_ADJ$ 급진파들에 의해 반식민주의 연맹이 결성되었습니다. 표면적으로는 식민지 독립을 주장하는 지식인들이 주도하고 있지만, 비밀경찰의 보고서에 따르면 이 연맹이 제2인터내셔널과 밀접하게 연결되어 있음이 분명해 보입니다.
EVTOPTA14730;연맹을 비난한다
EVTOPTB14730;연맹을 무시한다
EVTOPTC14730;연맹을 지지한다
EVTNAME14740;모범 식민지
