PROV1;싯카
PROV311;스키엔
PROV312;드람멘
PROV313;크리스티니아나
PROV314;하마르
PROV315;릴레함메르
PROV316;프레데릭스타드
PROV317;예블레
PROV318;순스발
PROV319;외스테르순드
PROV320;우메오
PROV321;룰레오
PROV322;스톡홀름
PROV323;팔룬
PROV324;웁살라
PROV325;노르셰핑
PROV326;베스테로스
PROV327;외레브로
PROV328;칼스타드
PROV329;예테보리
PROV330;보로스
PROV331;고틀란드
PROV332;칼마르
PROV333;벡스예
PROV334;말뫼
PROV335;칼스크로나
PROV336;오울루
PROV337;카야니
PROV338;토르니오
PROV339;비푸리
PROV340;코트카
PROV341;미켈리
PROV342;쿠오피오
PROV343;헬싱키
PROV344;헤멘린나
PROV345;투르쿠
PROV346;바사
PROV347;탐페레
PROV348;올란드제도
PROV349;탈린
PROV350;나르바
PROV351;페르누
PROV352;타르투
REMOVE_PROV353; 
PROV354;리가
PROV355;발미에라
PROV356;다우가프필스
PROV357;옐가바
PROV358;벤츠필스
PROV359;리예파야
PROV360;빌뉴스
PROV361;카우나스
PROV362;마리얌폴레이
PROV363;파네베지스
PROV364;샤울레이
PROV365;팔랑가
PROV366;오르후스
PROV367;올보르
PROV368;리베
PROV369;킬
PROV370;플렌스브루크
PROV371;오벤로
PROV372;코펜하겐
PROV373;오덴세
PROV374;보른홀름
PROV375;암스테르담
PROV376;로테르담
PROV377;위트레흐트
PROV378;미델뷔르흐
PROV379;에인트호번
PROV380;브레다
PROV381;마스트리흐트
PROV382;아른험
PROV383;흐로닝언
PROV384;즈볼러
PROV385;레이우아르던
PROV386;아선
PROV387;브뤼셀
PROV388;브뤼헤
PROV389;헨트
PROV390;안트베르펀
PROV391;하설트
PROV392;나뮈르
PROV393;투르네
PROV394;샤를루아
PROV395;리에주
PROV396;스파
PROV397;룩셈부르크
PROV398;아를롱
PROV399;릴
PROV400;ⓢ케르크
PROV401;아라스
PROV402;아미앵
PROV403;랑
PROV404;캉브레
PROV405;샤를르빌
PROV406;트루아
PROV407;쇼몽
PROV408;샬롱
PROV409;스트라스부르
PROV410;콜마르
PROV411;낭시
PROV412;메스
PROV413;베르ⓢ
PROV414;에피날
PROV415;루앙
PROV416;에브뢰
PROV417;알랑송
PROV418;캉
PROV419;채널
PROV420;브레스트
PROV421;생브리외
PROV422;반
PROV423;낭트
PROV424;렌
PROV425;파리
PROV426;샤르트르
PROV427;믈룅
PROV428;디종
PROV429;오세르
PROV430;물랭
PROV431;마콩
PROV432;브장송
PROV433;롱
PROV434;앙제
PROV435;라발
PROV436;르망
PROV437;라로슈
PROV438;오를레앙
PROV439;부르주
PROV440;블루아
PROV441;투르
PROV442;라로셸
PROV443;푸아티에
PROV444;앙굴렘
PROV445;리모주
PROV446;샤토루
PROV447;튈
PROV448;클레르몽페랑
PROV449;오리야크
PROV450;카오르
PROV451;리옹
PROV452;생테티엔
PROV453;발랑스
PROV454;그르노블
PROV455;툴루즈
PROV456;몽토방
PROV457;푸아
PROV458;보르도
PROV459;몽드마르상
PROV460;포
PROV461;몽펠리에
PROV462;로데즈
PROV463;카르카손
PROV464;페르피냥
PROV465;안시
PROV466;샹베리
PROV467;마르세유
PROV468;아비뇽
PROV469;디뉴
PROV470;툴롱
PROV471;프레쥐스
PROV472;니스
PROV473;코르시카
PROV474;라코루냐
PROV475;오비에도
PROV476;비고
PROV477;레온
PROV478;산탄데르
PROV479;부르고스
PROV480;바야돌리드
PROV481;소리아
PROV482;살라망카
PROV483;아빌라
PROV484;바다호스
PROV485;알멘드랄레호
PROV486;카세레스
PROV487;마드리드
PROV488;시구엔사
PROV489;톨레도
PROV490;쿠엥카
PROV491;시우다드레알
PROV492;빌바오
PROV493;팜플로나
PROV494;로그로뇨
PROV495;사라고사
PROV496;우에스카
PROV497;테루엘
PROV498;바르셀로나
PROV499;헤로나
PROV500;레리다
PROV501;타라고나
PROV502;발레아레스제도
PROV503;발렌시아
PROV504;카스테욘
PROV505;알리칸테
PROV506;카르타헤나
PROV507;무르시아
PROV508;알바세테
PROV509;세비야
PROV510;코르도바
PROV511;우엘바
PROV512;카디스
PROV513;그라나다
PROV514;말라가
PROV515;알메리아
PROV516;하엔
PROV517;지브롤터
PROV518;포르투
PROV519;빌라헤알
PROV520;코빌랴
PROV521;리스본
PROV522;코임브라
PROV523;아브란트스
PROV524;세투발
PROV525;에보라
PROV526;베자
PROV527;파루
PROV528;함부르크
PROV529;라우엔부르크
PROV530;뤼베크
PROV531;슈타데
PROV532;뤼네부르크
PROV533;헬리골란트
PROV534;하노버
PROV535;뉘른베르크
PROV536;브라운슈바이크
PROV537;괴팅겐
PROV538;오스나브뤼크
PROV539;브레멘
PROV540;올덴부르크
PROV541;클로펜부르크
PROV542;링겐
PROV543;엠덴
PROV544;슈베린
PROV545;노이슈트렐리츠
PROV546;슈테틴
PROV547;스비네문데
PROV548;슈트랄준트
PROV549;베를린
PROV550;프렌츨라우
PROV551;프리츠발크
PROV552;코트부스
PROV553;마크데부르크
PROV554;에르푸르트
PROV555;데사우
PROV556;할레
PROV557;슈텐달
PROV558;드레스덴
PROV559;라이프치히
PROV560;켐니츠
PROV561;바이마르
PROV562;고타
PROV563;마이닝겐
PROV564;프랑크푸르트
PROV565;비스바덴
PROV566;카셀
PROV567;기센
PROV568;풀다
PROV569;만하임
PROV570;마인츠
PROV571;카이저슬라우테른
PROV572;트리어
PROV573;자르브뤼켄
PROV574;크로이츠나흐
PROV575;쾰른
PROV576;아헨
PROV577;클레베
PROV578;뒤셀도르프
PROV579;코블렌츠
PROV580;도르트문트
PROV581;뮌스터
PROV582;민덴
PROV583;지겐
PROV584;코르바흐
PROV585;데트몰트
PROV586;카를스루에
PROV587;프라이부르크
PROV588;콘스탄츠
PROV589;슈투트가르트
PROV590;하일브론
PROV591;튀빙겐
PROV592;아우크스부르크
PROV593;울름
PROV594;지크마링겐
PROV595;뉘른베르크
PROV596;아샤펜부르크
PROV597;뷔르츠부르크
PROV598;바이로이트
PROV599;뮌헨
PROV600;란츠후트
PROV601;잉골슈타트
PROV602;레겐스부르크
PROV603;취리히
PROV604;바젤
PROV605;베른
PROV606;루체른
PROV607;제네바
PROV608;뇌샤텔
PROV609;시옹
PROV610;포나프
PROV611;쿠어
PROV612;인스브루크
PROV613;잘츠부르크
PROV614;브레겐츠
PROV615;리엔츠
PROV616;그라츠
PROV617;유덴부르크
PROV618;클라겐푸르트
PROV619;빈
PROV620;장크트펠텐
PROV621;크렘스
PROV622;린츠
PROV623;쇼프론
PROV624;아이젠슈타트
PROV625;프라하
PROV626;흐라데츠크랄로베
PROV627;카를스바트
PROV628;아우시히
PROV629;플젠
PROV630;부데요비체
PROV631;브르노
PROV632;올로모우츠
PROV633;브라티슬라바
PROV634;트렌친
PROV635;니트라
PROV636;반스카비스트리차
PROV637;코시체
PROV638;로즈나바
PROV639;절러에게르세그
PROV640;페치
PROV641;부다페스트
PROV642;죄르
PROV643;세케슈페헤르바르
PROV644;카포슈바르
PROV645;케치케메트
PROV646;미슈콜츠
PROV647;오라데아
PROV648;데브렌첸
PROV649;세게드
PROV650;베케슈처버
PROV651;서트마르
PROV652;티미쇼아라
PROV653;레시차
PROV654;클루지
PROV655;알바이울리아
PROV656;데바
PROV657;시비우
PROV658;하와이
PROV659;브라쇼브
PROV660;오도르헤이
PROV661;비스트리차
PROV662;체르니브치
PROV663;수체아바
PROV664;부쿠레슈티
PROV665;터르구지우
PROV666;크라이오바
PROV667;터르고비슈테
PROV668;브러일라
PROV669;컬러러시
PROV670;이아시
PROV671;보토샤니
PROV672;바커우
PROV673;갈라치
PROV674;콘스탄차
PROV675;툴체아
PROV676;키시너우
PROV677;벌치
PROV678;이즈마일
PROV679;콜베르크
PROV680;쾨슬린
PROV681;퀴스트린
PROV682;브레슬라우
PROV683;리그니츠
PROV684;오펠른
PROV685;카토비츠
PROV686;프랑스령제도
PROV687;괴를리츠
PROV688;트로파우
PROV689;테신
PROV690;단치히
PROV691;투헬
PROV692;도이치크로네
PROV693;엘빙
PROV694;토른
PROV695;쾨니히스베르크
PROV696;알렌슈타인
PROV697;굼빈넨
PROV698;메멜
PROV699;포젠
PROV700;브롬베르크
PROV701;그네젠
PROV702;리보프
PROV703;크라쿠프
PROV704;노비송즈
PROV705;프셰미실
PROV706;바르샤바
PROV707;수바우키
PROV708;푸오츠크
PROV709;웜자
PROV710;스키에르니에비체
PROV711;시에들리체
PROV712;우치
PROV713;라돔
PROV714;타르누프
PROV715;루블린
PROV716;키엘체
PROV717;칼리시
PROV718;민스크
PROV719;비아위스토크
PROV720;토리노
PROV721;아오스타
PROV722;노바라
PROV723;알레산드리아
PROV724;제노바
PROV725;사보나
PROV726;밀라노
PROV727;베르가모
PROV728;브레시아
PROV729;베네치아
PROV730;베로나
PROV731;파도바
PROV732;트레비소
PROV733;우디네
PROV734;트렌토
PROV735;볼차노
PROV736;트리에스테
PROV737;고리치아
PROV738;파르마
PROV739;모데나
PROV740;마사
PROV741;볼로냐
PROV742;페라라
PROV743;라벤나
PROV744;피렌체
PROV745;리보르노
PROV746;루카
PROV747;시에나
PROV748;그로세토
PROV749;로마
PROV750;비테르보
PROV751;페루자
PROV752;안코나
PROV753;아퀼라
PROV754;나폴리
PROV755;살레르노
PROV756;바리
PROV757;포자
PROV758;브린디시
PROV759;레조디칼라브리아
PROV760;카탄차로
PROV761;포텐차
PROV762;팔레르모
PROV763;메시나
PROV764;카타니아
PROV765;칼리아리
PROV766;사사리
PROV767;마리보르
PROV768;류블랴나
PROV769;포스토이나
PROV770;폴라
PROV771;자그레브
PROV772;시사크
PROV773;카를로바츠
PROV774;세니
PROV775;바라주딘
PROV776;벨로바르
PROV777;포제가
PROV778;리예카
PROV779;오시예크
PROV780;스플리트
PROV781;자다르
PROV782;두브로브니크
PROV783;사라예보
PROV784;비하치
PROV785;바냐루카
PROV786;투즐라
PROV787;포차
PROV788;모스타르
PROV789;리브노
PROV790;키트웨
PROV791;미트로비차
PROV792;판체보
PROV793;부코바르
PROV794;베오그라드
PROV795;보르
PROV796;크라구예바츠
PROV797;우지체
PROV798;니시
PROV799;레스코바츠
PROV800;울치니
PROV801;타히티
PROV802;프리슈티나
PROV803;프리즈렌
PROV804;노비파자르
PROV805;살로니카
PROV806;스코페
PROV807;비톨라
PROV808;페트리치
PROV809;소피아
PROV810;비딘
PROV811;루세
PROV812;플레벤
PROV813;슈멘
PROV814;바르나
PROV815;플로브디프
PROV816;스타라자고라
PROV817;부르가스
PROV818;실리스트리
PROV819;플로리나
PROV820;그레베나
PROV821;에데사
PROV822;폴리기로스
PROV823;카발라
PROV824;이오아니나
PROV825;아르타
PROV826;케르키라
PROV827;자킨토스
PROV828;에디르네
PROV829;크산티
PROV830;데데아가츠
PROV831;라리사
PROV832;볼로스
PROV833;트리칼라
PROV834;아테네
PROV835;암피사
PROV836;라미아
PROV837;메솔롱기온
PROV838;칼키스
PROV839;나플리오
PROV840;코린토스
PROV841;칼라마타
PROV842;파트라스
PROV843;키오스
PROV844;마틸리니
PROV845;키클라데스
PROV846;도데카니사
PROV847;카니아
PROV848;이라클리온
PROV849;티라나
PROV850;슈코더르
PROV851;두러스
PROV852;블로러
PROV853;기로카스터르
PROV854;몰타
PROV855;니코시아
PROV856;리마솔
PROV857;파마구스타
PROV858;키르클라렐리
PROV859;갈리폴리
PROV860;콘스탄티니예
PROV861;위스퀴다르
PROV862;이즈미트
PROV863;부르사
PROV864;발르케시르
PROV865;차나칼레
PROV866;아피온카라히사르
PROV867;퀴타히아
PROV868;에스키셰히르
PROV869;이즈미르
PROV870;마니사
PROV871;데니즐리
PROV872;물라
PROV873;코니아
PROV874;부르두르
PROV875;안탈리아
PROV876;앙카라
PROV877;아마시아
PROV878;카이세리
PROV879;시바스
PROV880;카스타모누
PROV881;볼루
PROV882;트라브존
PROV883;시노프
PROV884;기레순
PROV885;카르스
PROV886;아르다한
PROV887;에르주룸
PROV888;에르진잔
PROV889;말라티아
PROV890;반
PROV891;비틀리스
PROV892;하카리
PROV893;디야르바크르
PROV894;아다나
PROV895;메르신
PROV896;마라시
PROV897;알레포
PROV898;가지안테프
PROV899;샨르우르파
PROV900;안티오크
PROV901;다이르알주르
PROV902;다마스쿠스
PROV903;홈스
PROV904;하마
PROV905;라타키아
PROV906;앗수와이다
PROV907;팔미라
PROV908;암만
PROV909;제라시
PROV910;루웨이시드
PROV911;만
PROV912;바알베크
PROV913;베이루트
PROV914;아스칼레
PROV915;시돈
PROV916;아코
PROV917;예루살렘
PROV918;나블루스
PROV919;야파
PROV920;가자
PROV921;베에르셰바
PROV922;아카바
PROV923;모술
PROV924;아르빌
PROV925;키르쿠크
PROV926;바그다드
PROV927;사마라
PROV928;만달리
PROV929;카르발라
PROV930;쿠트
PROV931;루트바
PROV932;바스라
PROV933;나시리야
PROV934;나자프
PROV935;쿠웨이트
PROV936;그로드노
PROV937;브레스트리톱스크
PROV938;리다
PROV939;바라노비치
PROV940;핀스크
PROV941;슬루츠크
PROV942;마지르
PROV943;스몰렌스크
PROV944;오르샤
PROV945;비텝스크
PROV946;폴로츠크
PROV947;파스타비
PROV948;모길레프
PROV949;고멜
PROV950;우즈고로드
PROV951;스트리
PROV952;테르노필
PROV953;스타니슬라보프
PROV954;빈니차
PROV955;프로스코로프
PROV956;로브네
PROV957;코벨
PROV958;키예프
PROV959;코로스텐
PROV960;지토미르
PROV961;체르카시
PROV962;체르니고프
PROV963;폴타바
PROV964;심페로폴
PROV965;케르손
PROV966;케르치
PROV967;세바스토폴
PROV968;오데사
PROV969;페르보마이스크
PROV970;니콜라예프
PROV971;크리보이로크
PROV972;예카테리노슬라프
PROV973;멜리토폴
PROV974;크라마토르스크
PROV975;유조프카
PROV976;마리우폴
PROV977;쿠르스크
PROV978;하르코프
PROV979;로스토프
PROV980;루한스크
PROV981;아르한겔스크
PROV982;페차모
PROV983;칸달락샤
PROV984;코스토무시카
PROV985;메젠
PROV986;나랸마르
PROV987;우스트시솔스크
PROV988;포비옌츠
PROV989;볼로그다
PROV990;코틸라스
PROV991;우글리치
PROV992;벨로제르스크
PROV993;비테르가
PROV994;상트페테르부르크
PROV995;페트로자보츠크
PROV996;루가
PROV997;그도프
PROV998;트베리
PROV999;르제프
PROV1000;스타리차
PROV1001;야로슬라블
PROV1002;만주리
PROV1003;노브고로드
PROV1004;티흐빈
PROV1005;보로비치
PROV1006;프스코프
PROV1007;벨리키예루키
PROV1008;모스크바
PROV1009;보로디노
PROV1010;칼루가
PROV1011;툴라
PROV1012;랴잔
PROV1013;블라디미르
PROV1014;뱌지마
PROV1015;페레미실
PROV1016;브랸스크
PROV1017;오렐
PROV1018;벨고로드
PROV1019;보로네츠
PROV1020;니즈니노브고로드
PROV1021;펜자
PROV1022;이바노보
PROV1023;비용로마
PROV1024;갈리치
PROV1025;탐보프
PROV1026;페름
PROV1027;베티루가
PROV1028;??카
PROV1029;글라소프
PROV1030;카잔
PROV1031;사라풀
PROV1032;치스토폴
PROV1033;심비르스크
PROV1034;사마라
PROV1035;시즈란
PROV1036;아스트라한
PROV1037;사라토프
PROV1038;노보우젠스크
PROV1039;차리친
PROV1040;자렙카
PROV1041;엘리차
PROV1042;우파
PROV1043;부술루크
PROV1044;오렌부르크
PROV1045;미골린스카야
PROV1046;치르스카야
PROV1047;아조프
PROV1048;예카테리노다르
PROV1049;노보로시스크
PROV1050;스타브로폴
PROV1051;아디게야
PROV1052;데르벤트
PROV1053;구니프
PROV1054;블라디카프카스
PROV1055;그로즈니
PROV1056;퍄티고르스크
PROV1057;키즐랴르
PROV1058;예카테린부르크
PROV1059;첼랴빈스크
PROV1060;오로스크
PROV1061;튜멘
PROV1062;베레조프
PROV1063;톰스크
PROV1064;옴스크
PROV1065;니즈네바르톱스크
PROV1066;토볼스크
PROV1067;바르나울
PROV1068;울랄라
PROV1069;빌류이스크
PROV1070;브랸카
PROV1071;비탄타이스크
PROV1072;오호츠크
PROV1073;예벤스크
PROV1074;페트로파블롭스크
PROV1075;이르쿠츠크
PROV1076;브라츠크
PROV1077;크라스노야르스크
PROV1078;치타
PROV1079;네르친스크
PROV1080;체르노민
PROV1081;약샤
PROV1082;하이션와이
PROV1083;보리
PROV1084;웃찬
PROV1085;우룰사무단
PROV1086;사할린
PROV1087;오토모리
PROV1088;슘슈
PROV1089;에토로후
PROV1090;트빌리시
PROV1091;파나사우리
PROV1092;쿠타이시
PROV1093;아칼트시케
PROV1094;포티
PROV1095;수후미
PROV1096;바투미
PROV1097;뉴칼레도니아
PROV1098;예레반
PROV1099;기우므리
PROV1100;카판
PROV1101;나히체반
PROV1102;바쿠
PROV1103;시야젠
PROV1104;샤키
PROV1105;간자
PROV1106;아그담
PROV1107;렌코란
PROV1108;타브리즈
PROV1109;흐보이
PROV1110;우루미아
PROV1111;마하바드
PROV1112;아르다빌
PROV1113;라슈트
PROV1114;노셰르
PROV1115;사리
PROV1116;고르간
PROV1117;케르만샤
PROV1118;사난다지
PROV1119;일람
PROV1120;호라마바드
PROV1121;테헤란
PROV1122;하마단
PROV1123;잔잔
PROV1124;카즈빈
PROV1125;콤
PROV1126;셈난
PROV1127;이스파한
PROV1128;아라크
PROV1129;카샨
PROV1130;야즈드
PROV1131;아바즈
PROV1132;아바단
PROV1133;데즈풀
PROV1134;데코르드
PROV1135;시라즈
PROV1136;부시르
PROV1137;야수지
PROV1138;캉간
PROV1139;시르잔
PROV1140;케르만
PROV1141;렝게
PROV1142;반다르압바스
PROV1143;밤
PROV1144;자헤단
PROV1145;자스크
PROV1146;차바하르
PROV1147;마슈하드
PROV1148;비르잔드
PROV1149;사브제바르
PROV1150;보즈누르드
PROV1151;메카
PROV1152;지다
PROV1153;메디나
PROV1154;타부크
PROV1155;아브하
PROV1156;카프
PROV1157;리야드
PROV1158;라프하
PROV1159;할라반
PROV1160;하일
PROV1161;샤우라
PROV1162;바레인
PROV1163;카티프
PROV1164;후푸프
PROV1165;도하
PROV1166;무스카트
PROV1167;아부다비
PROV1168;두바이
PROV1169;소하르
PROV1170;니즈와
PROV1171;수르
PROV1172;두큼
PROV1173;무칼라
PROV1174;살랄라
PROV1175;가이다
PROV1176;바이다
PROV1177;소코트라
PROV1178;사나
PROV1179;호데이다
PROV1180;타이즈
PROV1181;카라간다
PROV1182;구리예프
PROV1183;악퇴붸
PROV1184;콕셰타우
PROV1185;야시
PROV1186;알마티
PROV1187;세미팔라틴스크
PROV1188;카라탈
PROV1189;비슈케크
PROV1190;나린
PROV1191;히바
PROV1192;누쿠스
PROV1193;키질오르다
PROV1194;악타우
PROV1195;타슈켄트
PROV1196;다쇼구즈
PROV1197;쉼켄트
PROV1198;부하라
PROV1199;사마르칸트
PROV1200;카르시
PROV1201;후잔트
PROV1202;코콘
PROV1203;오시
PROV1204;아슈하바트
PROV1205;세르다르
PROV1206;메르브
PROV1207;쿨롭
PROV1208;호루그
PROV1209;카불
PROV1210;파이자바드
PROV1211;발흐
PROV1212;헤라트
PROV1213;바미안
PROV1214;파라
PROV1215;칸다하르
PROV1216;잘랄라바드
PROV1217;가즈니
PROV1218;페샤와르
PROV1219;퀘타
PROV1220;달반딘
PROV1221;칼라트
PROV1222;벨라
PROV1223;치트랄
PROV1224;스리나가르
PROV1225;길기트
PROV1226;레
PROV1227;라호르
PROV1228;물탄
PROV1229;시알코트
PROV1230;아토크
PROV1231;바하왈푸르
PROV1232;샤푸르
PROV1233;암리차르
PROV1234;피로즈푸르
PROV1235;심라
PROV1236;델리
PROV1237;파니파트
PROV1238;데라둔
PROV1239;메루트
PROV1240;아그라
PROV1241;칸푸르
PROV1242;러크나우
PROV1243;알라하바드
PROV1244;파이자배드
PROV1245;베나레스
PROV1246;고라크푸르
PROV1247;파트나
PROV1248;가야
PROV1249;카르스와리
PROV1250;방갈푸르
PROV1251;캘커타
PROV1252;다르질링
PROV1253;바르드완
PROV1254;다카
PROV1255;라지샤히
PROV1256;제소르
PROV1257;치타공
PROV1258;구와하티
PROV1259;임팔
PROV1260;디부루가르
PROV1261;쿠타크
PROV1262;쿤자르
PROV1263;삼발푸르
PROV1264;아지메르
PROV1265;자이살메르
PROV1266;조드푸르
PROV1267;비카네르
PROV1268;자이푸르
PROV1269;우다이푸르
PROV1270;괄리오르
PROV1271;인도르
PROV1272;보팔
PROV1273;차타르푸르
PROV1274;레와
PROV1275;자발푸르
PROV1276;호상가바드
PROV1277;나그푸르
PROV1278;아마라티
PROV1279;자달푸르
PROV1280;라이푸르
PROV1281;빌라스푸르
PROV1282;라이가르
PROV1283;하이데라바드
PROV1284;아우랑가바드
PROV1285;니자마바드
PROV1286;굴바르가
PROV1287;와랑갈
PROV1288;카라치
PROV1289;수쿠르
PROV1290;우마르코트
PROV1291;아마다바드
PROV1292;라지코트
PROV1293;만드비
PROV1294;파탄
PROV1295;바로다
PROV1296;수라트
PROV1297;봄베이
PROV1298;나시크
PROV1299;푸네
PROV1300;비자푸르
PROV1301;콜라푸르
PROV1302;벨가움
PROV1303;고아
PROV1304;마드라스
PROV1305;비자가파트남
PROV1306;마술리파트남
PROV1307;넬로르
PROV1308;쿠르눌
PROV1309;탄조르
