REB;반군
TRE_ADJ;트리에스테령
TRI_ADJ;트리폴리타니아령
TRN_ADJ;트란스발령
TUS_ADJ;토스카나령
germanic;독일 문화권
dutch;네덜란드
flemish;플란데런
north_german;북독일
south_german;남독일
swiss;스위스
pan_swiss;스위스 문화권
beneluxian;저지대 문화권
ashkenazi;아슈케나즈계 유대
scandinavian;스칸디나비아 문화권
swedish;스웨덴
danish;덴마크
norwegian;노르웨이
icelandic;아이슬란드
finnish;핀란드
british;영국
irish;아일랜드
italian;이탈리아 문화권
north_italian;북이탈리아
south_italian;남이탈리아
maltese;몰타
iberian;이베리아 문화권
basque;바스크
spanish;에스파냐
catalan;카탈루냐
portuguese;포르투갈
french;프랑스
wallonian;왈롱
south_slavic;남슬라브 문화권
croat;크로아티아
serb;세르비아
bulgarian;불가리아
romanian;루마니아
albanian;알바니아
slovene;슬로베니아
bosniak;보스니아
REMOVE_west_slavic;서슬라브 문화권
czech;체코
polish;폴란드
hungarian;헝가리
slovak;슬로바키아
east_slavic;동슬라브 문화권
russian;러시아
byelorussian;벨라루스
ukrainian;우크라이나
ugrian;우그리아
baltic;발트 문화권
lithuanian;리투아니아
latvian;라트비아
estonian;에스토니아
levantine;레반트 문화권
greek;그리스
georgian;그루지야
armenian;아르메니아
sephardim;스파라드계 유대
turko_semitic;튀르크-셈 문화권
maghrebi;마그레브
misri;이집트
mashriqi;마슈리크
bedouin;베두인
berber;베르베르
turkish;아나돌루 튀르크
azerbaijani;아제르바이잔
north_caucasian;북카프카스 문화권
kurdish;쿠르드
iranian_turanian;이란-투란 문화권
persian;이란
uzbek;우즈베크
kazak;카자흐
kirgiz;키르기스
tajik;타지크
uighur;위구르
pashtun;파슈툰
baluchi;발루치
hazara;하자라
turkmen;튀르크멘
tatar;타타르
central_asian;중앙아시아 문화권
mongol;몽골
siberian;시베리아
yakut;야쿠트
tibetan;티베트
south_asian;인도 문화권
assamese;아삼
bengali;벵골
bihari;비하르
manipuri;마니푸르
nepali;네팔
oriya;오리야
sinhala;싱할라
avadhi;아와드
kanauji;카나우지
panjabi;펀자브
kashmiri;카슈미르
gujarati;구자라트
marathi;마라티
sindi;신드
rajput;라지푸트
kannada;칸나다
malayalam;말라얄리
tamil;타밀
telegu;텔루구
southeast_asian;동남아시아 문화권
vietnamese;베트남
khmer;크메르
malay;말레이
filipino;필리핀
javan;자바
moluccan;말루쿠
thai;타이
lao;라오
shan;샨
burmese;버마
asian_minor;아시아 소수문화
kachin;카친
karen;카렌
east_asian;극동아시아 문화권
japanese;일본
manchu;만주
beifaren;화북
nanfaren;화남
korean;조선
ainu;아이누
hakka;객가
miao;묘
min;민
zhuang;장
yi;이
yue;월
oceanic;오세아니아 문화권
polynesian;폴리네시아
hawaiian;하와이
maori;마오리
aborigine;오스트레일리아 원주민
melanesian;멜라네시아
micronesian;미크로네시아
native_american;아메리카 원주민 문화권
zapotec;사포텍
mayan;마야
nahua;나우아
tarascan;푸레페차
quechua;케추아
guarani;과라니
aimara;아이마라
amazonian;아마존
patagonian;테우엘체
guajiro;과히로
tupinamba;투피남바
metis;메티스
dakota;다코타
cherokee;체로키
pueblo;푸에블로
inuit;이누이트
cree;크리
navajo;나바호
native_american_minor;아메리카 소수문화
neo_european_cultures;유럽계 이주민 문화권
yankee;양키
anglo_canadian;영국계 캐나다
french_canadian;프랑스계 캐나다
dixie;딕시
texan;텍사스
boer;보어
australian;오스트레일리아
latin_american_cultures;라틴아메리카 문화권
mexican;멕시코
central_american;중앙아메리카
caribeno;카리브
north_andean;북안데스
south_andean;남안데스
platinean;라플라타
brazilian;브라질
african_diaspora_cultures;아프리카계 이주민 문화권
afro_american;아프리카계 아메리카
afro_caribbean;아프리카-영국계 카리브
afro_caribeno;아프리카-에스파냐계 카리브
afro_brazilian;아프리카계 브라질
afro_antillean;아프리카계 앤틸리스
west_african;서아프리카 문화권
akan;아칸
bambara;밤바라
dyula;줄라
edo;에도
ewe;에웨
fon;폰
fulbe;풀라
hausa;하우사
ibibio;이비비오
ibo;이보
kru;크루
mande;만데
maures;무어
mossi;모시
senufo;세누포
songhai;송가이
tiv;티브
tuareg;투아레그
wolof;월로프
yoruba;요루바
central_african;중앙아프리카 문화권
bakongo;바콩고
baguirmi;바기르미
fang;팡
kanuri;카누리
luba;루바
lunda;룬다
mongo;몽고
sara;사라
teda;테다
african_minor;아프리카 소수문화
east_african;동아프리카 문화권
amhara;암하라
afar;아파르
azande;아잔데
baganda;바간다
beja;베자
dinka;딩카
fur;푸르
kikuyu;키쿠유
luo;루오
maasai;마사이
nuer;누에르
nuba;누바
oromo;오로모
ruanda;루안다
rundi;룬디
sidama;시다마
somali;소말리
sudanese;수단
sukuma;수쿠마
swahili;스와힐리
tigray;티그라이
unyamwezi;니암웨지
southern_african;남아프리카 문화권
chewa;체와
herero;헤레로
khoisan;코이산
lomwe;롬웨
makua;마쿠아
malagasy;말라가시
nguni;응구니
ovimbundu;오빔분두
sena;세나
shona;쇼나
sotho;소토
tonga;통가
tswana;츠와나
xhosa;코사
yao;야오
zulu;줄루
ENG_fascist_dictatorship;브리타니아
ENG_fascist_dictatorship_ADJ;브리타니아령
