GREAT_WARS_ENABLED_DESC;대전쟁이 발견되었습니다.
BYE_ADJ;벨라루스
UBD;발트 연합 주
UBD_ADJ;발트
UBD_conservative;보수당
UBD_liberal;자유당
UBD_reactionary;반동당
UBD_anarcho_liberals;무정부적 자유당
UBD_socialist;사회당
UBD_communist;볼셰비키
UBD_fascist;국가사회당
BYE_conservative;보수당
BYE_liberal;자유당
BYE_reactionary;반동당
BYE_anarcho_liberals;무정부적 자유당
BYE_socialist;벨라루스 사회주의 회의
BYE_communist;볼셰비키
BYE_fascist;국가사회당
PLC;폴란드-리투아니아
PLC_ADJ;폴란드-리투아니아
PLC_conservative;국민민주당
PLC_liberal;애국당
PLC_reactionary;타르고비차 연맹
PLC_anarcho_liberal;급진당
PLC_socialist;사회당
PLC_communist;사회민주당
PLC_fascist;국민당
ARA;아라비아
ARA_ADJ;아랍
ARA_conservative;보수당
ARA_liberal;자유당
ARA_reactionary;반동당
ARA_anarcho_liberals;무정부적 자유당
ARA_socialist;사회당
ARA_communist;공산당
ARA_fascist;국가사회당
GCO;그란 콜롬비아
GCO_ADJ;그란 콜롬비아
form_gran_colombia_title;그란 콜롬비아 형성
form_gran_colombia_desc;그란 콜롬비아는 시몬 볼리바르가 스페인의 지배로부터 콜롬비아, 베네수엘라, 에콰도르 영토를 성공적으로 해방시킨 후 남아메리카에 세워진 정치적 연방이었습니다. 이 연방은 1831년에 해체되었습니다. 이제 우리는 새로운 그란 콜롬비아를 선포함으로써 북안데스 민족을 다시금 통합할 위치에 있습니다.
GCO_conservative;중앙집권당
GCO_conservative_2;신중앙집권당
GCO_liberal;연방당
GCO_liberal_2;신연방당
GCO_liberal_3;자치당
GCO_anarcho_liberal;급진당
GCO_reactionary;전통당
GCO_socialist;혁명사회당
GCO_communist;공산당
GCO_fascist;파시스트당
arab;아랍
form_arabia_title;아라비아 형성
form_arabia_desc;형제들이여, 마침내 여기에 자유가 도래했고 운명을 건 전투에서 승리했습니다. 이제 아랍 민족은 부활을 향해 나아가고 있습니다!
IS_EMPTY;소유국 없음
IS_NOT_EMPTY;소유국 있음
EVTNAME111011928;아라비아 형성
EVTDESC111011928;전쟁과 외교를 통해 아라비아 연합이 창설되었습니다. 우리도 합류하겠습니까?
EVTOPTA111011928;물론이지!
EVTOPTB111011928;절대 안 된다!
