support_for_blank;$text$ 지지
pop_prom_6;이 인구집단은 강직 계수가 승직 계수보다 크므로 강직 중입니다
pop_prom_7;두 요인이 모두 음수이므로 이 인구집단은 현상을 유지합니다
pop_prom_8;가능 승직 인원 수=인구집단 규모*승직 규모($x$)*승직 계수($val$)*행정 효율($y$)
pop_prom_9;가능 강직 인원 수=인구집단 규모*강직 규모($x$)*강직 계수($val$)
pop_con_1;월간 의식도 변화:
pop_con_2;총계:
pop_con_3;사치품 충족도로부터: ?G+$x$
pop_con_4;현지 성직자 비율($val$)로부터: ?R$x$
pop_con_5;다원성 및 식자 요인: ?G+$x$?!(곱):
pop_con_6;다원성: $x$
pop_con_7;의식도에 대한 식자율 보정: $x$
pop_con_8;식자율 영향: $x$
pop_con_9;인구집단 식자율: $x$
pop_con_10;식민지 의식도 영향: $x$
pop_con_11;및 0.1
pop_con_12;현지 인구집단 의식도 보정:
pop_con_13;국가 인구집단 의식도 보정:
pop_con_14;국내 비식민지 인구집단 의식도 보정
pop_con_15;국내 비호환 인구집단 의식도 보정:
pop_mil_1;월간 전투성 변화:
pop_mil_2;총계:
pop_mil_3;필수품 충족도로부터: ?R+$x$
pop_mil_4;생활용품 충족도로부터:
pop_mil_5;사치품 충족도로부터: ?G$x$
pop_mil_6;보수주의 지지로부터: ?G$x$
pop_mil_7;집권당 지지로부터: ?G$x$
pop_mil_8;개혁 요구로부터: ?R+$x$
pop_mil_9;현지 인구집단 전투성 보정:
pop_mil_10;국내 인구집단 전투성 보정:
pop_mil_11;국내 비식민지 인구집단 전투성 보정:
pop_mil_12;분리주의로부터:
pop_mil_13;전쟁 피로도로부터: ?R+$val$?!
pop_lit_1;월간 식자율 변화:
pop_lit_2;곱:
pop_lit_3;현지 성직자 비율($val$)로부터: $x$
pop_lit_4;유효 교육 지출: $x$
pop_lit_5;국가 교육 효율 보정: $x$
pop_lit_6;국가 교육 효율 보정: $x$
pop_lit_7;기초 식자율 변화율: $x$
pop_lit_8;및 0.01
pop_growth_topbar;다음 달 성장 속도 예상: ?G$x$?W
pop_growth_topbar_2;지난 ?Y30?W일 동안 인구 변화량 ?G$x$?W.
pop_growth_topbar_3;우리의 성인 남성 인구: ?Y$curr$?W. 우리 남성
pop_growth_topbar_4;우리의 총인구: ?Y$val$?W.
pop_growth_1;월간 인구집단 성장:
pop_growth_2;노예는 자발적으로 불임화함
pop_growth_3;인구집단 성장은 인구 규모에 비례함(곱):
pop_growth_4;생활 조건 계수 $x$(곱):
pop_growth_5;현지 요인 $x$(합계):
pop_growth_6;현지 생활 조건 $x$ 에서 최저 생활 조건 $y$를 뺀 값, 총 승수는 $val$
pop_growth_7;그리고 기본 인구 성장값 $x$
pop_growth_8;인구의 생활 필수품 계수 $x$ (생활 필수품 충족도 $y$ 에서 최저 포만도 $val$를 뺀 값)
pop_growth_9;기아로 인해 인구 성장은 ?Y$x$?W의 페널티를 받습니다. 기아는 인구의 생활 수요 충족도(현재 ?Y$y$?W)가 ?Y$val$?W의 기아 한계보다 낮을 때 발생합니다.
pop_growth_10;기아 페널티는 먼저 최대 기아 페널티 값(?Y$x$?W)에 모든 성장 수정치(?Y$val$?W)를 더해 ?Y페널티 규모?W(?Y$y$?W)를 구하는 방식으로 계산되며, 가능한 최소 결과는 ?Y$x$?W입니다.
pop_growth_11;그다음 인구의 생활 수요 충족도에서 기아 한계(?Y$x$?W)를 빼고, 이를 기아 한계(?Y$x$?W)로 나눕니다. 가능한 최대 결과는 0입니다. 이렇게 ?Y기아 계수?W(?Y$y$?W)가 산출됩니다.
pop_growth_12;마지막으로 ?Y기아 계수?W(?Y$x$?W)와 ?Y페널티 규모?W(?Y$y$?W)를 곱해 인구 성장의 순 페널티 값(?Y$val$?W)을 구한 뒤, 이를 나머지 수정치에 더합니다.
pop_assim_1;월간 인구 동화: $x$
pop_assim_2;노예는 동화되지 않음
pop_assim_3;수용 문화 인구는 동화되지 않음
pop_assim_4;식민지 인구는 동화되지 않음
pop_assim_5;해외 주 인구는 동화되지 않음
pop_assim_6;동화는 인구 규모에 비례하며, 하위문화의 기본 동화 $x$ 총합과 다음 곱의 곱과 같습니다:
pop_assim_7;기본 동화 규모: $x$
pop_assim_8;국가 동화율 수정치: $x$
pop_assim_9;현지 동화율 수정치: $x$
pop_assim_10;해외 문화가 없으므로 0.1
pop_assim_11;현재 주 코어로부터 $x$
pop_assim_12;동적 동화 계수: $x$
pop_conver_1;월간 인구 개종: $x$
pop_conver_2;지역 신자 경건도
pop_conver_3;인구는 일반적으로 개종하지 않으며, 현지에 국교 인구가 있는 경우에만 개종합니다.
pop_conver_4;개종은 인구 규모에 비례합니다(곱):
pop_conver_5;기본 개종 규모: $x$
pop_conver_6;국가 개종율 수정치: $x$
pop_conver_7;현지 개종율 수정치: $x$
pop_conver_8;동적 개종 계수: $x$
pop_issue_attraction_1;이슈 매력도: $x$
pop_issue_attraction_2;이 개혁은 현재 불가능
pop_issue_attraction_3;정치 성향 매력도는 다음 요소들의 결과입니다:
pop_issue_attraction_4;사회 개혁 요구 국가 수정치: $x$
pop_issue_attraction_5;정치 개혁 요구 국가 수정치: $x$
pop_issue_attraction_6;정견 매력도: $x$
pop_ideology_attraction_1;이념 매력도: $x$
pop_ideology_attraction_2;이 이념은 현재 불가능
trade_setting_drawing;비축분 사용
trade_setting_filling;비축 보충
trade_setting_stable;비축 안 함
trade_commodity_report_1;현재 세계 수요: $x$
trade_commodity_report_2;현재 세계 생산: $x$
trade_commodity_report_3;현재 세계 소비: $x$
trade_commodity_report_4;세계 시장 수량: $x$
trade_fill;보충
trade_use;구매
trade_stockpile_target;비축 목표 수량
trade_stockpile_current;현재 비축량:
diplomacy_wx_1;월간 전쟁 피로도:
influence_explain_1;우리는 현재 영향 금지 상태이며 이 나라에 대한 영향력을 축적하고 있지 않습니다
influence_explain_2;우리는 우리와 휴전 협정을 맺은 국가에 영향을 줄 수 없습니다
influence_explain_3;우리는 우리와 전쟁 중인 국가에 영향을 줄 수 없습니다
influence_explain_4;우리는 매일 모든 국가를 대상으로 $x$의 영향력을 축적합니다.
influence_explain_5;기본 영향력 획득 배율($x$) * 영향력 수정치($y$) * 영향력 기술 수정치($val$)
influence_explain_6;국가 영향력 수정치: $x$
influence_explain_7;기술로부터의 수정치: $x$
influence_explain_8;이는 우리가 영향력을 행사하는 국가들 사이에 분배되며, 그 결과 일일 기본 획득량은 다음과 같습니다: $x$
influence_explain_9;여기에 추가로 1에 다음 요소들의 합을 더한 값이 곱해집니다:
influence_explain_10;악명으로부터 $x$
influence_explain_11;인접으로부터 $x$
influence_explain_12;우리 구성원인 하나 이상의 이웃으로부터 $x$
influence_explain_13;수도가 다른 대륙에 있어 $x$
influence_explain_14;우리의 속국이므로 $x$
influence_explain_15;우리의 관계로부터 $x$
influence_explain_16;이 나라에 대한 우리의 투자로부터 $x$
influence_explain_17;대상국 규모로부터 $x$
influence_explain_18;우리의 관련 점수로부터 $x$
until_date;$x$까지
add_wg_1;자신을 상대로 한 전쟁 목표는 추가할 수 없습니다
add_wg_2;당신은 전쟁 중입니다
add_wg_3;최소 $x$ 외교점을 보유
add_wg_4;현재 쇼비니즘 지지율($x$)이 전쟁 목표 추가 임계치($y$)에 도달함
add_wg_5;현상 유지 전쟁 목표가 아직 당신 측에 추가되지 않았습니다
intervene_1;전쟁 개입
intervene_2;대전쟁 개입
intervene_3;열강이다
intervene_4;위기에 휘말려 있지 않음
