PROV1;سيتكا
PROV102;توكسون
PROV103;سانتا في
PROV104;البوكيرك
PROV105;لاس كروسيس
PROV106;دنفر
PROV107;جراند جانكشن
PROV108;ألاموسا
PROV109;بويبلو
PROV110;شايان
PROV111;كودي
PROV112;كاسبر
PROV113;بوزمان
PROV114;ميسولا
PROV115;غريت فولز
PROV116;الفواتير
PROV117;بسمارك
PROV118;مينوت
PROV119;ديكنسون
PROV120;سيوكس فولز
PROV121;دوبري
PROV122;مدينة رابيد
PROV123;أوماها
PROV124;تحالف
PROV125;شمال بلات
PROV126;توبيكا
PROV127;جودلاند
PROV128;ويتشيتا
PROV129;مدينة أوكلاهوما
PROV130;تاليكواه
PROV131;أوكمولجي
PROV132;هيوستن
PROV133;أوستين
PROV134;دالاس
PROV135;لوبوك
PROV136;الباسو
PROV137;سان أنطونيو
PROV138;لاريدو
PROV139;نيو أورليانز
PROV140;باتون روج
PROV141;بحيرة تشارلز
PROV142;شريفبورت
PROV143;صخرة صغيرة
PROV144;الينابيع الساخنة
PROV145;فايتفيل
PROV146;سانت لويس
PROV147;جوبلين
PROV148;مالدن
PROV149;مدينة جيفرسون
PROV150;مدينة كانساس
PROV151;دي موين
PROV152;أوسكالوسا
PROV153;منحدرات الأرز
PROV154;مدينة سيوكس
PROV155;مينيابوليس
PROV156;شلالات الجرانيت
PROV157;مورهيد
PROV158;دولوث
PROV159;ميلووكي
PROV160;او كلير
PROV161;جرين باي
PROV162;ماديسون
PROV163;شيكاغو
PROV164;روكفورد
PROV165;شامبين
PROV166;بيوريا
PROV167;سبرينجفيلد
PROV168;كاربونديل
PROV169;إنديانابوليس
PROV170;إيفانسفيل
PROV171;ساوث بيند
PROV172;فورت واين
PROV173;ديترويت
PROV174;المنحدرات الكبرى
PROV175;ساجيناو
PROV176;مدينة ترافيرس
PROV177;ماركيت
PROV178;كليفلاند
PROV179;كولومبوس
PROV180;ساندوسكي
PROV181;دايتون
PROV182;سينسيناتي
PROV183;ماريتا
PROV184;لويزفيل
PROV185;ليكسينغتون
PROV186;بولينج جرين
PROV187;بادوكا
PROV188;ناشفيل
PROV189;ممفيس
PROV190;نوكسفيل
PROV191;تشاتانوغا
PROV192;جاكسون
PROV193;فيكسبيرغ
PROV194;بيلوكسي
PROV195;مونتغمري
PROV196;توسكالوسا
PROV197;متحرك
PROV198;تالاهاسي
PROV199;القديس أغسطينوس
PROV200;تامبا
PROV201;أتلانتا
PROV202;فالدوستا
PROV203;برمودا
PROV204;سافانا
PROV205;تشارلستون
PROV206;كولومبيا
PROV207;جرينفيل
PROV208;رالي
PROV209;شارلوت
PROV210;ويلمنجتون
PROV211;ريتشموند
PROV212;ماناساس
PROV213;فريدريكسبيرغ
PROV214;نورفولك
PROV215;ستونتون
PROV216;رونوك
PROV217;ويلنج
PROV218;هنتنغتون
PROV219;بالتيمور
PROV220;واشنطن
PROV221;هاجرستاون
PROV222;دوفر
PROV223;فيلادلفيا
PROV224;سكرانتون
PROV225;ويليامزبورت
PROV226;هاريسبرج
PROV227;بيتسبرغ
PROV228;إيري
PROV229;نيوارك
PROV230;ترينتون
PROV231;أتلانتيك سيتي
PROV232;نيويورك
PROV233;جزيرة طويلة
PROV234;ألباني
PROV235;بينغهامتون
PROV236;الجاموس
PROV237;روتشستر
PROV238;سيراكيوز
PROV239;ووترتاون
PROV240;بلاتسبرغ
PROV241;هارتفورد
PROV242;العناية الإلهية
PROV243;بوسطن
PROV244;نيو بيدفورد
PROV245;بيتسفيلد
PROV246;بيرلينجتون
PROV247;كونكورد
PROV248;لويستون
PROV249;بانجور
PROV250;الوعل
PROV251;جودتاب
PROV252;أيسلندا
PROV253;جزر فاروس
PROV254;بلفاست
PROV255;لندنديري
PROV256;ارماغ
PROV257;دونيجال
PROV258;غالواي
PROV259;سليجو
PROV260;كورك
PROV261;ليمريك
PROV262;وترفورد
PROV263;دبلن
PROV264;كيلدير
PROV265;ويكسفورد
PROV266;أبردين
PROV267;إينفيرنيس
PROV268;دندي
PROV269;ادنبره
PROV270;ستيرلينغ
PROV271;جلاسكو
PROV272;دومفريز
PROV273;كارديف
PROV274;سترة
PROV275;لاندريندود
PROV276;هوليهيد
PROV277;ليفربول
PROV278;مانشستر
PROV279;كارلايل
PROV280;نيوكاسل أبون تاين
PROV281;هال
PROV282;ليدز
PROV283;شيفيلد
PROV284;برمنغهام
PROV285;تشيستر
PROV286;شروزبري
PROV287;كوفنتري
PROV288;نوتنغهام
PROV289;ليستر
PROV290;لينكولن
PROV291;كامبريدج
PROV292;إبسويتش
PROV293;تشيلمسفورد
PROV294;أكسفورد
PROV295;ست ألبانز
PROV296;بريستول
PROV297;سالزبوري
PROV298;حمام
PROV299;بليموث
PROV300;لندن
PROV301;كانتربري
PROV302;برايتون
PROV303;ساوثامبتون
PROV304;جزيرة آيل أوف مان
PROV305;تروندهايم
PROV306;بودو
PROV307;هامرفست
PROV308;أليسوند
PROV309;بيرغن
PROV310;كريستيانساند
PROV311;سكاين
PROV312;درامن
PROV313;كريستيانيا
PROV314;حمر
PROV315;ليلهامر
PROV316;فريدريكستاد
PROV317;جافلي
PROV318;سوندسفال
PROV319;أوسترسوند
PROV320;أوميا
PROV321;لوليه
PROV322;ستوكهولم
PROV323;فالون
PROV324;أوبسالا
PROV325;نورشوبينغ
PROV326;فيستيرس
PROV327;أوريبرو
PROV328;كارلستاد
PROV329;جوتنبرج
PROV330;بوريس
PROV331;جوتلاند
PROV332;كالمار
PROV333;فاكسجو
PROV334;مالمو
PROV335;كارلسكرونا
PROV336;أولو
PROV337;كاجاني
PROV338;تورنيو
PROV339;فييبوري
PROV340;كوتكا
PROV341;ميكيلي
PROV342;كوبيو
PROV343;هلسنكي
PROV344;هامينلينا
PROV345;توركو
PROV346;فاسا
PROV347;تامبيري
PROV348;جزر أولاند
PROV349;ريفال
PROV350;نارفا
PROV351;بارنو
PROV352;دوربات
PROV353;أوسيل
PROV354;ريغا
PROV355;فالميرا
PROV356;دوجافبيلز
PROV357;جيلجافا
PROV358;فنتسبيلز
PROV359;ليباجا
PROV360;فيلنيوس
PROV361;كاوناس
PROV362;ماريامبول
PROV363;بانيفيزيس
PROV364;سياولياي
PROV365;بالانجا
PROV366;آرهوس
PROV367;ألبورج
PROV368;ريبي
PROV369;كيل
PROV370;فلنسبورغ
PROV371;ابنرع
PROV372;كوبنهاغن
PROV373;أودنسي
PROV374;بورنهولم
PROV375;أمستردام
PROV376;روتردام
PROV377;أوتريخت
PROV378;ميدلبورغ
PROV379;ايندهوفن
PROV380;بريدا
PROV381;ماستريخت
PROV382;أرنهيم
PROV383;جرونينجن
PROV384;زوول
PROV385;ليوفاردن
PROV386;أسن
PROV387;بروكسل
PROV388;بروج
PROV389;غنت
PROV390;أنتويرب
PROV391;هاسيلت
PROV392;نامور
PROV393;تورناي
PROV394;شارلروا
PROV395;ليج
PROV396;منتجع صحي
PROV397;لوكسمبورغ
PROV398;آرلون
PROV399;ليل
PROV400;دونكيرك
PROV401;أراس
PROV402;أميان
PROV403;لاون
PROV404;كامبراي
PROV405;شارلفيل
PROV406;تروا
PROV407;شومونت
PROV408;شالون
PROV409;ستراسبورغ
PROV410;كولمار
PROV411;نانسي
PROV412;ميتز
PROV413;فردان
PROV414;إبينال
PROV415;روان
PROV416;إفرو
PROV417;ألونسون
PROV418;كاين
PROV419;جزر القناة
PROV420;بريست
PROV421;سانت بريوك
PROV422;فانيس
PROV423;نانت
PROV424;رين
PROV425;باريس
PROV426;شارتر
PROV427;البطيخ
PROV428;ديجون
PROV429;أوكسير
PROV430;مولان
PROV431;ماكون
PROV432;بيزانسون
PROV433;لونس
PROV434;يغضب
PROV435;لافال
PROV436;لومان
PROV437;لاروش
PROV438;اورليانز
PROV439;بورجيه
PROV440;بلوا
PROV441;جولات
PROV442;لاروشيل
PROV443;بواتييه
PROV444;أنغوليم
PROV445;ليموج
PROV446;شاتورو
PROV447;تول
PROV448;كليرمون فيران
PROV449;أوريلاك
PROV450;كاهور
PROV451;ليون
PROV452;سانت إتيان
PROV453;التكافؤ
PROV454;غرونوبل
PROV455;تولوز
PROV456;مونتوبان
PROV457;فوا
PROV458;بوردو
PROV459;مونت دي مارسان
PROV460;باو
PROV461;مونبلييه
PROV462;روديز
PROV463;كاركاسون
PROV464;بربينيان
PROV465;آنسي
PROV466;شامبيري
PROV467;مرسيليا
PROV468;أفينيون
PROV469;ديني
PROV470;طولون
PROV471;فريوس
PROV472;لطيف - جيد
PROV473;كورسيكا
PROV474;لاكورونيا
PROV475;أوفييدو
PROV476;فيجو
PROV477;ليون
PROV478;سانتاندر
PROV479;بورغوس
PROV480;بلد الوليد
PROV481;سوريا
PROV482;سالامانكا
PROV483;أفيلا
PROV484;بطليوس
PROV485;المندراليجو
PROV486;كاسيريس
PROV487;مدريد
PROV488;سيغوينزا
PROV489;توليدو
PROV490;كوينكا
PROV491;سيوداد ريال
PROV492;بلباو
PROV493;بامبلونا
PROV494;لوغرونو
PROV495;سرقسطة
PROV496;هويسكا
PROV497;تيرويل
PROV498;برشلونة
PROV499;جيرونا
PROV500;ليريدا
PROV501;تاراغونا
PROV502;جزر البليار
PROV503;فالنسيا
PROV504;كاستيلون
PROV505;اليكانتي
PROV506;قرطاجنة
PROV507;مورسيا
PROV508;الباسيتي
PROV509;إشبيلية
PROV510;قرطبة
PROV511;هويلفا
PROV512;قادس
PROV513;غرناطة
PROV514;مالقة
PROV515;ألميريا
PROV516;جيان
PROV517;جبل طارق
PROV518;بورتو
PROV519;فيلا ريال
PROV520;كوفيلها
PROV521;لشبونة
PROV522;كويمبرا
PROV523;أبرانتيس
PROV524;سيتوبال
PROV525;إيفورا
PROV526;باجة
PROV527;فارو
PROV528;هامبورغ
PROV529;لاونبورغ
PROV530;لوبيك
PROV531;ستاد
PROV532;لونيبورغ
PROV533;هيليجولاند
PROV534;هانوفر
PROV535;نينبورغ
PROV536;برونزويك
PROV537;غوتنغن
PROV538;أوسنابروك
PROV539;بريمن
PROV540;أولدنبورغ
PROV541;كلوبنبورج
PROV542;لينجن
PROV543;إمدن
PROV544;شفيرين
PROV545;نيوستريليتز
PROV546;ستيتين
PROV547;سوينيموند
PROV548;شترالسوند
PROV549;برلين
PROV550;برينزلاو
PROV551;بريتزووك
PROV552;كوتبوس
PROV553;ماغديبورغ
PROV554;إرفورت
PROV555;ديساو
PROV556;هالي
PROV557;ستيندال
PROV558;دريسدن
PROV559;لايبزيغ
PROV560;كيمنتس
PROV561;فايمار
PROV562;جوثا
PROV563;مينينجن
PROV564;فرانكفورت
PROV565;فيسبادن
PROV566;كاسل
PROV567;جيسن
PROV568;فولدا
PROV569;مانهايم
PROV570;ماينز
PROV571;كايزرسلاوترن
PROV572;ترير
PROV573;ساربروكن
PROV574;كروزناخ
PROV575;كولونيا
PROV576;آخن
PROV577;كليفز
PROV578;دوسلدورف
PROV579;كوبلنز
PROV580;دورتموند
PROV581;مونستر
PROV582;ميندن
PROV583;سيجن
PROV584;كورباخ
PROV585;ديتمولد
PROV586;كارلسروه
PROV587;فرايبورغ
PROV588;كونستانز
PROV589;شتوتغارت
PROV590;هايلبرون
PROV591;توبنغن
PROV592;اوغسبورغ
PROV593;أولم
PROV594;سيجمارينجن
PROV595;نورمبرغ
PROV596;أشافنبورغ
PROV597;فورتسبورغ
PROV598;بايرويت
PROV599;ميونيخ
PROV600;لاندشوت
PROV601;إنغولشتات
PROV602;ريغنسبورغ
PROV603;زيوريخ
PROV604;باسل
PROV605;برن
PROV606;لوسيرن
PROV607;جنيف
PROV608;نوشاتيل
PROV609;اجلس
PROV610;بونابي
PROV611;تشور
PROV612;انسبروك
PROV613;سالزبورغ
PROV614;بريجينز
PROV615;لينز
PROV616;غراتس
PROV617;جودنبرج
PROV618;كلاغنفورت
PROV619;فيينا
PROV620;سانكت بولتن
PROV621;كريمس
PROV622;لينز
PROV623;سوبرون
PROV624;آيزنشتات
PROV625;براغ
PROV626;هراديك كرالوفي
PROV627;كارلسباد
PROV628;أوسيج
PROV629;بلزن
PROV630;بوديوفيتش
PROV631;برنو
PROV632;أولوموك
PROV633;براتيسلافا
PROV634;ترينسين
PROV635;نيترا
PROV636;بانسكا بيستريكا
PROV637;كوشيتسه
PROV638;روزنافا
PROV639;زالاجيرسيج
PROV640;بيكس
PROV641;بودابست
PROV642;جيور
PROV643;سيكيسفيرفار
PROV644;كابوسفار
PROV645;كيكسكيميت
PROV646;ميسكولك
PROV647;أوراديا
PROV648;ديبريسين
PROV649;سيجد
PROV650;بيكيشسابا
PROV651;زاتمار
PROV652;تيميسفار
PROV653;Resicabánya
PROV654;كلوج
PROV655;جيولافيرفار
PROV656;ديفا
PROV657;ناجيزيبن
PROV658;هاواي
PROV659;براسو
PROV660;أودفارهيلي
PROV661;بيسترسي
PROV662;سيرناوتي
PROV663;سوسيفا
PROV664;بوخارست
PROV665;تيرغو جيو
PROV666;كرايوفا
PROV667;تيرغوفيست
PROV668;برايلا
PROV669;كالاراسي
PROV670;ياش
PROV671;بوتوساني
PROV672;باكاو
PROV673;جالاتي
PROV674;كونستانتا
PROV675;تولسيا
PROV676;تشيسيناو
PROV677;بالتي
PROV678;إسماعيل
PROV679;كولبرج
PROV680;كوسلين
PROV681;كوسترين
PROV682;بريسلاو
PROV683;ليجنيتز
PROV684;أوبلن
PROV685;كاتويتز
PROV686;جزر الخط
PROV687;جورليتز
PROV688;تروباو
PROV689;تيسين
PROV690;دانزيج
PROV691;توشيل
PROV692;الكرون الألماني
PROV693;إلبينج
PROV694;يهرب
PROV695;كونيجسبيرج
PROV696;الينشتاين
PROV697;غامبينين
PROV698;ميميل
PROV699;بوزن
PROV700;برومبرج
PROV701;جنيزنو
PROV702;لفوف
PROV703;كراكوف
PROV704;نوفي ساكس
PROV705;برزيميسل
PROV706;وارسو
PROV707;سووالكي
PROV708;بلوك
PROV709;لومزا
PROV710;سكييرنيويتس
PROV711;سيدليس
PROV712;لودز
PROV713;رادوم
PROV714;تارنوف
PROV715;لوبلين
PROV716;كيلسي
PROV717;كاليش
PROV718;مينسك
PROV719;بياليستوك
PROV720;تورينو
PROV721;أوستا
PROV722;نوفارا
PROV723;اليساندريا
PROV724;جنوة
PROV725;سافونا
PROV726;ميلان
PROV727;بيرغامو
PROV728;بريشيا
PROV729;مدينة البندقية
PROV730;فيرونا
PROV731;بادوا
PROV732;تريفيزو
PROV733;أوديني
PROV734;ترينت
PROV735;بوزن
PROV736;تريستا
PROV737;جوريزيا
PROV738;بارما
PROV739;مودينا
PROV740;ماسا
PROV741;بولونيا
PROV742;فيرارا
PROV743;رافينا
PROV744;فلورنسا
PROV745;ليجورن
PROV746;لوكا
PROV747;سيينا
PROV748;غروسيتو
PROV749;روما
PROV750;فيتربو
PROV751;بيروجيا
PROV752;أنكونا
PROV753;أكويلا
PROV754;نابولي
PROV755;ساليرنو
PROV756;باري
PROV757;فوجيا
PROV758;برينديزي
PROV759;ريجيو دي كالابريا
PROV760;كاتانزارو
PROV761;بوتنزا
PROV762;باليرمو
PROV763;ميسينا
PROV764;كاتانيا
PROV765;كالياري
PROV766;ساساري
PROV767;ماريبور
PROV768;ليوبليانا
PROV769;بوستوينا
PROV770;بولا
PROV771;زغرب
PROV772;سيساك
PROV773;كارلوفاتش
PROV774;سينج
PROV775;فارازدين
PROV776;بيلوفار
PROV777;بوزيجا
PROV778;فيوم
PROV779;أوسيجيك
PROV780;ينقسم
PROV781;زادار
PROV782;دوبروفنيك
PROV783;سراييفو
PROV784;بيهاتش
PROV785;بانيا لوكا
PROV786;توزلا
PROV787;فوكا
PROV788;موستار
PROV789;ليفنو
PROV790;كيتوي
PROV791;ميتروفيتشا
PROV792;بانسيفو
PROV793;فوكوفار
PROV794;بلغراد
PROV795;بور
PROV796;كراغويفاتش
PROV797;Užice
PROV798;نيش
PROV799;ليسكوفاتش
PROV800;أولسيني
PROV801;تاهيتي
PROV802;بريشتينا
PROV803;بريزرن
PROV804;نوفي بازار
PROV805;سالونيك
PROV806;سكوبي
PROV807;بيتولا
PROV808;بيتريش
PROV809;صوفيا
PROV810;فيدين
PROV811;حيلة
PROV812;بليفن
PROV813;شومن
PROV814;فارنا
PROV815;بلوفديف
PROV816;ستارا زاكورة
PROV817;بورغاس
PROV818;سيليستر
PROV819;فلورينا
PROV820;غريفينا
PROV821;الرها
PROV822;بوليجيروس
PROV823;كافالا
PROV824;جانينا
PROV825;ارتا
PROV826;كورفو
PROV827;زانتي
PROV828;أدرنة
PROV829;زانثي
PROV830;ديدياجاتش
PROV831;لاريسا
PROV832;فولوس
PROV833;تريكالا
PROV834;أثينا
PROV835;أمفيسا
PROV836;لمياء
PROV837;ميسولونجي
PROV838;خالكيس
PROV839;نافبليون
PROV840;كورنثوس
PROV841;كالاماتا
PROV842;باتراس
PROV843;خيوس
PROV844;ميتيلاين
PROV845;سيكلاديز
PROV846;دوديكانيز
PROV847;خانيا
PROV848;ايراكليون
PROV849;تيرانا
PROV850;شكودر
PROV851;دوريس
PROV852;فلور
PROV853;جيروكاستر
PROV854;مالطا
PROV855;نيقوسيا
PROV856;ليماسول
PROV857;فاماغوستا
PROV858;كيركلاريلي
PROV859;جاليبولي
PROV860;اسطنبول
PROV861;أوسكودار
PROV862;ازميت
PROV863;بورصة
PROV864;باليكسير
PROV865;كاناكالي
PROV866;افيون
PROV867;كوتاهيا
PROV868;اسكيشهر
PROV869;إزمير
PROV870;مانيسا
PROV871;دنيزلي
PROV872;موغلا
PROV873;قونية
PROV874;بوردور
PROV875;أنطاليا
PROV876;أنقرة
PROV877;أماسيا
PROV878;قيصري
PROV879;سيفاس
PROV880;كاستامونو
PROV881;بولو
PROV882;طرابزون
PROV883;سينوب
PROV884;غيرسون
PROV885;كارس
PROV886;أردهان
PROV887;أرضروم
PROV888;ارزينجان
PROV889;ملاطية
PROV890;سيارة نقل
PROV891;بيتليس
PROV892;هكاري
PROV893;ديار بكر
PROV894;أضنة
PROV895;مرسين
PROV896;مرعش
PROV897;حلب
PROV898;عنتاب
PROV899;أورفا
PROV900;أنطاكية
PROV901;دير الزور
PROV902;دمشق
PROV903;حمص
PROV904;حماة
PROV905;اللاذقية
PROV906;السويداء
PROV907;تدمر
PROV908;عمان
PROV909;جرش
PROV910;الرويشد
PROV911;معان
PROV912;بعلبك
PROV913;بيروت
PROV914;عسقلة
PROV915;صيدا
PROV916;فدان
PROV917;بيت المقدس
PROV918;نابلس
PROV919;يافا
PROV920;غزة
PROV921;بئر السبع
PROV922;العقبة
PROV923;الموصل
PROV924;اربيل
PROV925;كركوك
PROV926;بغداد
PROV927;سامراء
PROV928;منديلي
PROV929;كربلاء
PROV930;الكوت
PROV931;الرطبة
PROV932;البصرة
PROV933;الناصرية
PROV934;النجف
PROV935;الكويت
PROV936;غرودنو
PROV937;بريست ليتوفسك
PROV938;ليدا
PROV939;بارانوفيتشي
PROV940;بينسك
PROV941;سلوتسك
PROV942;موزير
PROV943;سمولينسك
PROV944;أورشا
PROV945;فيتيبسك
PROV946;بولوتسك
PROV947;باستافي
PROV948;موغيليف
PROV949;غوميل
PROV950;أوزجورورد
PROV951;ستري
PROV952;ترنوبل
PROV953;ستانيسلافوف
PROV954;فينيتسا
PROV955;بروسكوروف
PROV956;روفني
PROV957;كوفيل
PROV958;كييف
PROV959;كوروستن
PROV960;جيتومير
PROV961;تشيركاسي
PROV962;تشرنيغوف
PROV963;بولتافا
PROV964;سيمفيروبول
PROV965;تشيرسون
PROV966;كيرتش
PROV967;سيفاستوبول
PROV968;أوديسا
PROV969;بيرفومايسك
PROV970;نيكولاييف
PROV971;كريفوي روج
PROV972;ايكاترينوسلاف
PROV973;ميليتوبول
PROV974;كراماتورسك
PROV975;يوزوفكا
PROV976;ماريوبول
PROV977;كورسك
PROV978;خاركوف
PROV979;روستوف
PROV980;لوهانسك
PROV981;رئيس الملائكة
PROV982;بيتسامو
PROV983;كاندالاكشا
PROV984;كوستوموشكا
PROV985;مزين
PROV986;نارين مار
PROV987;أوست سيسولسك
PROV988;بوفينتس
PROV989;فولوغدا
PROV990;كوتلاس
PROV991;أوغليش
PROV992;بيلوزيرسك
PROV993;فيتيرجا
PROV994;سان بطرسبرج
PROV995;بتروزافورسك
PROV996;لوغا
PROV997;جدوف
PROV998;تفير
PROV999;رزيف
PROV1000;ستاريتسا
PROV1001;ياروسلافل
PROV1002;مانتشولي
PROV1003;نوفغورود
PROV1004;تيخفين
PROV1005;بوروفيتشي
PROV1006;بسكوف
PROV1007;فيليكيي لوكي
PROV1008;موسكو
PROV1009;بورودينو
PROV1010;كالوغا
PROV1011;تولا
PROV1012;ريازان
PROV1013;فلاديمير
PROV1014;فيازما
PROV1015;بيريميشل
PROV1016;بريانسك
PROV1017;أوريل
PROV1018;بيلغورود
PROV1019;فورونيتس
PROV1020;نيجني نوفغورود
PROV1021;بينزا
PROV1022;إيفانوفو
PROV1023;كوستورما
PROV1024;غاليش
PROV1025;تامبوف
PROV1026;موج الشعر بإستمرار
PROV1027;فيتلوجا
PROV1028;فياتخا
PROV1029;جلاسوف
PROV1030;كازان
PROV1031;سارابول
PROV1032;تشيستوبول
PROV1033;سيمبيرسك
PROV1034;سمارة
PROV1035;سيزران
PROV1036;استراخان
PROV1037;ساراتوف
PROV1038;نوفو أوزينسك
PROV1039;تساريتسين
PROV1040;زارفكا
PROV1041;اليتسا
PROV1042;أوفا
PROV1043;بوسولوك
PROV1044;أورينبورغ
PROV1045;ميجولينسكايا
PROV1046;تشيرسكايا
PROV1047;أزوف
PROV1048;إيكاترينودار
PROV1049;نوفوروسيسك
PROV1050;ستافروبول
PROV1051;أديغي
PROV1052;ديربنت
PROV1053;غنيب
PROV1054;فلاديكافكاز
PROV1055;غروزني
PROV1056;بياتيغورسك
PROV1057;كيزيليار
PROV1058;ايكاترينبرج
PROV1059;تشيليابينسك
PROV1060;أورسك
PROV1061;تيومين
PROV1062;بيريزوف
PROV1063;تومسك
PROV1064;أومسك
PROV1065;نيجنفارتوفسك
PROV1066;توبولسك
PROV1067;بارناول
PROV1068;أولالا
PROV1069;فيليويسك
PROV1070;بريانكا
PROV1071;بيتانتايسك
PROV1072;أوخوتسك
PROV1073;يفنسك
PROV1074;بتروبافلوفسك
PROV1075;إيركوتسك
PROV1076;براتسك
PROV1077;كراسنويارسك
PROV1078;تشيتا
PROV1079;نيرشينسك
PROV1080;تشيرنومين
PROV1081;ياكسا
PROV1082;هايشينواي
PROV1083;بولي
PROV1084;أوتشان
PROV1085;أولوسامودان
PROV1086;بوجوبي
PROV1087;أوتوماري
PROV1088;شومشو
PROV1089;إيتوروفو
PROV1090;تبليسي
PROV1091;باسانوري
PROV1092;كوتايسي
PROV1093;أخالتسيخي
PROV1094;بوتي
PROV1095;سوخومي
PROV1096;باتوم
PROV1097;كاليدونيا الجديدة
PROV1098;يريفان
PROV1099;جيومري
PROV1100;كابان
PROV1101;ناخيتشيفان
PROV1102;باكو
PROV1103;سيازين
PROV1104;شيكي
PROV1105;غانجا
PROV1106;أغدام
PROV1107;لانكاران
PROV1108;تبريز
PROV1109;خوفوي
PROV1110;أوروميا
PROV1111;مهاباد
PROV1112;أردبيل
PROV1113;رشت
PROV1114;نوشهر
PROV1115;ساري
PROV1116;جورجان
PROV1117;كرمنشاه
PROV1118;سنندج
PROV1119;إيلام
PROV1120;خرم آباد
PROV1121;طهران
PROV1122;همدان
PROV1123;زنجان
PROV1124;قزوين
PROV1125;قم
PROV1126;سمنان
PROV1127;أصفهان
PROV1128;اراك
PROV1129;كاشان
PROV1130;يزد
PROV1131;الأهواز
PROV1132;عبادان
PROV1133;دزفول
PROV1134;دهكورد
PROV1135;شيراز
PROV1136;بوشهر
PROV1137;ياسوج
PROV1138;كانجان
PROV1139;سيرجان
PROV1140;كرمان
PROV1141;لينجه
PROV1142;بندر عباس
PROV1143;بام
PROV1144;زاهدان
PROV1145;جاسك
PROV1146;تشابهار
PROV1147;مشهد
PROV1148;بيرجند
PROV1149;سابزيفار
PROV1150;بوجنورد
PROV1151;مكة المكرمة
PROV1152;جدة
PROV1153;المدينة المنورة
PROV1154;تبوك
PROV1155;أبها
PROV1156;كاف
PROV1157;الرياض
PROV1158;رفحاء
PROV1159;حلبان
PROV1160;يشيد
PROV1161;شرورة
PROV1162;البحرين
PROV1163;القطيف
PROV1164;الهفوف
PROV1165;الدوحة
PROV1166;مسقط
PROV1167;أبو ظبي
PROV1168;دبي
PROV1169;صحار
PROV1170;نزوى
PROV1171;صور
PROV1172;الدقم
PROV1173;المكلا
PROV1174;صلالة
PROV1175;غيداء
PROV1176;البيضاء
PROV1177;سقطرى
PROV1178;صنعاء
PROV1179;الحديدة
PROV1180;تعز
PROV1181;قراجندا
PROV1182;جوريف
PROV1183;أكتوبي
PROV1184;كوكشيتاو
PROV1185;ياسي
PROV1186;ألما آتا
PROV1187;سيميبالاتينسك
PROV1188;قراتال
PROV1189;بيشكيك
PROV1190;نارين
PROV1191;خيوة
PROV1192;نوكوس
PROV1193;كيزيلوردا
PROV1194;أكتاو
PROV1195;طشقند
PROV1196;دشوز
PROV1197;شيمكنت
PROV1198;بخارى
PROV1199;سمرقند
PROV1200;قرشي
PROV1201;خوجاند
PROV1202;قوقند
PROV1203;أوش
PROV1204;عشق أباد
PROV1205;كيزيل عرفات
