message_notify_rebels_defeat_label;يخطر عند هزيمة المتمردين؟
msg_expell_on_nation;
msg_increase_opinion;
msg_decrease_opinion_by_nation;
msg_decrease_opinion_on_nation;
msg_rem_sphere_by_nation;
msg_rem_sphere_on_nation;
msg_removed_from_sphere;
msg_add_sphere;عندما نضيف إلى مجالنا
msg_added_to_sphere;عندما نضيف إلى المجال
msg_increase_relation_by_nation;عندما تزيد العلاقات
msg_increase_relation_on_nation;عندما نزيد العلاقات
msg_decrease_relation_by_nation;عندما تقلل العلاقات
msg_decrease_relation_on_nation;عندما نقلل العلاقات
msg_join_war_by_nation;عندما تنضم دولة إلى الحرب
msg_join_war_on_nation;عندما ننضم إلى الحرب
msg_gw_unlocked;عندما يتم فتح الحروب الكبرى
msg_war_becomes_great;عندما تصبح الحرب حربا عظيمة
msg_cb_detected_on_nation;
msg_cb_detected_by_nation;
msg_crisis_join_offer_accepted_by_nation;
msg_crisis_join_offer_declined_by_nation;
msg_crisis_join_offer_accepted_from_nation;
msg_crisis_join_offer_declined_from_nation;
msg_crisis_resolution_accepted;عندما يتم قبول حل الأزمة
msg_crisis_becomes_war;عندما تبدأ حرب الأزمة
msg_crisis_resolution_declined_from_nation;
msg_crisis_starts;
msg_crisis_attacker_backer;
msg_crisis_defender_backer;
msg_crisis_fizzle;
msg_war_join_by;
msg_war_join_on;
msg_cb_fab_finished;
msg_cb_fab_cancelled;
msg_crisis_voluntary_join;
msg_bankruptcy_title;إفلاس
amsg_bankruptcy;عندما تفلس الأمة
msg_bankruptcy_1;لقد أفلس $x$
message_name_text;رسالة
msg_for_us;عن: أمتك
msg_for_interesting;دول مثيرة للاهتمام
msg_for_other;دول أخرى
msg_handling_ignore;تجاهل الرسالة
msg_handling_log;قم بتسجيل الرسالة
msg_handling_sound;قم بتسجيل الرسالة بتأثير صوتي
msg_handling_popup;ينبثق إشعار للرسالة
msg_handling_pause;انبثق إشعارًا بالرسالة وأوقف اللعبة مؤقتًا حتى يتم رفضها
amsg_revolt;تحدث ثورة في الأمة
amsg_war_on_nation;أعلنت الحرب على الأمة
amsg_war_by_nation;أعلنت الحرب من قبل الأمة
amsg_wargoal_added;الأمة تضيف هدف الحرب
amsg_siegeover_by_nation;الأمة تكمل الحصار
amsg_siegeover_on_nation;انتهاء الحصار على المقاطعة التي تسيطر عليها الدولة
amsg_colony_finished;الأمة تنهي مستعمرة
amsg_reform_gained;الأمة تمر بالإصلاح
amsg_reform_lost;الأمة تخسر الإصلاح
amsg_ruling_party_change;يتغير الحزب الحاكم في البلاد
amsg_upperhouse;يتغير تكوين مجلس الشيوخ في البلاد
amsg_electionstart;تبدأ الانتخابات في البلاد
amsg_electiondone;تنتهي الانتخابات في الأمة
amsg_breakcountry;الثوار يفرضون مطالبهم على الأمة
amsg_peace_accepted_from_nation;تم قبول عرض السلام الذي قدمته الأمة
amsg_peace_rejected_from_nation;تم رفض عرض السلام الذي قدمته الأمة
amsg_peace_accepted_by_nation;الأمة تقبل عرض السلام
amsg_peace_rejected_by_nation;الأمة ترفض عرض السلام
amsg_mobilization_start;الأمة تحشد
amsg_mobilization_end;الأمة تنهي تعبئتها
amsg_factory_complete;الأمة تنتهي من بناء المصنع
amsg_rr_complete;تنتهي الأمة من بناء خط السكة الحديد
amsg_fort_complete;الأمة تنتهي من بناء الحصن
amsg_naval_base_complete;الأمة تنتهي من بناء قاعدة بحرية
amsg_province_event;حدث إقليمي يحدث للأمة
amsg_national_event;حدث وطني يحدث للأمة
amsg_major_event;حدث كبير يحدث للأمة
amsg_invention;الأمة تكتشف اختراعا
amsg_tech;تنتهي الأمة من البحث عن التكنولوجيا
amsg_leader_dies;وفاة أحد القادة العسكريين في البلاد
amsg_land_combat_starts_on_nation;تعرض أحد جيوش البلاد للهجوم
amsg_naval_combat_starts_on_nation;تعرضت إحدى القوات البحرية في البلاد للهجوم
amsg_land_combat_starts_by_nation;أحد جيوش الأمة يقوم بالهجوم
amsg_naval_combat_starts_by_nation;إحدى القوات البحرية في البلاد تقوم بهجوم
amsg_movement_finishes;إحدى وحدات الأمة تنتهي من التحرك
amsg_decision;الأمة تتخذ القرار
amsg_lose_great_power;تفقد الأمة مكانتها كقوة عظمى
amsg_become_great_power;تكتسب الأمة مكانة القوة العظمى
amsg_war_subsidies_start_by_nation;تبدأ الأمة في تقديم إعانات الحرب
amsg_war_subsidies_start_on_nation;تبدأ الأمة في الحصول على إعانات الحرب
amsg_war_subsidies_end_by_nation;تتوقف الأمة عن تقديم إعانات الحرب
amsg_war_subsidies_end_on_nation;توقف تزويد الأمة بإعانات الحرب
amsg_reparations_start_by_nation;تبدأ الأمة بدفع التعويضات
amsg_reparations_start_on_nation;تبدأ الأمة في دفع التعويضات
amsg_reparations_end_by_nation;توقف الأمة عن دفع التعويضات
amsg_reparations_end_on_nation;توقف دفع التعويضات للأمة
amsg_mil_access_start_by_nation;تبدأ الأمة في منح حق الوصول العسكري
amsg_mil_access_start_on_nation;تبدأ الأمة في الحصول على الوصول العسكري
amsg_mil_access_end_by_nation;توقفت الأمة عن منح حق الوصول العسكري
amsg_mil_access_end_on_nation;تتوقف الأمة عن الحصول على الوصول العسكري
amsg_mil_access_declined_by_nation;تم رفض طلب الوصول العسكري للدولة
amsg_mil_access_declined_on_nation;الأمة ترفض طلب الوصول العسكري
amsg_alliance_starts;الأمة تدخل في تحالف جديد
amsg_alliance_ends;الأمة تنهي التحالف
amsg_alliance_declined_by_nation;الأمة ترفض عرض التحالف
amsg_alliance_declined_on_nation;تم رفض عرض تحالف الأمة
amsg_ally_called_accepted_by_nation;الأمة تكرم الدعوة إلى حمل السلاح
amsg_ally_called_declined_by_nation;الأمة ترفض دعوة لحمل السلاح
amsg_discredit_by_nation;أمة تشوه سمعة أمة أخرى
amsg_ban_by_nation;الأمة تحظر سفارة دولة أخرى
amsg_expell_by_nation;أمة تطرد مستشاري أمة أخرى
amsg_discredit_on_nation;الأمة فقدت مصداقيتها
amsg_ban_on_nation;سفارة الدولة محظورة
amsg_expell_on_nation;يتم طرد مستشاري الأمة
amsg_increase_opinion;وتزيد الأمة رأي أمة أخرى فيهم
amsg_decrease_opinion_by_nation;الأمة تتسبب في انخفاض رأي أمة أخرى
amsg_decrease_opinion_on_nation;رأي هذه الأمة هو سبب في الانخفاض
amsg_rem_sphere_by_nation;الأمة تزيل أمة أخرى من دائرة النفوذ
amsg_rem_sphere_on_nation;إن الأمة لديها أمة أخرى أخرجت من دائرة نفوذها
amsg_removed_from_sphere;يتم إخراج الأمة من دائرة النفوذ
amsg_add_sphere;تضيف الأمة أمة أخرى إلى مجال نفوذها
amsg_added_to_sphere;تضاف الأمة إلى مجال النفوذ
amsg_increase_relation_by_nation;الأمة تزيد علاقة أمة أخرى بها
amsg_increase_relation_on_nation;الأمة زادت علاقتها بغيرها
amsg_decrease_relation_by_nation;الأمة تقلل من علاقة أمة أخرى بها
amsg_decrease_relation_on_nation;الأمة لديها علاقتها مع شخص آخر انخفضت
amsg_join_war_by_nation;الأمة تنضم إلى حرب قائمة
amsg_join_war_on_nation;أمة جديدة تنضم إلى الحرب القائمة ضد هذه الأمة
amsg_gw_unlocked;الحروب الكبرى مقفلة
amsg_war_becomes_great;الحرب التي تشمل هذه الأمة تصبح عظيمة
amsg_cb_detected_on_nation;تم اكتشاف مبرر CB الذي يستهدف هذه الأمة
amsg_cb_detected_by_nation;تم اكتشاف هذه الأمة وهي تبرر CB
amsg_crisis_join_offer_accepted_by_nation;الأمة تقبل عرضا للانضمام إلى الأزمة
amsg_crisis_join_offer_declined_by_nation;الأمة ترفض عرضا للانضمام إلى الأزمة
amsg_crisis_join_offer_accepted_from_nation;تم قبول عرض الانضمام إلى أزمة من هذه الأمة
amsg_crisis_join_offer_declined_from_nation;تم رفض عرض الانضمام إلى أزمة هذه الأمة
amsg_crisis_resolution_accepted;يتم قبول حل الأزمة
amsg_crisis_becomes_war;الأزمة تتحول إلى حرب
amsg_crisis_resolution_declined_from_nation;تم رفض عرض حل الأزمة المقدم من هذه الأمة
amsg_crisis_starts;تبدأ أزمة جديدة
amsg_crisis_attacker_backer;تصبح القوة العظمى هي المهاجم الأساسي في الأزمات
amsg_crisis_defender_backer;تصبح القوة العظمى المدافع الأساسي في الأزمات
amsg_crisis_fizzle;تفشل الأزمة في جذب اهتمام القوى العظمى
amsg_war_join_by;الأمة تنضم إلى الحرب
amsg_war_join_on;أمة تنضم إلى حرب ضد هذه الأمة
amsg_cb_fab_finished;انتهت الأمة من تصنيع CB
amsg_cb_fab_cancelled;تم إلغاء تصنيع CB من قبل الأمة
amsg_crisis_voluntary_join;الأمة تنضم إلى الأزمة دون عرض
amsg_army_built;قامت الأمة ببناء جيش
amsg_navy_built;قامت الأمة ببناء البحرية
amsg_bankruptcy;الأمة تفلس
amsg_entered_automatic_alliance;الأمة تتحالف تلقائيا مع دولة أخرى
amsg_chat_message;أرسلت الأمة رسالة في الدردشة
