message_settings_options;Notificaciones
msg_ban_by_nation;
msg_expell_by_nation;
msg_discredit_on_nation;
msg_ban_on_nation;
msg_expell_on_nation;
msg_increase_opinion;
msg_decrease_opinion_by_nation;
msg_decrease_opinion_on_nation;
msg_rem_sphere_by_nation;
msg_rem_sphere_on_nation;
msg_removed_from_sphere;
msg_add_sphere;
msg_added_to_sphere;
msg_increase_relation_by_nation;
msg_increase_relation_on_nation;
msg_decrease_relation_by_nation;
msg_decrease_relation_on_nation;
msg_join_war_by_nation;
msg_join_war_on_nation;
msg_gw_unlocked;
msg_war_becomes_great;
msg_cb_detected_on_nation;
msg_cb_detected_by_nation;
msg_crisis_join_offer_accepted_by_nation;
msg_crisis_join_offer_declined_by_nation;
msg_crisis_join_offer_accepted_from_nation;
msg_crisis_join_offer_declined_from_nation;
msg_crisis_resolution_accepted;
msg_crisis_becomes_war;
msg_crisis_resolution_declined_from_nation;
msg_crisis_starts;
msg_crisis_attacker_backer;
msg_crisis_defender_backer;
msg_crisis_fizzle;
msg_war_join_by;
msg_war_join_on;
msg_cb_fab_finished;
msg_cb_fab_cancelled;
msg_crisis_voluntary_join;
msg_bankruptcy_title;
amsg_bankruptcy;
msg_bankruptcy_1;
message_name_text;Mensaje
msg_for_us;Para nosotros
msg_for_interesting;Para interesantes
msg_for_other;Para otros
msg_handling_ignore;Ignorar
msg_handling_log;Tabular
msg_handling_sound;
msg_handling_popup;
msg_handling_pause;
amsg_revolt;
amsg_war_on_nation;
amsg_war_by_nation;
amsg_wargoal_added;
amsg_siegeover_by_nation;
amsg_siegeover_on_nation;
amsg_colony_finished;
amsg_reform_gained;
amsg_reform_lost;
amsg_ruling_party_change;
amsg_upperhouse;
amsg_electionstart;
amsg_electiondone;
amsg_breakcountry;
amsg_peace_accepted_from_nation;
amsg_peace_rejected_from_nation;
amsg_peace_accepted_by_nation;
amsg_peace_rejected_by_nation;
amsg_mobilization_start;
amsg_mobilization_end;
amsg_factory_complete;
amsg_rr_complete;
amsg_fort_complete;
amsg_naval_base_complete;
amsg_province_event;
amsg_national_event;
amsg_major_event;
amsg_invention;
amsg_tech;
amsg_leader_dies;
amsg_land_combat_starts_on_nation;
amsg_naval_combat_starts_on_nation;
amsg_land_combat_starts_by_nation;
amsg_naval_combat_starts_by_nation;
amsg_movement_finishes;
amsg_decision;
amsg_lose_great_power;
amsg_become_great_power;
amsg_war_subsidies_start_by_nation;
amsg_war_subsidies_start_on_nation;
amsg_war_subsidies_end_by_nation;
amsg_war_subsidies_end_on_nation;
amsg_reparations_start_by_nation;
amsg_reparations_start_on_nation;
amsg_reparations_end_by_nation;
amsg_reparations_end_on_nation;
amsg_mil_access_start_by_nation;
amsg_mil_access_start_on_nation;
amsg_mil_access_end_by_nation;
amsg_mil_access_end_on_nation;
amsg_mil_access_declined_by_nation;
amsg_mil_access_declined_on_nation;
amsg_alliance_starts;
amsg_alliance_ends;
amsg_alliance_declined_by_nation;
amsg_alliance_declined_on_nation;
amsg_ally_called_accepted_by_nation;
amsg_ally_called_declined_by_nation;
amsg_discredit_by_nation;
amsg_ban_by_nation;
amsg_expell_by_nation;
amsg_discredit_on_nation;
amsg_ban_on_nation;
amsg_expell_on_nation;
amsg_increase_opinion;
amsg_decrease_opinion_by_nation;
amsg_decrease_opinion_on_nation;
amsg_rem_sphere_by_nation;
amsg_rem_sphere_on_nation;
amsg_removed_from_sphere;
amsg_add_sphere;
amsg_added_to_sphere;
amsg_increase_relation_by_nation;
amsg_increase_relation_on_nation;
amsg_decrease_relation_by_nation;
amsg_decrease_relation_on_nation;
amsg_join_war_by_nation;
amsg_join_war_on_nation;
amsg_gw_unlocked;
amsg_war_becomes_great;
amsg_cb_detected_on_nation;
amsg_cb_detected_by_nation;
amsg_crisis_join_offer_accepted_by_nation;
amsg_crisis_join_offer_declined_by_nation;
amsg_crisis_join_offer_accepted_from_nation;
amsg_crisis_join_offer_declined_from_nation;
amsg_crisis_resolution_accepted;
amsg_crisis_becomes_war;
amsg_crisis_resolution_declined_from_nation;
amsg_crisis_starts;
amsg_crisis_attacker_backer;
amsg_crisis_defender_backer;
amsg_crisis_fizzle;
amsg_war_join_by;
amsg_war_join_on;
amsg_cb_fab_finished;
amsg_cb_fab_cancelled;
amsg_crisis_voluntary_join;
amsg_army_built;
amsg_navy_built;
amsg_bankruptcy;
amsg_entered_automatic_alliance;
amsg_chat_message;
