REB;Rebels
D35_ADJ;Confederate
D36;The $region$ Federation
D36_ADJ;Federation
D37;The Pious Union of $region$
D37_ADJ;Pious
D38;? Land
D38_ADJ;Lander
D39;The Most Serene Republic of $region$
D39_ADJ;Serene
D40;The Secret Kingdom of $region$
D40_ADJ;Secret
D41;The Commune of $region$
D41_ADJ;Communist
D42;The $region$ Commune
D42_ADJ;Communist
D43;The Worker's Union of $region$
D43_ADJ;Worker
D44;The Landgrave of $region$
D44_ADJ;Landgravine
D45;The Nation of $region$
D45_ADJ;Nationite
D46;Holy $region$
D46_ADJ;Zealous
D47;The $region$ Dominion
D47_ADJ;Dominator
D48;The People's State of $region$
D48_ADJ;Popular
D49;The High Kingdom of $region$
D49_ADJ;Highest
D50;The Lesser Duchy of $region$
D50_ADJ;Duchy
