support_for_blank;$text$ támogatása
enable_invention;Adj találmányt ?Y$text$?!
change_ruling_party;A kormánypárt módosítása $text$-ra
remove_prov_mod;Távolítsa el a $text$ tartománymódosítót
remove_nat_mod;Távolítsa el a $text$ nemzeti módosítót
make_alliance;Köss szövetséget a $text$-val
becomes_independent;$text$ független nemzetté válik
release_as_independent;Engedje el a $text$-t független nemzetként
set_global_flag;$text$ globális beállítása
remove_global_flag;Globálisan szüntesse meg a $text$ beállítását
change_national_value;Módosítsa a nemzeti értéket $text$-ra
become_civ;Civilizált nemzetté válik
become_unciv;Civilizálatlan nemzetté válik
free_slave_state;Szabad állammá válik
free_slave_pop;Megszabadul a rabszolgaságtól
hold_election;Tartsa meg a választást
issue_change;A $issue$ a következőre változik: $text$
add_relative_income;A pénztárhoz hozzáadott utolsó bevétel szorzata
make_neutral;Minden szövetség véget ért, és az összes vazallus elengedett
pop_size;Pop méret
move_pop_to;A pop áthelyezése ide: $text$
change_pop_type;Módosítsa a pop típusát $text$-ra
years_of_research;Több éves kutatás
remove_mil_reforms;Távolítsa el a $value$ katonai reformokat
remove_econ_reforms;Távolítsa el a $value$ gazdasági reformokat
add_crime;Krimi $text$ hozzáadása
remove_crime;Távolítsa el az aktív bűnözést
perform_nationalization;Végezze el az államosítást
build_factory_in_capital;Build $text$ nagybetűs állapotban
enable_great_wars;A nagy háborúk engedélyezve vannak
enable_world_wars;Világháborúk engedélyezettek
disable_great_wars;Nagy háborúk már nem lehetségesek
disable_world_wars;Világháború már nem lehetséges
assimilate_pop;Módosítsa a kultúrát a következőre: $text$
assimilate_province;Módosítsa az összes előugró szöveg kultúráját $text$ értékre
owner_primary_culture;tulajdonosának elsődleges kultúrája
literacy;műveltség
add_crisis_interest;Érdekelni kezd a jelenlegi válság
crisis_temperature_plain;válságos hőmérséklet
militancy;harciasság
consciousness;öntudat
rgo_size;RGO méret
trigger_every_revolt;Valamennyi lázadó frakció lázadását váltja ki
call_allies;Hívjon szövetségeseket jelenlegi háborúikba
truce_with;Fegyverszünet $text$-al ?Y$y$-ig?!
diplomatic_influence_with;diplomáciai befolyás $szöveggel$
relations_with;kapcsolat a $text$-szal
add_modifier_until;$text$ a következő időpontig: $date$
add_modifier;$text$ lesz
add_cb_months;Kap egy $name$ casus belli-t $text$ ellenében $date$-ig
add_cb_no_months;Kap egy $name$ casus belli-t a $text$ ellenében
add_cb_reversed_months;$text$ $name$ casus belli-t kap a $date$-ig hatályos nemzet ellen
add_cb_reversed_no_months;$text$ $name$ casus belli-t kap a nemzet ellen
remove_cb_reversed;Elveszít minden $name$ casus bellist a $text$ ellen
remove_cb;$text$ elveszít minden $name$ casus bellist a nemzettel szemben
set_national_variable_to;Állítsa be a $text$ nemzeti változót $value$ értékre
event_fires;A(z) $text$ esemény aktiválódik
event_fires_in_days;A $text$ esemény $value$ napon belül aktiválódik
railroad_in_capital;?G+1?! vasúti szint a fővárosban
railroad_in_capital_state;?G+1?! vasúti szint fővárosi államban
fort_in_capital;?G+1?! erődszint a fővárosban
fort_in_capital_state;?G+1?! erődszint fővárosi államban
fort_in_capital;?G+1?! erődszint a fővárosban
fort_in_capital_state;?G+1?! erődszint fővárosi államban
university_in_capital;?G+1?! egyetemi szintű fővárosban
university_in_capital_state;?G+1?! egyetemi szintű fővárosi állam
bank_in_capital;?G+1?! banki tőkeszint
bank_in_capital_state;?G+1?! banki szint tőkeállapotban
railroad_level;Vasúti szint
fort_level;Erőd Szint
naval_base_level;haditengerészeti bázis szintje
university_base_level;haditengerészeti bázis szintje
bank_base_level;haditengerészeti bázis szintje
apply;Alkalmaz
ok;rendben
close;Bezárás
delete;Töröl
new;Új
reset;Visszaállítás
every;Minden
ready;Kész
any;Bármi
none;Egyik sem
random;Egy véletlen
neighboring_province;szomszédos tartomány
where;ahol:
neighboring_nation;szomszédos nemzet
nation;nemzet
continent;kontinens
same_continent;ugyanazon a kontinensen, mint
empty_neighboring_province;Üres szomszéd tartomány
poor_strata_pop;szegény réteg pop
middle_strata_pop;középréteg pop
rich_strata_pop;gazdag réteg pop
pop;Pop
owned_province;tartományhoz tartozó
singular_nation;azt a nemzetet
singular_state;azt az állapotot
singular_province;azt a tartományt
singular_pop;hogy pop
one_of_the_following;az alábbi hatások egyike:
this_nation;ezt a nemzetet
this_state;ezt az állapotot
this_province;ezt a tartományt
this_pop;ez a pop
from_nation;nemzettől
from_state;államtól
from_province;tartományból
from_pop;popból
province_in;tartományban
this_nation_culture;Ennek a nemzetnek az elsődleges kultúrája
from_nation_culture;A nemzettől származó elsődleges kultúra
cultural_union_nation;A kulturális unió nemzet elsődleges kultúrája miatt
core_of;magja
state_of;állapota
chance_of;esélye:
owner_of;tulajdonosa
controller_of;vezérlője
location_of_pop;a pop helye
nation_of_pop;ezt a popot tartalmazó nemzet
capital_of;fővárosa
containing_state;állapotot tartalmazó
adjacent_sea;szomszédos tengeri övezet
cultural_union_of;kulturális uniója
overlord_of;felettese
sphere_leader_of;szféra vezetője
crisis_state;válságos állapot
reb_independence_nation;lázadó független nemzet
flashpoint_nation;lobbanáspontú nemzet
rebel;Lázadó
flashpoint_tension_label;Lobbanásponti feszültség
for_text;$text$ért
where_ideology_is;Ahol az ideológiája $text$
where_culture_is;Ahol a kultúrája $text$
where_religion_is;Ahol a vallása $text$
of_type;$text$ típusú
no_nation;nincs nemzet
declare_war_on;Üzenj háborút $text$-nak
attacker_wg_label;Támadó háborús cél: $text$
defender_wg_label;Defender háborús cél: $text$
attacker_no_allies;A támadó szövetségeseit nem hívják be
attacker_yes_allies;A támadó szövetségeseit be fogják hívni
war_start_date_desc;háború kezdődött ?Y$date$?!
cmp_ge;az legalább
cmp_le;legfeljebb az
cmp_gt;nagyobb, mint
cmp_lt;kevesebb mint
cmp_eq;van
cmp_ne;nem
cmp_has_eq;van
cmp_has_ne;nem rendelkezik
cmp_has_lt;kevesebb van mint
cmp_has_gt;több mint
cmp_has_ge;legalább van
cmp_has_le;legfeljebb rendelkezik
all_of_the_following;Az alábbiak mindegyike:
any_of_the_following;Az alábbiak bármelyike:
nation_at_war_against;ellen harcoló nemzet
core_in;mag be
colonial_pop;gyarmati tartományban található
substate_of;alállapota
nation_in_sphere;nemzet a szférában
year;év
month;hónap
a_port;egy kikötő
national_rank;országos rangot
att_technology;technológia
strata;rétegek
rich;gazdag
poor;szegény
middle;középső
minimum_state_life_raing;minimális élettartam az államban
an_empy_adj_prov;egy üres szomszédos tartomány
belongs_to_same_state;ugyanabba az állapotba tartozik, mint a $text$
does_not_belong_to_same_state;nem tartozik ugyanabba az állapotba, mint a $text$
contains_blank;tartalmaz $text$
does_not_contain_blank;nem tartalmaz $text$
times_target_needs_spending;a kívánt alkalommal költést igényel
unemployment;munkanélküliség
slavery;rabszolgaság
allowed;megengedett
a_slave_state;rabszolga állam
a_slave;rabszolga
an_independent_nation;független nemzet
non_prim_culture_pops;nem elsődleges kultúrájú popok
government;kormány
capital;főváros
technology_school;technológiai iskola
primary_culture;elsődleges kultúra
primary_culture_pop;annak a nemzetnek az elsődleges kultúrája, amelyben a pop található
an_accepted_culture;elfogadott kultúra
culture;Kultúra
dominant_culture;uralkodó kultúra
a_primary_or_accepted;elsődleges vagy elfogadott kultúra
rebel_culture;lázadó kultúra
this_nation_prim_culture;ennek a nemzetnek az elsődleges vagy elfogadott kultúrája
from_nation_prim_culture;a nemzet elsődleges kultúrája vagy elfogadott kultúrája
culture_group;kulturális csoport
dominant_culture_group;meghatározó kulturális csoport
primary_culture_group;alapkultúra csoport
a_core_ob;tulajdonában lévő mag
rebel_culture_group;lázadó kulturális csoport
this_nation_culture_group;ugyanaz, mint ennek a nemzetnek a kultúrcsoportja
from_nation_culture_group;ugyanaz, mint a nemzettől származó kultúracsoport
rebel_religion;a lázadó vallás
this_nation_religion;ennek a nemzetnek a nemzeti vallása
from_nation_religion;a nemzettől való nemzeti vallás
province_terrain;tartományi terep
rgo_production;RGO gyártás
a_secondary_power;gyarmati hatalom
owner;tulajdonos
an_active_rebel;aktív lázadó frakció
a_member_of;tagja
unclaimed_cores;nem igényelt magok
a_cultural_union;kulturális unió
union_for_pop;a pop kulturális uniója
union_for_nation;a kulturális unió a nemzetért
the_rebel_ind_nation;a lázadó független nemzet
capitalists_can_build;a kapitalisták gyárakat építhetnek
capitalists_cannot_build;a kapitalisták nem építhetnek gyárakat
at_war;háborúban
total_blockade;teljes blokád
owns;birtokolja
does_not_own;nem birtokolja
controls;vezérlők
does_not_control;nem irányítja
a_core_in;egy mag benne
a_core_of;egy magja
a_core_of_owner;tulajdonosának magja
located_in_a_core_of;magjában található
percentage_reb_control;a lázadók által ellenőrzött tartományok százaléka
num_of_reb_control;a lázadók által ellenőrzött tartományok száma
num_owned_provinces;tulajdonú tartományok száma
num_provinces_owned_by;által birtokolt tartományok száma
num_of_ports;portok száma
num_of_allies;szövetségesek száma
num_of_vassals;vazallusok száma
owned_by;tulajdonában lévő
exists;létezik
does_not_exist;nem létezik
att_set;készlet
in;ban ben
located_in;található
the_owner_of_region;minden tartomány tulajdonosa
a_casus_belli_against;egy casus belli ellen
military_access_with;katonai hozzáférést
prestige_of;a presztízse
prestige;Presztízs
a_railroad;egy vasút
a_fort;egy erődöt
a_naval_base;haditengerészeti bázis
a_factory;egy gyár
empty;gazdátlan
blockaded;blokád alá
national_modifier;nemzeti módosító
provincial_modifier;tartományi módosító
part_of;része
a_border_with;egy határt
units_in_province;egységek a tartományban
units_in_the_province;egységek a tartományban
units_in_the_state;egységek az államban
at_war_against;elleni háborúban
num_of_divisions;számos hadosztály
an_ongoing_battle;egy folyamatban lévő csata
an_assigned_leader;kijelölt vezető
treasury;kincstár
o_treasury;tulajdonosi kincstár
o_of_prov;a tartomány tulajdonosa
percentage_unowned_cores;a nem birtokolt magok százaléka
a_vassal;egy vazallus
ruling_party_ideology;kormánypárti ideológia
ruling_party;kormánypárt
enabled;engedélyezve van
political_reform_desire;politikai reformvágy
social_reform_desire;társadalmi reform vágy
num_of_ships;hajók száma
crime_percent;a tartományok aránya a bűnözéssel
national_religion;a nemzeti_vallás
member_of_nat_religion;a nemzeti vallás tagja
dominant_religion;az uralkodó vallás
same_rel_as_this;ugyanaz a vallás, mint ez a nemzet
this_pop_culture;ennek a popnak a kultúrája
this_nation_primary_culture;ennek a nemzetnek az elsődleges kultúrája
this_nation_accepted_culture;ennek a nemzetnek elfogadott kultúrája
coastal;parti
in_sphere_of;szférájában
a_producer_of;producere
next_reform;következő reform
always;mindig
never;soha
percentage_recruited;a toborzott popok százaléka
in_cultural_core_prov;egy tartományban, amelynek magja ugyanaz a kultúra
nationalism;nacionalizmus
overseas;tengerentúli
overseas_pop;tengerentúli tartományban található
controlled_by_rebel;lázadók irányítják
controlled_by;által irányított
state_capital;az állam fővárosa
loc_state_capital;az állam fővárosában található
a_truce_with;fegyverszünetet
att_population;népesség
size;méret
pops_of_type;típusú popok
of_type_plain;típusú
ai_controlled;AI vezérelt
a_leader_named;nevű vezető
a_possible_vassal;egy lehetséges vazallus
a_vassal_of;vazallusa
a_substate_of;egy alállapota
allied_to;szövetségese
has_recently_lost_war;nemrég elvesztett egy háborút
has_not_recently_lost_war;mostanában nem vesztett háborút
mobilized;mozgósított
mobilization_size;mobilizációs méret
admin_spending;adminisztrációs kiadások
greater_than_edu_spending;nagyobb, mint az oktatási kiadások
support_for_rp;a kormánypárt támogatása
colonial;gyarmati
in_default_to;alapértelmezés szerint
in_bnkrpt;csődbe jutott
num_of_ports_connected;a tőkéhez kapcsolódó portok száma
holding_an_election;választást tartani
set_globally;globálisan beállítva
national_value;nemzeti érték
industrial_score;ipari pontszám
industrial_score_of;ipari pontszáma
military_score;katonai pontszám
military_score_of;a katonai pontszámot
civilized;civilizált
percent_occupied;a megszállt tartományok százaléka
rich_tax;gazdag adó
middle_tax;középadó
poor_tax;szegény adó
soc_spending;szociális kiadások
edu_spending;oktatási kiadások
mil_spending;katonai kiadások
colonies;kolóniák
dominant_ideology;uralkodó ideológia
dominant_issue;domináns kérdés
poor_militancy;szegény réteg harciassága
middle_militancy;középrétegek harciassága
rich_militancy;gazdag réteg harciassága
gt_poor_tax;nagyobb, mint a szegény adó
cultural_union;kulturális unió
same_cultural_union;ugyanaz, mint a kulturális unió
non_accepted_pops;nem elfogadott popok
crime;bűn
num_substates;alállapotok száma
num_vassals_no_substates;az állam alatti vazallusok száma
num_regiments;ezredek száma
owner_num_regiments;tulajdonos ezredszáma
num_regiments_of;a hozzá tartozó ezredek száma
times_num_regiments_of;a hozzá tartozó ezredek számának $x$-szorosa
fabricating_on;casus belli gyártása
cb_discovered;casus belli gyártmányt fedeztek fel
cb_not_discovered;casus belli gyártmányát nem fedezték fel
cb_progress;casus belli gyártási folyamat
civ_progress;civilizációs fejlődés
constructing_a;gyártás a
casus_belli;casus belli
nation_in_scope;hatálya alá tartozó nemzet
a_substate;egy alállapot
gw_enabled;nagy háborúk engedélyezettek
gw_not_enabled;a nagy háborúk nem engedélyezettek
ww_enabled;világháború engedélyezve van
ww_not_enabled;világháborút nem engedélyezik
can_perform_nationalization;államosítható
cannot_perform_nationalization;nem lehet államosítani
in_sphere;befolyási övezetben
num_states;államok száma
a_releasable_vassal;elengedhető vazallus
recent_immigration;közelmúltbeli bevándorlás
num_control_days;napok száma jelenlegi ellenőrzés alatt
disarmed;leszerelve
social_mov_support;társadalmi mozgalom támogatása
political_mov_support;a politikai mozgalom támogatása
a_member_of_social_mov;társadalmi mozgalom tagja
a_member_of_political_mov;egy politikai mozgalom tagja
cultural_sphere_members;a szféra tagjai ugyanabban a kulturális csoportban
pops;felpattan
this_pop_religion;ennek a popnak a vallása
pops_with;felpattan vele
life_needs_satisfaction;az élet kielégítése
everyday_needs_satisfaction;mindennapi szükségletek kielégítése
luxury_needs_satisfaction;luxus-szükségletek kielégítése
present_in_state;állapotban jelen van
flashpoint;Lobbanáspont
plurality_pop;a nemzet pluralitása, amelyben a pop él
an_ongoing_crisis;egy folyamatban lévő válság
there;Ott
current_crisis;jelenlegi válság
liberation_crisis;felszabadulási válság
claim_crisis;követeléskrízis
involved_in_crisis;válságba keveredett
poor_life_needs_satisfaction;szegény rétegek élete kielégítésére van szüksége
poor_everyday_needs_satisfaction;szegény réteg mindennapi kielégítést igényel
poor_luxury_needs_satisfaction;szegény réteg luxus-kielégítésre szorul
middle_life_needs_satisfaction;középrétegek élete-kielégülést igényel
middle_everyday_needs_satisfaction;középső réteg mindennapi-kielégítési igénye
middle_luxury_needs_satisfaction;középrétegű luxus-kielégítést igényel
rich_life_needs_satisfaction;gazdag rétegek életének kielégítésére van szüksége
rich_everyday_needs_satisfaction;gazdag rétegek mindennapi kielégítését igénylik
rich_luxury_needs_satisfaction;gazdag rétegek luxus-szükségletei kielégítése
dip_influence_over;diplomáciai befolyás felett
relationship_with;kapcsolatban
this_pop_type;ez a pop típus
nat_variable;nemzeti változó
support_in_uh;támogatás a felsőházban
support_in;hűség benne
scope_province;hatálya alá tartozó tartomány
able_build_rr;képes vasutat építeni ebben a tartományban
able_build_fort;képes erődöt építeni ebben a tartományban
able_build_naval_base;képes haditengerészeti bázist építeni ebben a tartományban
work;munka
available_for;elérhető:
support;támogatás
percentage;százalék
stockpile;raktárkészlet
this_nat_religion;ennek az országnak a nemzeti vallása
from_nat_religion;az ország nemzeti vallása
event_show_requirements;Az eseménnyel szemben támasztott követelmények
event_only_other_requirements;Ezt az eseményt csak más események váltják ki
event_show_odds;Az esemény esélyei
value_mod_product;A $val$ érték a következő szorzata:
value_mod_sum;A $val$ érték a következők összege:
value_mod_sum_factor;A $val$ érték a következők összegének $x$-szorosa:
admin_explain_1;$val$ adminisztratív hatékonyság módosító
admin_explain_2;A nem gyarmati bürokraták arányára vonatkoztatva: $val$
admin_explain_3;A szükséges százalékhoz: $val$ (alap $x$ + $y$ reformokból)
factory_condition_1;A nemzet civilizált
factory_condition_2;Ez nem gyarmati állam
factory_condition_3;A kormánypárt engedélyezi a gyárak építését
factory_condition_4;Az államban kevesebb, mint $val$ gyár található
cant_subsidize_explanation;A kormánypárt nem engedi, hogy gyárakat támogassunk
percent_of_pop_strata;rétegeik lakosságának $val$
cant_prioritize_explanation;A kormánypárt nem engedi, hogy módosítsuk a gyári prioritást
factory_upgrade_condition_1;A nemzet civilizált
factory_upgrade_condition_2;Ez nem gyarmati állam
factory_upgrade_condition_3;A gyár felépítéséhez szükséges technológiai követelmények teljesülnek
factory_upgrade_condition_4;A te nemzeted nagyhatalom, míg a célnemzet nem az
factory_upgrade_condition_5;A befektetési cél civilizált
factory_upgrade_condition_6;A befektetési célország kormánypártja engedélyezi a külföldi befektetéseket
factory_upgrade_condition_7;A befektetési célpont nem áll háborúban Önnel
factory_upgrade_condition_8;A kormánypárt engedélyezi a gyárak korszerűsítését
factory_upgrade_condition_9;A gyárat még nem korszerűsítik
factory_upgrade_condition_10;A gyár nincs max szinten
factory_delete_header;Gyár törlése
factory_delete_not_allowed;A kormánypárt nem engedi, hogy gyárakat töröljünk
factory_stats_1;Ez a gyár jelenleg $val$ kapacitással működik
factory_stats_2;Ez a gyár $val$ kapacitást céloz meg
factory_stats_3;Az előző napon $val$ $x$ egységeket termelt
factory_stats_4;Az előző napon $val$ nyereséget ért el
factory_stats_5;Bemenetek elérhetősége:
factory_stats_6;Hatékonysági bemenetek elérhetősége:
factory_stats_wage;Bér:
factory_stats_expenses;Összes kiadás
factory_stats_desired_income;A kívánt nyers haszon
speed;$val$ km/h
shift_to_hold_open;Tartsa lenyomva a ?YSHIFT-et?! hogy ez az ablak nyitva maradjon, ?YSHIFT-Jobb kattintás?! ezt minden állapotban megépíteni (de nem bővíteni)
factory_upgrade_shortcuts;?YSHIFT-Bal kattintás?W frissítés ?Gall?!S gyárak állapotában\n?YSHIFT-Jobb gombbal?W frissítés ?Gall nyereséges?W gyár állapotában\n?YCTRL-Bal kattintás?W frissítés ? Gall?W gyár egy nemzetben\n?YCTRL-Jobb kattintás?W frissítés ?Gall nyereséges?W gyár egy nemzetben\n?YCTRL-SHIFT-Bal kattintás?W frissítés ?Gyereséges teljes foglalkoztatottsággal?W gyár egy állam\n?YCTRL-SHIFT-Jobb kattintás?W frissítés ?Epenyereséges teljes foglalkoztatottsággal?W gyár egy államban
blank_org_gain;szervezeti nyereség
plurality_change_reason;(átlagos tudatosság alapján)
revanchism_reason;A nem birtokolt magok száma alapján (az elsődleges kultúrával rendelkező magok többnek számítanak)
allow_reform_cond;Követelmények:
reform_effect_if_desc;Ha aktiválva van, ha
reform_effect_then_desc;Akkor:
reform_effect_desc;Amikor aktiválva van:
special_rules;Különleges szabályok:
voting_rules;Szavazási szabályok:
hide_decision;A döntésről szóló értesítés elrejtése
sup_point_gain;Havi elnyomási pont növekedés: ?G+$val$
sup_point_explain;Feladó: alapkamat $x$ x $y$ bürokratáktól x $val$ a módosítónktól az elnyomási pont nyereségig
pop_size_1;A következő hónapban ennek a popnak a mérete várhatóan a következőképpen fog változni:
pop_size_2;A növekedéstől:
pop_size_3;Előléptetésből és lefokozásból:
pop_size_4;Az asszimilációból:
pop_size_5;Belső migrációból:
pop_size_6;A gyarmati migrációból:
pop_size_7;Az emigrációból:
pop_size_8;Az átalakításból:
pop_l_migration_header;?YElvándorlás: $val$
pop_l_c_migration_header;?YGarmati elvándorlás: $val$
pop_l_emigration_header;?YKivándorlás el: $val$
pop_mig_1;Nincs belső migráció a gyarmati tartományokból
pop_mig_2;A rabszolgák nem vándorolnak belsőleg
pop_mig_3;A belső vándorlók száma megegyezik a pop méretének és a bevándorlási skála ($x$) szorzatának a tartomány bevándorlási nyomás módosítójának ($y$) és a migrációs tényező ($val$) szorzatával.
pop_mig_4;?YMigrációs tényező:
pop_cmig_1;A nemzetnek nincsenek gyarmatai
pop_cmig_2;A gyarmati tartományokból nincs gyarmati migráció
pop_cmig_3;A rabszolgák nem vándorolnak gyarmati úton
pop_cmig_4;A gazdag rétegű popok nem vándorolnak gyarmati úton
pop_cmig_5;A gyári munkások nem vándorolnak gyarmatosan
pop_cmig_6;A gyarmati úton vándorló emberek száma megegyezik a pop méretének szorzata a bevándorlási skála ($x$) szorzata a tartomány bevándorlási módosítójának ($y$) és a tartomány gyarmati migráció módosítójának ($num$) szorzatával. a gyarmati migrációs tényező ($val$)
pop_cmig_7;Gyarmati migrációs tényező:
pop_emg_1;A popok csak a civilizált nemzetekből tudnak kivándorolni
pop_emg_2;A gyarmati tartományokból nincs kivándorlás
pop_emg_3;A rabszolgák nem vándorolnak ki
pop_emg_4;Popok egy ?Tengerentúl?! a kultúra nem vándorol ki
pop_emg_5;A kivándorlók száma megegyezik a bevándorlási skála ($x$) és a tartomány bevándorlási mutatójának ($y$, négyzetével, ha nagyobb, mint 100%) szorzata a kivándorlási tényező ($) szorzatával. val$)
pop_emg_6;?YKivándorlási tényező:
pop_prom_1;?YPromóciós tényező:
pop_prom_2;Országos fókuszból: ?G$val$
pop_prom_3;0 (a nemzeti szempont miatt)
pop_prom_4;?YLefojtási tényező:
pop_prom_5;A pop jelenleg népszerűsít, mert a promóciós faktor nagyobb, mint a lefokozási faktor
pop_prom_6;A pop jelenleg lefokozódik, mert a lefokozási tényező nagyobb, mint az előléptetési faktor
pop_prom_7;Mivel mindkét tényező negatív, a pop jelenleg nem népszerűsít és nem is csökkent
pop_prom_8;A promócióban részt vevő emberek száma megegyezik a pop méretének és a promóciós skála ($x$) és az előléptetési tényező ($val$) szorzatának az adminisztratív hatékonyságának ($y$) szorzatával.
pop_prom_9;A lefokozandó emberek száma megegyezik a pop méretének és az előléptetési skála ($x$) és a lefokozási tényező ($val$) szorzatával.
pop_con_1;Havi tudatváltozás:
pop_con_2;Az összege:
pop_con_3;A luxusigények kielégítéséből: ?G+$x$
pop_con_4;A helyi lelkészek százalékából ($val$): ?R$x$
pop_con_5;A pluralitás és a műveltség tényezője: ?G+$x$?!, ami a következő szorzata:
pop_con_6;Többség: $x$
pop_con_7;A műveltség-tudatosságra hatás nemzeti módosítója: $x$
pop_con_8;A műveltség impakt faktora: $x$
pop_con_9;A pop műveltsége: $x$
pop_con_10;A gyarmati tudatfaktor: $x$
pop_con_11;és 0,1
pop_con_12;Helyi pop-tudatmódosító:
pop_con_13;Nemzeti pop-tudatmódosító:
pop_con_14;Nemzeti, nem gyarmati pop-tudatmódosító:
pop_con_15;Nemzeti, nem elfogadott pop-tudatmódosító:
pop_mil_1;Havi katonai változás:
pop_mil_2;Az összege:
pop_mil_3;Az életszükségletek kielégítéséből: ?R+$x$
pop_mil_4;A mindennapi szükségletek kielégítéséből:
pop_mil_5;A luxusigények kielégítéséből: ?G$x$
pop_mil_6;Konzervativizmus támogatásából: ?G$x$
pop_mil_7;A kormánypárti támogatásból: ?G$x$
pop_mil_8;Reformvágyból: ?R+$x$
pop_mil_9;Helyi pop harciasság módosító:
pop_mil_10;Nemzeti pop harciasság módosító:
pop_mil_11;Nemzeti, nem gyarmati pop harciasság módosító:
pop_mil_12;A szeparatizmusból: ?R+$val$?! (?R+$x$?! a nemzeti szeparatizmus módosító ?R$y$-szorosa)
pop_mil_13;A háborús kimerültségtől ?R+$val$?!
pop_lit_1;Havi írás-olvasás változás:
pop_lit_2;Ennek a terméke:
pop_lit_3;A helyi lelkészek százalékából ($val$): $x$
pop_lit_4;Hatékony oktatási kiadás: $x$
pop_lit_5;A nemzeti oktatás-hatékonyság módosító: $x$
pop_lit_6;A nemzeti oktatás-hatékonysági módosító módosítója: $x$
pop_lit_7;Az alapműveltség változási aránya: $x$
pop_lit_8;És 0,01
pop_growth_topbar;Várhatóan ?G$x$?W-val fog növekedni a következő hónapban.
pop_growth_topbar_2;a népesség ?G$x$?W-kal változott az elmúlt ?Y30?W napban.
pop_growth_topbar_3;Felnőtt férfi népességünk ?Y$curr$?W. Felnőtt férfiunk
pop_growth_topbar_4;Teljes népességünk ?Y$val$?W.
pop_growth_1;Havi pop növekedés:
pop_growth_2;A rabszolgák nem nőnek
pop_growth_3;A pop növekedése arányos a pop méretének szorzatával:
pop_growth_4;Az életminőségi tényező $x$, amely a következő szorzata:
pop_growth_5;A $x$ tartománytényező, amely maga a következők összege:
pop_growth_6;A tartomány $x$ élettartama mínusz a $y$ minimális élettartam besorolása, minden alkalommal $val$
pop_growth_7;És az alap növekedési érték $x $
pop_growth_8;A pop életének $x$ faktorra van szüksége (az életnek szüksége van elégedettségre $y$ - az éhezési határ $val$)
pop_growth_9;És 4
pop_growth_10;A helyi népességnövekedés módosítója $x$
pop_growth_11;Az országos népességnövekedés módosító $x$
pop_assim_1;Havi pop asszimiláció: $x$
pop_assim_2;A rabszolgák nem asszimilálódnak
pop_assim_3;Egy elfogadott kultúra popjai nem asszimilálódnak
pop_assim_4;A gyarmati tartományok popjai nem asszimilálódnak
pop_assim_5;A tengerentúli tartományokban élő popok nem asszimilálódnak
pop_assim_6;Az asszimiláció arányos a pop méretével és a következő szorzatával:
pop_assim_7;Az alap asszimilációs skála: $x$
pop_assim_8;A nemzeti asszimilációs ráta módosító: $x$
pop_assim_9;A helyi asszimilációs ráta módosító: $x$
pop_assim_10;0,1 azért, mert nincs tengerentúli kultúra
pop_assim_11;$x$ a tartományban jelenlévő magokból
pop_assim_12;Változó asszimilációs tényezők: $x$
pop_conver_1;Havi pop konverzió: $x $
