support_for_blank;obsługa $text$
hold_election;Wstrzymaj wybory
issue_change;$issue$ zmienia się na $text$
add_relative_income;Razy ostatniego dochodu dodanego do skarbca
make_neutral;Wszystkie sojusze zostały zakończone, a wszyscy wasale uwolnieni
pop_size;Rozmiar popu
move_pop_to;Przenieś pop do $text$
change_pop_type;Zmień typ popu na $text$
years_of_research;Lata badań
remove_mil_reforms;Usuń $value$ reformy wojskowe
remove_econ_reforms;Usuń reformy gospodarcze o wartości $
add_crime;Dodaj przestępstwo $text$
remove_crime;Usuń aktywne przestępstwo
perform_nationalization;Dokonaj nacjonalizacji
build_factory_in_capital;Zbuduj $text$ w stanie stołecznym
enable_great_wars;Wielkie wojny są włączone
enable_world_wars;Wojny światowe są włączone
disable_great_wars;Wielkie wojny nie są już możliwe
disable_world_wars;Wojny światowe nie są już możliwe
assimilate_pop;Zmień kulturę na $text$
assimilate_province;Zmień kulturę wszystkich wyskakujących okienek na $text$
owner_primary_culture;pierwotną kulturę swojego właściciela
literacy;alfabetyzacja
add_crisis_interest;Interesuje się bieżącym kryzysem
crisis_temperature_plain;temperatura kryzysowa
militancy;bojowość
consciousness;świadomość
rgo_size;Rozmiar RGO
trigger_every_revolt;Wywołaj bunt każdej frakcji rebeliantów
call_allies;Wzywaj sojuszników do ich bieżących wojen
truce_with;Rozejm z $text$ do ?Y$y$?!
diplomatic_influence_with;wpływ dyplomatyczny za pomocą $text$
relations_with;związek z $text$
add_modifier_until;Pobiera $text$ do $date$
add_modifier;Pobiera $tekst$
add_cb_months;Pobiera $name$ casus belli przeciwko $text$ do $date$
add_cb_no_months;Pobiera $name$ casus belli przeciwko $text$
add_cb_reversed_months;$text$ otrzymuje $name$ casus belli przeciwko narodowi w zakresie do $date$
add_cb_reversed_no_months;$text$ otrzymuje $name$ casus belli przeciwko całemu narodowi
remove_cb_reversed;Przegrywa $name$ casus bellis przeciwko $text$
remove_cb;$text$ traci wszelkie $name$ casus bellis przeciwko krajowi w zasięgu
set_national_variable_to;Ustaw zmienną krajową $text$ na $value$
event_fires;Wyzwalane jest zdarzenie $text$
event_fires_in_days;Zdarzenie $text$ jest wyzwalane w ciągu $value$ dni
railroad_in_capital;?G+1?! poziom kolei w stolicy
railroad_in_capital_state;?G+1?! poziom kolei w stanie stołecznym
fort_in_capital;?G+1?! poziom fortu w stolicy
fort_in_capital_state;?G+1?! poziom fortu w stanie stołecznym
fort_in_capital;?G+1?! poziom fortu w stolicy
fort_in_capital_state;?G+1?! poziom fortu w stanie stołecznym
university_in_capital;?G+1?! poziom uniwersytecki w stolicy
university_in_capital_state;?G+1?! poziomie uniwersyteckim w stolicy
bank_in_capital;?G+1?! poziom banku w kapitale
bank_in_capital_state;?G+1?! poziom banku w państwie stołecznym
railroad_level;Poziom kolei
fort_level;poziom fortu
naval_base_level;poziom bazy morskiej
university_base_level;poziom bazy morskiej
bank_base_level;poziom bazy morskiej
apply;Stosować
ok;OK
close;Zamknąć
delete;Usuwać
new;Nowy
reset;Resetowanie
every;Każdy
ready;Gotowy
any;Każdy
none;Nic
random;Losowy
neighboring_province;sąsiednia prowincja
where;Gdzie:
neighboring_nation;sąsiedni naród
nation;naród
continent;kontynent
same_continent;na tym samym kontynencie co
empty_neighboring_province;Pusta sąsiednia prowincja
poor_strata_pop;kiepski pop warstwowy
middle_strata_pop;pop średniej warstwy
rich_strata_pop;bogaty, warstwowy pop
pop;Muzyka pop
owned_province;prowincja należąca do
singular_nation;ten naród
singular_state;ten stan
singular_province;ta prowincja
singular_pop;ten pop
one_of_the_following;jeden z następujących efektów:
this_nation;ten naród
this_state;ten stan
this_province;tej prowincji
this_pop;ten pop
from_nation;od narodu
from_state;ze stanu
from_province;z prowincji
from_pop;z popu
province_in;prowincja w
this_nation_culture;Pierwotna kultura tego narodu
from_nation_culture;Pierwotna kultura narodu
cultural_union_nation;Naród będący unią kulturową ze względu na swoją kulturę pierwotną
core_of;rdzeń
state_of;stan
chance_of;szansa na:
owner_of;właściciel
controller_of;kontroler
location_of_pop;lokalizacja tego popu
nation_of_pop;naród zawierający ten pop
capital_of;stolica
containing_state;stan zawierający
adjacent_sea;przyległą strefę morską
cultural_union_of;unii kulturalnej
overlord_of;władca
sphere_leader_of;lider sfery
crisis_state;stan kryzysowy
reb_independence_nation;zbuntowany naród niepodległościowy
flashpoint_nation;naród punktu zapalnego
rebel;Buntownik
flashpoint_tension_label;Napięcie punktu zapłonu
for_text;za $tekst$
where_ideology_is;Gdzie jego ideologią jest $text$
where_culture_is;Gdzie jego kultura to $text$
where_religion_is;Gdzie jego religią jest $text$
of_type;typu $tekst$
no_nation;żaden naród
declare_war_on;Wypowiedz wojnę $text$
attacker_wg_label;Cel wojenny atakującego: $text$
defender_wg_label;Cel wojenny obrońcy: $text$
attacker_no_allies;Sojusznicy atakującego nie zostaną wezwani
attacker_yes_allies;Sojusznicy atakującego zostaną wezwani
war_start_date_desc;wojna zaczęła się w ?Y$date$?!
cmp_ge;jest przynajmniej
cmp_le;jest co najwyżej
cmp_gt;jest większy niż
cmp_lt;jest mniej niż
cmp_eq;Jest
cmp_ne;nie jest
cmp_has_eq;ma
cmp_has_ne;nie ma
cmp_has_lt;ma mniej niż
cmp_has_gt;ma więcej niż
cmp_has_ge;ma przynajmniej
cmp_has_le;ma co najwyżej
all_of_the_following;Wszystkie z poniższych:
any_of_the_following;Którekolwiek z poniższych:
nation_at_war_against;naród w stanie wojny przeciwko
core_in;rdzeń w
colonial_pop;położony w prowincji kolonialnej
substate_of;podstan
nation_in_sphere;naród w sferze
year;rok
month;miesiąc
a_port;port
national_rank;rangę narodową
att_technology;technologia
strata;warstwa
rich;bogaty
poor;słaby
middle;środek
minimum_state_life_raing;minimalna ocena życia w stanie
an_empy_adj_prov;pustą sąsiednią prowincję
belongs_to_same_state;należy do tego samego stanu co $text$
does_not_belong_to_same_state;nie należy do tego samego stanu co $text$
contains_blank;zawiera $tekst$
does_not_contain_blank;nie zawiera $text$
times_target_needs_spending;razy pożądane potrzeby wydatków
unemployment;bezrobocie
slavery;niewolnictwo
allowed;dozwolony
a_slave_state;stan niewolniczy
a_slave;niewolnik
an_independent_nation;niezależny naród
non_prim_culture_pops;popy niebędące kulturą pierwotną
government;rząd
capital;kapitał
technology_school;szkoła technologiczna
primary_culture;kultura pierwotna
primary_culture_pop;pierwotna kultura narodu, w którym żyje pop
an_accepted_culture;akceptowaną kulturę
culture;Kultura
dominant_culture;Kultura dominująca
a_primary_or_accepted;kultura pierwotna lub akceptowana
rebel_culture;kulturę rebeliantów
this_nation_prim_culture;kultura pierwotna lub kultura akceptowana tego narodu
from_nation_prim_culture;kultura pierwotna lub kultura przyjęta przez naród
culture_group;grupa kulturowa
dominant_culture_group;dominująca grupa kulturowa
primary_culture_group;grupa kultury pierwotnej
a_core_ob;rdzeń będący własnością
rebel_culture_group;buntownicza grupa kulturowa
this_nation_culture_group;taka sama jak grupa kulturowa tego narodu
from_nation_culture_group;taka sama jak grupa kulturowa narodu pochodzenia
rebel_religion;religię rebeliantów
this_nation_religion;religią narodową tego narodu
from_nation_religion;religia narodowa narodu
province_terrain;teren prowincji
rgo_production;Produkcja RGO
a_secondary_power;potęga kolonialna
owner;właściciel
an_active_rebel;aktywna frakcja rebeliantów
a_member_of;członek
unclaimed_cores;nieodebrane rdzenie
a_cultural_union;unię kulturalną
union_for_pop;unii kulturalnej popu
union_for_nation;unię kulturalną narodu
the_rebel_ind_nation;zbuntowany naród niepodległościowy
capitalists_can_build;kapitaliści mogą budować fabryki
capitalists_cannot_build;kapitalistom nie wolno budować fabryk
at_war;w stanie wojny
total_blockade;totalna blokada
owns;posiada
does_not_own;nie posiada
controls;sterownica
does_not_control;nie kontroluje
a_core_in;rdzeń w
a_core_of;rdzeń
a_core_of_owner;rdzeń jego właściciela
located_in_a_core_of;położony w rdzeniu
percentage_reb_control;procent prowincji kontrolowanych przez rebeliantów
num_of_reb_control;liczba prowincji kontrolowanych przez rebeliantów
num_owned_provinces;liczbę posiadanych prowincji
num_provinces_owned_by;liczba prowincji będących własnością
num_of_ports;liczba portów
num_of_allies;liczba sojuszników
num_of_vassals;liczba wasali
owned_by;posiadany przez
exists;istnieje
does_not_exist;nie istnieje
att_set;ustawić
in;W
located_in;położony w
the_owner_of_region;właściciel każdej prowincji w
a_casus_belli_against;casus belli przeciwko
military_access_with;dostęp wojskowy z
prestige_of;prestiż
prestige;Prestiż
a_railroad;kolej
a_fort;Fort
a_naval_base;bazę morską
a_factory;Fabryka
empty;bezpański
blockaded;zablokowany
national_modifier;modyfikator narodowy
provincial_modifier;modyfikator prowincjonalny
part_of;część
a_border_with;granica z
units_in_province;jednostki w województwie
units_in_the_province;jednostki w województwie
units_in_the_state;jednostek w państwie
at_war_against;w wojnie przeciwko
num_of_divisions;szereg oddziałów
an_ongoing_battle;tocząca się bitwa
an_assigned_leader;an assigned leader
treasury;skarbiec
o_treasury;skarbiec właściciela
o_of_prov;właściciel prowincji
percentage_unowned_cores;procent nieposiadanych rdzeni
a_vassal;wasal
ruling_party_ideology;ideologia partii rządzącej
ruling_party;partia rządząca
enabled;włączony
political_reform_desire;pragnienie reform politycznych
social_reform_desire;pragnienie reform społecznych
num_of_ships;liczba statków
crime_percent;odsetek prowincji, w których występuje przestępczość
national_religion;religia_narodowa
member_of_nat_religion;członek religii narodowej
dominant_religion;dominującą religią
same_rel_as_this;tej samej religii co ten naród
this_pop_culture;kulturę tego popu
this_nation_primary_culture;pierwotną kulturę tego narodu
this_nation_accepted_culture;akceptowaną kulturę tego narodu
coastal;nadbrzeżny
in_sphere_of;w sferze
a_producer_of;producent
next_reform;następna reforma
always;zawsze
never;nigdy
percentage_recruited;procent zrekrutowanych popów
in_cultural_core_prov;w prowincji o rdzeniu tej samej kultury
nationalism;nacjonalizm
overseas;za granicą
overseas_pop;położony w prowincji zamorskiej
controlled_by_rebel;kontrolowane przez rebeliantów
controlled_by;kontrolowany przez
state_capital;stolica stanu
loc_state_capital;zlokalizowany w stolicy stanu
a_truce_with;rozejm z
att_population;populacja
size;rozmiar
pops_of_type;typu pop
of_type_plain;typu
ai_controlled;Kontrolowana przez sztuczną inteligencję
a_leader_named;przywódca o imieniu
a_possible_vassal;potencjalnego wasala
a_vassal_of;wasalem
a_substate_of;podstan
allied_to;sprzymierzony
has_recently_lost_war;niedawno przegrał wojnę
has_not_recently_lost_war;nie przegrał ostatnio wojny
mobilized;zmobilizowany
mobilization_size;wielkość mobilizacji
admin_spending;wydatki administracyjne
greater_than_edu_spending;większe niż wydatki na edukację
support_for_rp;poparcie dla partii rządzącej
colonial;kolonialny
in_default_to;domyślnie do
in_bnkrpt;bankrut
num_of_ports_connected;liczba portów połączonych ze stolicą
holding_an_election;zorganizowanie wyborów
set_globally;ustawić globalnie
national_value;wartość narodowa
industrial_score;wynik przemysłowy
industrial_score_of;wynik przemysłowy
military_score;wynik wojskowy
military_score_of;wynik wojskowy
civilized;cywilizowany
percent_occupied;procent okupowanych prowincji
rich_tax;bogaty podatek
middle_tax;średni podatek
poor_tax;słaby podatek
soc_spending;wydatki socjalne
edu_spending;wydatki na edukację
mil_spending;Wydatki wojskowe
colonies;kolonie
dominant_ideology;dominującą ideologią
dominant_issue;dominująca kwestia
poor_militancy;słaba bojowość warstwowa
middle_militancy;bojówka warstwy średniej
rich_militancy;bogata bojówka warstwowa
gt_poor_tax;większy niż słaby podatek
cultural_union;unię kulturalną
same_cultural_union;taki sam jak unii kulturalnej
non_accepted_pops;nieakceptowane wyskakujące okienka
crime;przestępczość
num_substates;liczba podstanów
num_vassals_no_substates;liczba wasali niebędących substanami
num_regiments;liczba pułków
owner_num_regiments;liczba pułków właściciela
num_regiments_of;liczba pułków należących do
times_num_regiments_of;$x$ razy liczba pułków należących do
fabricating_on;fabrykując casus belli
cb_discovered;Odkryto fabrykację casus belli
cb_not_discovered;Nie odkryto fabrykacji casus belli
cb_progress;postęp w produkcji casus belli
civ_progress;postęp cywilizacyjny
constructing_a;fabrykowanie A
casus_belli;casus belli
nation_in_scope;naród w zasięgu
a_substate;podstan
gw_enabled;wielkie wojny są włączone
gw_not_enabled;wielkie wojny nie są włączone
ww_enabled;wojny światowe są włączone
ww_not_enabled;wojny światowe nie są włączone
can_perform_nationalization;może znacjonalizować
cannot_perform_nationalization;nie można znacjonalizować
in_sphere;w strefie wpływów
num_states;liczba stanów
a_releasable_vassal;wasalem, którego można zwolnić
recent_immigration;niedawna imigracja
num_control_days;liczba dni pod bieżącą kontrolą
disarmed;rozbrojony
social_mov_support;wsparcie ruchu społecznego
political_mov_support;wsparcie ruchu politycznego
a_member_of_social_mov;członek ruchu społecznego
a_member_of_political_mov;członek ruchu politycznego
cultural_sphere_members;członkowie sfery należący do tej samej grupy kulturowej
pops;wyskakuje
this_pop_religion;religia tego popu
pops_with;wyskakuje z
life_needs_satisfaction;zaspokojenie potrzeb życiowych
everyday_needs_satisfaction;zaspokojenie codziennych potrzeb
luxury_needs_satisfaction;zaspokojenie potrzeb luksusu
present_in_state;obecny w stanie
flashpoint;Temperatura zapłonu
plurality_pop;pluralizm narodu, w którym żyje pop
an_ongoing_crisis;trwający kryzys
there;Tam
current_crisis;obecny kryzys
liberation_crisis;kryzys wyzwoleńczy
claim_crisis;kryzys roszczeń
involved_in_crisis;zaangażowana w kryzys
poor_life_needs_satisfaction;zaspokojenie potrzeb życiowych warstw biednych
poor_everyday_needs_satisfaction;Zaspokojenie codziennych potrzeb biednych warstw
poor_luxury_needs_satisfaction;zaspokojenie potrzeb luksusowych biednych warstw
middle_life_needs_satisfaction;zaspokojenie potrzeb życiowych warstwy środkowej
middle_everyday_needs_satisfaction;zaspokojenie codziennych potrzeb warstwy środkowej
middle_luxury_needs_satisfaction;zaspokojenie potrzeb luksusowych warstwy średniej
rich_life_needs_satisfaction;zaspokojenie potrzeb życiowych warstw bogatych
rich_everyday_needs_satisfaction;zaspokojenie codziennych potrzeb bogatych warstw
rich_luxury_needs_satisfaction;zaspokojenie potrzeb luksusowych bogatych warstw
dip_influence_over;wpływ dyplomatyczny
relationship_with;związek z
this_pop_type;ten typ popu
nat_variable;zmienna krajowa
support_in_uh;poparcie w izbie wyższej
support_in;lojalność w
scope_province;województwo w swoim zasięgu
able_build_rr;w stanie zbudować linię kolejową w tej prowincji
able_build_fort;w stanie zbudować fort w tej prowincji
able_build_naval_base;w stanie zbudować bazę morską w tej prowincji
work;praca
available_for;dostępne dla:
support;wsparcie
percentage;odsetek
stockpile;robić zapasy żywności
this_nat_religion;religią narodową tego kraju
from_nat_religion;religia narodowa kraju pochodzenia
event_show_requirements;Wymagania dotyczące wydarzenia
event_only_other_requirements;To zdarzenie jest wywoływane tylko przez inne zdarzenia
event_show_odds;Szanse na wydarzenie
value_mod_product;Wartość $val$ jest iloczynem:
value_mod_sum;Wartość $val$ jest sumą:
value_mod_sum_factor;Wartość $val$ to $x$ razy suma:
admin_explain_1;Modyfikator wydajności administracyjnej $val$
admin_explain_2;W odniesieniu do stosunku niekolonialnych biurokratów: $val$
admin_explain_3;Do wymaganego procentu: $val$ (podstawa $x$ + $y$ z reform)
factory_condition_1;Naród jest cywilizowany
factory_condition_2;To nie jest państwo kolonialne
factory_condition_3;Partia rządząca pozwala na budowę fabryk
factory_condition_4;W stanie jest mniej niż $val$ fabryk
cant_subsidize_explanation;Partia rządząca nie pozwala na dotowanie fabryk
percent_of_pop_strata;$val$ populacji ich warstw
cant_prioritize_explanation;Partia rządząca nie pozwala nam na zmianę priorytetu fabryki
factory_upgrade_condition_1;Naród jest cywilizowany
factory_upgrade_condition_2;To nie jest państwo kolonialne
factory_upgrade_condition_3;Spełnione są wymagania technologiczne potrzebne do budowy fabryki
factory_upgrade_condition_4;Twój naród jest wielką potęgą, podczas gdy naród docelowy nie jest
factory_upgrade_condition_5;Cel inwestycji jest cywilizowany
factory_upgrade_condition_6;Partia rządząca celem inwestycyjnym dopuszcza inwestycje zagraniczne
factory_upgrade_condition_7;Cel inwestycyjny nie jest z Tobą w stanie wojny
factory_upgrade_condition_8;Partia rządząca pozwala na modernizację fabryk
factory_upgrade_condition_9;Fabryka nie jest jeszcze modernizowana
factory_upgrade_condition_10;Fabryka nie jest na maksymalnym poziomie
factory_delete_header;Usuń fabrykę
factory_delete_not_allowed;Partia rządząca nie pozwala nam na likwidację fabryk
factory_stats_1;Ta fabryka pracuje obecnie z wydajnością $val$
factory_stats_2;Celem tej fabryki jest wydajność w wysokości $val$
factory_stats_3;Poprzedniego dnia wyprodukowano jednostki $val$ o wartości x$
factory_stats_4;Poprzedniego dnia osiągnął zysk w wysokości $val$
factory_stats_5;Dostępność wejść:
factory_stats_6;Dostępność wejść efektywnościowych:
factory_stats_wage;Płaca:
factory_stats_expenses;Łączne wydatki
factory_stats_desired_income;Pożądany surowy zysk
speed;$val$ km/h
shift_to_hold_open;Przytrzymaj ?YSHIFT?! aby zachować to okno otwarte, ?YSHIFT-kliknij prawym przyciskiem myszy?! zbudować to w każdym stanie (ale nie rozszerzać)
factory_upgrade_shortcuts;?YSHIFT-kliknięcie lewym przyciskiem?W aktualizacja ?Gall?!S fabryki w stanie\n?YSHIFT-kliknięcie prawym przyciskiem?W aktualizacja ?Gall opłacalny?W fabryki w stanie\n?YCTRL-kliknięcie lewym przyciskiem?W aktualizacja ? Gall?W fabryk w kraju\n?YCTRL-kliknięcie prawym przyciskiem?W aktualizacja?Gall opłacalne?W fabryki w kraju\n?YCTRL-SHIFT-kliknięcie lewym przyciskiem?W aktualizacja?Gall opłacalne przy pełnym zatrudnieniu?W fabryki w stan\n?YCTRL-SHIFT-kliknięcie prawym przyciskiem myszy?W aktualizacja?Gall przynosi zyski przy pełnym zatrudnieniu?W fabryki w stanie
blank_org_gain;zysk organizacji
plurality_change_reason;(w oparciu o średnią świadomość)
revanchism_reason;Na podstawie liczby nieposiadanych rdzeni (w przypadku rdzeni z podstawową kulturą liczy się więcej)
allow_reform_cond;Wymagania:
reform_effect_if_desc;Po włączeniu, jeśli
reform_effect_then_desc;Następnie:
reform_effect_desc;Po aktywacji:
special_rules;Zasady specjalne:
voting_rules;Zasady głosowania:
hide_decision;Ukryj powiadomienie o tej decyzji
sup_point_gain;Miesięczny wzrost punktu tłumienia: ?G+$val$
sup_point_explain;Od: stawka podstawowa $x$ x $y$ od biurokratów x $val$ z naszego modyfikatora do przyrostu punktów tłumienia
pop_size_1;Oczekuje się, że w nadchodzącym miesiącu wielkość tego popu zmieni się o:
pop_size_2;Ze wzrostu:
pop_size_3;Z awansów i degradacji:
pop_size_4;Z asymilacji:
pop_size_5;Z migracji wewnętrznej:
pop_size_6;Z migracji kolonialnej:
pop_size_7;Z emigracji:
pop_size_8;Z konwersji:
pop_l_migration_header;?YMigracja poza domem: $val$
pop_l_c_migration_header;?YMigracja kolonialna: $val$
pop_l_emigration_header;?YEmigracja poza domem: $val$
pop_mig_1;Nie ma migracji wewnętrznej z prowincji kolonialnych
pop_mig_2;Niewolnicy nie migrują wewnętrznie
pop_mig_3;Liczba osób, które będą migrować wewnętrznie, jest równa wielkości popu razy skali imigracji ($x$) razy modyfikatorowi wypychania imigrantów w prowincji ($y$) razy współczynnikowi migracji ($val$)
pop_mig_4;?współczynnik migracji:
pop_cmig_1;Naród nie ma żadnych kolonii
pop_cmig_2;Nie ma migracji kolonialnej z prowincji kolonialnych
pop_cmig_3;Niewolnicy nie migrują kolonialnie
pop_cmig_4;Popy z bogatych warstw nie migrują kolonialnie
pop_cmig_5;Pracownicy fabryk nie migrują kolonialnie
pop_cmig_6;Liczba osób, które będą migrować kolonialnie, jest równa wielkości popu razy skali imigracji ($x$) razy modyfikatorowi wypychania imigrantów z prowincji ($y$) razy modyfikatorowi migracji kolonialnej prowincji ($num$) razy współczynnik migracji kolonialnej ($val$)
pop_cmig_7;?YWspółczynnik migracji kolonialnej:
pop_emg_1;Popowcy mogą emigrować jedynie z krajów cywilizowanych
pop_emg_2;Nie ma emigracji z prowincji kolonialnych
pop_emg_3;Niewolnicy nie emigrują
pop_emg_4;Pops bez „Yoverseas?” kultura nie emigruje
pop_emg_5;Liczba osób, które wyemigrują, jest równa wielkości popu, skali imigracji ($x$), razy modyfikatorowi wypychania imigrantów obowiązującemu w prowincji ($y$, kwadratowi, jeśli jest większe niż 100%), razy współczynnikowi emigracji ($ wartość $)
pop_emg_6;?Współczynnik emigracji:
pop_prom_1;?Yczynnik promocji:
pop_prom_2;Z perspektywy krajowej: ?G$val$
pop_prom_3;0 (ze względu na nacisk na kraj)
pop_prom_4;?YWspółczynnik degradacji:
pop_prom_5;Pop obecnie awansuje, ponieważ współczynnik awansu jest większy niż współczynnik degradacji
pop_prom_6;Pop obecnie ulega degradacji, ponieważ współczynnik degradacji jest większy niż współczynnik awansu
pop_prom_7;Ponieważ oba czynniki są negatywne, obecnie pop nie promuje, ani nie degraduje
pop_prom_8;Liczba osób, które będą awansować, jest równa wielkości popu razy skala promocji ($x$) razy współczynnik awansu ($val$) razy wydajność administracyjna ($y$)
pop_prom_9;Liczba osób, które ulegną degradacji, jest równa wielkości popu, skali awansu ($x$) razy współczynnikowi degradacji ($val$)
pop_con_1;Miesięczna zmiana świadomości:
pop_con_2;Czy suma:
pop_con_3;Z zaspokojenia potrzeb luksusowych: ?G+$x$
pop_con_4;Z procentu miejscowych duchownych ($val$): ?R$x$
pop_con_5;Czynnik mnogości i umiejętności czytania i pisania: ?G+$x$?!, który jest iloczynem:
pop_con_6;Wiele: $x$
pop_con_7;Krajowy modyfikator wpływu umiejętności czytania i pisania na świadomość: $x$
pop_con_8;Współczynnik wpływu umiejętności czytania i pisania: $x$
pop_con_9;Umiejętność czytania i pisania popu: $x$
pop_con_10;Współczynnik świadomości kolonialnej: $x$
pop_con_11;i 0,1
pop_con_12;Lokalny modyfikator świadomości popu:
pop_con_13;Narodowy modyfikator świadomości popu:
pop_con_14;Narodowy modyfikator niekolonialnej świadomości popu:
pop_con_15;Krajowy, nieakceptowany modyfikator świadomości popowej:
pop_mil_1;Miesięczna zmiana bojowości:
pop_mil_2;Czy suma:
pop_mil_3;Od zaspokojenia potrzeb życiowych: ?R+$x$
pop_mil_4;Z zaspokojenia potrzeb codziennych:
pop_mil_5;Od zaspokojenia potrzeb luksusowych: ?G$x$
pop_mil_6;Ze wsparcia konserwatyzmu: ?G$x$
pop_mil_7;Od wsparcia partii rządzącej: ?G$x$
pop_mil_8;Z pragnienia reformy: ?R+$x$
pop_mil_9;Lokalny modyfikator bojowości pop:
pop_mil_10;Narodowy modyfikator bojowości popowej:
pop_mil_11;Narodowy modyfikator niekolonialnej bojowości popowej:
pop_mil_12;Z separatyzmu: ?R+$val$?! (?R+$x$?! razy modyfikator narodowego separatyzmu ?R$y$)
pop_mil_13;Z wyczerpania wojennego ?R+$val$?!
pop_lit_1;Miesięczna zmiana umiejętności czytania i pisania:
pop_lit_2;Czy produkt:
pop_lit_3;Z procentu miejscowych duchownych ($val$): $x$
pop_lit_4;Efektywne wydatki na edukację: $x$
pop_lit_5;Krajowy modyfikator efektywności edukacji: $x$
pop_lit_6;Modyfikator krajowego modyfikatora efektywności edukacji: $x$
pop_lit_7;Podstawowy wskaźnik zmiany umiejętności czytania i pisania: $x$
pop_lit_8;I 0,01
pop_growth_topbar;Oczekuje się, że w ciągu najbliższego miesiąca wzrośnie o ?G$x$?W.
pop_growth_topbar_2;populacja zmieniła się o ?G$x$?W w ciągu ostatnich ?Y30?W dni.
pop_growth_topbar_3;Nasza populacja dorosłych mężczyzn to ?Y$curr$?W. Nasz dorosły samiec
pop_growth_topbar_4;Nasza całkowita populacja wynosi?Y$val$?W.
pop_growth_1;Miesięczny wzrost popu:
pop_growth_2;Niewolnicy nie rosną
pop_growth_3;Wzrost popu jest proporcjonalny do wielkości popu pomnożonej przez sumę:
pop_growth_4;Współczynnik jakości życia $x$, który jest iloczynem:
pop_growth_5;Współczynnik prowincji $x$, który sam w sobie jest sumą:
pop_growth_6;Wartość życia prowincji $x$ minus minimalna wartość życia $y$, cały czas $val$
pop_growth_7;A podstawowa wartość wzrostu popu $x$
pop_growth_8;Współczynnik potrzeb życiowych popu $x$ (zaspokojenie potrzeb życiowych $y$ - granica głodu $val$)
pop_growth_9;I 4
pop_growth_10;Lokalny modyfikator wzrostu populacji $x$
pop_growth_11;Krajowy modyfikator wzrostu populacji $x$
pop_assim_1;Miesięczna asymilacja popu: $x$
pop_assim_2;Niewolnicy się nie asymilują
pop_assim_3;Popy z akceptowanej kultury nie asymilują się
pop_assim_4;Popowcy z prowincji kolonialnych nie asymilują się
pop_assim_5;Popy z prowincji zamorskich nie asymilują się
pop_assim_6;Asymilacja jest proporcjonalna do wielkości popu razy iloczyn:
pop_assim_7;Podstawowa skala asymilacji: $x$
