#Powered_by_ParaTranz
message_notify_rebels_defeat_label;击败叛军时是否通知？
msg_peace_rejected_from_nation;当拒绝和平时
msg_peace_accepted_by_nation;当他们接受和平时
msg_peace_rejected_by_nation;当他们拒绝和平时
msg_mobilization_start;当总动员时
msg_mobilization_end;当解除动员时
msg_factory_complete;当工厂建成时
msg_rr_complete;当铁路建成时
msg_fort_complete;当要塞建成时
msg_naval_base_complete;当海军基地建成时
msg_province_event;当省份事件发生时
msg_national_event;当国家事件发生时
msg_major_event;当重要事件发生时
msg_invention;当发明发现时
msg_tech;当研究完成时
msg_leader_dies;当将领死亡时
msg_land_combat_starts_on_nation;当陆战时
msg_naval_combat_starts_on_nation;当海战时
msg_land_combat_starts_by_nation;当陆战时
msg_naval_combat_starts_by_nation;当海战时
msg_movement_finishes;当移动完成时
msg_decision;当决议完成时
msg_lose_great_power;当失去列强地位时
msg_become_great_power;当成为列强时
msg_war_subsidies_start_by_nation;当获得战争援助时
msg_war_subsidies_start_on_nation;当提供战争援助时
msg_war_subsidies_end_by_nation;当被援助结束时
msg_war_subsidies_end_on_nation;当停止战争援助时
msg_reparations_start_by_nation;当战争赔偿被支付时
msg_reparations_start_on_nation;当支付战争赔款时
msg_reparations_end_by_nation;当偿清战争赔款时
msg_reparations_end_on_nation;当偿清战争赔款时
msg_mil_access_start_by_nation;当获得军事通行时
msg_mil_access_start_on_nation;当给予军事通行时
msg_mil_access_end_by_nation;
msg_mil_access_end_on_nation;
msg_mil_access_declined_by_nation;
msg_mil_access_declined_on_nation;
msg_alliance_starts;
msg_alliance_ends;
msg_alliance_declined_by_nation;
msg_alliance_declined_on_nation;
msg_ally_called_accepted_by_nation;
msg_ally_called_declined_by_nation;
msg_discredit_by_nation;
msg_ban_by_nation;
msg_expell_by_nation;
msg_discredit_on_nation;
msg_ban_on_nation;
msg_expell_on_nation;
msg_increase_opinion;
msg_decrease_opinion_by_nation;
msg_decrease_opinion_on_nation;
msg_rem_sphere_by_nation;
msg_rem_sphere_on_nation;
msg_removed_from_sphere;
msg_add_sphere;我国纳入势力范围
msg_added_to_sphere;我国被纳入势力范围
msg_increase_relation_by_nation;当他们提高关系时
msg_increase_relation_on_nation;当我们提高关系时
msg_decrease_relation_by_nation;当他们降低关系时
msg_decrease_relation_on_nation;当我们降低关系时
msg_join_war_by_nation;当一国参战时
msg_join_war_on_nation;当我们参战时
msg_gw_unlocked;当世界大战可用时
msg_war_becomes_great;当战争演变成世界大战时
msg_cb_detected_on_nation;
msg_cb_detected_by_nation;
msg_crisis_join_offer_accepted_by_nation;
msg_crisis_join_offer_declined_by_nation;
msg_crisis_join_offer_accepted_from_nation;
msg_crisis_join_offer_declined_from_nation;
msg_crisis_resolution_accepted;当危机方案被解决时
msg_crisis_becomes_war;当危机开始时
msg_crisis_resolution_declined_from_nation;
msg_crisis_starts;
msg_crisis_attacker_backer;
msg_crisis_defender_backer;
msg_crisis_fizzle;
msg_war_join_by;
msg_war_join_on;
msg_cb_fab_finished;
msg_cb_fab_cancelled;
msg_crisis_voluntary_join;
msg_bankruptcy_title;破产
amsg_bankruptcy;当一国破产时
msg_bankruptcy_1;$x$破产
message_name_text;消息
msg_for_us;关于：你的国家
msg_for_interesting;有趣国家
msg_for_other;其他国家
msg_handling_ignore;忽视此消息
msg_handling_log;记录此消息
msg_handling_sound;用音效记录此消息
msg_handling_popup;弹出消息
msg_handling_pause;弹出消息并暂停游戏直到被关闭
amsg_revolt;发生叛乱
amsg_war_on_nation;向此国宣战
amsg_war_by_nation;宣战
amsg_wargoal_added;添加战争目标
amsg_siegeover_by_nation;完成围攻
amsg_siegeover_on_nation;攻占此省
amsg_colony_finished;完成殖民地
amsg_reform_gained;通过改革
amsg_reform_lost;失去改革
amsg_ruling_party_change;执政党更改
amsg_upperhouse;上议院改选
amsg_electionstart;全国选举
amsg_electiondone;选举结束
amsg_breakcountry;叛军诉求
amsg_peace_accepted_from_nation;和平协议被接受
amsg_peace_rejected_from_nation;和平协议被拒绝
amsg_peace_accepted_by_nation;接受和平协议
amsg_peace_rejected_by_nation;拒绝和平协议
amsg_mobilization_start;总动员
amsg_mobilization_end;解除动员
amsg_factory_complete;工厂建成
amsg_rr_complete;铁路建成
amsg_fort_complete;要塞建成
amsg_naval_base_complete;海军基地建成
amsg_province_event;省份事件发生
amsg_national_event;国家事件发生
amsg_major_event;主要事件发生
amsg_invention;发现发明
amsg_tech;研究完毕
amsg_leader_dies;将领死亡
amsg_land_combat_starts_on_nation;我军被攻击
amsg_naval_combat_starts_on_nation;海军被攻击
amsg_land_combat_starts_by_nation;进攻敌军
amsg_naval_combat_starts_by_nation;海军交战
amsg_movement_finishes;部队待命
amsg_decision;执行决议
amsg_lose_great_power;失去列强地位
amsg_become_great_power;成为列强
amsg_war_subsidies_start_by_nation;战争援助
amsg_war_subsidies_start_on_nation;被战争援助
amsg_war_subsidies_end_by_nation;停止战争援助
amsg_war_subsidies_end_on_nation;被停止战争援助
amsg_reparations_start_by_nation;开始赔偿
amsg_reparations_start_on_nation;获得赔偿
amsg_reparations_end_by_nation;停付赔款
amsg_reparations_end_on_nation;被停付赔款
amsg_mil_access_start_by_nation;给予军事通行
amsg_mil_access_start_on_nation;获得军事通行权
amsg_mil_access_end_by_nation;收回军事通行权
amsg_mil_access_end_on_nation;被收回军事通行权
amsg_mil_access_declined_by_nation;军事通行请求被拒绝
amsg_mil_access_declined_on_nation;拒绝军事通行请求
amsg_alliance_starts;结盟
amsg_alliance_ends;断盟
amsg_alliance_declined_by_nation;拒绝盟约
amsg_alliance_declined_on_nation;盟约被拒绝
amsg_ally_called_accepted_by_nation;履行盟约
amsg_ally_called_declined_by_nation;背盟败约
amsg_discredit_by_nation;羞辱别国
amsg_ban_by_nation;封锁别国使馆
amsg_expell_by_nation;驱逐别国顾问
amsg_discredit_on_nation;被诽谤
amsg_ban_on_nation;使馆被封锁
amsg_expell_on_nation;被驱逐顾问
amsg_increase_opinion;提高评价
amsg_decrease_opinion_by_nation;降低评价
amsg_decrease_opinion_on_nation;评价被降低
amsg_rem_sphere_by_nation;将别国移出势力范围
amsg_rem_sphere_on_nation;将别国移出势力范围
amsg_removed_from_sphere;被移出势力范围
amsg_add_sphere;将别国纳入势力范围
amsg_added_to_sphere;被纳入势力范围
amsg_increase_relation_by_nation;提高关系
amsg_increase_relation_on_nation;被提高关系
amsg_decrease_relation_by_nation;降低关系
amsg_decrease_relation_on_nation;被降低关系
amsg_join_war_by_nation;参战
amsg_join_war_on_nation;敌人参战
amsg_gw_unlocked;世界大战可用
amsg_war_becomes_great;世界大战！
amsg_cb_detected_on_nation;发现针对理由
amsg_cb_detected_by_nation;正当化理由被发现
amsg_crisis_join_offer_accepted_by_nation;接受加入危机提议
amsg_crisis_join_offer_declined_by_nation;拒绝加入危机提议
amsg_crisis_join_offer_accepted_from_nation;加入危机提议被接受
amsg_crisis_join_offer_declined_from_nation;加入危机提议被拒绝
amsg_crisis_resolution_accepted;接受危机方案
amsg_crisis_becomes_war;危机成为战争
amsg_crisis_resolution_declined_from_nation;危机方案被拒绝
amsg_crisis_starts;新危机
amsg_crisis_attacker_backer;列强支持危机发起方
amsg_crisis_defender_backer;列强支持危机被动方
amsg_crisis_fizzle;危机不受关注而流产
amsg_war_join_by;参战
amsg_war_join_on;敌人参战
amsg_cb_fab_finished;正当化理由成功
amsg_cb_fab_cancelled;取消理由正当化
amsg_crisis_voluntary_join;无条件加入危机
amsg_army_built;建立军队
amsg_navy_built;建立海军
amsg_bankruptcy;国家破产
amsg_entered_automatic_alliance;自动结盟
amsg_chat_message;聊天信息
