#Powered_by_ParaTranz
PROV1;锡特卡
PROV86;萨克拉门托
PROV87;蒙特雷
PROV88;马里波萨
PROV89;洛杉矶
PROV90;圣迭戈
PROV91;博伊西
PROV92;科达伦
PROV93;波卡特洛
PROV94;卡森城
PROV95;埃尔科
PROV96;拉斯韦加斯
PROV97;盐湖城
PROV98;洛阿
PROV99;摩押
PROV100;凤凰城
PROV101;弗拉格斯塔夫
PROV102;图森
PROV103;圣达菲
PROV104;阿尔伯克基
PROV105;拉斯克鲁塞斯
PROV106;丹佛
PROV107;大章克申
PROV108;阿拉莫萨
PROV109;普韦布洛
PROV110;夏延
PROV111;科迪
PROV112;卡斯珀
PROV113;博兹曼
PROV114;米苏拉
PROV115;大瀑布城
PROV116;比灵斯
PROV117;俾斯麦
PROV118;迈诺特
PROV119;迪金森
PROV120;苏瀑
PROV121;杜普里
PROV122;拉皮德城
PROV123;奥马哈
PROV124;阿莱恩斯
PROV125;北普拉特
PROV126;托皮卡
PROV127;古德兰
PROV128;威奇托
PROV129;俄克拉荷马城
PROV130;塔勒阔
PROV131;奥克马尔吉
PROV132;休斯顿
PROV133;奥斯汀
PROV134;达拉斯
PROV135;拉伯克
PROV136;埃尔帕索
PROV137;圣安东尼奥
PROV138;拉雷多
PROV139;新奥尔良
PROV140;巴吞鲁日
PROV141;莱克查尔斯
PROV142;什里夫波特
PROV143;小石城
PROV144;温泉城
PROV145;费耶特维尔
PROV146;圣路易斯
PROV147;乔普林
PROV148;莫尔登
PROV149;杰斐逊城
PROV150;堪萨斯城
PROV151;得梅因
PROV152;奥斯卡卢萨
PROV153;锡达拉皮兹
PROV154;苏城
PROV155;明尼阿波利斯
PROV156;格拉尼特福尔斯
PROV157;穆尔黑德
PROV158;德卢斯
PROV159;密尔沃基
PROV160;欧克莱尔
PROV161;格林贝
PROV162;麦迪逊
PROV163;芝加哥
PROV164;罗克福德
PROV165;尚佩恩
PROV166;皮奥里亚
PROV167;斯普林菲尔德
PROV168;卡本代尔
PROV169;印第安纳波利斯
PROV170;埃文斯维尔
PROV171;南本德
PROV172;韦恩堡
PROV173;底特律
PROV174;大急流城
PROV175;萨吉诺
PROV176;特拉弗斯城
PROV177;马凯特
PROV178;克里夫兰
PROV179;哥伦布
PROV180;桑达斯基
PROV181;代顿
PROV182;辛辛那提
PROV183;玛丽埃塔
PROV184;路易斯维尔
PROV185;列克星敦
PROV186;鲍灵格林
PROV187;帕迪尤卡
PROV188;纳什维尔
PROV189;孟菲斯
PROV190;诺克斯维尔
PROV191;查塔努加
PROV192;杰克逊
PROV193;维克斯堡
PROV194;比洛克西
PROV195;蒙哥马利
PROV196;塔斯卡卢萨
PROV197;莫比尔
PROV198;塔拉哈西
PROV199;圣奥古斯丁
PROV200;坦帕
PROV201;亚特兰大
PROV202;瓦尔多斯塔
PROV203;百慕大
PROV204;萨凡纳
PROV205;查尔斯顿
PROV206;哥伦比亚
PROV207;格林维尔
PROV208;罗利
PROV209;夏洛特
PROV210;威尔明顿
PROV211;里士满
PROV212;马纳萨斯
PROV213;弗雷德里克斯堡
PROV214;诺福克
PROV215;斯汤顿
PROV216;罗阿诺克
PROV217;惠灵
PROV218;亨廷顿
PROV219;巴尔的摩
PROV220;华盛顿
PROV221;黑格斯敦
PROV222;多佛
PROV223;费城
PROV224;斯克兰顿
PROV225;威廉斯波特
PROV226;哈里斯堡
PROV227;匹兹堡
PROV228;伊利
PROV229;纽瓦克
PROV230;特伦顿
PROV231;大西洋城
PROV232;纽约
PROV233;长岛
PROV234;奥尔巴尼
PROV235;宾厄姆顿
PROV236;布法罗
PROV237;罗切斯特
PROV238;锡拉丘兹
PROV239;沃特敦
PROV240;普拉茨堡
PROV241;哈佛
PROV242;普罗维登斯
PROV243;波士顿
PROV244;新贝德福德
PROV245;皮茨菲尔德
PROV246;伯灵顿
PROV247;康科德
PROV248;刘易斯顿
PROV249;班戈
PROV250;卡里布
PROV251;戈特霍布
PROV252;冰岛
PROV253;法罗群岛
PROV254;贝尔法斯特
PROV255;伦敦德里
PROV256;阿马
PROV257;杜勒加
PROV258;戈尔韦
PROV259;斯莱戈
PROV260;科克
PROV261;利默里克
PROV262;沃特福德
PROV263;都柏林
PROV264;基尔代尔
PROV265;韦克斯福德
PROV266;阿伯丁
PROV267;因弗内斯
PROV268;邓迪
PROV269;爱丁堡
PROV270;斯特灵
PROV271;格拉斯哥
PROV272;邓弗里斯
PROV273;加的夫
PROV274;卡迪根
PROV275;兰德林多德韦尔斯
PROV276;霍利黑德
PROV277;利物浦
PROV278;曼彻斯特
PROV279;卡莱尔
PROV280;泰恩河畔纽卡斯尔
PROV281;赫尔河畔金斯顿
PROV282;利兹
PROV283;设菲尔德
PROV284;伯明翰
PROV285;切斯特
PROV286;什鲁斯伯里
PROV287;考文垂
PROV288;诺丁汉
PROV289;莱斯特
PROV290;林肯
PROV291;剑桥
PROV292;伊普斯威奇
PROV293;切姆斯福德
PROV294;牛津
PROV295;奥尔本斯
PROV296;布里斯托尔
PROV297;索尔兹伯里
PROV298;巴斯
PROV299;普利茅斯
PROV300;伦敦
PROV301;坎特伯雷
PROV302;布莱顿
PROV303;南安普敦
PROV304;马恩岛
PROV305;特隆赫姆
PROV306;博德
PROV307;哈默菲斯特
PROV308;奥勒松
PROV309;卑尔根
PROV310;克里斯蒂安桑
PROV311;希恩
PROV312;德拉门
PROV313;克里斯蒂安尼亚
PROV314;哈马尔
PROV315;利勒哈默尔
PROV316;腓特烈斯塔
PROV317;耶夫勒
PROV318;松兹瓦尔
PROV319;厄斯特松德
PROV320;于默奥
PROV321;吕勒奥
PROV322;斯德哥尔摩
PROV323;法伦
PROV324;乌普萨拉
PROV325;诺尔雪平
PROV326;韦斯特罗斯
PROV327;厄勒布鲁
PROV328;卡尔斯塔德
PROV329;哥德堡
PROV330;布罗斯
PROV331;哥得兰
PROV332;卡尔马
PROV333;韦克舍
PROV334;马尔默
PROV335;卡尔斯克鲁纳
PROV336;奥卢
PROV337;卡亚尼
PROV338;托尔尼奥
PROV339;维堡
PROV340;科特卡
PROV341;米凯利
PROV342;库奥皮奥
PROV343;赫尔辛基
PROV344;海门林纳
PROV345;图尔库
PROV346;瓦萨
PROV347;坦佩雷
PROV348;奥兰群岛
PROV349;塔林
PROV350;纳尔瓦
PROV351;派尔努
PROV352;多尔帕特
PROV353;奥瑟尔
PROV354;里加
PROV355;瓦尔米耶拉
PROV356;陶格夫匹尔斯
PROV357;叶尔加瓦
PROV358;文茨皮尔斯
PROV359;利耶帕亚
PROV360;维尔纽斯
PROV361;考纳斯
PROV362;马里扬泊列
PROV363;帕涅韦日斯
PROV364;希奥利艾
PROV365;帕兰加
PROV366;奥胡斯
PROV367;奥尔堡
PROV368;里伯
PROV369;基尔
PROV370;弗伦斯堡
PROV371;奥本罗
PROV372;哥本哈根
PROV373;欧登塞
PROV374;博恩霍尔姆
PROV375;阿姆斯特丹
PROV376;鹿特丹
PROV377;乌得勒支
PROV378;米德尔堡
PROV379;埃因霍温
PROV380;布雷达
PROV381;马斯特里赫特
PROV382;阿纳姆
PROV383;格罗宁根
PROV384;兹沃勒
PROV385;吕伐登
PROV386;阿森
PROV387;布鲁塞尔
PROV388;布鲁日
PROV389;根特
PROV390;安特卫普
PROV391;哈瑟尔特
PROV392;那慕尔
PROV393;图尔奈
PROV394;沙勒罗瓦
PROV395;列日
PROV396;斯帕
PROV397;卢森堡
PROV398;阿尔隆
PROV399;里尔
PROV400;敦刻尔克
PROV401;阿拉斯
PROV402;亚眠
PROV403;拉昂
PROV404;康布雷
PROV405;沙勒维尔
PROV406;特鲁瓦
PROV407;肖蒙
PROV408;沙隆
PROV409;斯特拉斯堡
PROV410;科尔马
PROV411;南锡
PROV412;梅斯
PROV413;凡尔登
PROV414;埃皮纳勒
PROV415;鲁昂
PROV416;埃夫勒
PROV417;阿朗松
PROV418;卡昂
PROV419;海峡群岛
PROV420;布雷斯特
PROV421;圣布里厄
PROV422;瓦纳
PROV423;南特
PROV424;雷恩
PROV425;巴黎
PROV426;沙特尔
PROV427;默伦
PROV428;第戎
PROV429;欧塞尔
PROV430;穆兰
PROV431;马孔
PROV432;贝桑松
PROV433;隆勒索涅
PROV434;昂热
PROV435;拉瓦尔
PROV436;勒芒
PROV437;拉罗什
PROV438;奥尔良
PROV439;布尔日
PROV440;布卢瓦
PROV441;图尔
PROV442;拉罗谢尔
PROV443;普瓦捷
PROV444;昂古莱姆
PROV445;利摩日
PROV446;沙托鲁
PROV447;蒂勒
PROV448;克莱蒙费朗
PROV449;欧里亚克
PROV450;卡奥尔
PROV451;里昂
PROV452;圣埃蒂安
PROV453;瓦朗斯
PROV454;格勒诺布尔
PROV455;图卢兹
PROV456;蒙托邦
PROV457;富瓦
PROV458;波尔多
PROV459;蒙德马桑
PROV460;波城
PROV461;蒙彼利埃
PROV462;罗德兹
PROV463;卡尔卡松
PROV464;佩皮尼昂
PROV465;阿讷西
PROV466;尚贝里
PROV467;马赛
PROV468;阿维尼翁
PROV469;迪涅
PROV470;土伦
PROV471;弗雷瑞斯
PROV472;尼斯
PROV473;科西嘉
PROV474;拉科鲁尼亚
PROV475;奥维耶多
PROV476;维哥
PROV477;莱昂
PROV478;桑坦德
PROV479;布尔戈斯
PROV480;巴利亚多利德
PROV481;索里亚
PROV482;萨拉曼卡
PROV483;阿维拉
PROV484;巴达霍斯
PROV485;阿尔门德拉莱霍
PROV486;卡塞雷斯
PROV487;马德里
PROV488;锡古恩萨
PROV489;托莱多
PROV490;昆卡
PROV491;雷阿尔城
PROV492;毕尔巴鄂
PROV493;潘普洛纳
PROV494;洛格罗尼奥
PROV495;萨拉戈萨
PROV496;韦斯卡
PROV497;特鲁埃尔
PROV498;巴塞罗纳
PROV499;赫罗纳
PROV500;莱里达
PROV501;塔拉戈纳
PROV502;巴利阿里群岛
PROV503;巴伦西亚
PROV504;卡斯特利翁
PROV505;阿利坎特
PROV506;卡塔赫纳
PROV507;穆尔西亚
PROV508;阿尔瓦赛特
PROV509;塞维利亚
PROV510;科尔多瓦
PROV511;韦尔瓦
PROV512;加的斯
PROV513;格林纳达
PROV514;马拉加
PROV515;阿尔梅里亚
PROV516;哈恩
PROV517;直布罗陀
PROV518;波尔图
PROV519;雷阿尔城
PROV520;科维良
PROV521;里斯本
PROV522;科英布拉
PROV523;阿布兰特什
PROV524;塞图巴尔
PROV525;埃武拉
PROV526;贝雅
PROV527;法鲁
PROV528;汉堡
PROV529;劳恩堡
PROV530;吕贝克
PROV531;施塔德
PROV532;吕讷堡
PROV533;黑尔戈兰
PROV534;汉诺威
PROV535;宁堡
PROV536;不伦瑞克
PROV537;哥廷根
PROV538;奥斯纳布吕克
PROV539;不来梅
PROV540;奥尔登堡
PROV541;克洛彭堡
PROV542;林根
PROV543;埃姆登
PROV544;什未林
PROV545;施特雷利茨
PROV546;什切青
PROV547;斯维内明德
PROV548;施特拉尔松德
PROV549;柏林
PROV550;普伦茨劳
PROV551;普里茨瓦尔克
PROV552;科特布斯
PROV553;马格德堡
PROV554;埃尔福特
PROV555;德绍
PROV556;哈雷
PROV557;斯滕德尔
PROV558;德累斯顿
PROV559;莱比锡
PROV560;开姆尼茨
PROV561;魏玛
PROV562;哥达
PROV563;迈宁根
PROV564;法兰克福
PROV565;威斯巴登
PROV566;卡塞尔
PROV567;吉森
PROV568;富尔达
PROV569;曼海姆
PROV570;美因茨
PROV571;凯撒斯劳滕
PROV572;特里尔
PROV573;萨尔布吕肯
PROV574;克罗伊茨纳赫
PROV575;科隆
PROV576;亚琛
PROV577;克莱沃
PROV578;杜塞尔多夫
PROV579;科布伦茨
PROV580;多特蒙德
PROV581;明斯特
PROV582;明登
PROV583;锡根
PROV584;科尔巴赫
PROV585;代特莫尔德
PROV586;卡尔斯鲁厄
PROV587;弗赖堡
PROV588;康斯坦茨
PROV589;斯图加特
PROV590;海尔布隆
PROV591;蒂宾根
PROV592;奥格斯堡
PROV593;乌尔姆
PROV594;锡格马林根
PROV595;纽伦堡
PROV596;阿沙芬堡
PROV597;维尔茨堡
PROV598;拜罗伊特
PROV599;慕尼黑
PROV600;兰茨胡特
PROV601;因戈尔施塔特
PROV602;雷根斯堡
PROV603;苏黎世
PROV604;巴塞尔
PROV605;伯尔尼
PROV606;卢塞恩
PROV607;日内瓦
PROV608;纳沙泰尔
PROV609;锡永
PROV610;波纳佩
PROV611;库尔
PROV612;因斯布鲁克
PROV613;萨尔茨堡
PROV614;布雷根茨
PROV615;利恩茨
PROV616;格拉茨
PROV617;尤登堡
PROV618;克拉根福
PROV619;维也纳
PROV620;圣珀尔滕
PROV621;克雷姆斯
PROV622;林茨
PROV623;索普隆
PROV624;艾森斯塔特
PROV625;布拉格
PROV626;赫拉德茨克拉洛韦
PROV627;卡尔斯巴德
PROV628;奥西希
PROV629;皮尔森
PROV630;布杰约维采
PROV631;布尔诺
PROV632;奥洛穆茨
PROV633;布拉迪斯拉发
PROV634;特伦钦
PROV635;尼特拉
PROV636;班斯卡比斯特里察
PROV637;科希策
PROV638;罗日尼亚瓦
PROV639;佐洛埃格塞格
PROV640;佩奇
PROV641;布达佩斯
PROV642;杰尔
PROV643;塞克什白堡
PROV644;考波什堡
PROV645;凯奇凯梅特
PROV646;米什科尔茨
PROV647;奥拉迪亚
PROV648;德布勒森
PROV649;塞格德
PROV650;贝凯什乔包
PROV651;索特马尔
PROV652;蒂米什瓦拉
PROV653;雷希察
PROV654;克卢日
PROV655;阿尔巴尤利亚
PROV656;德瓦
PROV657;锡比乌
PROV658;夏威夷
PROV659;布劳绍
PROV660;乌德沃尔海伊
PROV661;比斯特里察
PROV662;切尔诺夫策
PROV663;苏恰瓦
PROV664;布加勒斯特
PROV665;特尔古日乌
PROV666;克拉约瓦
PROV667;特尔戈维什泰
PROV668;布勒伊拉
PROV669;克勒拉希
PROV670;雅西
PROV671;博托沙尼
PROV672;巴克乌
PROV673;加拉茨
PROV674;康斯坦察
PROV675;图尔恰
PROV676;基希讷乌
PROV677;巴蒂
PROV678;伊兹梅尔
PROV679;科勒贝格
PROV680;科沙林
PROV681;科斯琴
PROV682;弗罗茨瓦夫
PROV683;莱格尼察
PROV684;奥波莱
PROV685;卡托维兹
PROV686;莱恩群岛
PROV687;格尔利茨
PROV688;特罗保
PROV689;切申
PROV690;但泽
PROV691;图霍拉
PROV692;瓦乌奇
PROV693;埃尔宾
PROV694;托伦
PROV695;柯尼斯堡
PROV696;奥尔什丁
PROV697;贡宾
PROV698;梅梅尔
PROV699;波森
PROV700;布朗贝尔格
PROV701;格涅兹诺
PROV702;利沃夫
PROV703;克拉科夫
PROV704;诺维松奇
PROV705;普热梅希尔
PROV706;华沙
PROV707;苏瓦乌基
PROV708;普沃茨克
PROV709;沃姆扎
PROV710;斯凯尔涅维采
PROV711;谢德尔采
PROV712;罗兹
PROV713;拉多姆
PROV714;塔尔努夫
PROV715;卢布林
PROV716;凯尔采
PROV717;卡利什
PROV718;明斯克
PROV719;比亚里斯托克
PROV720;都灵
PROV721;奥斯塔
PROV722;诺瓦拉
PROV723;亚历山德里亚
PROV724;热那亚
PROV725;萨沃纳
PROV726;米兰
PROV727;贝加莫
PROV728;布雷西亚
PROV729;威尼斯
PROV730;维罗纳
PROV731;帕多瓦
PROV732;特雷维索
PROV733;乌迪内
PROV734;特伦特
PROV735;博尔扎诺
PROV736;的里雅斯特
PROV737;戈里齐亚
PROV738;帕尔马
PROV739;摩德纳
PROV740;马萨
PROV741;博洛尼亚
PROV742;费拉拉
PROV743;拉文纳
PROV744;佛罗伦萨
PROV745;里窝那
PROV746;卢卡
PROV747;锡耶纳
PROV748;格罗塞托
PROV749;罗马
PROV750;维泰博
PROV751;佩鲁贾
PROV752;安科纳
PROV753;亚奎拉
PROV754;那不勒斯
PROV755;萨勒诺
PROV756;巴里
PROV757;福贾
PROV758;布林迪西
PROV759;雷焦卡拉布里亚
PROV760;卡坦扎罗
PROV761;波坦察
PROV762;巴勒莫
PROV763;墨西拿
PROV764;卡塔尼亚
PROV765;卡利亚里
PROV766;萨萨里
PROV767;马里博尔
PROV768;卢布尔雅那
PROV769;波斯托伊纳
PROV770;普拉
PROV771;萨格勒布
PROV772;西萨克
PROV773;卡尔洛瓦茨
PROV774;塞尼
PROV775;拉兹丁
PROV776;别洛瓦尔
PROV777;波热加
PROV778;尤梅
PROV779;奥西耶克
PROV780;斯普利特
PROV781;扎达尔
PROV782;杜布罗夫尼克
PROV783;萨拉热窝
PROV784;比哈奇
PROV785;巴尼亚卢卡
PROV786;图兹拉
PROV787;福查
PROV788;莫斯塔尔
PROV789;利夫诺
PROV790;基特韦
PROV791;米特罗维察
PROV792;潘切沃
PROV793;武科瓦尔
PROV794;贝尔格莱德
PROV795;博尔
PROV796;克拉古耶瓦茨
PROV797;乌日采
PROV798;尼什
PROV799;莱斯科瓦茨
PROV800;乌尔齐尼
PROV801;塔希提岛
PROV802;普里什蒂纳
PROV803;普里兹伦
PROV804;新帕扎尔
PROV805;萨罗尼加
PROV806;斯科普里
PROV807;比托拉
PROV808;佩特里奇
PROV809;索非亚
PROV810;维丁
PROV811;鲁塞
PROV812;普利文
PROV813;舒门
PROV814;瓦尔纳
PROV815;普罗夫迪夫
PROV816;斯塔拉扎戈拉
PROV817;布尔加斯
PROV818;锡利斯特拉
PROV819;弗洛里纳
PROV820;格雷韦纳
PROV821;埃泽萨
PROV822;波利伊罗斯
PROV823;卡瓦拉
PROV824;约阿尼纳
PROV825;阿尔塔
PROV826;克基拉岛
PROV827;萨特
PROV828;埃迪尔内
PROV829;赞茜
PROV830;亚历山德鲁波利斯
PROV831;拉里萨
PROV832;沃洛斯
PROV833;特里卡拉
PROV834;雅典
PROV835;阿姆菲萨
PROV836;拉米亚
PROV837;迈索隆吉翁
PROV838;哈尔基斯
PROV839;纳夫普利翁
PROV840;科林斯
PROV841;卡拉玛达
PROV842;帕特雷
PROV843;希俄斯
PROV844;米蒂利尼
PROV845;基克拉泽斯
PROV846;多德卡尼斯
PROV847;哈尼亚
PROV848;伊拉克利翁
PROV849;地拉那
PROV850;斯库台
PROV851;都拉斯
PROV852;发罗拉
PROV853;吉诺卡斯特
PROV854;马耳他
PROV855;尼科西亚
PROV856;利马索尔
PROV857;法马古斯塔
PROV858;克尔克拉雷利
PROV859;加利波利
PROV860;伊斯坦布尔
PROV861;于斯屈达尔
PROV862;伊兹米特
PROV863;布尔萨
PROV864;巴勒克西尔
PROV865;恰纳卡莱
PROV866;阿菲永
PROV867;屈塔希亚
PROV868;埃斯基谢希尔
PROV869;伊兹密尔
PROV870;马尼萨
PROV871;德尼兹利
PROV872;穆拉
PROV873;科尼亚
PROV874;布尔杜尔
PROV875;安塔利亚
PROV876;安卡拉
PROV877;阿马西亚
PROV878;开塞利
PROV879;锡瓦斯
PROV880;卡斯塔莫努
PROV881;博卢
PROV882;特拉布宗
PROV883;锡诺普
PROV884;吉雷松
PROV885;卡尔斯
PROV886;阿尔达汉
PROV887;埃尔祖鲁姆
PROV888;埃尔津詹
PROV889;马拉蒂亚
PROV890;凡城
PROV891;比特利斯
PROV892;哈卡里
PROV893;迪亚巴克尔
PROV894;亚达那
PROV895;梅尔辛
PROV896;马拉什
PROV897;阿勒颇
PROV898;安泰普
PROV899;乌尔法
PROV900;安条克
PROV901;代尔祖尔
PROV902;大马士革
PROV903;霍姆斯
PROV904;哈马尔
PROV905;拉塔基亚
PROV906;苏韦达
PROV907;帕尔迈拉
PROV908;安曼
PROV909;杰拉什
PROV910;阿-鲁瓦西
PROV911;马安
PROV912;巴勒贝克
PROV913;贝鲁特
PROV914;爱斯开勒
PROV915;西顿
PROV916;阿卡
PROV917;耶路撒冷
PROV918;纳布卢斯
PROV919;贾法
PROV920;加沙
PROV921;贝尔谢巴
PROV922;亚喀巴
PROV923;摩苏尔
PROV924;阿比尔
PROV925;基尔库克
PROV926;巴格达
PROV927;萨迈拉
PROV928;曼代利
PROV929;卡尔巴拉
PROV930;库特
PROV931;鲁特拜
PROV932;巴士拉
PROV933;拉希迪耶
PROV934;纳杰夫
PROV935;科威特
PROV936;格罗德诺
PROV937;布列斯特
PROV938;利达
PROV939;巴拉诺维奇
PROV940;平斯克
PROV941;斯卢茨克
PROV942;莫济里
PROV943;斯摩棱斯克
PROV944;奥尔沙
PROV945;维捷布斯克
PROV946;波洛茨克
PROV947;帕斯特维
PROV948;莫吉廖夫
PROV949;戈梅利
PROV950;乌日哥罗德
PROV951;斯特瑞
PROV952;捷尔诺波尔
PROV953;斯塔尼斯劳沃夫
PROV954;文尼察
PROV955;普洛斯克罗夫
PROV956;罗夫诺
PROV957;科威尔
PROV958;基辅
PROV959;科罗斯坚
PROV960;日托米尔
PROV961;切尔卡瑟
PROV962;切尔尼戈夫
PROV963;波尔塔瓦
PROV964;辛菲罗波尔
PROV965;赫尔松
PROV966;刻赤
PROV967;塞瓦斯托波尔
PROV968;敖德萨
PROV969;五一镇
PROV970;尼古拉耶夫
PROV971;克里沃罗格
PROV972;叶加特林诺斯拉夫
PROV973;梅利托波尔
PROV974;克拉马托尔斯克
PROV975;尤佐夫卡
PROV976;马里乌波尔
PROV977;库尔斯克
PROV978;哈尔科夫
PROV979;罗斯托夫
PROV980;卢甘斯克
PROV981;阿尔汉格尔斯克
PROV982;佩琴加
PROV983;坎达拉克沙
PROV984;科斯托穆克沙
PROV985;梅津
PROV986;纳里扬马尔
PROV987;瑟克特夫卡尔
PROV988;波维恩特斯
PROV989;沃洛格达
PROV990;科特拉斯
PROV991;乌格利奇
PROV992;别洛焦尔斯克
PROV993;韦特尔加
PROV994;圣彼得堡
PROV995;彼得罗扎沃茨克
PROV996;卢加
PROV997;格多夫
PROV998;特维尔
PROV999;勒热夫
PROV1000;斯塔里察
PROV1001;雅罗斯拉夫尔
PROV1002;呼伦贝尔
PROV1003;诺夫哥罗德
PROV1004;季赫温
PROV1005;博罗维奇
PROV1006;普斯科夫
PROV1007;大卢基
PROV1008;莫斯科
PROV1009;波罗地诺
PROV1010;卡卢加
PROV1011;图拉
PROV1012;梁赞
PROV1013;弗拉基米尔
PROV1014;维亚济马
PROV1015;佩列梅什利
PROV1016;布良斯克
PROV1017;奥廖尔
PROV1018;别尔哥罗德
PROV1019;沃罗涅茨
PROV1020;下诺夫哥罗德
PROV1021;奔萨
PROV1022;伊万诺沃
PROV1023;科斯特罗马
PROV1024;加利奇
PROV1025;坦波夫
PROV1026;彼尔姆
PROV1027;韦特卢加
PROV1028;维亚特卡
PROV1029;格拉佐夫
PROV1030;喀山
PROV1031;萨拉普尔
PROV1032;奇斯托波尔
PROV1033;辛比尔斯克
PROV1034;萨马拉
PROV1035;塞兹兰
PROV1036;阿斯特拉罕
PROV1037;萨拉托夫
PROV1038;诺乌泽恩斯克
PROV1039;察里津
PROV1040;扎罗维卡
PROV1041;叶利察
PROV1042;乌法
PROV1043;布祖卢克
PROV1044;奥伦堡
PROV1045;米格林斯克亚
PROV1046;奇尔斯卡亚
PROV1047;亚速
PROV1048;克拉斯诺伏斯克
PROV1049;新罗西斯克
PROV1050;斯塔夫罗波尔
PROV1051;阿迪格
PROV1052;杰尔宾特
PROV1053;古尼布
PROV1054;弗拉季高加索
PROV1055;格罗兹尼
PROV1056;皮亚季戈尔斯克
PROV1057;基兹利亚尔
PROV1058;叶卡捷琳堡
PROV1059;车里雅宾斯克
PROV1060;奥尔斯克
PROV1061;秋明
PROV1062;别列佐夫
PROV1063;托木斯克
PROV1064;鄂木斯克
PROV1065;下瓦尔托夫斯克
PROV1066;托博尔斯克
PROV1067;巴尔瑙尔
PROV1068;戈尔诺-阿尔泰斯克
PROV1069;维柳伊斯克
PROV1070;布良卡
PROV1071;拜坦塔斯克
PROV1072;鄂霍次克
PROV1073;叶夫斯克
PROV1074;彼得罗巴甫洛夫斯克
PROV1075;伊尔库茨克
PROV1076;布拉茨克
PROV1077;克拉斯诺亚尔斯克
PROV1078;赤塔
PROV1079;涅尔琴斯科
PROV1080;车诺明
PROV1081;阿尔巴津
PROV1082;海参崴
PROV1083;伯力
PROV1084;庙街
PROV1085;海兰泡
PROV1086;北库页岛
PROV1087;南库页岛
PROV1088;占守岛
PROV1089;择捉岛
PROV1090;第比利斯
PROV1091;帕萨纳乌里
PROV1092;库塔伊西
PROV1093;阿哈尔齐赫
PROV1094;波季
PROV1095;苏呼米
PROV1096;巴特姆
PROV1097;新喀里多尼亚
PROV1098;埃里温
PROV1099;久姆里
PROV1100;卡潘
PROV1101;纳希切万
PROV1102;巴库
PROV1103;斯亚泽恩
PROV1104;舍基
PROV1105;甘贾
PROV1106;阿格达姆
PROV1107;连科兰
PROV1108;大不里士
PROV1109;霍伊
PROV1110;乌尔米耶
PROV1111;马哈巴德
PROV1112;阿尔达比勒
PROV1113;拉什特
PROV1114;瑙沙赫尔
PROV1115;萨里
PROV1116;戈尔甘
PROV1117;克尔曼沙阿
PROV1118;萨南达季
PROV1119;伊拉姆
PROV1120;霍拉马巴德
PROV1121;德黑兰
PROV1122;哈马丹
PROV1123;赞詹
PROV1124;加兹温
PROV1125;库姆
PROV1126;塞姆南
PROV1127;伊斯法罕
PROV1128;阿拉克
PROV1129;卡尚
PROV1130;亚兹德
PROV1131;阿瓦士
PROV1132;阿巴丹
PROV1133;迪兹富勒
PROV1134;德库尔德
PROV1135;设拉子
PROV1136;布希尔
PROV1137;亚苏季
PROV1138;卡根
PROV1139;锡尔詹
PROV1140;克尔曼
PROV1141;伦格港
PROV1142;阿巴斯港
PROV1143;巴姆
PROV1144;扎黑丹
PROV1145;贾斯克
PROV1146;查赫巴尔
PROV1147;马什哈德
PROV1148;比尔詹德
PROV1149;萨卜泽瓦尔
PROV1150;博季努尔德
PROV1151;麦加
