#Powered_by_ParaTranz
WARSUBSIDIES_DI;提供战争援助
unification_casus_belli_short;解放$STATE$
POP_PROMOTE_INFO_ON_SEL;最近$WHERE$注册了$VAL$个$WHO$
POP_LEAVE_INFO_ON_SEL;最近$WHERE$失去了$VAL$个$WHO$
DOMINION;自治领
SATELLITE;卫星国
DOMINION_OF_NOCOLOR;自治领 归属
SATELLITE_OF_NOCOLOR;卫星国 归属
DIPLOMACY_CANNOT_SET_PRIO_MYVASSAL;他们是我们的?Y$TYPE$?W，会永远在我们的?Y势力范围?W内
DIPLOMACY_TRUCE_WITH;休战：
DIPLOMACY_CASUSBELLIS;战争借口：
tut_1c_9;正如我们之前提到的，当一个附加了旅的人群暴动时这个旅也会随之暴动。如果一个旅在其人口图标后方有一个叛军图标的话，这意味着它所属的人群是一个反叛集团的成员。这是非常危险的。确认这个人群的状态及其政治观点的一个方法是点击该单位界面的人群图标以打开人口界面。现在，请点击下一步继续。
BUDGET_VIEW_CRIME_FIGHT;治安效果：
POP_CURRENT_PROD;当前生产：
ALREADY_ASSIMILATED;主体民族或可接受民族
TCP_SERVER_LOST;传输存档时丢失主机！
tut_7b_6;全球市场上的价格每天都会根据供应和需求的变化而设定。当前的供应和需求会设定一个实际价格将不断接近之的目标价格，你一定要关注物资价格的发展，这对你来说是非常重要的。当轻武器的价格上涨时，也许就是时候开建一座新的工厂了。价格旁边的箭头符号代表了其价格是在上涨（绿色）、不变（黄色）还是下降（红色）。请点击下一步继续。
tut_7b_8;下方的图片是世界市场中风帆运输船的示例图。底部的图标显示了我们当前是在出售还是购买该项物资，以及该项物资的贸易是由AI自动进行或不是。政府（玩家或AI）可以通过两种方式在市场上进行购买或出售，设定贸易规则或通过自动贸易。点击风帆运输船的图标去观察一项自动贸易。
DIPLO_CALL_ALLIES;召唤盟友
RULE_OPEN_FACTORY;打开/关闭工厂
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_TOOLTIP;我们?R不能?W摧毁这个工厂的原因:
BE_ANNEXED;被吞并
PW_COLONY_NO_STATE;需要可接受民族至少?Y$NUM$?W%的人口成为官僚才能将殖民地转化为正式国土，当前这个比例为?Y$CURR$?W%
REMOVE_PW_COLONY_NO_STATE;需要可接受民族至少?Y$NUM$?W%的人口成为官僚才能将殖民地转化为正式国土，当前这个比例为?Y$CURR$?W%
BAD_SAVE;出错：存档损坏
tut_4c_12b;现在请转到陆军科技界面。
USA_reactionary;南方民主党人
MILITARY_DIG_IN_CAP;战壕深度
MILITARY_MILITARY_TACTICS;军事战术
COUNTRYALERT_NO_CanDoDecisions;当前没有什么决议值得我们关注
POP_OTHER_LABEL;其他
annex_hawaii_title;纽兰兹决议
annex_hawaii_desc;纽兰兹决议是美国国会于1898年通过的一项共同决议案，由国会议员弗兰西斯·G·纽兰兹命名，它将夏威夷共和国并入了美国，获得了夏威夷的领土。
ionian_islands_question_title;伦敦条约（1864）
ionian_islands_question_desc;拿破仑战争结束后英国就获得了爱奥尼亚诸岛的宗主权。在1862年，相对其价值来说维系宗主权的花费被认为过于高昂，经过两年的协商后它们被割让给希腊。
WARSUBSIDIES_DESC;每天提供?Y$MONEY$?W以帮助该国
release_puppet;释放傀儡国
release_puppet_short;使$THIRD$独立
release_puppet_setup;使$RECIPIENT$释放$THIRD$
release_puppet_desc;使一个?Y国家?W从其宗主国独立
IS_NOT_OUR_VASSAL;不是我们的傀儡国
IS_OUR_VASSAL;是我们的傀儡国
COUNTRYALERT_HaveOrganizingRebels;反叛集团正在我国组织起来！
TOTAL_REBEL_POP;反叛集团成员
PROV2918;贝宁海湾
PROV2921;几内亚海岸
PROV2922;塞内冈比亚海岸
NUMBER_OF_EMIREES;本月有?Y$NUM$?W人出国
NUMBER_OF_IMMIGREES;本月有?Y$NUM$?W人入境
alaskan_purchase_title;西沃德的冰箱
alaskan_purchase_desc;由于克里米亚战争的后果，俄罗斯开始相信在另一场与英国的战争中没有希望保住其北美领地，于是希望将其出售并变成美国的阿拉斯加州。这片领土于1867年被美国以每英亩2.3分的价格购入。在当时的国务卿威廉·亨利·西沃德推动并完成之后，购买阿拉斯加被美国人普遍嘲讽为“西沃德的冰箱”。
EVTNAME32509;阿拉斯加购买？
EVTDESC32509;我们在华盛顿大使馆的临时代办爱德华·安德烈维奇·斯托克尔抛出的试探有了结果，美国今天表示可以开始就出售我们在北美的领土进行磋商。美国人为阿拉斯加地区向我们开出了每英亩2.3分的价格，这个价格看起来相对公平。殖民地很难在于英国的战争中幸存，所以现在将其定价抛售并非是个坏注意。你怎么看，$MONARCHTITLE$？
EVTOPTA32509;反正我们现在很艰难
EVTOPTB32509;不，我不这样想。也许将来某天我们可以在那儿建一座桥？
EVTNAME32510;俄罗斯接受！
EVTDESC32510;$MONARCHTITLE$，俄罗斯同意出售阿拉斯加给我们！
EVTOPTA32510;太好了！
EVTNAME32511;俄罗斯拒绝！
EVTDESC32511;$MONARCHTITLE$，与俄罗斯之间就出售阿拉斯加地区的协商已经停止，俄罗斯拒绝出售那个地区给我们。
EVTOPTA32511;可恨！
IS_DISARMED;已经被解除武装
IS_NOT_DISARMED;没有被解除武装
TRUCE_LASTS_UNTIL;休战协议持续到?Y$DATE$?W
LOBBY_HOST_ONLY;只有主机可以开始游戏
LOBBY_WAITING;你必须等待所有玩家开始，或者踢掉已经消失的玩家
NO_UNIT_TECH;要组建?Y$UNIT$?W，我们必须先研究?Y$TECH$?W
NO_UNIT_REGIMENTS;我们无法组建?Y$UNIT$?W，需要更多的?Y士兵?W
NO_UNIT_PORTS;我们无法组建?Y$UNIT$?W，需要一个?Y沿海?W省份
DIPLOMACY_WARDIALOG_ALLIES;?Y$COUNTRY$?W受到下列国家的保护：
DIPLOMACY_WARDIALOG_NUM_ALLIES;?Y$COUNTRY$?W受到?Y$NUM$?W个国家的保护
DIPLOMACY_WARDIALOG_ALLY;盟国
WARGOAL_WE_ACCEPT_HEADER;外相报告
WARGOAL_WE_ACCEPT_1;$MONARCHTITLE$
WARGOAL_WE_ACCEPT_2;$ACTOR$已经决定扩大与我们的战争以要求
WARGOAL_WE_ACCEPT_3;$WARGOAL$
WARGOAL_WE_ACCEPT_4;这些蠢货觉得我们会答应。
WARGOAL_WE_ACCEPT_5;*
WARGOAL_WE_ACCEPT_6;我们将惩罚他们的傲慢。
WARGOAL_WE_ACCEPT_BTN1;好的
WARGOAL_WE_ACCEPT_BTN2;好的
WARGOAL_WE_ACCEPT_BTN3;查看
WARGOAL_WE_ACCEPT_LOG;$ACTOR$扩大了他们与我们的战争以获得$WARGOAL$。
WARGOAL_THEY_ACCEPT_HEADER;外相报告
WARGOAL_THEY_ACCEPT_1;$MONARCHTITLE$
WARGOAL_THEY_ACCEPT_2;我们已经决定扩大我们的战争以要求
WARGOAL_THEY_ACCEPT_3;$WARGOAL$
WARGOAL_THEY_ACCEPT_4;我们希望$RECIPIENT$能通情达理
WARGOAL_THEY_ACCEPT_5;*
WARGOAL_THEY_ACCEPT_6;现在他们将为其短视付出代价。
WARGOAL_THEY_ACCEPT_BTN1;好的
WARGOAL_THEY_ACCEPT_BTN2;好的
WARGOAL_THEY_ACCEPT_BTN3;查看
WARGOAL_THEY_ACCEPT_LOG;我们扩大了与$RECIPIENT$的战争以获得$WARGOAL$。
WARGOAL_OTHER_ACCEPT_HEADER;外相报告
WARGOAL_OTHER_ACCEPT_1;$MONARCHTITLE$
WARGOAL_OTHER_ACCEPT_2;我们听说了遥远地方的传闻
WARGOAL_OTHER_ACCEPT_3;看起来$ACTOR$
WARGOAL_OTHER_ACCEPT_4;已经扩大了他们与$RECIPIENT$的战争
WARGOAL_OTHER_ACCEPT_5;以获得$WARGOAL$
WARGOAL_OTHER_ACCEPT_6;就像我们所关心的。
WARGOAL_OTHER_ACCEPT_BTN1;好的
WARGOAL_OTHER_ACCEPT_BTN2;好的
WARGOAL_OTHER_ACCEPT_BTN3;查看
WARGOAL_OTHER_ACCEPT_LOG;$ACTOR$扩大了他们与$RECIPIENT$的战争以获得$WARGOAL$。
NO_GP_ACTION_ON_SELF;将我们自己作为目标是愚蠢的
OL_VIEW_SIEGES;开关?Y围城?W快捷栏
BADBOY_EFFECT;$DIRECTION$$VALUE$恶名\n
unification_annex_casus_belli;统一战争
unification_annex_casus_belli_desc;解放我们?Y文化圈?W的核心领土
unification_annex_casus_belli_setup;解放我们?Y文化圈?W的核心领土
unification_annex_casus_belli_short;吞并
enlightenment_thought;权利思想
enlightenment_thought_desc;权利思想
NORMAL_WAR_UNIFICATION_ANNEX_NAME;$ORDER$$FIRST$解放$SECOND$
AGRESSION_WAR_UNIFICATION_ANNEX_NAME;$ORDER$$FIRST$解放$SECOND$
springtime_of_nations;万国之春！
springtime_of_nations_desc;沉睡的欧洲民族觉醒过来对抗专制与暴政
HND_conservative;国民会议党
HND_liberal;独立党
HND_reactionary;国民阵线
HND_anarcho_liberal;自由党
HND_socialist;印度国民大会党
HND_communist;共产党
HND_fascist;统一党
HND;印度
WEDID_ISDISCREDITED_DESC;诽谤效果持续到?Y$UNTIL$?W，我国仍受其影响。
WEDID_ISBANNEDEMBASSY_DESC;封锁使馆效果持续到?Y$UNTIL$?W，我国仍受其影响。
OTHER_MUST_NEGOTIATE_WITH_WAR_LEADER;在战争结束前我们不能同敌方的?Y战争领袖?W进行协商。和平协议只能在?Y$ENEMY$?W与?Y$COUNTRY$?W之间签署。
unification_humiliate_cb;宣示霸权
REMOVE_unification_humiliate_cb_desc;羞辱其他列强来向你的文化圈展示领袖地位
REMOVE_unification_humiliate_cb_setup;羞辱其他列强来向你的文化圈展示领袖地位
unification_humiliate_cb_short;承认霸权
NORMAL_UNIFICATION_HUMILIATE_NAME;$FIRST$ - $SECOND$ 兄弟之战
AGRESSION_UNIFICATION_HUMILIATE_NAME;$FIRST$ - $SECOND$ 兄弟之战
PRODUCTION_REQUIRED_DAILY_INPUTS;所需每日输入：
PRODUCTION_DAILY_OUTPUT;每日输出：
COUNTRYALERT_NO_HasClosedFactories;我国没有破产的工厂
COUNTRYALERT_HasClosedFactories;在下列地区有破产的工厂：
CHI_1496;香港与澳门
ANY_STATE_STARTS;任何情况
indian_sepoys_title;印度兵变
indian_sepoys_name;印度兵
indian_sepoys_desc;印度兵“Sepoy”的语源是波斯语的“Siphai”，含义为士兵，通常用来称呼为欧洲人效力的印度士兵。在1857年，部分被英国东印度公司雇佣的印度兵发动了反抗英国统治的兵变，这个事件同时被称为“印度兵变”和“印度第一次独立战争”。发动兵变的士兵们为了将印度从殖民统治中解放出来而战。
indian_sepoys_army;印度兵变
HND_ADJ;印度的
ALD;阿尔及利亚
REMOVED_BUDGET_CANT_LOAN_DESC;银行只会在你满足支付利息及非敌对的情况下才会贷款给你。外国银行为了安全上的原因永远不会贷给你超出他们可用款项$MAXLOAN$%的资金。
WE_ARE_DISCREDITED;我们是不名誉的
INFLUENCE_NEIGHBOUR;邻国
INFLUENCE_OTHER_CONTINENT;另一大洲的国家
INFLUENCE_RELATIVE;总分数与我国的差距
INFLUENCE_AT_MAX;我们无法在单个国家拥有超过?Y$MAX$?W点的影响力
DIPLOMACY_DAILYINFLULENCE_GAIN;我们每天获得?Y$NUM$?W点对?Y$COUNTRY$?W的影响力，我们获得影响力的基础值为?Y$BASE$?W点
DECL_WAR_NO_VASSAL;我们无法对?Y卫星国?W或?Y自治领?W宣战
austrian_form_south_german_confederation_title;南德意志邦联
austrian_form_south_german_confederation_desc;当德意志帝国尚未统一之前，随着普法战争的进展，十九世纪高涨的民族主义已经表现出了统一的倾向，1848年的法兰克福国民议会则是一个重要的先驱。通过达成南德意志诸邦中的主导地位，我们可以成立南德意志邦联。
OL_HOSTILE_SIEGES;敌方围城
OL_VIEW_HOSTILE_SIEGES;开关?Y敌方围城?W快捷栏
civil_war_setup;为了再次将我们的国家统一到同一面旗帜下而战
POOR_MILITANCY_MORE_THAN;贫困阶层斗争性超过
MIDDLE_MILITANCY_MORE_THAN;中产阶层斗争性超过
RICH_MILITANCY_MORE_THAN;富裕阶层斗争性超过
POOR_MILITANCY_LESS_THAN;贫困阶层斗争性少于
MIDDLE_MILITANCY_LESS_THAN;中产阶层斗争性少于
RICH_MILITANCY_LESS_THAN;富裕阶层斗争性少于
PRODUCTION_SORT_BY_AVAILABLE_WORKFORCE_TOOLTIP;按失业?Y$TYPE$?W排序
PRODUCTION_SORT_BY_AVG_INVESTORS_TOOLTIP;按地区的平均?Y$TYPE$?W排序
PRODUCED_DETAIL;我国当前可用$VAL$
TRADE_AVAILABLE;可用
SPA_2517;密克罗尼西亚
hungarian_culture_group;匈牙利人
polish_culture_group;波兰人
czecho_slovak_culture_group;捷克斯洛伐克人
DZG_ADJ;但泽的
EVTNAME13201;外交使团被围！
EVTDESC13201;$FROMCOUNTRY$的消息传到了我们这里，当地统治者将我们的外交人员从该国驱逐，并且他们的部队以强制实行的姿态将我们的大使馆围困起来。这件事将发展为国际形象的巨大损失，除非向$FROMCOUNTRY$正式宣战。先生，我们应该怎样应对？
EVTOPTA13201;武力！
EVTOPTB13201;也许我们可以让$FROMCOUNTRY_ADJ$龙睡下。
annex_core_country;恢复秩序
annex_core_country_short;吞并$RECIPIENT$
annex_core_country_setup;吞并$RECIPIENT$
annex_core_country_desc;吞并一个?Y国家?W所有含有你的核心的省份
liberal_rebels_title;雅各宾派
liberal_rebels_name;雅各宾派
liberal_rebels_desc;自由主义的雅各宾派为了国家的政府能纳入更广大阶层的民众而奋斗。在一个绝对君主制国家他们会要求实行君主立宪制，在其他情况下他们都希望建立民主制度。
liberal_rebels_army;共和国卫队
NORMAL_WAR_RESTORE_ORDER_NAME;$ORDER$$FIRST$恢复$SECOND$秩序
AGRESSION_WAR_RESTORE_ORDER_NAME;$ORDER$$FIRST$恢复$SECOND$秩序
NOT_ENOUGH_FOR_BRIGADE;现在尚未完全动员一个旅
