#Powered_by_ParaTranz
MIL_FROM_TROOPS;陆军士兵
MIL_MULTI_CONSTRUCTION_TOOLTIP;?Y鼠标左键 + SHIFT?!建造全部
MIL_CONSTRUCTION_CANCEL_ALL_SHORT;取消全部
MIL_CONSTRUCTION_CANCEL_ALL;取消全部建设
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_TITLE;取消全部建设
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_DESC;你确定要取消全部军事建设吗？
SORT_BY_PRESTIGE;按威望排列
SORT_BY_NAME;按名称排列
SORT_BY_SELECTED;按已选择排列
ATTACKUSREBEL_SETUP;当部队被叛军攻击
ATTACKUSREBEL_HEADER;陆军部长报告
ATTACKUSREBEL_1;部队遭到攻击！
ATTACKUSREBEL_2;$MONARCHTITLE$
ATTACKUSREBEL_3;我们在$PROV$遭到攻击
ATTACKUSREBEL_4;$ATTACKER$与我军交战
ATTACKUSREBEL_5;*
ATTACKUSREBEL_6;*
ATTACKUSREBEL_LOG;我军在$PROV$遭到攻击
ATTACKUSREBEL_BTN1;好的
ATTACKUSREBEL_BTN2;好的
ATTACKUSREBEL_BTN3;转到
ATTACKUSREBEL_MAP;遭到攻击！
ATTACKTHEMREBEL_SETUP;当部队攻击叛军
ATTACKTHEMREBEL_HEADER;陆军部长报告
ATTACKTHEMREBEL_1;攻击敌军！
ATTACKTHEMREBEL_2;$MONARCHTITLE$
ATTACKTHEMREBEL_3;我们在$PROV$攻击敌军
ATTACKTHEMREBEL_4;我军攻击$DEFENDER$，试图解除其武装
ATTACKTHEMREBEL_5;*
ATTACKTHEMREBEL_6;*
ATTACKTHEMREBEL_LOG;我军在$PROV$攻击敌军
ATTACKTHEMREBEL_BTN1;好的
ATTACKTHEMREBEL_BTN2;好的
ATTACKTHEMREBEL_BTN3;转到
ATTACKTHEMREBEL_MAP;攻击敌军
SIEGEUSREBEL_SETUP;当叛军开始占领我国领土
SIEGEUSREBEL_HEADER;$MESSENGER$
SIEGEUSREBEL_1;我国领土开始遭到占领
SIEGEUSREBEL_2;$MONARCHTITLE$，
SIEGEUSREBEL_3;$PROV$
SIEGEUSREBEL_4;开始遭到占领。不必担忧
SIEGEUSREBEL_5;$ATTACKER$
SIEGEUSREBEL_6;将很快在我军面前一败涂地
SIEGEUSREBEL_LOG;$PROV$开始遭到占领
SIEGEUSREBEL_BTN1;好的
SIEGEUSREBEL_BTN2;好的
SIEGEUSREBEL_BTN3;转到
SIEGEUSREBEL_MAP;*
SIEGETHEMREBEL_SETUP;当我军开始占领叛军领土
SIEGETHEMREBEL_HEADER;$MESSENGER$
SIEGETHEMREBEL_1;敌军领土开始遭到占领
SIEGETHEMREBEL_2;$MONARCHTITLE$，我军开始占领
SIEGETHEMREBEL_3;$PROV$。
SIEGETHEMREBEL_4;我军很快就会消灭
SIEGETHEMREBEL_5;$DEFENDER$。
SIEGETHEMREBEL_6;他们将乐于重回我国统治。
SIEGETHEMREBEL_LOG;我军开始占领$PROV$。
SIEGETHEMREBEL_BTN1;好的
SIEGETHEMREBEL_BTN2;好的
SIEGETHEMREBEL_BTN3;转到
SIEGETHEMREBEL_MAP;*
REMOVE_RANDOM_ECO_REFORMS_EFFECT;移除?R$VAL$?!经济改革\n
REMOVE_RANDOM_MIL_REFORMS_EFFECT;移除?R$VAL$?!军事改革\n
PRODUCTION_FACTORY_PURE_INCOME;昨日净收入：$VALUE$
PRODUCTION_FACTORY_MARKET_SPENDINGS;市场开支：$VALUE$
PRODUCTION_FACTORY_POP_PAYCHECKS;工人与资本家分成：$VALUE$
PRODUCTION_FACTORY_TOTAL_BALANCE;昨日结余：$VALUE$
PRODUCTION_FACTORY_TODAY_PROFIT;昨日盈利：$VALUE$
PRODUCTION_FACTORY_PROFITABILITY;平均盈利（过去的$DAYS$日）：$VALUE$
PRODUCTION_FACTORY_CURRENT_BUDGET;工厂现预算：$VALUE$
PRODUCTION_FACTORY_INVESTMENT;来自投资：$VALUE$
PRODUCTION_FACTORY_SUBSIDIES;来自补贴：$VALUE$
INFLUENCE_OVERFLOW_TOOLTIP;我们每天投入?Y$VALUE$?!响力点数，以减少其他国家的影响
TRADE_FLOW_PRODUCED;?Y生产者:?W
TRADE_FLOW_USED;?Y使用者:?W
TRADE_FLOW_MAY_BE_USED;?Y可能使用者:?W
TRADE_FLOW_TOTAL_PRODUCED;?Y总产出:?W
TRADE_FLOW_TOTAL_USED;?Y总使用:?W
TRADE_FLOW_RGO_NAME;原料产地
TRADE_FLOW_DESC_RGO;$POP$每天$ACTION$$AMOUNT$单位的$RESOURCE$
TRADE_FLOW_DESC_RGO_ACTION_MINING;开采
TRADE_FLOW_DESC_RGO_ACTION_FARMING;生产
TRADE_FLOW_DESC_ARTISAN;手工业者每天生产$AMOUNT$单位的$RESOURCE$
TRADE_FLOW_DESC_FACTORY;$STATE$的$FACTORY$每天生产$AMOUNT$单位的$RESOURCE$
TRADE_FLOW_CONSUME_DESC_ARTISAN;手工业者使用$AMOUNT$单位的$RESOURCE$来生产$OUTPUT$
TRADE_FLOW_CONSUME_DESC_RGO;$POP$使用$AMOUNT$单位的$RESOURCE$来生产$OUTPUT$
TRADE_FLOW_CONSUME_DESC_FACTORY;$STATE$的$FACTORY$使用$AMOUNT$单位的$RESOURCE$作为原料或者用于维持生产
TRADE_FLOW_CONSUME_DESC_POPS;$POP$使用$AMOUNT$单位的$RESOURCE$作为每日需求
TRADE_FLOW_CONSUME_DESC_MILITARY;军队使用$AMOUNT$单位的$RESOURCE$作为每日补给
TRADE_FLOW_MAY_USE_MILITARY_DESC;$INPUT$可能被军队用于补给
TRADE_FLOW_MAY_USE_DESC;$INPUT$可能被$PRODUCER$用来生产$OUTPUT$
TRADE_FLOW_MILITARY_SUPPLY;军队消耗
TRADE_FLOW_CURRENT_PRICE;现价:
TRADE_FLOW_DETAILS;细节
TRADE_FLOW_PART_OF_WORLD_PROD;世界产量的?Y$PERC$%
EMIGRATION_AT_PROVINCE_TOOLTIP;?Y移民到：?!n$EMILIST$\n?Y移民来自：?!n$IMMLIST$
NO_MIGRATIONS_FOUND1_TOOLTIP;省份属于：?Y$COUNTRY$?!
NO_MIGRATIONS_FOUND2_TOOLTIP;没有记录在案的跨国移民
NO_MIGRATIONS_FOUND3_TOOLTIP;（选择省份查看详情）
PROVINCE_VIEW_BUILD_ALL_TOOLTIP;（点击 + CTRL 在州内所有省份一起建设）
EMIGRATION_ENTRY_TOOLTIP;?R$NUM$?!去?Y$PROV$?!
IMMIGRATION_ENTRY_TOOLTIP;?G$NUM$?!来自?Y$PROV$?!
CB_GENERATION_SPEED_BONUS_ON_COLONY_COMPETITION;与?Y$COUNTRY$?!争殖民?Y$REGION$?!速度奖励?Y$BONUS$?!
CB_GENERATION_BONUS_TOOLTIP;与竞争国家：?Y$COUNTRIES$?!战争借口制造速度奖励：?Y$BONUS$?!
CB_GENERATION_BONUS_TROOPS_PRESENCE_TOOLTIP;（?Y$BONUS$?!自其他国家驻军）
CB_GENERATION_BONUS_OPPONENT_TROOPS_PRESENCE;（?Y$BONUS$?!为?Y$FOR$?!自?Y$AGAINST$?!驻军）
MODIFIER_CB_GENERATION_SPEED_MODIFIER;制造战争借口的速度
NOT_CONSTRUCTING_CASUS_BELLI_AGAINST;没有进行战争合理化以对付
MODIFIER_MOBILIZATION_IMPACT;动员影响
MOBILIZATION_IMPACT_LIMIT_DESC;动员影响?Y$IMPACT$?!于战争政策?Y$POLICY$?!可动员部队数量最大为?Y$UNITS$?!
MOBILIZATION_IMPACT_LIMIT_DESC2;（现役团数量为?Y$CURR$?!动员影响为?Y$IMPACT$?!
CONSTRUCTING_CASUS_BELLI_AGAINST;正在制造战争借口以对付
TRIGGER_CB_CREATION_NOT_DISCOVERED;没有在制造战争借口
TRIGGER_CB_CREATION_DISCOVERED;正在制造战争借口
TRIGGER_CB_PROGRESS_LESS;战争合理化进程：?Y$PERCENTAGE$?W
TRIGGER_CB_PROGRESS_ATLEAST;战争合理化进程低于：?Y$PERCENTAGE$?W
TRIGGER_IS_CONSTRUCTING_CB;正在制造战争借口：?Y$TYPE$?W
TRIGGER_IS_NOT_CONSTRUCTING_CB;没有在制造战争借口：?Y$TYPE$?W
NEED_RELATION_LESS;外交关系太好。关系需要低于?Y$LIMIT$?W，现在值为?Y$VAL$?W
ALREADY_MAKING_CB;我们已经在努力使对?Y$TARGET$?W开战合法合理
MAKE_CB_BUTTON;战争合理化
MAKE_CB_DESC;为开战制造一个理由
MAKE_CBTITLE;战争合理化
MAPMODE_11;原料产地地图
MAPMODE_12;人口密度地图
MAPMODE_13;民族地图
MAPMODE_14;势力范围地图
MAPMODE_15;补给上限地图
MAPMODE_16;政党支持地图
MAPMODE_17;国家排名地图
MAPMODE_18;移民地图
MAPMODE_20;外交关系地图
WORLD_RANKING;国家排名:
WORLD_RANKING_SECONDARY_POWER;?Y$COUNTRY$?W是次强
POPULATION_DENSITY_AT_PROVINCE;?Y$PROV$?W的总人口:
NATIONALITY_MAJORITY_AT_PROVINCE;?Y$PROV$?W的主要民族是:
SPHERE_OF_INFL_GREAT_POWER;?Y$COUNTRY$?W是列强
SPHERE_OF_INFL_IS_IN_SPHERE;?Y$COUNTRY1$?W在?Y$COUNTRY2$?W的势力范围内
SPHERE_OF_INFL_IS_INFL_BY;?Y$COUNTRY$?W受影响于:
PARTY_LOYALTY_EFFECT_DESC;?Y$PROV$?W对?Y$PARTY$?W的忠诚度将$OPERATOR$?Y$VALUE$?W
PARTY_LOYALTY_EFFECT_OPERATOR_ADD;增加
PARTY_LOYALTY_EFFECT_OPERATOR_REM;减少
PARTY_LOYALTY_EFFECT_OPERATOR_MUL;乘
PARTY_LOYALTY_EFFECT_OPERATOR_SET;达到
PARTY_LOYALTY_DESC_HEADER;在?Y$PROV$?W的政党支持度:
PARTY_LOYALTY_DESC_NEUTRAL;中立
PARTY_POPULARITY;政党声望
PRICE_HISTORY_TIME_RANGE;过去的$MONTHS$个月
party_loyalty_focus;政党忠诚度
fascist_focus;?Y法西斯主义?!党忠诚度
reactionary_focus;?Y反动主义?!党忠诚度
conservative_focus;?Y保守主义?!党忠诚度
socialist_focus;?Y社会主义?!党忠诚度
communist_focus;?Y共产主义?!党忠诚度
liberal_focus;?Y自由主义?!党忠诚度
anarcho_liberal_focus;?Y无政府主义?!党忠诚度
NATIONAL_FOCUS_PARTY_LOYALTY_DESC;每日忠诚度变化：?Y$VAL$?W
PARTY_WITH_IDEOLOGY_NOT_EXIST;目前没有?Y$IDEOLOGY$?W政党
NATIONAL_FOCUS_PARTY_LOYALTY_EFFECT;由于国家焦点，$PARTY$的忠诚度每日变化$VAL$
SUBSTATE_OF_NOCOLOR;次国家 归属
SUBSTATE;次国家
SUBSTATE_JOIN_WAR_DESC;是?Y$COUNTRY$?W的次国家，在战争中将加入该方
IS_NOT_SUBSTATE_OF;次国家宗主国不是
IS_SUBSTATE_OF;次国家宗主国是
IS_NOT_SUBSTATE;不是次国家
IS_SUBSTATE;是次国家
ANY_SUBSTATE;任意次国家且宗主国是
acquire_substate_region;获得次国家地区
acquire_substate_region_desc;从敌国的?Y次国家?W手中获得一个地区
acquire_substate_region_short;获得$STATE$
acquire_substate_region_setup;获得$RECIPIENT$的$STATE$
become_independent;获得独立
become_independent_short;$ACTOR$从$RECIPIENT$的统治下独立
become_independent_setup;$ACTOR$从$RECIPIENT$的统治下获得独立
make_puppet;扶植傀儡政权
make_puppet_short;$RECIPIENT$成为$ACTOR$的傀儡国
make_puppet_setup;$RECIPIENT$成为$ACTOR$的傀儡国
make_puppet_desc;成为傀儡国
RALLY_POINT_INFO;如果你设置该省为?Y集结点?!邻省组建的新部队将向这里集结\n（查看募兵地图以获得更多细节）
RALLY_POINT_ENABLE_INFO;设置或解除该省为集结点
RALLY_POINT_MERGE_INFO;开启或取消自动合并\n（部队会自动合并到本地补给上限为止）
RALLY_POINT_PROVINCE_INFO;$PROV$是?Y集结点?!
RALLY_POINT_PROVINCE_MERGE_INFO;所有到达此地的部队将合并至?Y$LIMIT$?!
CB_ALLOWED_MAKE_PUPPET;扶植傀儡政权
DIPLOMACY_NEGOTIATE_SUBSTATE;我们不能和?Y次国家?W谈判
DIPLOMACY_NEGOTIATE_WE_SUBSTATE;我们是?Y次国家?W，不能与别国谈判
DECL_WAR_NO_SUBSTATE;我们不能向?Y次国家?W宣战
DIPLO_WE_SUBSTATE;我们是他们的次国家
DIPLO_THEY_SUBSTATE;他们是我国的次国家
SELECT_CB_CREATION_TYPE;选择我们希望制造的战争借口
CB_CREATION_DETAIL;制造一个?Y$TYPE$?!战争借口，这大约需要?Y$DAYS$?!\n如果此事提前泄露，我国最多会增加?R$BADBOY$?!名
CB_MANUFACTURE_TECH;战争合理化效率
CB_CREATE_TECH;战争合理化效率：$VAL$
SUPPRESSION_TECH_DESC;镇压效率：$VAL$
CB_CREATION_TIME_DAYS;大约需要?Y$DAYS$?!完成战争合理化
CB_NOT_ON_PUPPETS;我们不能对?Y傀儡国?W和?Y次国家?W进行战争合理化
CB_NOT_ON_SPHERES;我们不能对势力范围内的国家进行战争合理化
NO_WAR_JUSTIFICATION;我们没有对他们宣战的合法理由
NOT_HOSTILE_BUILD;非敌对
ACW_NAME;兄弟阋墙
ACW_DESC;由于南方各州企图脱离联邦，内战在北美洲一触即发。内战的结果尚未可知，但可以预料到这会是一种崭新的战争模式——交战双方都拥有新近发明的铁路，电报和连发枪。与此同时，英国正在试验世界第一艘蒸汽动力的铁壳战舰，这无疑会引发一场海战革命。在全世界范围内，越来越多的国家竞相开展工业化，工业革命的速度越来越快。变革的时代来到了！
EVTNAME90000;$CB_TARGET_NAME_ADJ$威胁
EVTDESC90000;众所周知，$CB_TARGET_NAME$正在蓄谋侵略我们。他们发动进攻只是时间问题，我们必须先发制人。幸运的是，最近一份详细揭露他们恶毒计划的小册子被广泛印刷，愤怒的民众都汇聚到我们的旗下。
EVTOPTA90000;他们就要发动进攻了！
EVTNAME90001;对$CB_TARGET_NAME$的军事行动
EVTDESC90001;令人无比尴尬的是，几名我国士兵在身着$CB_TARGET_NAME$军服潜入该国境内时被捕了。有谣言称他们被派去制造边境纠纷，以使我们的入侵合法化。现在最好不要再火上浇油了。
EVTOPTA90001;你们在说什么呢？
EVTNAME90002;残暴的$CB_TARGET_NAME$
EVTDESC90002;人民受残暴的$CB_TARGET_NAME$蹂躏很久了。为了广大人民的福祉，我们必须向全世界揭露$CB_TARGET_NAME$的残暴统治，并将它们势力范围内的人民置于我国保护之下，以求得共荣。
EVTOPTA90002;拯救他们！
EVTNAME90003;残暴的$CB_TARGET_NAME$
EVTDESC90003;尽管展示了大量真实的$CB_TARGET_NAME$残暴统治的证据，看起来依然没有国际舆论或列强支持我们解救那些被受压迫的小国。
EVTOPTA90003;蠢货！
EVTNAME90004;保护$CB_TARGET_NAME$
EVTDESC90004;没有像我们这样的列强的保护，$CB_TARGET_NAME$很不安全。为了保护他们，我们要将其纳入势力范围，尽管他们可能会蠢到在短期内会采取反抗行动。毕竟，如果他们足够聪明，他们早就成为强国了。
EVTOPTA90004;我们来帮助你们。
EVTNAME90005;在$CB_TARGET_NAME_ADJ$惨败
EVTDESC90005;尽管我们只想将$CB_TARGET_NAME$纳入势力范围以保护他们，他们却恩将仇报。国际形势正在逆转，国际舆论反对我们的行动。
EVTOPTA90005;好的。
EVTNAME90006;终结$CB_TARGET_NAME_ADJ$帝国主义政策
EVTDESC90006;为什么$CB_TARGET_NAME$能得到所有富饶的殖民地？这非常不公平！他们甚至可能没有正确地剥削，或者说教育，土著居民！我们必须做点什么，我们要得到阳光下的土地！
EVTOPTA90006;很好。
EVTNAME90007;殖民挫折
EVTDESC90007;尽管我们以谦逊的态度提出了正当的要求，国际舆论仍然不支持重新建立我国与$CB_TARGET_NAME$的殖民平衡。尽管这是次挫折，但我们坚信总有一天会获得成功，建立起日不落帝国。
EVTOPTA90007;很好。
EVTNAME90008;行动的时候到了！
EVTDESC90008;所有人都知道，比起它的靴子，$CB_TARGET_NAME$的脚已经变得太大了。他们在世界舞台上高视阔步太久了，总是以为他们可以为所欲为。谢天谢地，世界上的其他国家和我国的民众都坚定地支持我们：$CB_TARGET_NAME$必须得到教训。
EVTOPTA90008;很好。
EVTNAME90009;误入歧途的蠢货！
EVTDESC90009;尽管$CB_TARGET_NAME$对我们傲慢自大，其他人却装作视而不见。他们所谓的“君权”允许他们建立军队，自行其是，对我们毫不尊重。他们甚至造谣说我们才是傲慢自大的国家！
EVTOPTA90009;很好。
VOTER_ISSUES;投票者关注议题
OL_VIEW_NATFOCUS;打开?Y国家焦点?W界面
OL_VIEW_NATFOCUS_HEADER;国家焦点
OL_VIEW_NATFOCUS_TOOLTIP;国家焦点（?Y$FOCUS$?!在?Y$STATE$?!
OL_VIEW_RALLYPOINTS;打开?Y集结点?W界面
OL_VIEW_RALLYPOINTS_HEADER;集结点
OL_VIEW_RALLYPOINTS_TOOLTIP;邻省组建的新部队将向?Y$PROV$?!结
OL_VIEW_RALLYPOINTS_MERGE_TOOLTIP;并将在到达此地时合并至?Y$LIMIT$?!
OL_VIEW_MERGE_ON;?G（自动合并开启）?!
OL_VIEW_MERGE_OFF;?Y（自动合并关闭）?!
OUR_CB_DETECTED_SETUP;当我国的战争合理化进程被发现
OUR_CB_DETECTED_HEADER;$MONARCHTITLE$
OUR_CB_DETECTED_1;战争合理化
OUR_CB_DETECTED_2;我国利用
OUR_CB_DETECTED_3;?Y$CASUS$?!理由
OUR_CB_DETECTED_4;合理化
OUR_CB_DETECTED_5;对$TARGET$战争
OUR_CB_DETECTED_6;的行动被发现了！这会增加?R$BADBOY$?!名
OUR_CB_DETECTED_LOG;我国针对$TARGET$的战争合理化进程被发现。
OUR_CB_DETECTED_BTN1;好的
OUR_CB_DETECTED_BTN2;好的
OUR_CB_DETECTED_BTN3;转到
OUR_CB_DETECTED_MAP;*
CB_TOWARDS_US_DETECTED_SETUP;当针对我国的战争合理化进程被发现
CB_TOWARDS_US_DETECTED_HEADER;$MONARCHTITLE$
CB_TOWARDS_US_DETECTED_1;战争合理化
CB_TOWARDS_US_DETECTED_2;$COUNTRY$利用
CB_TOWARDS_US_DETECTED_3;?Y$CASUS$?!理由
CB_TOWARDS_US_DETECTED_4;合理化
CB_TOWARDS_US_DETECTED_5;对我国侵略
CB_TOWARDS_US_DETECTED_6;的企图被发现了！
CB_TOWARDS_US_DETECTED_LOG;$COUNTRY$A针对我国的战争合理化进程被发现。
CB_TOWARDS_US_DETECTED_BTN1;好的
CB_TOWARDS_US_DETECTED_BTN2;好的
CB_TOWARDS_US_DETECTED_BTN3;转到
CB_TOWARDS_US_DETECTED_MAP;*
OTHERS_CB_DETECTED_SETUP;针对某国的战争合理化进程被发现
OTHERS_CB_DETECTED_HEADER;$MONARCHTITLE$
OTHERS_CB_DETECTED_1;战争合理化
OTHERS_CB_DETECTED_2;$COUNTRY$利用
OTHERS_CB_DETECTED_3;?Y$CASUS$?!理由
OTHERS_CB_DETECTED_4;合理化
OTHERS_CB_DETECTED_5;对$TARGET$战争
OTHERS_CB_DETECTED_6;的企图被发现了！
OTHERS_CB_DETECTED_LOG;$COUNTRY$A针对$TARGET$的战争合理化进程被发现。
OTHERS_CB_DETECTED_BTN1;好的
OTHERS_CB_DETECTED_BTN2;好的
OTHERS_CB_DETECTED_BTN3;转到
OTHERS_CB_DETECTED_MAP;*
CB_gen_plus;战争借口制造速度加快
CB_gen_minus;战争借口制造速度下降
CB_gen_plus_desc;战争合理化更快完成
CB_gen_minus_desc;战争合理化耗时更久
BUILDING_AT_MAX_TERRAIN;级别$CURR$/$MAX$（?R$TERRAINMOD$?!TERRAIN$）
PRODUCTION_INVEST;海外投资
PRODUCTION_TAB_INVEST;展示海外投资概况
FLAG_SUBMENU_INTERESTING;设置关注国家
FLAG_SUBMENU_NOTINTERESTING;设置为?Y不关注?!家
MESSAGE_TYPE_INTERESTING;关注
MESSAGE_TYPE_NOT_INTERESTING;其他
MESSAGE_SEARCH;查找:
MESSAGE_BUTTON_SEARCH;查找
MESSAGE_BUTTON_CLEAR;清除
MESSAGE_SEARCH_TOOLTIP;用?Y空格?!分隔关键字以过滤列表
SIDEMENU_menubar_msg_settings;点击打开消息过滤设置
RULE_BUILD_FACTORY_INVEST;建设海外工厂
RULE_EXPAND_FACTORY_INVEST;扩建海外工厂
RULE_OPEN_FACTORY_INVEST;重开海外工厂
RULE_BUILD_RAILWAY_INVEST;投资者可以修建海外铁路
RULE_CAN_INVEST_IN_POP_PROJECTS;投资民间建设计划
