#Powered_by_ParaTranz
support_for_blank;支持$text$
fort_level;要塞等级
naval_base_level;海军基地等级
university_base_level;大学等级
bank_base_level;银行等级
apply;应用
ok;好的
close;关闭
delete;删除
new;新建
reset;重置
every;所有
ready;准备
any;任何
none;无
random;随机
neighboring_province;接壤省份
where;哪里：
neighboring_nation;邻国
nation;国家
continent;大陆
same_continent;在同一大陆
empty_neighboring_province;无接壤省份
poor_strata_pop;贫困阶层人群
middle_strata_pop;中产阶层人群
rich_strata_pop;富裕阶层人群
pop;人群
owned_province;省份属于
singular_nation;此国
singular_state;此地区
singular_province;此省
singular_pop;此人群
one_of_the_following;下列效果之一：
this_nation;此国
this_state;此地区
this_province;此省
this_pop;此人群
from_nation;来自国家
from_state;来自地区
from_province;来自省
from_pop;来自人群
province_in;省份
this_nation_culture;主体民族
from_nation_culture;来自此国主流文化
cultural_union_nation;主体民族的文化联盟国家
core_of;核心
state_of;地区
chance_of;改为：
owner_of;所有者
controller_of;控制者
location_of_pop;人群位置
nation_of_pop;国家有此人群
capital_of;首都
containing_state;地区有
adjacent_sea;接壤海域
cultural_union_of;文化联盟
overlord_of;宗主
sphere_leader_of;势力范围领袖
crisis_state;危机地区
reb_independence_nation;分裂叛军
flashpoint_nation;当事国
rebel;叛军
flashpoint_tension_label;热点紧张
for_text;为$text$
where_ideology_is;意识形态$text$
where_culture_is;其民族为$text$
where_religion_is;宗教$text$
of_type;类型$text$
no_nation;无国家
declare_war_on;向$text$宣战
attacker_wg_label;进攻方战争目标：$text$
defender_wg_label;防御方战争目标：$text$
attacker_no_allies;攻击方盟友不被召唤
attacker_yes_allies;攻击方盟友将被召唤
war_start_date_desc;战争从?Y$date$?!开始
cmp_ge;至少
cmp_le;最多
cmp_gt;大于
cmp_lt;小于
cmp_eq;是
cmp_ne;不是
cmp_has_eq;已经
cmp_has_ne;尚未
cmp_has_lt;少于
cmp_has_gt;不止
cmp_has_ge;至少
cmp_has_le;最多
all_of_the_following;以下所有：
any_of_the_following;以下之一：
nation_at_war_against;处于战时
core_in;核心
colonial_pop;位于殖民地
substate_of;次国家属于
nation_in_sphere;属于势力范围
year;年
month;月
a_port;港口
national_rank;国际排名
att_technology;研究
strata;阶层
rich;富裕
poor;贫困
middle;中产
minimum_state_life_raing;地区最低生活条件
an_empy_adj_prov;无接壤省份
belongs_to_same_state;统一$text$地区
does_not_belong_to_same_state;分别$text$地区
contains_blank;有$text$
does_not_contain_blank;没有$text$
times_target_needs_spending;时间支出
unemployment;失业率
slavery;奴隶制
allowed;允许
a_slave_state;蓄奴邦
a_slave;奴隶
an_independent_nation;独立国
non_prim_culture_pops;非主体民族人群
government;政府
capital;首都
technology_school;技术学校
primary_culture;主体民族
primary_culture_pop;人群主体民族
an_accepted_culture;可接受民族
culture;民族
dominant_culture;主要民族
a_primary_or_accepted;主体民族和可接受民族
rebel_culture;叛军民族
this_nation_prim_culture;人群的主流或相容文化
from_nation_prim_culture;来自此国人群的主流或相容文化
culture_group;文化圈
dominant_culture_group;主要文化圈
primary_culture_group;主体民族文化圈
a_core_ob;核心属于
rebel_culture_group;叛军文化圈
this_nation_culture_group;在相同文化圈
from_nation_culture_group;相同文化组来自
rebel_religion;叛军宗教
this_nation_religion;国教
from_nation_religion;国教来自
province_terrain;省份地形
rgo_production;产地生产
a_secondary_power;殖民大国
owner;所有者
an_active_rebel;活跃叛军集团
a_member_of;成员
unclaimed_cores;无主核心
a_cultural_union;文化联盟
union_for_pop;人群的文化联盟
union_for_nation;国家的文化联盟
the_rebel_ind_nation;宣布独立的国
capitalists_can_build;允许资本家建造工厂
capitalists_cannot_build;禁止资本家建造工厂
at_war;战时
total_blockade;全面封锁
owns;有
does_not_own;没有
controls;控制
does_not_control;未控制
a_core_in;核心在
a_core_of;核心
a_core_of_owner;核心有主
located_in_a_core_of;核心位于
percentage_reb_control;叛军控制的省比例
num_of_reb_control;叛军控制的省份数
num_owned_provinces;拥有的省份数
num_provinces_owned_by;省份数所属
num_of_ports;港口数
num_of_allies;盟友数
num_of_vassals;附庸国数量
owned_by;属于
exists;存在
does_not_exist;不存在
att_set;已设立
in;在
located_in;位于
the_owner_of_region;所有省份所属
a_casus_belli_against;宣战理由
military_access_with;军事通行于
prestige_of;威望
prestige;威望
a_railroad;铁路
a_fort;要塞
a_naval_base;海军基地
a_factory;工厂
empty;没有
blockaded;受封锁
national_modifier;国家修正
provincial_modifier;省份修正
part_of;属于
a_border_with;接壤于
units_in_province;位于省
units_in_the_province;位于此省
units_in_the_state;位于地区
at_war_against;交战于
num_of_divisions;部队数
an_ongoing_battle;持续的战斗
treasury;国库
o_treasury;所有者国库
o_of_prov;此省所属
percentage_unowned_cores;无主省比例
a_vassal;附庸国
ruling_party_ideology;执政党意识形态
ruling_party;执政党
enabled;已启用
political_reform_desire;政治改革需求
social_reform_desire;社会改革需求
num_of_ships;舰船数
crime_percent;省犯罪率比例
national_religion;国教
member_of_nat_religion;国教成员
dominant_religion;主要宗教
same_rel_as_this;相同宗教
this_pop_culture;人群民族
this_nation_primary_culture;主体民族
this_nation_accepted_culture;可接受民族
coastal;沿海
in_sphere_of;在势力范围内
a_producer_of;制造于
next_reform;下一改革
always;总是
never;从不
percentage_recruited;人群征募比例
in_cultural_core_prov;在有相同民族核心的省份
nationalism;民族主义
overseas;海外
overseas_pop;位于海外省
controlled_by_rebel;受叛军控制
controlled_by;受控于
state_capital;州府
loc_state_capital;位于首都
a_truce_with;休战于
att_population;人口
size;规模
pops_of_type;人群类型
of_type_plain;类型
ai_controlled;AI控制的
a_leader_named;将领名为
a_possible_vassal;可能的附庸国：
a_vassal_of;附庸于：
a_substate_of;次国家属于：
allied_to;结盟于
has_recently_lost_war;最近输掉一场战争
has_not_recently_lost_war;最近没输掉一场战争
mobilized;动员
mobilization_size;动员规模
admin_spending;行政开支
greater_than_edu_spending;大于教育支出
support_for_rp;执政党支持度
colonial;殖民
in_default_to;默认为
in_bnkrpt;破产
num_of_ports_connected;与首都相连的港口数
holding_an_election;举行选举
set_globally;在世界范围内设定
national_value;国家价值
industrial_score;工业分数
industrial_score_of;工业分数：
military_score;军事分数
military_score_of;军事分数：
civilized;已开化
percent_occupied;已占领省份比例
rich_tax;富裕阶层税收
middle_tax;中等阶层税收
poor_tax;贫困阶层税收
soc_spending;社会开支
edu_spending;教育开支
mil_spending;军费开支
colonies;殖民地
dominant_ideology;主要意识形态
dominant_issue;主要政见
poor_militancy;贫困阶层斗争性
middle_militancy;中产阶层斗争性
rich_militancy;富裕阶层斗争性
gt_poor_tax;大于低税收
cultural_union;文化联盟
same_cultural_union;在相同文化联盟
non_accepted_pops;不相容人群
crime;犯罪
num_substates;次国家数量
num_vassals_no_substates;非次国家附庸国数量
num_regiments;部队数
owner_num_regiments;拥有者部队数
num_regiments_of;部队数属于：
times_num_regiments_of;$x$ 乘以属于的旅数
fabricating_on;伪造宣战理由：
cb_discovered;伪造宣战理由被发现
cb_not_discovered;伪造宣战理由尚未被发现
cb_progress;伪造宣战理由进度
civ_progress;开化进程
constructing_a;伪造
casus_belli;宣战理由
nation_in_scope;范围内国家
a_substate;次国家
gw_enabled;超级大战已启用
gw_not_enabled;超级大战未启用
ww_enabled;世界大战已启用
ww_not_enabled;世界大战未启用
can_perform_nationalization;可以国有化
cannot_perform_nationalization;不可以国有化
in_sphere;处于势力范围中
num_states;地区数量
a_releasable_vassal;可释放附庸国
recent_immigration;近期移民
num_control_days;控制天数
disarmed;解除武装
social_mov_support;社会运动支持
political_mov_support;政治运动支持
a_member_of_social_mov;社会运动成员
a_member_of_political_mov;政治运动成员
cultural_sphere_members;势力范围成员在同一文化圈内
pops;人群
this_pop_religion;人群信仰
pops_with;此人群有
life_needs_satisfaction;必需品需求
everyday_needs_satisfaction;日用品需求
luxury_needs_satisfaction;奢侈品需求
present_in_state;存在于地区
flashpoint;热点
plurality_pop;此人群所在国家的多元性
an_ongoing_crisis;进行中危机
there;这里
current_crisis;当前危机
liberation_crisis;解放危机
claim_crisis;宣称危机
involved_in_crisis;涉入危机中
poor_life_needs_satisfaction;贫困阶层生活必需品需求
poor_everyday_needs_satisfaction;贫困阶层日用品需求
poor_luxury_needs_satisfaction;贫困阶层奢侈品需求
middle_life_needs_satisfaction;中产阶层生活必需品需求
middle_everyday_needs_satisfaction;中产阶层日用品需求
middle_luxury_needs_satisfaction;中产阶层奢侈品需求
rich_life_needs_satisfaction;富裕阶层生活必需品需求
rich_everyday_needs_satisfaction;富裕阶层日用品需求
rich_luxury_needs_satisfaction;富裕阶层奢侈品需求
dip_influence_over;外交影响力：
relationship_with;关系：
this_pop_type;此人群类型
nat_variable;国家变量
support_in_uh;上议院支持
support_in;忠诚于
scope_province;范围内省份
able_build_rr;能在此省修建铁路
able_build_fort;能在此省修建要塞
able_build_naval_base;能在此省修建海军基地
work;工作
available_for;适于：
support;支持
percentage;比例
stockpile;储备
this_nat_religion;此国国教
from_nat_religion;来自此国国教
event_show_requirements;此事件的条件：
event_only_other_requirements;此事件只会由其他事件触发
event_show_odds;事件几率
value_mod_product;$val$ 产物：
value_mod_sum;$val$ 总计：
value_mod_sum_factor;影响力 $val$ 是 $x$ 乘以以下的总和:
admin_explain_1;行政效率修正：$val$
admin_explain_2;应用于本土官僚比例：$val$
admin_explain_3;对于需要的官僚人口比例为：$val$（基础$x$ 加上来自改革的$y$）
factory_condition_1;此国已开化
factory_condition_2;此地区不是一个殖民地区
factory_condition_3;执政党允许修建工厂
factory_condition_4;有少于$val$间工厂位于此地区
cant_subsidize_explanation;执政党不允许我们资助工厂
percent_of_pop_strata;占所在阶层人口的 $val$
cant_prioritize_explanation;执政党冻结工厂优先级
factory_upgrade_condition_1;此国已开化
factory_upgrade_condition_2;此地区不是一个殖民地区
factory_upgrade_condition_3;满足建设此工厂的科技条件
factory_upgrade_condition_4;你的国家是一个列强，而目标国家不是
factory_upgrade_condition_5;投资目标已开化
factory_upgrade_condition_6;投资目标的执政党允许外国投资
factory_upgrade_condition_7;投资目标没有与你交战
factory_upgrade_condition_8;执政党允许升级工厂
factory_upgrade_condition_9;工厂未处于升级过程
factory_upgrade_condition_10;工厂不处于最大等级
factory_delete_header;移除工厂
factory_delete_not_allowed;执政党不允许我们移除工厂
factory_stats_1;此工厂产值为$val$
factory_stats_2;此工厂目标产值$val$
factory_stats_3;它在昨天生产$val$单位$x$
factory_stats_4;它在昨天获利$val$
factory_stats_5;投入有效性
factory_stats_6;修正后的可用投入：
factory_stats_wage;工资：
factory_stats_expenses;总支出
factory_stats_desired_income;期望毛利润
speed;$val$千米每小时
shift_to_hold_open;按住 ?Shift?! 保持本窗口打开, ?Y点击右shift?! 在每个州建造 (但不扩建)
factory_upgrade_shortcuts;?YSHIFT+左键?W升级?G所有?!S在此地区的工厂\n?YSHIFT+右键?W升级?G所有盈利的?W在此地区的工厂\n?YCTRL+左键?W升级?G所有?W在此国的工厂\n?YCTRL+右键?W升级?G所有盈利的?W在此国的工厂\n?YCTRL+SHIFT+左键?W升级?G所有盈利且满员的?W在此地区的工厂\n?YCTRL+SHIFT+右键?W升级?G所有盈利且满员的?W在此地区的工厂
blank_org_gain;组织度获得
plurality_change_reason;（基于平均觉醒度）
revanchism_reason;基于未获得的核心省份（主体民族核心修正更高）
allow_reform_cond;要求：
reform_effect_if_desc;当激活时，若
reform_effect_then_desc;那么
reform_effect_desc;当激活时：
special_rules;特殊规则：
voting_rules;投票规则：
hide_decision;隐藏此决议通知
sup_point_gain;每月镇压点增加：?G+$val$
sup_point_explain;来自：基础比例 $x$×来自官僚的 $y$×来自镇压点数修正的 $val$
pop_size_1;下月人群预估变化：
pop_size_2;来自增长：
pop_size_3;来自升降职：
pop_size_4;来自同化：
pop_size_5;来自国内移民：
pop_size_6;来自殖民迁移：
pop_size_7;来自出境移民：
pop_size_8;来自传教：
pop_l_migration_header;?Y迁移: $val$
pop_l_c_migration_header;?Y殖民迁移: $val$
pop_l_emigration_header;?Y移居国外: $val$
pop_mig_1;无国内殖民地移民
pop_mig_2;奴隶从不国内迁徙
pop_mig_3;将在内部迁移的人数等于人群的大小乘以移民规模（$x$）乘以此省的移民潮规模修正（$y$）乘以移民系数（$val$）
pop_mig_4;?Y移民因素：
pop_cmig_1;此国没有殖民地
pop_cmig_2;无来自殖民地省份的殖民迁移
pop_cmig_3;奴隶不会进行殖民迁移
pop_cmig_4;富裕阶层不会进行殖民迁移
pop_cmig_5;工厂工人不会进行殖民迁移
pop_cmig_6;将向殖民地迁移的人数等于人群的大小乘以移民规模（$x$）乘以此省的移民潮规模修正（$y$）再乘以此省的殖民迁移修正（吸引力）（$num$）乘以殖民迁移系数（$val$）
pop_cmig_7;?Y殖民迁移因素：
pop_emg_1;人群只可从开化国家移民
pop_emg_2;没有殖民地移民
pop_emg_3;奴隶从不迁徙
pop_emg_4;没有 ?海外?!文化的人群不能移民
pop_emg_5;将要移民的人数等于人群的大小乘以移民规模（$x$）乘以此省的移民潮规模修正（$y$，如果大于100%则则平方），乘以出境移民系数（$val$）
pop_emg_6;?Y移民因素：
pop_prom_1;?Y升职系数：
pop_prom_2;来自国家焦点：?G$val$
pop_prom_3;0 (由于国家焦点)
pop_prom_4;?Y降职系数:
pop_prom_5;这个人群正在升职因为升职系数大于降职系数
pop_prom_6;这个人群正在降职因为降职系数大于升职系数
pop_prom_7;由于这两个因素都是负数，此人群将维持现状
pop_prom_8;将晋升的人数等于人群的规模乘以升职规模（$x$）乘以升职系数（$val$）乘以本国行政效率（$y$）
pop_prom_9;将降职的人数等于人群的规模乘以降职规模（$x$）乘以降职系数（$val$）
pop_con_1;每月觉醒度变化：
pop_con_2;总计：
pop_con_3;来自奢侈品满足度：?G+$x$
pop_con_4;来自当地神职人员比例（$val$）：?R$x$
pop_con_5;多元性和识字因素：?G+$x$?!, 是以下乘积的结果：
pop_con_6;多元性：$x$
pop_con_7;识字率对觉醒度的修正：$x$
pop_con_8;识字率影响：$x$
pop_con_9;人群识字率：$x$
pop_con_10;殖民地觉醒度影响：$x$
pop_con_11;和 0.1
pop_con_12;当地人群觉醒度修正：
pop_con_13;国家人群觉醒度修正：
pop_con_14;国内非殖民地人群觉醒度修正
pop_con_15;国内不相容人群觉醒度修正：
pop_mil_1;每月好战性变化：
pop_mil_2;总计：
pop_mil_3;来自必需品满足度：?R+$x$
pop_mil_4;来自日用品满足度：
pop_mil_5;来自奢侈品满足度：?G$x$
pop_mil_6;来自保守主义支持：?G$x$
pop_mil_7;来自执政党支持：?G$x$
pop_mil_8;来自改革诉求：?R+$x$
pop_mil_9;当地人群斗争性修正：
pop_mil_10;国内人群好战性修正：
pop_mil_11;国内非殖民地人群好战性修正：
pop_mil_12;来自分离主义：
pop_mil_13;来自厌战性：?R+$val$?!
pop_lit_1;每月识字率变化：
pop_lit_2;产品：
pop_lit_3;来自当地神职人员比例（$val$）：$x$
pop_lit_4;有效教育支出：$x$
pop_lit_5;国内教育效率修正：$x$
pop_lit_6;国内教育效率修正：$x$
pop_lit_7;基础识字率变化率：$x$
pop_lit_8;和 0.01
pop_growth_topbar;预计下月增长速度将达到?G$x$?W
pop_growth_topbar_2;人口变化幅度为?G$x$?W 在最后?Y30?W 天。
pop_growth_topbar_3;我国成年男性人口：?Y$curr$?W。我们男人
pop_growth_topbar_4;我国总人口：?Y$val$?W。
pop_growth_1;每月人群增长：
pop_growth_2;奴隶自愿绝育
pop_growth_3;人群增长与人口规模成正比乘以：
pop_growth_4;生活质量系数 $x$是以下各项的乘积：
pop_growth_5;省因素 $x$，它是以下各项的总和：
pop_growth_6;此省的生活水平$x$减去最低的生活水平$y$，所有乘积为$val$
pop_growth_7;和基础人群增长值$x$
pop_growth_8;人口的需求系数 $x$（生活需求满足度 $y$ 减去饥饿限制 $val$）
pop_growth_9;和 4
pop_growth_10;当地人口增长修正：$x$
pop_growth_11;国内人口增长修正$x$
pop_assim_1;每月人群同化：$x$
pop_assim_2;奴隶不被同化
pop_assim_3;可接受民族人群不被同化
pop_assim_4;殖民地人群不被同化
pop_assim_5;海外省人群不被同化
pop_assim_6;同化与人群规模乘以以下结果成正比：
pop_assim_7;基础同化规模：$x$
pop_assim_8;国内同化率修正：$x$
pop_assim_9;当地同化率修正：$x$
pop_assim_10;0.1 因为没有海外文化
pop_assim_11;$x$来自现在的省份核心
pop_assim_12;动态同化因素：$x$
pop_conver_1;每月人群传教：$x$
pop_conver_2;地区信徒虔诚
pop_conver_3;人群不会被传教除非此省有国教人口
pop_conver_4;传教与人群规模乘以以下结果成正比：
pop_conver_5;基础传教规模：$x$
pop_conver_6;国内传教率修正：$x$
pop_conver_7;当地传教率修正：$x$
pop_conver_8;动态传教因素：$x$
pop_issue_attraction_1;议题吸引力：$x$
pop_issue_attraction_2;此改革目前不能
pop_issue_attraction_3;政治观点吸引力是以下因素的结果：
pop_issue_attraction_4;社会改革诉求国内修正：$x$
pop_issue_attraction_5;政治改革诉求国内修正：$x$
pop_issue_attraction_6;和政见吸引力因素：$x$
pop_ideology_attraction_1;意识形态吸引力：$x$
pop_ideology_attraction_2;此意识形态目前不能
trade_setting_drawing;使用库存
trade_setting_filling;补充库存
trade_setting_stable;不储备
trade_commodity_report_1;当前全球需求：$x$
trade_commodity_report_2;当前全球生产：$x$
trade_commodity_report_3;当前全球消费：$x$
trade_commodity_report_4;全球市场数量：$x$
trade_fill;补充
trade_use;采购
trade_stockpile_target;库存目标数量
trade_stockpile_current;当前储备：
diplomacy_wx_1;每月厌战性：
influence_explain_1;我们目前被禁止影响并且没有积累此国的影响力
influence_explain_2;我们无法影响与我们达成休战协议的国家
influence_explain_3;我们无法影响与我国交战的国家
influence_explain_4;我们每天与所有国家一起积累总计$x$的影响力。
influence_explain_5;这是基础影响力获得倍率 （$x$） 乘以本国影响力修正 （$y$） 乘以科技影响力修正 （$val$） 的乘积
influence_explain_6;国家影响力修正：$x$
influence_explain_7;修正来自科技：$x$
influence_explain_8;这在我们影响的国家之间分配，造成每日获得的基础收益为：$x$
influence_explain_9;它将进一步乘以1，加上下列因子的和：
influence_explain_10;$x$来自败坏名誉
influence_explain_11;$x$来自接壤
influence_explain_12;$x$ 来自一个或多个作为我们成员的邻居
influence_explain_13;$x$来自首都非同一大陆
influence_explain_14;$x$来自作为我们的附庸
influence_explain_15;$x$来自我们的关系
influence_explain_16;$x$来自我们在此国的投资
influence_explain_17;$x$来自目标国规模
influence_explain_18;$x$来自我们的相关分数
until_date;直到$x$
add_wg_1;你不能增加针对自己的战争目标
add_wg_2;你处在战时
add_wg_3;你至少有$x$外交点
add_wg_4;当前沙文主义支持率（$x$）达到添加战争目标的阈值（$y$）
add_wg_5;维持现状的战争目标还没有被添加到你的一方
intervene_1;干涉战争
intervene_2;干涉大战
intervene_3;是列强
intervene_4;未涉入一场危机
intervene_5;战争爆发后至少过去$x$月
intervene_6;加入此战争不会将你置于对抗同一国家两次或同时与同一国家作战的境地
intervene_7;不是一场危机战争
intervene_8;参战将会破坏停战
intervene_9;正在支持防守方
intervene_10;防御方除了维持现状之外没有别的战争目标
intervene_11;攻击方战争分数至少为$x$
intervene_12;厌战度低于$x$
intervene_13;与战争领袖关系至少为$x$
intervene_14;你的势力范围成员都没有站在对立面
intervene_15;你的盟友没有站在对立方
intervene_16;你的军队没有位于与你对立的国家所拥有的省份
intervene_17;首要防守国对你有友好的评价
military_score_explain_1;主力舰得分：$x$
military_score_explain_2;可招募部队：$x$
military_score_explain_3;已招募部队：$x$
military_score_explain_4;是否解除武装（惩罚因子：$x$）
military_score_explain_5;补给消耗修正：$x$
military_score_explain_6;平均陆军单位分数：$x$
military_score_explain_7;将领总数：$x$
industry_score_explain_2;以下外国投资同样相加（权重系数 $x$）：
industry_score_explain_3;$y$在$x$
war_goal_1;添加者：$x$
war_goal_2;目标：$x$
war_goal_3;要求地区：$x$
war_goal_4;第二目标：$x$
war_goal_5;现有战争分：$x$
war_goal_6;如果我们占领 ?Y$x$?! 的各个省份，我们将获得?Y$y$?!战争分（相对于被占领省份的比例）
war_goal_7;我们有 ?Y$x$?! 天的宽限期去占领，否则我们每天会输掉 ?Y$y$?! 的战争分数
war_goal_8;战争开始于 ?Y$x$?!,我们应该在 ?R耗尽?!宽限期之前履行 ?Y$y$?!的战争目标
war_goal_9;宽限期 ?R已耗尽?!(宽限期是从 ?Y$x$?! 到 ?Y$y$?!)
war_goal_10;第二目标：$x$
utt_unit;（$country$）-$unit$（$leader$）\n（$infantry$/$cavalry$/$special$）
utt_noleader;无将领
war_score_1;来自占领：$x$
war_score_2;来自战斗：$x$
war_score_3;来自战争目标：$x$
war_score_4;来自封锁：$x$
dp_inf_tooltip_ban;封锁使馆持续到$x$
dp_inf_tooltip_discredit;诽谤效果持续到$x$
discredit_explain_1;你不能败坏你自己的名誉
discredit_explain_2;目标对你的评价高于反感
discredit_explain_3;列强未被封锁
iaction_explain_1;对于此目标，你至少有$x$的影响力
iaction_explain_2;你的使馆未被封锁
iaction_explain_3;你不能是战争目标
iaction_explain_4;目标对列强的评价最高于他们对你的评价
expel_explain_1;你不能驱逐本国顾问
expel_explain_2;目标对你的评价至少是中立的
ban_explain_1;你不能封锁自己使馆
ban_explain_2;目标对你的评价至少是友好的
dec_op_explain_1;你不能减少一个国家对你的评价
dec_op_explain_2;你不能降低一个国家对于其势力范围领袖的评价
dec_op_explain_3;目标对你的评价高于反感
dec_op_explain_4;目标对列强的评价不能低于敌对
iaction_explain_5;你是列强
iaction_explain_6;不是列强目标
state_transfer_di;地区转让
state_transfer_button;地区转让
state_transfer_offer;$actor$正提供给我们地区：
state_transfer_desc;转移一个地区的所有权给另一个国家,比超越一个游戏的谈判范围更有用
state_transfer_explain_1;目标国是玩家
state_transfer_explain_2;当前无危机
state_transfer_explain_3;我们不是附庸
state_transfer_explain_4;他们不是附庸
state_transfer_explain_5;我们处于和平
state_transfer_explain_6;我们至少有1地区
cancel_ally_explain_1;你不能取消自己盟约
cancel_ally_explain_2;拥有至少$x$外交点
cancel_ally_explain_3;你已结盟
cancel_ally_explain_4;你不能再加入一场战争
cancel_ally_explain_5;你不能是目标国傀儡
ally_explain_1;你不能与自己结盟
ally_explain_2;你至少有$x$外交点
ally_explain_3;你目前不可能结盟
ally_explain_4;你不能同列强当危机中时
ally_explain_5;你不能是附属国
ally_explain_6;你目前不能是战时目标
ally_explain_7;AI将会接受
ally_explain_8;目标不能是附属国
call_ally_explain_1;你有此国盟约
call_ally_explain_2;你至少有$x$外交点
call_ally_explain_3;你处于战时
call_ally_explain_4;现在有一场战争而这个国家可以被呼叫参与
call_ally_explain_5;AI将会接受
cancel_access_explain_1;你至少有$x$外交点
ask_access_explain_1;你无法从你自己得到军事通行权
ask_access_explain_2;你至少有$x$外交点
ask_access_explain_3;AI将会接受
ask_access_explain_4;你现在没和目标处于战争中
cancel_given_access_explain_1;你至少有$x$外交点
give_access_explain_1;你不能给你自己军事通行权
give_access_explain_2;你至少有$x$外交点
give_access_explain_3;你现在没和目标处于战争中
increase_rel_explain_1;改善我们的关系通过 ?G+$x$
increase_rel_explain_2;你不能和你自己改善关系
increase_rel_explain_3;你至少有$x$外交点
increase_rel_explain_4;现在的关系低于200
increase_rel_explain_5;你现在没和目标处于战争中
decrease_rel_explain_1;恶化我们的关系 ?R$x$
decrease_rel_explain_2;你不能恶化你和你自己的关系
decrease_rel_explain_3;你至少有$x$外交点
decrease_rel_explain_4;当前关系大于-200
decrease_rel_explain_5;你现在没和目标处于战争中
cancel_w_sub_explain_1;我们现在每天资助此国 ?Y$x$?! 
cancel_w_sub_explain_2;你至少有$x$外交点
