#Powered_by_ParaTranz
UNIT_BUILD_TIME_IW;$VAL$天:
DIPLOMACY_MILITANCY2;斗争性：$VALUE$
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;?Y$COUNTRY$?W有下列盟友：
REMOVE_DIPLOMACY_WARDIALOG_NUM_ALLIES;?Y$COUNTRY$?W有?Y$NUM$?W个同盟国
DIPLOMACY_WAR_HASTRUCE;?R我们与?Y$COUNTRY$?R有截止到?Y$DATE$?R的休战协议，向他们宣战对我们的国际威望将造成巨大的打击
REMOVE_DIPLOMACY_DAILYINFLULENCE_GAIN;Wegain?Y$NUM$?Winfluencein?Y$COUNTRY$?Weachday
tutorial_chapter_budget_victoria;中级财政教程结束
NO_RELEASEABLE_NATIONS;我们没有可以授予主权的国家
DIPLOMACY_CALL_ALLIES_NOT_LEADER;我们不是这场战争的领袖因此无法召集盟友加入
LEDGER_NEXT;下一页
LEDGER_PREV;上一页
MEC_544;石勒苏益格-荷尔斯泰因
COUNTRYALERT_CanIncreaseOpinion;我们可以?Y提高评价?W或将其他国家纳入我们的?Y势力范围?W:
COUNTRYALERT_NO_CanIncreaseOpinion;我们无法提高评价或将其他国家纳入我们的?Y势力范围?W
COLONY_SUCCESS_LOG;我们成功地殖民了$TARGET$
COLONY_FAIL_LOG;$OTHER$已经早于我们殖民了$TARGET$
american_cultures;拉美民族
CANT_USE_LAST_WAR_GOALS;选择这个战争目标将结束这场战争并与战争领袖达成和平协议
tut_6a_13;要发展比利时的工业生产我们需要更多的产业工人，\n点击技工图标来设定这个焦点。
DEN_251;冰岛与格陵兰岛
CANCELALLIANCE_THEY_ACCEPT_BTN2;好的
CANCELALLIANCE_THEY_ACCEPT_BTN3;查看
tut_1b_19;现在我们来手工分配我们的将领，选择你在斯帕的师。
TOPBAR_DEC_SPEED;减少速度
fort;要塞
fort_short;要塞
IS_GREAT_NATION;是列强
NO_DEMOTION;本月没有降职
NO_PROMOTION;本月没有升职
INCREASEOPINION_THEY_ACCEPT_MAP;评价提高
INCREASEOPINION_WE_ACCEPT_MAP;评价提高
DECREASEOPINION_THEY_ACCEPT_MAP;评价降低
DECREASEOPINION_WE_ACCEPT_MAP;评价降低
ADDTOSPHERE_THEY_ACCEPT_MAP;纳入势力范围
ADDTOSPHERE_WE_ACCEPT_MAP;被纳入势力范围
REMOVEFROMSPHERE_THEY_ACCEPT_MAP;移出势力范围
REMOVEFROMSPHERE_WE_ACCEPT_MAP;被移出势力范围
INCREASERELATION_THEY_ACCEPT_MAP;关系提高
INCREASERELATION_WE_ACCEPT_MAP;关系提高
DECREASERELATION_THEY_ACCEPT_MAP;关系降低
DECREASERELATION_WE_ACCEPT_MAP;关系降低
WETARGET_DISCREDIT_MAP;诽谤！
WETARGET_EXPELADVISORS_MAP;驱逐顾问！
WETARGET_BANEMBASSY_MAP;封锁使馆！
WETARGET_DECREASEOPINION_MAP;评价提高！
WETARGET_REMOVEFROMSPHERE_MAP;被移出势力范围！
womens_suffrage_movement;妇女选举权运动
WAR_GOOD_RELATION;良好的关系（?Y$REL$?W）和平均觉醒度（?Y$CON$?W）：
make_slave;创建蓄奴区
make_free;创建自由区
POP_OTHER_CULT;其他
BLOCKADED_PEACE;被封锁
PRODUCTION_DESTROY_FACTORY_BECAUSE_TOOLTIP;由于以下原因我们可以摧毁这座工厂：\n
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_TOOLTIP;我们不能摧毁这个工厂的原因:\n
RULE_DESTROY_FACTORY;摧毁工厂
INCREASE_RELATION_MAX;我们无法再增进关系于
DECREASE_RELATION_MAX;我们无法再降低关系于
BANKRUPTCY_SETUP;当我国破产
BANKRUPTCY_HEADER;$MESSENGER$
BANKRUPTCY_1;破产！
BANKRUPTCY_2;我们已经被迫宣布破产。
BANKRUPTCY_3;我们的所有债务已经被清除，
BANKRUPTCY_4;但这导致了我们民众巨大的忧虑
BANKRUPTCY_5;并且在全世界眼中失去了极大的威望。
BANKRUPTCY_6;未来银行提供给我们的贷款将收取更高的利息。
BANKRUPTCY_LOG;我国已经破产。
BANKRUPTCY_BTN1;这很不好
THEY_BANKRUPTCY_SETUP;当某国已经破产
THEY_BANKRUPTCY_HEADER;$MESSENGER$
THEY_BANKRUPTCY_1;破产！
THEY_BANKRUPTCY_2;$COUNTRY$
THEY_BANKRUPTCY_3;被迫宣布破产。
THEY_BANKRUPTCY_4;*
THEY_BANKRUPTCY_5;*
THEY_BANKRUPTCY_6;*
THEY_BANKRUPTCY_LOG;$COUNTRY$已经破产。
THEY_BANKRUPTCY_BTN1;好的
LIT_CHANGE;每月变化
precious_metal_desc;贵金属不会像普通物资一样销售，而是直接转化为金钱。
DIPLOMACY_CANNOT_SET_PRIO_BANNED;我们的使馆被封锁后无法影响这个国家
PROV1723;巴尔博亚
PROV353;奥瑟尔
MILITARY_MOBILIZE;动员我们的武装力量
MILITARY_MOBILIZE_DESC;除了我们的常备军，我们国家同样可以在战争状态下动用额外资源进行征兵工作。通过下达动员令，我们征集的部队将开始集结到主要的人口中心，并开始准备进行全面战争。尽管动员是战胜强大敌军的必要手段，但我们依然要时刻小心它对国民经济造成的冲击。
MILITARY_DEMOBILIZE;遣散我们的武装力量
MILITARY_DEMOBILIZE_DESC;通过下达遣散命令，我们征集的部队将离开战场回到家里。尽管国土遭到了战争灾难的极大破坏而需要很长时间才能恢复正常，但在我们将刀剑入鞘前首先必须确保这场战争的胜利。
BE_TECH;科技：
BE_INVENT;发明：
TOPBAR_DIPLOPOINTS_GAIN;我们每月获得?Y$VALUE$?W外交点数
TOPBAR_DIPLOPOINTS_BASEGAIN;基本获得：?Y$VALUE$?W外交点数
MOBILISE;动员
DEMOBILISE;遣散
THE_WORLD_IN;$YEAR$年的世界
TECHNOLOGY_ACTIVATION_YEAR;激活年份：
TECHNOLOGY_RESEARCH_POINTS;研究点数：
tut_8c_12;在维多利亚二中你在发动每场战争时都必须设定一个战争目标。\n你只能设置那些你能在在宣战窗口右侧看到的战争目标。\n请注意只有这些战争目标才是你在取得和平时能得到的利益。\n点击战争显示界面来确认战争目标。
tut_6b_14;现在点击下一步以继续。
tut_8a_7;要尝试成为英国的盟友，我们需要进行一个外交行动。\n外交行动可以做从结盟到宣战的一切动作。\n要完成一个外交行动我们需要拥有外交点数，\n它每个月都会积累。注意最上方的外交按钮，\n在其下方可以看到我们现在拥有一些点数，\n提议结盟行动需要超过一个外交点数。\n请点击提议结盟行动并点击“同意”按钮来向英国提议结盟。
TEMP_NEXT;下一步
BUDGET_EXPORTS;库存出售：?Y$VAL$?W
BUDGET_IMPORTS;仓储开支：?Y$VAL$?W
bad_debter;坏账
bad_debter_desc;由于贵国经济的异常历史，银行将对你的贷款要求更高的利息
MUST_NEGOTIATE_WITH_WAR_LEADER;当我们没有领导这场战争时我们只能同敌方的?Y战争领袖?W谈判
BAD_ADJ;巴登的
WAR_LEADER;?Y战争领袖?W
MUST_NEGOTIATE_WITH_WAR_LEADER_NO_LEFTOVER_WARGOALS;与?Y$COUNTRY$?W实现和平之后，我们必须与敌方?Y战争领袖?W协商以结束战争
WARGOAL_DEMAND;?Y$COUNTRY$?W从?Y$ENEMY$?W要求
POP_DETAILS_PROMOTIONS;升职：
POP_DETAILS_DEMOTIONS;降职：
NO_WAR_SPHERE_LEADER;无法开战对抗势力范围主导国
EVTNAME15310;流动大学
GO_TO_DIPLOMACY;展开外交行动
PROVINCE_CONTROL_DAYS_LATER_THAN;省份的控制权在此前?Y$DAYS$?W天没有变动过\n
PROVINCE_CONTROL_DAYS;省份的控制权在此前?Y$DAYS$?W天变动过\n
ENFORCE_DEMANDS_TRIGGER;如果满足下列条件，叛乱将获胜：
tut_1a_40;当你看到移动箭头后，取消暂停让游戏继续。
EVTNAME15060;第一农业银行
POLITICS_REFORMS;改革
POLITICS_RELEASE_NATIONS;释放国家
MILITARY_LEADER_NAME_TOOLTIP;?Y$NAME$?W是?Y$ARMY$?W的指挥官，驻扎在?Y$LOCATION$?W
hms_government;议会君宪制
EVTNAME19310;天命
EVTDESC19310;“天命”是一个中国哲学概念，近似于西方的“君权神授”概念，历史上被双重用作正当化和激发君主制的权力。随着我国最近晋升到列强地位，人民再次确信，我们的政府承接了上天的使命。
EVTOPTA19310;善哉！
EVTNAME19320;太阳帝国
EVTDESC19320;日本，日出之国。自从外人的黑船第一次出现在我们的海岸已经许多年了，我们的国家觉悟到比自身更高超强大的力量并奋发前行。随着我们最近晋升到列强地位，命运的潮流已经扭转。从现在起，让风逐退和击破那些胆敢泼溅大日本神圣海岸的外国海浪吧！
EVTOPTA19320;万岁！
form_union_nation_title;建立$CULTURE_GROUP_UNION$
form_union_nation_desc;我们在兄弟民族之间的优势地位将我们放到了重建$CULTURE_GROUP_UNION$的位置上。
BE_SECOND_RANK;次强
COUNTRYALERT_HasUnemployedWorkers;下列地区有失业的工厂工人：
REMOVE_TOPBAR_POPULATION;我国当前的成年男性人口为$CURR$人\n我国的成年男性人口现在大约每月改变$CHANGE$人
TOPBAR_POPULATION_VISUAL;我国总人口为$CURR$
BUILD_COLONIAL;非殖民地区
EVTNAME60080;通往奴役之路
EVTDESC60080;近来一个阴森可怕的情感爬上你身——$COUNTRY$正变得寂静。那些曾经能听到意见和思想自由交换的地方，从街角和汽车站到酒吧和大学，现在只有寂静之声在回响。结论已经变得空前地明显，$COUNTRY_ADJ$民主传统已被颠覆。在$COUNTRY$，至少，民有、民治、民享的政府已经从大地上消亡了。
EVTOPTA60080;哇哈哈哈哈！
EVTNAME14210_sub;他们说的都是“给和平一次机会！”
EVTNAME14040;爱与战争
REL_SPHERE_OF_INFLUENCE;主导国
status_quo_short;维持现状
TOTAL_AMOUNT_OF_SHIPS;舰船总数：$COUNT$
LESS_AMOUNT_OF_SHIPS;舰船总数多于：$COUNT$
tut_3a_21b;通过点击申请贷款按钮来获得一项贷款，拖动滑动条直到你对数额满意然后点击“确定”按钮。
REVANCHISM_EXPLANATION;复仇主义是对收复国家失土的渴望。就像爱、战争与和平一样，我们的人民为了收复我们神圣的领土可以做出更大的牺牲。
EVTNAME14120_sub;地方选举中的宗教政策辩论
tut_8c_10;不过，就算你的地位下降也并不算晚，你会得到一个及时的警告然后尝试解决这个问题。避免这类灾难的一种方式当然就是，战争。无论是开战以提高自己的威望，还是让某个国家的威望变得更低。让我们谈谈战争。找到法国然后宣战。先按下“宣战”按钮，选择一个战争目标后点击“同意”按钮。
BE_GREAT_POWER;列强
DIPLOMACY_GREATNATION_STATUS;列强
WE_NO_LONGER_GREAT_POWER_2;并且失去了列强地位
THEY_NO_LONGER_GREAT_POWER_3;并且失去了列强地位
WE_BECAME_GREAT_POWER_2;并且现在被当做列强看待！
SERVER_LOST_DESC;主机已经丢失。你可以储存游戏或选择继续并关闭这个窗口。要继续游戏你必须退出并重新连上主机。
MODIFIER_GLOBAL_POP_MILITANCY_MODIFIER;人群斗争性
MODIFIER_GLOBAL_POP_CONSCIOUSNESS_MODIFIER;人群觉醒度
global_liberal_agitation;自由主义风潮
desc_global_liberal_agitation;煽动者们在大谈自由主义与革命的事业。
EDU_DESC;教育开支用于支付给神职人员以产生研究点数。
ADM_DESC;行政开支可促使官僚运作与维持一个健康的官僚系统，进而提高税收效率和减少犯罪率。
COMBATEND_INITIAL;初始兵力
COMBATEND_CASUALTIES;伤亡
COMBATEND_SURVIVORS;幸存
cavours_diplomacy_title;加富尔的外交
cavours_diplomacy_desc;卡米洛·保罗·菲利·朱利奥·本索，加富尔伯爵，萨丁尼亚王国首相，是意大利统一运动中的领袖人物，他在外交方面的努力往往归功于在第二次意大利独立战争中获得了法国拿破仑三世的可靠援助来对抗奥地利。
EVTNAME36898;维多利亚女王的加冕礼
EVTDESC36898;1838年6月28日，汉诺威王室的亚历山德里娜·维多利亚公主，登上大不列颠及爱尔兰联合王国的王座，号为“维多利亚女王”。她的统治，仅差几年就将延续到20世纪，后来将被铭记作大英帝国的绝对顶峰——日不落帝国。作为汉诺威王室的最后一位英国君主，她的升天也标志着英国与汉诺威之间共主邦联的终结。今天伦敦中喜气洋洋的群众，陪护年轻的维多利亚女王，前往她在新落差的白金汉宫的官邸。
EVTOPTA36898;维多利亚女王！
RELEASE_VASSAL_EFFECT;释放?Y$TARGET$?W\n
EVTDESC15310;她在城市中挤出一条道路，周围人的影子好像$COUNTRY_ADJ$士兵，教堂发光的钟楼怒视着她，仿佛一只凶恶的被感染的黄色眼睛。她已经迟到了，但课仍然上着。在$PROVINCENAME$，一个地下大学已经形成，不顾学术界对少数民族语言的禁令，提供着高等教育。
EVTNAME11100;$FROMCOUNTRY_ADJ$议会
EVTDESC11100;大$CULTURE_GROUP_UNION$内崛起的一股自由化民族主义浪潮已经推翻了$FROMCOUNTRY$的政府。一个由自由革命者召集、包括来自全$CULTURE_GROUP_UNION$各地代表的议会，颁布法令称现在是时候将全民族统一于一面旗帜下了。该议会愿意献给我们一顶$CULTURE_GROUP_UNION$联合的王冠。我们可以接受此加冕，但这么做会导致国际恐慌，我们还要在政治上犒劳这些革命者。
EVTOPTA11100;欢呼！
EVTOPTB11100;我们不接受贱民的王冠。
IS_IN_A_SPHERE;处于势力范围中
EVTNAME16070;吞火者
EVTDESC16070;“停息了，永远，所有关于我们独特制度的搅乱人心的疑问。”\n\n他言辞温和，但包含着一团义愤的内在火焰，指向他认为的威胁奴隶制度的任何人和任何事。“吞火者”，激进的奴隶制煽动者，已经在$PROVINCENAME$出现。
EVTOPTA16070;人人生而平等……
EVTOPTB16070;此言极是！
PROVINCEVIEW_SUPPLY_LIMIT;补给上限：
PRODUCTION_COST_REOPEN;重开花费：?Y$VAL$?W
EVTNAME11102;为了$CULTURE_GROUP_UNION$三呼万岁！
EVTDESC11102;在$COUNTRY$全国各地，兴高采烈的群众挥舞着$CULTURE_GROUP_UNION$的旗帜，到街上举行庆祝。此刻$CAPITAL$的政府宣布全$CULTURE_GROUP_UNION$已经统一在$COUNTRY_ADJ$旗帜下。“长久以来我们任由外国势力的诡计与阴谋设定我们民族的航向。今天，以及永远——在这里，我们上古时代的祖国——我们建立了一个更加完美的结合体。为$CULTURE_GROUP_UNION$三呼万岁！”
EVTOPTA11102;万岁！
NAVALATTACKTHEM_HEADER;海军大臣报告
NAVALATTACKUS_HEADER;海军大臣报告
SIEGEUS_SETUP;当敌军开始占领我们的省份
SIEGEUS_HEADER;$MESSENGER$
SIEGEUS_1;我们的省份开始被占领
SIEGEUS_2;$MONARCHTITLE$，
SIEGEUS_3;$PROV$正被占领
SIEGEUS_4;不要担心！
SIEGEUS_5;$ATTACKER$的部队
SIEGEUS_6;将很快被我军驱逐。
SIEGEUS_LOG;$PROV$开始被占领。
SIEGEUS_BTN1;好的
SIEGEUS_BTN2;好的
SIEGEUS_BTN3;查看
SIEGEUS_MAP;*
SIEGETHEM_SETUP;当我国开始占领一个敌国的省份
SIEGETHEM_HEADER;$MESSENGER$
SIEGETHEM_1;他们的省份开始被占领
SIEGETHEM_2;$MONARCHTITLE$我们开始对以下省份的占领：
SIEGETHEM_3;$PROV$
SIEGETHEM_4;不需要太久我们的部队就能将它
SIEGETHEM_5;从$DEFENDER$手中夺走
SIEGETHEM_6;他们只能期待我们文明的政府了。
SIEGETHEM_LOG;我们开始占领$PROV$。
SIEGETHEM_BTN1;好的
SIEGETHEM_BTN2;好的
SIEGETHEM_BTN3;查看
SIEGETHEM_MAP;*
chief_of_army;陆军大臣
chief_of_navy;海军大臣
chief_of_staff;军务大臣
SPHERE_LEADER;势力范围主导国
CONFIRM_INTERVENTION;干涉！
CONFIRM_INTERVENTION_DESC;你要干涉$WAR$吗？
CHAT_NONE_TIP;过滤聊天内容
CHAT_ALLIES_TIP;仅与盟方聊天
CHAT_ENEMIES_TIP;仅与敌方聊天
CHAT_ALL_TIP;与所有人聊天
CHAT_FILTER;点击以设置是否接收某些聊天信息
UV_NO_MORALE;因组织度太低而无法移动。当前组织度为?Y$ORG$?W，移动需要?Y$NEED$?W。
UV_NO_STRENGHT;因兵力太少而无法移动。当前兵力为?Y$STR$?W，移动需要?Y$NEED$?W。
tut_7a_6b;下面是个“自动”选择框。\n选择“自动”可以自动设置你的贸易规则来购买你的军队所需物资。
tut_1a_4;荷兰在我们的边界集结，我们必须击退他们。\n我们需要做的第一件事是选择一支部队。\n要选择一个部队，请点击布鲁塞尔的部队。
CONT_AI;以AI代替
CONT_CONTINUE;继续（无AI）
ASKMILITARYACCESS_THEY_ACCEPT_6;当条约生效后我们的部队可以在他们领土内自由行动。
ASKMILITARYACCESS_THEY_DECLINE_6;他们为何看不到让我们的部队驻扎在他们首都街道上的好处是一个谜。
DISBAND_UNIT_DRO;解散一个旅将会使它从游戏中移除，这将降低你的国家花费在维护上的补给总额。
residency_desc;只有属于主体民族的民众拥有投票权。
limited_citizenship_desc;只有属于主体民族和可接受民族的民众拥有投票权。
small_arms_production_desc;随着在武器设计方面后膛装填、机械化以及半自动以及其他技术的进步，轻武器的工业输出在十九世纪得到了极大的发展。
ammunition_production_desc;基础军火的设计与生产在十九世纪获得了巨大的进步。先进的武器设计——从枪口到后膛装填再到半自动和机关枪——天然地使弹药的设计和生产必须满足。
explosives_production_desc;维多利亚时代见证了人类在爆炸物研究能力方面的巨大进步。在这个时代之初仅比普通黑火药先进一点点，但在时代之末却迎来了塑胶炸弹与硝化甘油的诞生。
artillery_production_desc;十九世纪的工业革命实实在在地影响到了人类努力的所有领域，火炮的生产也不例外。原本需要事先花费长时间来进行铸模的青铜炮在像阿尔弗雷德·克虏伯或希拉姆·马克沁这样的工业天才手中变得工业化而精确。
PO_PD_70;你赢得了一场毁灭性的胜利，可以预期在实现和平时达成诸多战争目标。
PO_PD_40;你赢得了一场完全的胜利，在实现和平时可以达成至少一个主要的战争目标。
PO_PD_10;你赢得了一场胜利。在实现和平时敌人很可能同意无条件停战，或者可以达成一项受限制的战争目标。
PO_PD_NEG_25;敌人赢得了一场胜利，我们应当考虑提供他们一项受限制的战争目标以换取和平。
PO_PD_NEG_60;敌人赢得了一场完全的胜利，我们应当考虑提供他们至少一项主要的战争目标。
PO_PD_NEG_99;敌人赢得了一场毁灭性的胜利，我们可以预估到他们在和平谈判时会要求达成诸多战争目标。
TOPBAR_AT_WAR_WITH;与?Y$COUNTRY$?W交战
tut_7a_8a;注意这个下方有“购买”文字的图标，后面还有一个滑动条。\n这意味着如果你移动滑动条到一个确定的仓储值，游戏将会尝试购买贸\n易物资直到达成你所需的数目。
EVTOPTA17000;在这里没人赞成
EVTOPTB17000;如果只有这里有人支持这个想法……
