#Powered_by_ParaTranz
DIPLOMACY_AI_ACCEPTANCE;?Y$COUNTRY$?W的回应：?Y$ODDS$?W
hussar_activation_desc;骠骑兵指的是15世纪源自匈牙利的各类轻骑兵。后来来自欧洲和其他地区的轻骑兵继承了他们的称谓和特立独行的着装。在拿破仑战争时期，骠骑兵作为骑兵有着杰出的表现。由于他们是骑乘快马的轻骑兵，他们被用来进行散兵战和侦察。
military_aviation;军用航空
military_aviation_desc;军用航空是指使用航空器或其他飞行器进行战争。重于空气的航空器早早的被认可其具有的军事价值。早在1909年美国通信部队就购买了一架怀特A式飞机，其后在1911年，意大利人在的黎波里战争中使用各种类型的航空器用于侦察，照相侦察以及轰炸。军用航空器第一次世界大战期间迅速的分化成各种类型，如侦察，炮兵观察机，战斗机以及轰炸机。
SIEGE;围城
TRANSFER_SUB_ALL;?GShift+鼠标左键?!转换所有同类单位
OBSOLETE_UNIT_TECH;?Y$UNIT$?W的科技落后于?Y$TECH$?W
ARMY_RECON_TOOLTIP;侦察效率：?Y$VAL$?!
ARMY_RECON_DELAYED_TOOLTIP;侦察效率作为军中斥候的能力，可以降低敌军挖掘战壕的加成以及加快围城速率\n\n该军除了拥有?Y$RECONMAXUNITS$?!必需的侦察旅之外，还有?Y$RECONUNITS$?!额外的，获得侦察效率?Y$VAL$%?!
ARMY_ENGINEER_TOOLTIP;围城效率：?Y$VAL$?!
ARMY_ENGINEER_DELAYED_TOOLTIP;围城效率作为军中工兵与坦克的能力，可以在进攻和围城时削弱敌方要塞\n\n该军除了拥有?Y$ENGINEERMAXUNITS$?!必需的工兵和坦克旅之外，还有?Y$ENGINEERUNITS$?!额外的，获得围城效率?Y$VAL$%?!
TENSION_DECAY;基础衰退：?Y$VAL$?!
TENSION_FROM_GP_WARS;战时列强：?Y$VAL$?!
TENSION_FROM_GP_DISARMED;解除武装的列强：?Y$VAL$?!
TENSION_FROM_GP_RANK;列强排名：?Y$VAL$?!
HAS_NOT_CULTURAL_SPHERE;没有文化圈
HAS_CULTURAL_SPHERE;有文化圈
UCA;中美洲联邦
LOAD_SAVEGAME_FAIL;载入存档失败
NEWS_TOOLTIP_UNREAD;在全部?G$MAX$?!已出版的报纸中，还有?G$NUM$?!未读
NEWS_TOOLTIP_NO_NEW;无未读报纸
become_independent_desc;依靠武力从宗主国宣布独立
CRISIS_DAYS_UNTIL_WAR;如果外交解决方案仍未被发现的话，战争将于?Y$DAYS$?!内爆发
REMOVEFROMSPHERE_COST_NO_INFAMY;这将花费?R$PRESTIGE$?!威望
REMOVEFROMSPHERE_COST;这将花费?R$PRESTIGE$?!威望以及给予你?R$INFAMY$?!恶名
REMOVEFROMSPHERE_DESC;将国家移出一个?Y列强?W的势力范围
CRISIS_INTEREST;他们的兴趣：?Y$VAL$?!
CRISIS_MAKE_OFFER_INVALID;你必须给他们些好处！
CRISIS_MAKE_OFFER_NOT_LEADER;在做出提议前你必须是这场危机的领导国
CRISIS_MAKE_OFFER;出价诱使?Y$COUNTRY$?!持你方
CRISIS_AI_WANTS_TO_BACK_1;并未决定该支持谁
CRISIS_AI_WANTS_TO_BACK_2;正趋向支持
CRISIS_AI_WANTS_TO_BACK_3;正十分倾向于支持
CRISIS_AI_INTEREST;他们对支持的兴趣
unification_release_puppet_cb_setup;使$RECIPIENT$释放$THIRD$，并将$THIRD$加入你的势力范围
unification_release_puppet_cb_desc;将与我们有着文化亲缘关系的同胞从外国人手中解放，并将其加入你的势力范围
unification_release_puppet_cb;解放同胞
unification_release_puppet_cb_short;释放$THIRD$
AIREASON_STRATEGIC_INTERESTS;战略利益
AIREASON_BACKED_BY_ALLY;受盟友支持
AIREASON_ALLY;盟友
AIREASON_TOO_EARLY_IN_CRISIS;危机早期
AIREASON_CRISIS_OFFER;$WARGOAL$：
AIREASON_ATTACKING_ALLY;攻击盟国
AIREASON_ATTACKING_FRIENDS;攻击友国
AIREASON_ATTACKING_ENEMIES;攻击敌国
AIREASON_COMMON_FOE;共同的敌人
AIREASON_WAR_WITH_SPHERE_LEADER;与势力范围主导国战斗
AIREASON_CONSTRUCTING_CB;战略利益
AIREASON_HELD_CORES;拥有核心省份
AIREASON_NEGATIVE_RELATIONS;恶劣关系
AIREASON_THREATS;威胁
AIREASON_TOO_MANY_GP_ALLIES;太多列强盟友
AIREASON_DESIRES_GP_ALLY;想要列强盟友
AIREASON_ALLY_OF_ALLY;盟友的盟友
AIREASON_TOO_MANY_ALLIANCES;太多盟国
AIREASON_RELATIVE_ARMY_STRENGTH;陆军力量
AIREASON_RELATIVE_NAVY_STRENGTH;海军力量
AIREASON_CURRENT_WARS;战争中
AIREASON_OUR_CASUS_BELLI;我们的战争借口
AIREASON_YOUR_CASUS_BELLI;你们的战争借口
AIREASON_CIV_VS_UNCIV;文明对阵野蛮
AIREASON_DIPLOMATIC_GOALS;政治考量
AIREASON_DISTANCE;距离
AIREASON_DIFFERENT_GOVTYPES;政体
AIREASON_OUR_SPHERE;我国的势力范围
AIREASON_OTHER_SPHERE_LEADER;他国的势力范围
AIREASON_OTHER_SPHERE;不同势力范围
AIREASON_OVERLORD;宗主国
AIREASON_BADBOY;恶名
AIREASON_RELATIONS;关系
AIREASON_GP_RELATIONS;评价
AIREASON_BASE_RELUCTANCE;基础阻力
AI_DIPLOMATIC_VALUE;交涉值
AI_DIPLO_NO;他们不会接受
AI_DIPLO_YES;他们会接受
SHIP_BUILD_MIN_BASE_LEVEL_WARNING;?R无法在这个海军港口建造，需要等级至少?Y$LVL$?R?!
NAVAL_BASE_OVERSEAS_LIMIT;?R主力舰无法在海外省份建造?!
NAVAL_COMBAT_DAMAGE_DESC_TITLE;预计火力为?G$POWER$?!
NAVAL_COMBAT_DAMAGE_DESC_BASE;?Y$UNIT$?!础攻击：?G$VAL$?!
NAVAL_COMBAT_DAMAGE_DESC_TORP;鱼雷攻击：?G$VAL$?!
NAVAL_COMBAT_DAMAGE_DESC_LUCK;运气与决策：?Y$VAL$%?!
NAVAL_COMBAT_DAMAGE_DESC_HULL;被对手船体（?R$HULL$?!减弱：?R$VAL$%?!
NAVAL_COMBAT_DAMAGE_DESC_EXP;被对手经验（?R$EXP$%?!：?R$VAL$%?!
NAVAL_COMBAT_DAMAGE_DESC_NOORG;对手缺乏组织：?Y$VAL$%?!
NAVAL_COMBAT_DAMAGE_DESC_STR;被我们的兵力减弱：?R$VAL$%?!
NAVAL_COMBAT_HIT_CHANCE_DESC;命中几率：?Y$VAL$%?!
NAVAL_COMBAT_HIT_CHANCE_DESC_EVA;（被对手闪避减弱?R$VAL$%?!
MOBILIZATION_PROGRESS_PAUSED;?Y$PROV$?!动员征兵将很快开始
MOBILIZATION_PROGRESS_PENDING;目前的动员进度为?Y$PROG$%?!
MOBILIZATION_PROGRESS_NOT_MOBILIZED;动员需要花费一些时间，不过先进的铁路网将会加速这一进程
COLONY_ADD_INFLUENCE;增加殖民影响
EVTNAME20100;$STATE$的紧张局势
EVTDESC20100;最近国际社会越来越对所谓“$STATE$被压迫人民的困境”产生关注。据称他们被我们长期压迫，并且渴望脱离我们仁慈的统治。我们当然无法忍受对我们统治$STATE$的任何形式的干涉。
EVTOPTA20100;当然不！
EVTOPTB20100;或许我们该谈谈这事……
EVTNAME20101;$STATE$的紧张局势
EVTDESC20101;最近国际社会越来越对所谓“$STATE$被压迫人民的困境”产生关注。据称我们没有合法的权利统治这块地区，临近的列强正开始对该地的宣称权蠢蠢欲动。
EVTOPTA20101;强调$STATE$是我们的！
EVTOPTB20101;认可他们的观点。
EVTNAME20102;$CRISISAREA$危机
EVTDESC20102;关于$CRISISAREA$的争端目前已经升级为一场国际危机。$CRISISTAKER$宣称此地是他们国家不可分割的一部分，同时$CRISISTARGET$否认前者对其的任何宣称，坚持该地区应维持在他们的控制之下。在最近一次关于此问题的会议上，我们大使的一些火药味十足的言论使局势骤为紧张。\n我们是应该认可他的立场还是为他的行为作出道歉并否认他的言论呢？
EVTOPTA20102;他说得对，只有战争能够解决这个问题！
EVTOPTB20102;别听他的！
EVTNAME20103;$CRISISTAKER$的天命
EVTDESC20103;$CRISISTAKER$人民的命运最近已成为一场主要的国际危机。尽管$CRISISTARGET$目前控制着该地区，$CRISISAREA$的叛军与爱国者正为将他们从$CRISISTARGET_ADJ$统治下解放而作出重大尝试。我国作为堂堂大国当然已派出一名大使讨论$CRISISAREA$的命运，然而不幸的是这名大使在最近的一次高层会议上碰巧显得有些古怪（或许喝醉了吧），宣称我们已准备好通过威吓其他不服从我们领导的与会国的方式来解决问题。这当然使局势升级了，但我们也可以通过否认其行为来做些补救，但是如果这样的话无疑将十分令人尴尬。
EVTOPTA20103;操家伙！
EVTOPTB20103;把这个傻瓜炒鱿鱼！
EVTNAME20104;$CRISISAREA$危机
EVTDESC20104;关于$CRISISAREA$的争端目前已经升级为一场国际危机。由于列强在该问题上插手，风险水涨船高。我们是应该坚持我们的主张还是尽量给局势降温呢？
EVTOPTA20104;那是我们的地盘！
EVTOPTB20104;我们欢迎磋商。
EVTNAME20105;$CRISISAREA$危机
EVTDESC20105;$CRISISTAKER_ADJ$叛军企图强行从我国突破，我们知晓其幕后支持者正是$CRISISATTACKER$。我们只能指望$CRISISDEFENDER$的军队能够支持我们的主张了。我们是要派大使前往$CRISISDEFENDER$请求他们坚定地维护我们的主张呢？还是暗示我们愿意通过谈判来解决问题？
EVTOPTA20105;坚持宣称！
EVTOPTB20105;让我们不要为此而大打出手。
COLONIZE_PHASE_INTEREST;确立兴趣
COLONIZE_PHASE_INTEREST_DESC;通过投资殖民力来竞争。当某国达到$LEVELS$级时，前两位国家将进入竞争的下一阶段。
COLONIZE_PHASE_INFLUENCE;殖民竞争
COLONIZE_PHASE_INFLUENCE_DESC;两国以殖民力竞争，直到一方投资触底。每次投资都会提升地区的紧张度，如果局势过于紧张的话将会升级为危机。
COLONIZE_PHASE_COLONIZATION;殖民化
COLONIZE_PHASE_COLONIZATION_DESC;之前阶段的胜者将有$MONTHS$个月时间将其转化为一个殖民地，否则将会损失投资。
TICKING_WARSCORE_DESC_GRACE;$VAL$（剩余?Y$DAY$?!）。
TICKING_WARSCORE_DESC_GRACE_EXPLAIN;当领土类战争目标至少满足?G$MIN$%?!，其将会缓慢地为索要国增加战争分数。\n如果一个战争目标在?Y$DAYS$天限期?!仍未满足，那么其反而会为拥有国增加战争分数。目标地区如果控制易手，那么两边都会缓慢地恢复到?Y0?!。
TICKING_WARSCORE_FULFILL_TERRITORY_WG;?G当占领目标地区内至少$MIN$%的省份时满足目标?!
TICKING_WARSCORE_FULFILL_TERRITORY_ANY;?G当占领目标国家内至少$MIN$%的省份时满足目标?!
TICKING_WARSCORE_FULFILL_BATTLE;?G发生?G$BAT$?!战斗后，拥有更高的战争分数的我们满足目标?!
CREATE_PROTECTORATE;创建保护领
JAN;扬马延
JAN_ADJ;扬马延的
JAN_liberal;自由党
JAN_conservative;保守党
JAN_socialist;工党
JAN_anarcho_liberal;激进党
JAN_communist;共产党
JAN_fascist;国家统一
COUNTRYALERT_NO_Colonial;我们的殖民地内没有什么需要注意的
COUNTRYALERT_NO_Crisis;没有正在发生的危机
COUNTRYALERT_Crisis;当前危机热度是?Y$TEMPERATURE$?!
HAS_GOODS_IN_STATE;地区内生产$GOODS$
HAS_NO_GOODS_IN_STATE;地区内不生产$GOODS$
MILITARY_MOBILIZE_CRISIS_IMPACT;?R当危机中的一方动员时将会加剧危机热度进而导致战争！?!
NORMAL_WAR_LIBERATE_NAME;$ORDER$$FIRST$解放$COUNTRY$之战
AGRESSION_WAR_LIBERATE_NAME;$ORDER$$FIRST$解放$COUNTRY$之战
CANT_COLONIZE;?R不可殖民：?!
COLONIZE_LAST_INVESTMENT;我们刚投资了该地区，?Y$DATE$天后才可进行下一笔投资?!
COLONY_INVEST_COST;投资花费：?Y$COST$?!殖民力
COLONY_INVEST_COST_LACK;投资花费：?R$COST$?!殖民力
COLONIAL_INVESTMENT;当前投资：?R$VALUE$?!
COLONIAL_MAINTENANCE;维护占用殖民力：?R$VALUE$?!
AVAILABLE_COLONIAL_POWER;可用：?Y$VALUE$?!
PW_PROTECTORATE;保护领
D01;$REGION$王国
D01_ADJ;$REGION$的
D02;$REGION$邦联
D02_ADJ;$REGION$的
D03;$REGION$共同体
D03_ADJ;$REGION$的
D04;$REGION$共和国
D04_ADJ;$REGION$的
D05;$REGION$国
D05_ADJ;$REGION$的
D06;$REGION$人民共和国
D06_ADJ;$REGION$的
D07;$REGION$自由邦
D07_ADJ;$REGION$的
D08;$REGION$大国
D08_ADJ;$REGION$的
D09;$REGION$国
D09_ADJ;$REGION$的
D10;$REGION$公国
D10_ADJ;$REGION$的
D11;$REGION$民主共和国
D11_ADJ;$REGION$的
D12;$REGION$联盟
D12_ADJ;$REGION$的
D13;$REGION$王国
D13_ADJ;$REGION$的
D14;$REGION$自治领
D14_ADJ;$REGION$的
D15;$REGION$大公国
D15_ADJ;$REGION$的
D16;$REGION$国家
D16_ADJ;$REGION$的
D17;$REGION$联邦
D17_ADJ;$REGION$的
D18;$REGION$合众国
D18_ADJ;$REGION$的
D19;$REGION$民主联邦
D19_ADJ;$REGION$的
D20;$REGION$公国
D20_ADJ;$REGION$的
D21;$REGION$联邦
D21_ADJ;$REGION$的
D22;$REGION$人民民主共和国
D22_ADJ;$REGION$的
D23;$REGION$地区
D23_ADJ;$REGION$的
D24;$REGION$光荣联邦
D24_ADJ;$REGION$的
D25;强大之$REGION$
D25_ADJ;$REGION$的
D26;$REGION$自由邦
D26_ADJ;$REGION$的
D27;$REGION$共同体
D27_ADJ;$REGION$的
D28;$REGION$邦联
D28_ADJ;$REGION$的
D29;$REGION$自由民
D29_ADJ;$REGION$的
D30;$REGION$共和国
D30_ADJ;$REGION$的
D31;$REGION$神圣联盟
D31_ADJ;$REGION$的
D32;$REGION$人民联盟
D32_ADJ;$REGION$的
D33;$REGION$联邦
D33_ADJ;$REGION$的
D34;$REGION$联邦
D34_ADJ;$REGION$的
D35;$REGION$邦联
D35_ADJ;$REGION$的
D36;$REGION$联邦
D36_ADJ;$REGION$的
D37;$REGION$虔诚联盟
D37_ADJ;$REGION$的
D38;$REGION$之土
D38_ADJ;$REGION$的
D39;最安详之$REGION$共和国
D39_ADJ;$REGION$的
D40;$REGION$秘密王国
D40_ADJ;$REGION$的
D41;$REGION$公社
D41_ADJ;$REGION$的
D42;$REGION$公社
D42_ADJ;$REGION$的
D43;$REGION$工人联盟
D43_ADJ;$REGION$的
D44;$REGION$女伯爵领
D44_ADJ;$REGION$的
D45;$REGION$国
D45_ADJ;$REGION$的
D46;神圣之$REGION$
D46_ADJ;$REGION$的
D47;$REGION$自治领
D47_ADJ;$REGION$的
D48;$REGION$人民国
D48_ADJ;$REGION$的
D49;$REGION$崇高王国
D49_ADJ;$REGION$的
D50;$REGION$小公国
D50_ADJ;$REGION$的
dominion_conservative;保守党
dominion_reactionary;守旧派
dominion_liberal;自由党
dominion_anarcho_liberal;自在党
dominion_socialist;社会党
dominion_communist;共产党
dominion_fascist;帝国党
PW_UPGRADE_TO_COLONY;单击以转换升级为殖民地，你需要?Y$VALUE$?!可用的殖民力点数才能这样做
PW_CANT_UPGRADE_TO_COLONY;升级为殖民地花费?R$VALUE$?!殖民力点数
PW_CANT_UPGRADE_TO_STATE;并入本土花费?R$VALUE$?!殖民力点数
CREATE_DOMINION;释放自治领
CANT_CREATE_PROTECTORATE_COST;你需要有?R$VALUE$?!可用的殖民力点数以创建一个保护领
torpedo_attacks_desc;鱼雷是一种装备了爆破弹头的自推进武器。鱼雷从水上或水下发射后，一般从水中向目标推进，被设计成是会于目标接触处或目标附近引爆。即使是小型舰船也可以利用这种武器给予大型战舰致命一击。
