#Powered_by_ParaTranz
MULTI_SEL_DESC;?GSHIFT+鼠标左键?!取复数单位
BP_TOOLTIP_TOOL_ARROW;选择箭头类型，并用?Y鼠标左键?!地图上画出\n按住?YShift?!?Y鼠标左键?!替换箭头
BP_TOOLTIP_TOOL_BORDER;选择边界类型，并用?Y鼠标左键?!地图上画出
BP_TOOLTIP_TOOL_ICON;选择图标类型，并用?Y鼠标左键?!地图上画出
BP_TOOLTIP_TOOL_COLOR;选择现有颜色画出箭头或图标
BP_TOOLTIP_TOOL_TEXT;在地图上加写注释\n如果没有选择对象，则新建一个注释\n如果选择了一个箭头，则沿箭头注释\n如果已经选择了一个注释，则对其修改\n?YShift?!?Y鼠标滚轮?!以调整文字方向\n?YCtrl?!?Y鼠标滚轮?!以调整文字大小
BP_TOOLTIP_TOOL_ERASE;删除所选对象
BP_TOOLTIP_VISIBILITY;控制是否计划在地图上可见
MILITARY_SPENDINGS_LAND;?Y陆军?!销:
MILITARY_SPENDINGS_NAVAL;?Y海军?!销:
MILITARY_SPENDINGS_PROJECTS;?Y建设?!销:
STOCKPILE_COST_ESTIMATED;我们?Y预估?!日购买储备将花费:
STOCKPILE_COST_ACTUAL;今日我们?Y确定?!在储备上花费:
NAVAL_COMBAT_DETAILS_APPROACH;与?Y$WHO$?!离：?Y$DIST$?!
NAVAL_COMBAT_DETAILS_DESTROYED;被?R$WHO$?Y击沉?!
NAVAL_COMBAT_DETAILS_DISENGAGED;这一单位已尝试脱离，目前不在战斗中
NAVAL_COMBAT_DETAILS_RETREAT;这个单位正在撤退
NAVAL_COMBAT_DETAILS_SEEKING;寻找最佳目标
NAVAL_COMBAT_DETAILS_SHOOTING;对?Y$WHO$?!火\n—损伤组织度?G$ORG$?!n—损伤兵力?Y$STR$?!
NAVAL_COMBAT_DETAILS_FILTERING;单击?G鼠标左键?!示所有瞄准本舰的舰只
MAPMODE_NAVAL_TOOLTIP_LEVEL;海军基地等级?G$LVL$?!
MAPMODE_NAVAL_TOOLTIP_NO_BASE;该地区没有海军基地
MAPMODE_NAVAL_TOOLTIP_CAP;该省的?Y海军补给吞吐量?!?G$CAP$?!总量为?G$TOT$?!
MAPMODE_NAVAL_TOOLTIP_IN_OTHER;该地区在?Y$PROV$?!有一个海军基地
MAPMODE_NAVAL_TOOLTIP_UNDER_CON;一个海军基地在此地建设中
NAVAL_SUPPLY_PENALTY_DESC;受到?Y海军补给吞吐量?!致的?R$PEN$%?!惩罚
COMBAT_LEADER_MOD_ATTACK;将领进攻
COMBAT_LEADER_MOD_DEFENSE;将领防御
OCCUPATION_SCORE_ATTACKER;攻方:
OCCUPATION_SCORE_DEFENDER;守方:
BLOCKADE_SCORE_ATTACKER;攻方封锁:
BLOCKADE_SCORE_DEFENDER;守方封锁:
TICKING_WARSCORE_HEAD;?Y时间优势?!成?Y$VAL$?!
TICKING_WARSCORE_DESC_SCORE;目前$VAL$（每日变化$CHANGE$）
TICKING_WARSCORE_DESC_SCORE_MAX;目前$VAL$（最大）
TICKING_WARSCORE_DESC_SCORE_SHORT;$VAL$（每日$CHANGE$）
TICKING_WARSCORE_DESC_SCORE_MAX_SHORT;$VAL$（最大）
CB_DESTROY_FORTS;摧毁要塞
CB_DESTROY_NAVAL_BASES;摧毁海军基地
po_destroy_forts;摧毁$STATE$内的全部要塞
po_destroy_naval_bases;摧毁$STATE$内的全部海军基地
ALL_CORE_PROVINCES;所有含有核心省份的地区
ALL_SATES;所有地区
dismantle_forts_desc;拆除要塞与海军基地
dismantle_forts;拆除军事设施
dismantle_forts_short;拆除$STATE$的全部军事设施
dismantle_forts_setup;拆除$STATE$的要塞与海军基地
liberate_country_desc;将一?Y整个国家?W从其压迫者手中解放
liberate_country;解放国家
liberate_country_short;$THIRD$获得$STATE$
liberate_country_setup;$RECIPIENT$将$STATE$还给$THIRD$
FIRE_RANGE;射程
EVASION;闪避
SORT_BY;排序:
STANCE;阵位
STR_ORG;兵力/组织度
SORT_BY_TYPE_DESC;根据舰船的?Y类型?!类
SORT_BY_STANCE_DESC;根据舰船的?Y目前行动?!类
SORT_BY_STR_ORG_DESC;根据舰船的?Y平均兵力与组织度?!类
TARGETED_BY;受瞄准于:
MAY_NOT_RETREAT_NAVAL;在我们对我们的胜算有着完全的认识前，就从战场撤退，这既不可能也不光荣
REMAINING_NAVAL_RETREAT;在我们可以自发撤退前，我们还需要接近?Y$OPT$?!摸清我们的胜算
NAVAL_COMBAT_STATUS_APPROACH;接战
NAVAL_COMBAT_STATUS_SEEKING;寻找目标
NAVAL_COMBAT_STATUS_FIRING;损伤?G$ORG$?!?R$STR$?!
NAVAL_COMBAT_STATUS_RETREAT;撤退中
NAVAL_COMBAT_STATUS_DISENGAGED;已脱离
SUPPLY_LOAD;补给量
SUPPLY_LOAD_STATUS_DESC_BASIC;我们全部?Y海军港口?!?Y补给吞吐量?!计为$TOT$\n我们的全部舰船总共需要$REQ$
SUPPLY_LOAD_STATUS_DESC_PENALTY;由于补给匮乏，我们的舰船遭受$PEN$的惩罚
SUPPLY_LOAD_STATUS_DESC_HINT;如果不建立海军基地就得考虑解散部分舰船
SUPPLY_LOAD_STATUS_DESC_UPCOMING_PENALTY;新的舰船正在建造中，这将超过补给限制$EXC$
SUPPLY_LOAD_STATUS_DESC_DETAILED_LIST;以下报告列出补给吞吐量的要求:
SHIP_BUILD_MIN_BASE_LEVEL;需要等级为?Y$LVL$?!上的海军基地
SHIP_BUILD_LIMIT_PER_BASE;每个港口只能最多支持?Y$LIM$?!这样的船
SHIP_BUILD_LIMIT_PER_BASE_HINT;?R考虑建造更多等级?G$LVL$?R以上的海军基地?!
SHIP_BUILD_LIMIT_MAX;?Y（上限：$LIM$）?!
BUILDING_ONE_PER_STATE;每个地区只能有一个
DIPLOMACY_CRISIS_INFO;危机
CRISIS_CANT_DECLARE_WAR;如果你正涉入一场危机，你将不可宣战或被宣战
HAS_FLASHPOINT;有热点
HAS_NO_FLASHPOINT;无热点
TENSION_LESS_THAN;热点紧张度低于
TENSION_MORE_THAN;热点紧张度高于
CRISIS_TEMPERATURE_LESS_THAN;危机热度低于
CRISIS_TEMPERATURE_MORE_THAN;危机热度高于
FLASHPOINT_TENSION_EFFECT;$DIRECTION$$VALUE$的热点紧张度\n
diplomatic_focus;外交
increase_tension;加剧紧张
increase_tension_focus_desc;每月增长?Y$VAL$?W%的热点紧张度
NOT_A_FLASHPOINT;?R不是一个热点?!
MAPMODE_21;危机
MAPMODE_22;海军
FLASHPOINT_TENSION;热点紧张度：?Y$VALUE$?!
EXECUTING_HISTORY;执行历史……
CRISIS_TEMPERATURE;危机热度：?R$VALUE$%?!
HAS_CRISIS;这里有正在发生的危机
HAS_NO_CRISIS;这里无正在发生的危机
CRISIS_TEMPERATURE_EFFECT;$DIRECTION$$VALUE$的危机热度\n
TRIGGER_STATE;所在地区
BACKERS_LABEL;支持者:
SUPPORT_SIDE;支持该方
ON_THE_FENCE_LABEL;置身事外:
vacuum_tube;电子管
vacuum_tube_desc;电子管是一种让电流从真空中通过的装置。通过“爱迪生效应”管内的电子从阴极流向阳极，通过增加一个栅板，可以使之变成真空三极管。电子管在无线电、电话、电视、雷达和早期计算机中有广泛的应用。
tulls_seed_drill;杰斯洛·图尔播种机
tulls_seed_drill_desc;一直以来，农民在谷物播种时采用的方法依旧是手工播种，边走边埋入土中或者广域抛掷种子。这种方法的问题是，种子并没有均匀分布。因此大部分种子被浪费了。杰斯洛·图尔发明了一种畜力牵引的播种机。由一个盒子容纳种子，再用簧片喷洒播种。这样，只要牲畜从田里走过，种子就被均匀的洒在泥土里。
rotherham_plough;罗瑟勒姆犁
rotherham_plough_desc;罗瑟勒姆犁或者被称为约克郡犁是由迪斯尼和约瑟夫由荷兰“杂牌”犁改进而成。它以木料固定各个配件：犁、铁铲、挡板……。其重量与传统犁相比更轻，也更适合畜力牵引。
telephone_switchboard;电话交换机
telephone_switchboard_desc;电话交换机是一个由电气构建组成的用来连接电话的系统。电信交换机于1877年由一个为爱迪生工作的匈牙利人发明。1881年在美国东海岸和西欧，电话交换机首次用于商业目的。电话交换机包括数百个插槽，员工手动插拔线路使之联统。1891年，阿尔蒙·布朗注册了自动电话交换机的专利。
BRZ_2446;米纳斯吉拉斯
CLM_2259;考卡
ANN_1371;北圻
ANN_1374;中圻
ANN_1383;南圻
LUA_1356;老挝
SIA_1392;曼谷
SIA_1355;清迈
SIA_1358;呵叻
ENG_1384;马来亚
ENG_1343;丹那沙林
BUR_1339;克钦
BUR_1334;掸邦
BUR_1330;勃固
NEP_1327;喜马拉雅
TIB_1591;西藏
ENG_1247;比哈尔
ENG_1261;奥里萨
ENG_1236;北方邦
PAN_1227;旁遮普
PAN_1224;克什米尔
KAL_1221;俾路支
SIN_1288;信德
ENG_1291;古吉拉特
ENG_1264;拉吉布塔那
ENG_1275;中央邦
NAG_1277;那格浦尔
ENG_1305;奥里萨
HYD_1283;海得拉巴
ENG_1297;孟买
ENG_1304;马德拉斯
MYS_1314;迈索尔
ENG_1317;特拉凡哥尔
ATJ_1405;亚齐
NET_1398;苏门答腊
NET_1423;婆罗洲
NET_1449;摩鹿加群岛
NET_1451;西新几内亚
BAL_1438;巽他群岛
BRU_1394;北婆罗洲
PER_1141;拉雷斯坦-霍尔木兹
PER_1148;呼罗珊
PER_1138;斯坦省
PER_1135;法尔斯-科尔曼
PER_1127;伊斯法罕
PER_1116;吉兰-马赞达兰
PER_1121;阿贾姆
PER_1112;大不里士
PER_1122;卢里斯坦
AFG_1214;西阿富汗
AFG_1217;东阿富汗
RUS_1196;土库曼斯坦
KHI_1191;乌兹别克斯坦
BUK_1207;塔吉克斯坦
KOK_1190;吉尔吉斯斯坦
RUS_1182;乌拉尔斯克
RUS_1184;阿斯塔纳
RUS_1185;哈萨克斯坦
CHI_1532;内蒙古
CHI_1578;四川
CHI_1581;重庆
CHI_1494;潮州
CHI_1550;江西
CHI_1487;福建
CHI_1611;浙江
CHI_1473;安徽南部
CHI_1516;湖北东部
CHI_1523;湖北西部
CHI_1513;河南
CHI_1472;安徽北部
CHI_1476;江苏
CHI_1539;苏州
CHI_1563;山东
CHI_1614;直隶南部
CHI_1618;直隶北部
CHI_1553;满洲
CHI_1082;外满洲
CHI_1086;库页岛
KOR_1624;汉城
KOR_1635;釜山
KOR_1627;沙里院
KOR_1619;平壤
JAP_1660;九州
JAP_1640;中国-四国
JAP_1655;近畿
JAP_1675;中部
JAP_1649;关东
JAP_1654;博宁群岛
JAP_1672;东北
JAP_1088;北海道
RUS_2685;乌拉尔
RUS_1065;鄂毕
RUS_1064;托波斯克
RUS_1469;托木斯克
RUS_2615;上叶尼塞斯克
RUS_1070;下叶尼塞斯克
RUS_1075;伊尔库茨克
RUS_1079;外贝加尔
RUS_2694;西伯利亚中部
RUS_1069;西雅库茨克
RUS_2653;北西伯利亚
RUS_1071;雅库茨克
RUS_1072;鄂霍次克
RUS_2668;北雅库茨克
RUS_2618;上鄂霍次克
RUS_2621;内楚科塔
RUS_1074;堪察加
RUS_2590;楚科塔沿岸
TUR_885;卡尔斯
TUR_884;特拉布松
TUR_889;底亚巴基尔
TUR_876;安卡拉
TUR_873;科尼亚
TUR_881;卡斯塔莫努
TUR_869;艾登
TUR_863;胡达文迪加尔
TUR_923;摩苏尔
TUR_931;巴格达
TUR_935;巴士拉
EGY_897;阿勒颇
EGY_910;外约旦
EGY_903;叙利亚
NEJ_1156;哈伊勒
NEJ_1157;内志
EGY_1746;西奈
EGY_1750;下埃及
EGY_1762;中埃及
EGY_1771;上埃及
EGY_1753;马特鲁
EGY_1758;埃及沙漠
EGY_1834;栋古拉
EGY_1827;苏丹
ENG_1843;赤道几内亚
ENG_1848;厄立特里亚
ETH_1854;提格雷
ETH_1864;阿姆哈拉
ETH_1867;奥罗米亚
ALD_1708;君士坦丁
FRA_1700;阿尔及尔
ALD_1704;特莱姆森
MOR_1688;阿里夫
MOR_1686;非斯
MOR_1693;摩洛哥
FRA_1803;廷巴克图
FRA_1798;马里东部
FRA_1801;马里西部
FRA_1901;沃尔特
FRA_1808;外豪萨
FRA_1923;约鲁巴
FRA_1927;豪萨
FRA_1939;东豪萨
FRA_1930;贝宁
FRA_1931;尼日尔
FRA_1937;尼日利亚
FRA_1816;博尔努
ENG_1825;乍得
ENG_1818;瓦迪菲拉
FRA_1965;乌班吉
ENG_2029;桑给巴尔
ENG_2034;坦噶尼喀
ENG_2039;林迪
ENG_2016;卡曾贝
POR_2053;赞比西
POR_2049;马普托
ZUL_2113;祖鲁兰
ENG_2078;赫雷罗兰
ENG_2132;南大西洋群岛
ENG_2125;印度洋群岛
MAD_2117;南马达加斯加
MAD_2121;北马达加斯加
sioux_nation_title;苏族
sioux_nation_name;苏族
sioux_nation_desc;苏族人对入侵家园的美国移民奋起反抗，他们对美国官方背弃承诺的做法恼羞成怒，他们会与西方殖民者斗争到底！
sioux_nation_army;苏族主战派
apache_title;阿帕奇族
apache_name;阿帕奇族
apache_desc;阿帕奇人对入侵家园的美国移民奋起反抗，他们对美国官方背弃承诺的做法恼羞成怒，他们会与西方殖民者斗争到底！
apache_army;阿帕奇主战派
EVTNAME160001;太平天国之乱
EVTDESC160001;太平天国发起了一场规模庞大的叛乱！
EVTOPTA160001;镇压他们！
EVTOPTB160001;驱除鞑虏，恢复中华！
EVTNAME160502;反满舆情
EVTDESC160502;陛下，我国大臣已经察觉到民间近来对我朝的不满甚至是敌意高涨。洋鬼子闯入我国所带来的耻辱使部分人对朝廷失去希望，进而反抗我们。我们该如何应对？
EVTOPTA160502;屠杀即可。
EVTOPTB160502;没空搭理这些乱党。
EVTNAME90902;中国解体
EVTDESC90902;中国已经分裂。
EVTOPTA90902;自由！
EVTNAME90040;印度兵变
EVTDESC90040;印度人发起叛乱！
EVTOPTA90040;这下麻烦了。
CRISIS_DESCRIPTION_LIBERATION;解放$COUNTRY$危机
CRISIS_DESCRIPTION_RECLAIM;归还$COUNTRY$之合法领土危机
CRISIS_ALREADY_TAKEN_SIDE;已选择一方
CRISIS_WAITING_ON_BACKER;等待列强支持
MUST_BE_CRISIS_SIDE_LEADER;一定要在危机中成为一方领袖
CRISIS_OFFERTITLE;换取支持
CRISIS_OFFER_OFFER;$ACTOR$将以?Y$WARGOAL$?!取他国加入到当前危机中的他们一边
CRISIS_OFFER_WE_ACCEPT_SETUP;当我国接受在危机中加入某方时
CRISIS_OFFER_WE_ACCEPT_HEADER;外相报告
CRISIS_OFFER_WE_ACCEPT_1;$MONARCHTITLE$
CRISIS_OFFER_WE_ACCEPT_2;我国已经以下列要求加入当前危机下的$ACTOR$一方:
CRISIS_OFFER_WE_ACCEPT_3;$WARGOAL$
CRISIS_OFFER_WE_ACCEPT_4;*
CRISIS_OFFER_WE_ACCEPT_5;*
CRISIS_OFFER_WE_ACCEPT_6;*
CRISIS_OFFER_WE_ACCEPT_BTN1;好的
CRISIS_OFFER_WE_ACCEPT_BTN2;好的
CRISIS_OFFER_WE_ACCEPT_BTN3;查看
CRISIS_OFFER_WE_ACCEPT_LOG;我国加入当前危机。
CRISIS_OFFER_THEY_ACCEPT_SETUP;当某国接受在危机中加入我方时
CRISIS_OFFER_THEY_ACCEPT_HEADER;外相报告
CRISIS_OFFER_THEY_ACCEPT_1;$MONARCHTITLE$
CRISIS_OFFER_THEY_ACCEPT_2;$RECIPIENT$已经以下列要求加入当前危机下的我方
CRISIS_OFFER_THEY_ACCEPT_3;$WARGOAL$
CRISIS_OFFER_THEY_ACCEPT_4;*
CRISIS_OFFER_THEY_ACCEPT_5;*
CRISIS_OFFER_THEY_ACCEPT_6;*
CRISIS_OFFER_THEY_ACCEPT_BTN1;好的
CRISIS_OFFER_THEY_ACCEPT_BTN2;好的
CRISIS_OFFER_THEY_ACCEPT_BTN3;查看
CRISIS_OFFER_THEY_ACCEPT_LOG;$RECIPIENT$在危机中加入我方。
CRISIS_OFFER_OTHER_ACCEPT_SETUP;当某国接受在危机中加入一方时
CRISIS_OFFER_OTHER_ACCEPT_HEADER;外相报告
CRISIS_OFFER_OTHER_ACCEPT_1;$MONARCHTITLE$
CRISIS_OFFER_OTHER_ACCEPT_2;麻烦正在酝酿
CRISIS_OFFER_OTHER_ACCEPT_3;看起来$RECIPIENT$
CRISIS_OFFER_OTHER_ACCEPT_4;已决定加入当前的危机
CRISIS_OFFER_OTHER_ACCEPT_5;他们将与$ACTOR$站在一边
CRISIS_OFFER_OTHER_ACCEPT_6;*
CRISIS_OFFER_OTHER_ACCEPT_BTN1;好的
CRISIS_OFFER_OTHER_ACCEPT_BTN2;好的
CRISIS_OFFER_OTHER_ACCEPT_BTN3;查看
CRISIS_OFFER_OTHER_ACCEPT_LOG;$RECIPIENT$加入当前危机。
CRISIS_OFFER_WE_DECLINE_SETUP;当我国拒绝加入危机中的一方时
CRISIS_OFFER_WE_DECLINE_HEADER;外相报告
CRISIS_OFFER_WE_DECLINE_1;$MONARCHTITLE$
CRISIS_OFFER_WE_DECLINE_2;我国已拒绝加入当前危机下的$ACTOR$一方
CRISIS_OFFER_WE_DECLINE_3;*
CRISIS_OFFER_WE_DECLINE_4;*
CRISIS_OFFER_WE_DECLINE_5;*
CRISIS_OFFER_WE_DECLINE_6;*
CRISIS_OFFER_WE_DECLINE_BTN1;好的
CRISIS_OFFER_WE_DECLINE_BTN2;好的
CRISIS_OFFER_WE_DECLINE_BTN3;查看
CRISIS_OFFER_WE_DECLINE_LOG;我国拒绝加入当前危机。
CRISIS_OFFER_THEY_DECLINE_SETUP;当某国拒绝在危机中加入我方时
CRISIS_OFFER_THEY_DECLINE_HEADER;外相报告
CRISIS_OFFER_THEY_DECLINE_1;$MONARCHTITLE$
CRISIS_OFFER_THEY_DECLINE_2;$RECIPIENT$拒绝加入关于当前危机的谈判
CRISIS_OFFER_THEY_DECLINE_3;*
CRISIS_OFFER_THEY_DECLINE_4;*
CRISIS_OFFER_THEY_DECLINE_5;*
CRISIS_OFFER_THEY_DECLINE_6;*
CRISIS_OFFER_THEY_DECLINE_BTN1;好的
CRISIS_OFFER_THEY_DECLINE_BTN2;好的
CRISIS_OFFER_THEY_DECLINE_BTN3;查看
CRISIS_OFFER_THEY_DECLINE_LOG;$RECIPIENT$拒绝加入当前危机。
CRISIS_OFFER_OTHER_DECLINE_SETUP;当某国拒绝拒绝加入危机中的一方时
CRISIS_OFFER_OTHER_DECLINE_HEADER;外相报告
CRISIS_OFFER_OTHER_DECLINE_1;$MONARCHTITLE$
CRISIS_OFFER_OTHER_DECLINE_2;事情似乎仍未到升级的地步
CRISIS_OFFER_OTHER_DECLINE_3;看起来$RECIPIENT$
CRISIS_OFFER_OTHER_DECLINE_4;已拒绝加入当前危机
CRISIS_OFFER_OTHER_DECLINE_5;的$ACTOR$一边
CRISIS_OFFER_OTHER_DECLINE_6;*
CRISIS_OFFER_OTHER_DECLINE_BTN1;好的
CRISIS_OFFER_OTHER_DECLINE_BTN2;好的
CRISIS_OFFER_OTHER_DECLINE_BTN3;查看
CRISIS_OFFER_OTHER_DECLINE_LOG;$RECIPIENT$拒绝加入当前危机。
BACK_CRISISTITLE;支持危机中的国家
BACK_CRISIS_OFFER;$ACTOR$请求我国支持目前危机中的他们一方
BACK_CRISIS_WE_ACCEPT_SETUP;当我国接受支持危机中的一方时
BACK_CRISIS_WE_ACCEPT_HEADER;外相报告
BACK_CRISIS_WE_ACCEPT_1;$MONARCHTITLE$
BACK_CRISIS_WE_ACCEPT_2;我国已决定支持当前危机中的$ACTOR$
BACK_CRISIS_WE_ACCEPT_3;*
BACK_CRISIS_WE_ACCEPT_4;*
BACK_CRISIS_WE_ACCEPT_5;*
BACK_CRISIS_WE_ACCEPT_6;*
BACK_CRISIS_WE_ACCEPT_BTN1;好的
BACK_CRISIS_WE_ACCEPT_BTN2;好的
BACK_CRISIS_WE_ACCEPT_BTN3;查看
BACK_CRISIS_WE_ACCEPT_LOG;我国支持当前危机中的一方。
BACK_CRISIS_THEY_ACCEPT_SETUP;当某国接受支持危机中的我方时
BACK_CRISIS_THEY_ACCEPT_HEADER;外相报告
BACK_CRISIS_THEY_ACCEPT_1;$MONARCHTITLE$
BACK_CRISIS_THEY_ACCEPT_2;$RECIPIENT$已决定于当前危机中支持我方
BACK_CRISIS_THEY_ACCEPT_3;*
BACK_CRISIS_THEY_ACCEPT_4;*
BACK_CRISIS_THEY_ACCEPT_5;*
BACK_CRISIS_THEY_ACCEPT_6;*
BACK_CRISIS_THEY_ACCEPT_BTN1;好的
BACK_CRISIS_THEY_ACCEPT_BTN2;好的
BACK_CRISIS_THEY_ACCEPT_BTN3;查看
BACK_CRISIS_THEY_ACCEPT_LOG;$RECIPIENT$在危机中支持我方。
BACK_CRISIS_OTHER_ACCEPT_SETUP;当某国支持危机中的另一方时
BACK_CRISIS_OTHER_ACCEPT_HEADER;外相报告
BACK_CRISIS_OTHER_ACCEPT_1;$MONARCHTITLE$
BACK_CRISIS_OTHER_ACCEPT_2;麻烦正在酝酿
BACK_CRISIS_OTHER_ACCEPT_3;看起来$RECIPIENT$
BACK_CRISIS_OTHER_ACCEPT_4;已决定在当前危机中支持$ACTOR$
BACK_CRISIS_OTHER_ACCEPT_5;*
BACK_CRISIS_OTHER_ACCEPT_6;*
BACK_CRISIS_OTHER_ACCEPT_BTN1;好的
BACK_CRISIS_OTHER_ACCEPT_BTN2;好的
BACK_CRISIS_OTHER_ACCEPT_BTN3;查看
BACK_CRISIS_OTHER_ACCEPT_LOG;$RECIPIENT$加入当前危机。
BACK_CRISIS_WE_DECLINE_SETUP;当我国拒绝支持危机中的一方时
BACK_CRISIS_WE_DECLINE_HEADER;外相报告
BACK_CRISIS_WE_DECLINE_1;$MONARCHTITLE$
BACK_CRISIS_WE_DECLINE_2;我国已拒绝支持当前危机中的$ACTOR$
BACK_CRISIS_WE_DECLINE_3;*
BACK_CRISIS_WE_DECLINE_4;*
BACK_CRISIS_WE_DECLINE_5;*
BACK_CRISIS_WE_DECLINE_6;*
BACK_CRISIS_WE_DECLINE_BTN1;好的
BACK_CRISIS_WE_DECLINE_BTN2;好的
BACK_CRISIS_WE_DECLINE_BTN3;查看
BACK_CRISIS_WE_DECLINE_LOG;我国拒绝加入当前危机。
BACK_CRISIS_THEY_DECLINE_SETUP;当某国拒绝支持危机中的我方时
BACK_CRISIS_THEY_DECLINE_HEADER;外相报告
BACK_CRISIS_THEY_DECLINE_1;$MONARCHTITLE$
BACK_CRISIS_THEY_DECLINE_2;$RECIPIENT$拒绝支持危机中的我方
BACK_CRISIS_THEY_DECLINE_3;*
BACK_CRISIS_THEY_DECLINE_4;*
BACK_CRISIS_THEY_DECLINE_5;*
BACK_CRISIS_THEY_DECLINE_6;*
BACK_CRISIS_THEY_DECLINE_BTN1;好的
BACK_CRISIS_THEY_DECLINE_BTN2;好的
BACK_CRISIS_THEY_DECLINE_BTN3;查看
BACK_CRISIS_THEY_DECLINE_LOG;$RECIPIENT$拒绝在当前危机中支持$ACTOR$。
BACK_CRISIS_OTHER_DECLINE_SETUP;当某国拒绝危机中的一方时
BACK_CRISIS_OTHER_DECLINE_HEADER;外相报告
BACK_CRISIS_OTHER_DECLINE_1;$MONARCHTITLE$
BACK_CRISIS_OTHER_DECLINE_2;事情似乎仍未到升级的地步
BACK_CRISIS_OTHER_DECLINE_3;看起来$RECIPIENT$
BACK_CRISIS_OTHER_DECLINE_4;已拒绝支持当前危机中的$ACTOR$
BACK_CRISIS_OTHER_DECLINE_5;*
BACK_CRISIS_OTHER_DECLINE_6;*
BACK_CRISIS_OTHER_DECLINE_BTN1;好的
BACK_CRISIS_OTHER_DECLINE_BTN2;好的
BACK_CRISIS_OTHER_DECLINE_BTN3;查看
BACK_CRISIS_OTHER_DECLINE_LOG;$RECIPIENT$拒绝支持当前危机中的$ACTOR$
CRISIS_PROGRESS_DESC;当这一进度条达到最大值时外交努力将会失败，危机将会演变成一场战争。
CRISIS_WAITING_DESC;至少危机中的一方正在等待列强的支持。
EFFECT_CRISIS_INTEREST;$COUNTRY$宣布对当前危机感兴趣
EVTNAME20000;一场国际危机正在酝酿中！
EVTDESC20000;我国作为一个负责任的大国，被期望能够在国际事务中发挥积极作用。
EVTOPTA20000;是的，我们对这一危机有兴趣
EVTOPTB20000;这并不能引起我们的关注
CRISIS_BACK_DOWN;提出解决方案
CRISISOFFERDESC;$COUNTRY$提议在满足我方条件的基础上解决当前危机:
CRISISDEMANDDESC;$COUNTRY$要求我们在满足其条件的基础上解决当前危机:
crisis_free_peoples;解放人民
crisis_free_peoples_short;$THIRD$获得$STATE$
crisis_free_peoples_setup;$RECIPIENT$将$STATE$还给$THIRD$
CRISIS_BACK_DOWN_WE_ACCEPT_SETUP;当我们在危机中接受来自另一方的提案时
CRISIS_BACK_DOWN_WE_ACCEPT_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_WE_ACCEPT_1;$ACTOR$
CRISIS_BACK_DOWN_WE_ACCEPT_2;来自$ACTOR$的
