PROV1;Ситка
PROV247;Конкорд
PROV248;Льюистон
PROV249;Бангор
PROV250;Карибу
PROV251;Годтаб
PROV252;Исландия
PROV253;Фарерские острова
PROV254;Белфаст
PROV255;Лондондерри
PROV256;Арма
PROV257;Донегол
PROV258;Голуэй
PROV259;Слайго
PROV260;Корк
PROV261;Лимерик
PROV262;Уотерфорд
PROV263;Дублин
PROV264;Килдэр
PROV265;Уэксфорд
PROV266;Абердин
PROV267;Инвернесс
PROV268;Данди
PROV269;Эдинбург
PROV270;Стерлинг
PROV271;Глазго
PROV272;Дамфрис
PROV273;Кардифф
PROV274;Кардиган
PROV275;Лландриндод
PROV276;Холихед
PROV277;Ливерпуль
PROV278;Манчестер
PROV279;Карлайл
PROV280;Ньюкасл-апон-Тайн
PROV281;Халл
PROV282;Лидс
PROV283;Шеффилд
PROV284;Бирмингем
PROV285;Честер
PROV286;Шрусбери
PROV287;Ковентри
PROV288;Ноттингем
PROV289;Лестер
PROV290;Линкольн
PROV291;Кембридж
PROV292;Ипсвич
PROV293;Челмсфорд
PROV294;Оксфорд
PROV295;Сент-Олбанс
PROV296;Бристоль
PROV297;Солсбери
PROV298;Ванна
PROV299;Плимут
PROV300;Лондон
PROV301;Кентербери
PROV302;Брайтон
PROV303;Саутгемптон
PROV304;Остров Мэн
PROV305;Тронхейм
PROV306;Бодо
PROV307;Хаммерфест
PROV308;Олесунн
PROV309;Берген
PROV310;Кристианссанн
PROV311;Шиен
PROV312;Драммен
PROV313;Христиания
PROV314;Хамар
PROV315;Лиллехаммер
PROV316;Фредериксстад
PROV317;Евле
PROV318;Сундсвалль
PROV319;Эстерсунд
PROV320;Умель
PROV321;Лулель
PROV322;Стокгольм
PROV323;Фалунь
PROV324;Уппсала
PROV325;Норчепинг
PROV326;Вестерс
PROV327;Эребру
PROV328;Карлстад
PROV329;Гетеборг
PROV330;Борлес
PROV331;Готланд
PROV332;Кальмар
PROV333;Векшё
PROV334;Мальмё
PROV335;Карлскруна
PROV336;Оулу
PROV337;Каяани
PROV338;Торнио
PROV339;Выборг
PROV340;Котка
PROV341;Миккели
PROV342;Куопио
PROV343;Хельсинки
PROV344;Хямеэнлинна
PROV345;Турку
PROV346;Вааса
PROV347;Тампере
PROV348;Аландские острова
PROV349;Ревель
PROV350;Нарва
PROV351;Пярну
PROV352;Дерпт
PROV353;Озель
PROV354;Рига
PROV355;Валмиера
PROV356;Даугавпилс
PROV357;Елгава
PROV358;Вентспилс
PROV359;Лиепая
PROV360;Вильнюс
PROV361;Каунас
PROV362;Мариямполе
PROV363;Паневежис
PROV364;Шяуляй
PROV365;Паланга
PROV366;Орхус
PROV367;Ольборг
PROV368;Рибе
PROV369;Киль
PROV370;Фленсбург
PROV371;Обенро
PROV372;Копенгаген
PROV373;Оденсе
PROV374;Борнхольм
PROV375;Амстердам
PROV376;Роттердам
PROV377;Утрехт
PROV378;Мидделбург
PROV379;Эйндховен
PROV380;Бреда
PROV381;Маастрихт
PROV382;Арнем
PROV383;Гронинген
PROV384;Зволле
PROV385;Леуварден
PROV386;Ассен
PROV387;Брюссель
PROV388;Брюгге
PROV389;Гент
PROV390;Антверпен
PROV391;Хасселт
PROV392;Намюр
PROV393;Турне
PROV394;Шарлеруа
PROV395;Личге
PROV396;спа
PROV397;Люксембург
PROV398;Арлон
PROV399;Лилль
PROV400;Дюнкерк
PROV401;Аррас
PROV402;Амьен
PROV403;Лан
PROV404;Камбре
PROV405;Шарлевиль
PROV406;Труа
PROV407;Шомон
PROV408;Шалон
PROV409;Страсбург
PROV410;Кольмар
PROV411;Нэнси
PROV412;Мец
PROV413;Верден
PROV414;Эпиналь
PROV415;Руан
PROV416;Эвре
PROV417;Алансон
PROV418;Кан
PROV419;Нормандские острова
PROV420;Брест
PROV421;Сен-Брие
PROV422;Ванн
PROV423;Нант
PROV424;Ренн
PROV425;Париж
PROV426;Шартр
PROV427;Мелен
PROV428;Дижон
PROV429;Осер
PROV430;Мулен
PROV431;Мейкон
PROV432;Безансон
PROV433;Лонс
PROV434;Анже
PROV435;Лаваль
PROV436;Ле-Ман
PROV437;Ла Рош
PROV438;Орлеан
PROV439;Бурж
PROV440;Блуа
PROV441;Туры
PROV442;Ла-Рошель
PROV443;Пуатье
PROV444;Ангулем
PROV445;Лимож
PROV446;Шатору
PROV447;Тюль
PROV448;Клермон-Ферран
PROV449;Орийак
PROV450;Кагор
PROV451;Лион
PROV452;Сент-Этьен
PROV453;Валентность
PROV454;Гренобль
PROV455;Тулуза
PROV456;Монтобан
PROV457;Фуа
PROV458;Бордо
PROV459;Мон де Марсан
PROV460;Пау
PROV461;Монпелье
PROV462;Родез
PROV463;Каркассон
PROV464;Перпиньян
PROV465;Анси
PROV466;Шамбери
PROV467;Марсель
PROV468;Авиньон
PROV469;Динь
PROV470;Тулон
PROV471;Фрежюс
PROV472;Хороший
PROV473;Корсика
PROV474;Ла-Корунья
PROV475;Овьедо
PROV476;Виго
PROV477;Леон
PROV478;Сантандер
PROV479;Бургос
PROV480;Вальядолид
PROV481;Сория
PROV482;Саламанка
PROV483;Авила
PROV484;Бадахос
PROV485;Альмендралехо
PROV486;Касерес
PROV487;Мадрид
PROV488;Сигуэнса
PROV489;Толедо
PROV490;Куэнка
PROV491;Сьюдад-Реаль
PROV492;Бильбао
PROV493;Памплона
PROV494;Логроньо
PROV495;Сарагоса
PROV496;Уэска
PROV497;Теруэль
PROV498;Барселона
PROV499;Жерона
PROV500;Лерида
PROV501;Таррагона
PROV502;Балеарские острова
PROV503;Валенсия
PROV504;Кастельон
PROV505;Аликанте
PROV506;Картахена
PROV507;Мурсия
PROV508;Альбасете
PROV509;Севилья
PROV510;Кордова
PROV511;Уэльва
PROV512;Кадис
PROV513;Гранада
PROV514;Малага
PROV515;Альмерия
PROV516;Хаэн
PROV517;Гибралтар
PROV518;Порту
PROV519;Вила Реал
PROV520;Ковилья
PROV521;Лиссабон
PROV522;Коимбра
PROV523;Абрантес
PROV524;Сетубал
PROV525;Эвора
PROV526;Бежа
PROV527;Фару
PROV528;Гамбург
PROV529;Лауэнбург
PROV530;Любек
PROV531;Штаде
PROV532;Люнебург
PROV533;Гельголанд
PROV534;Ганновер
PROV535;Нинбург
PROV536;Брансуик
PROV537;Геттинген
PROV538;Оснабрюк
PROV539;Бремен
PROV540;Ольденбург
PROV541;Клоппенбург
PROV542;Линген
PROV543;Эмден
PROV544;Шверин
PROV545;Нойштрелиц
PROV546;Штеттин
PROV547;Свинемюнде
PROV548;Штральзунд
PROV549;Берлин
PROV550;Пренцлау
PROV551;Прицвалк
PROV552;Котбус
PROV553;Магдебург
PROV554;Эрфурт
PROV555;Дессау
PROV556;Галле
PROV557;Стендаль
PROV558;Дрезден
PROV559;Лейпциг
PROV560;Хемниц
PROV561;Веймар
PROV562;Гота
PROV563;Майнинген
PROV564;Франкфурт
PROV565;Висбаден
PROV566;Кассель
PROV567;Гиссен
PROV568;Фульда
PROV569;Мангейм
PROV570;Майнц
PROV571;Кайзерслаутерн
PROV572;Трир
PROV573;Саарбрюккен
PROV574;Кройцнах
PROV575;Кёльн
PROV576;Ахен
PROV577;Клев
PROV578;Дюссельдорф
PROV579;Кобленц
PROV580;Дортмунд
PROV581;Мюнстер
PROV582;Минден
PROV583;Зиген
PROV584;Корбах
PROV585;Детмольд
PROV586;Карлсруэ
PROV587;Фрайбург
PROV588;Констанц
PROV589;Штутгарт
PROV590;Хайльбронн
PROV591;Тюбинген
PROV592;Аугсбург
PROV593;Ульм
PROV594;Зигмаринген
PROV595;Нюрнберг
PROV596;Ашаффенбург
PROV597;Вюрцбург
PROV598;Байройт
PROV599;Мюнхен
PROV600;Ландсхут
PROV601;Ингольштадт
PROV602;Регенсбург
PROV603;Цюрих
PROV604;Базель
PROV605;Берн
PROV606;Люцерн
PROV607;Женева
PROV608;Невшатель
PROV609;Ситтен
PROV610;Понапе
PROV611;Чур
PROV612;Инсбрук
PROV613;Зальцбург
PROV614;Брегенц
PROV615;Лиенц
PROV616;Грац
PROV617;Юденбург
PROV618;Клагенфурт
PROV619;Вена
PROV620;Санкт-Пёльтен
PROV621;Кремс
PROV622;Линц
PROV623;Шопрон
PROV624;Айзенштадт
PROV625;Прага
PROV626;Градец Кралове
PROV627;Карлсбад
PROV628;Оссиг
PROV629;Пльзень
PROV630;Будейовице
PROV631;Брно
PROV632;Оломоуц
PROV633;Братислава
PROV634;Тренчин
PROV635;Нитра
PROV636;Банска-Бистрица
PROV637;Кошице
PROV638;Рожнава
PROV639;Залаэгерсег
PROV640;Печ
PROV641;Будапешт
PROV642;Дьер
PROV643;Секешфехервар
PROV644;Капошвар
PROV645;Кечкемет
PROV646;Мишкольц
PROV647;Орадя
PROV648;Дебрецен
PROV649;Сегед
PROV650;Бекешчаба
PROV651;Сатмар
PROV652;Темешвар
PROV653;Ресикабанья
PROV654;Клуж
PROV655;Дьюлафехервар
PROV656;Дева
PROV657;Надьшебен
PROV658;Гавайи
PROV659;Брассо
PROV660;Удвархели
PROV661;Бестерце
PROV662;Чернауцы
PROV663;Сучава
PROV664;Бухарест
PROV665;Тыргу ​​Джиу
PROV666;Крайова
PROV667;Тырговиште
PROV668;Брэила
PROV669;Кэлэрашь
PROV670;Яссы
PROV671;Ботошани
PROV672;Бакэу
PROV673;Галац
PROV674;Констанца
PROV675;Тулча
PROV676;Кишинев
PROV677;Бельцы
PROV678;Измаил
PROV679;Кольберг
PROV680;Кёслин
PROV681;Кюстрин
PROV682;Бреслау
PROV683;Лигниц
PROV684;Оппельн
PROV685;Каттовиц
PROV686;Острова Лайн
PROV687;Гёрлиц
PROV688;Троппау
PROV689;Тесин
PROV690;Данциг
PROV691;Тухель
PROV692;Немецкая крона
PROV693;Эльбинг
PROV694;Бежать
PROV695;Кенигсберг
PROV696;Алленштейн
PROV697;Гумбиннен
PROV698;Мемель
PROV699;Позен
PROV700;Бромберг
PROV701;Гнезно
PROV702;Львов
PROV703;Краков
PROV704;Новый Сонч
PROV705;Перемышль
PROV706;Варшава
PROV707;Сувалки
PROV708;Плоцк
PROV709;Ломжа
PROV710;Скерневице
PROV711;Седлице
PROV712;Лодзь
PROV713;Радом
PROV714;Тарнов
PROV715;Люблин
PROV716;Кельце
PROV717;Калиш
PROV718;Минск
PROV719;Белосток
PROV720;Турин
PROV721;Аоста
PROV722;Новара
PROV723;Алессандрия
PROV724;Генуя
PROV725;Савона
PROV726;Милан
PROV727;Бергамо
PROV728;Брешия
PROV729;Венеция
PROV730;Верона
PROV731;Падуя
PROV732;Тревизо
PROV733;Удине
PROV734;Трент
PROV735;Бозен
PROV736;Триест
PROV737;Гориция
PROV738;Парма
PROV739;Модена
PROV740;Масса
PROV741;Болонья
PROV742;Феррара
PROV743;Равенна
PROV744;Флоренция
PROV745;Ливорно
PROV746;Лукка
PROV747;Сиена
PROV748;Гроссетто
PROV749;Рим
PROV750;Витербо
PROV751;Перуджа
PROV752;Анкона
PROV753;Аквила
PROV754;Неаполь
PROV755;Салерно
PROV756;Бари
PROV757;Фоджа
PROV758;Бриндизи
PROV759;Реджо-ди-Калабрия
PROV760;Катандзаро
PROV761;Потенца
PROV762;Палермо
PROV763;Мессина
PROV764;Катания
PROV765;Кальяри
PROV766;Сассари
PROV767;Марибор
PROV768;Любляна
PROV769;Постойна
PROV770;Пола
PROV771;Загреб
PROV772;Сисак
PROV773;Карловац
PROV774;Сень
PROV775;Вараждин
PROV776;Беловар
PROV777;Пожега
PROV778;Фиуме
PROV779;Осиек
PROV780;Расколоть
PROV781;Задар
PROV782;Дубровник
PROV783;Сараево
PROV784;Бихач
PROV785;Баня-Лука
PROV786;Тузла
PROV787;Фока
PROV788;Мостар
PROV789;Ливно
PROV790;Китве
PROV791;Митровица
PROV792;Панчево
PROV793;Вуковар
PROV794;Белград
PROV795;Бор
PROV796;Крагуевац
PROV797;Ужице
PROV798;Ниш
PROV799;Лесковац
PROV800;Улцинь
PROV801;Таити
PROV802;Приштина
PROV803;Призрен
PROV804;Нови-Пазар
PROV805;Салоники
PROV806;Скопье
PROV807;Битола
PROV808;Петрич
PROV809;София
PROV810;Видин
PROV811;Русе
PROV812;Плевен
PROV813;Шумен
PROV814;Варна
PROV815;Пловдив
PROV816;Стара Загора
PROV817;Бургас
PROV818;Силистре
PROV819;Флорина
PROV820;Гревена
PROV821;Эдесса
PROV822;Полигирос
PROV823;Кавала
PROV824;Янина
PROV825;Арта
PROV826;Корфу
PROV827;Занте
PROV828;Эдирне
PROV829;Ксанте
PROV830;Дедеагатч
PROV831;Лариса
PROV832;Волос
PROV833;Триккала
PROV834;Афины
PROV835;Амфисса
PROV836;Ламия
PROV837;Миссолонги
PROV838;Халкис
PROV839;Нафплион
PROV840;Коринф
PROV841;Каламата
PROV842;Патры
PROV843;Хиос
PROV844;Мителин
PROV845;Киклады
PROV846;Додеканес
PROV847;Ханья
PROV848;Ираклион
PROV849;Тирана
PROV850;Шкодер
PROV851;Дуррес
PROV852;Влёра
PROV853;Гирокастра
PROV854;Мальта
PROV855;Никосия
PROV856;Лимассол
PROV857;Фамагуста
PROV858;Кыркларели
PROV859;Галлиполи
PROV860;Стамбул
PROV861;Ускюдар
PROV862;Измит
PROV863;Бурса
PROV864;Балыкесир
PROV865;Чанаккале
PROV866;Афьон
PROV867;Кютахья
PROV868;Эскишехир
PROV869;Измир
PROV870;Маниса
PROV871;Денизли
PROV872;Мугла
PROV873;Конья
PROV874;Бурдур
PROV875;Анталия
PROV876;Анкара
PROV877;Амасья
PROV878;Кайсери
PROV879;Сивас
PROV880;Кастамону
PROV881;Болу
PROV882;Трабзон
PROV883;Синоп
PROV884;Гиресун
PROV885;Карс
PROV886;Ардахан
PROV887;Эрзурум
PROV888;Эрзинджан
PROV889;Малатья
PROV890;Ван
PROV891;Битлис
PROV892;Хаккари
PROV893;Диярбакыр
PROV894;Адана
PROV895;Мерсин
PROV896;Мараш
PROV897;Алеппо
PROV898;Антеп
PROV899;Урфа
PROV900;Антиохия
PROV901;Дайр аль-Зур
PROV902;Дамаск
PROV903;Хомс
PROV904;Хама
PROV905;Латакия
PROV906;Сувейда
PROV907;Пальмира
PROV908;Амман
PROV909;Джераш
PROV910;Рувайшид
PROV911;Маан
PROV912;Баальбек
PROV913;Бейрут
PROV914;Аскале
PROV915;Сидон
PROV916;Акко
PROV917;Иерусалим
PROV918;Наблус
PROV919;Яффо
PROV920;Газа
PROV921;Беэр-Шева
PROV922;Акаба
PROV923;Мосул
PROV924;Эрбиль
PROV925;Киркук
PROV926;Багдад
PROV927;Самарра
PROV928;Мендели
PROV929;Кербела
PROV930;Кут
PROV931;Рутба
PROV932;Басра
PROV933;Насирия
PROV934;Наджаф
PROV935;Кувейт
PROV936;Гродно
PROV937;Брест-Литовск
PROV938;Лида
PROV939;Барановичи
PROV940;Пинск
PROV941;Слуцк
PROV942;Мозырь
PROV943;Смоленск
PROV944;Орша
PROV945;Витебск
PROV946;Полоцк
PROV947;Поставы
PROV948;Могилев
PROV949;Гомель
PROV950;Узгорорд
PROV951;Стрый
PROV952;Тернополь
PROV953;Станиславов
PROV954;Винница
PROV955;Проскоров
PROV956;Ровно
PROV957;Ковель
PROV958;Киев
PROV959;Коростень
PROV960;Житомир
PROV961;Черкассы
PROV962;Чернигов
PROV963;Полтава
PROV964;Симферополь
PROV965;Херсон
PROV966;Керчь
PROV967;Севастополь
PROV968;Одесса
PROV969;Первомайск
PROV970;Николаев
PROV971;Кривой Рог
PROV972;Екатеринослав
PROV973;Мелитополь
PROV974;Краматорск
PROV975;Юзовка
PROV976;Мариуполь
PROV977;Курск
PROV978;Харьков
PROV979;Ростов
PROV980;Луганск
PROV981;Архангел
PROV982;Петсамо
PROV983;Кандалакша
PROV984;Костомушка
PROV985;Мезень
PROV986;Нарын Мар
PROV987;Усть-Сысольск
PROV988;Повиенц
PROV989;Вологда
PROV990;Котлас
PROV991;Углич
PROV992;Белозерск
PROV993;Вытерга
PROV994;Санкт-Петербург
PROV995;Петрозаворск
PROV996;Луга
PROV997;Гдов
PROV998;Тверь
PROV999;Ржев
PROV1000;Старица
PROV1001;Ярославль
PROV1002;Маньчжурия
PROV1003;Новгород
PROV1004;Тихвин
PROV1005;Боровичи
PROV1006;Псков
PROV1007;Великие Луки
PROV1008;Москва
PROV1009;Бородино
PROV1010;Калуга
PROV1011;Тула
PROV1012;Рязань
PROV1013;Владимир
PROV1014;Вязьма
PROV1015;Перемышль
PROV1016;Брянск
PROV1017;Орел
PROV1018;Белгород
PROV1019;Воронец
PROV1020;Нижний Новгород
PROV1021;Пенза
PROV1022;Иваново
PROV1023;Кострома
PROV1024;Галич
PROV1025;Тамбов
PROV1026;Пермь
PROV1027;Ветлуга
PROV1028;Вятха
PROV1029;Глазов
PROV1030;Казань
PROV1031;Сарапул
PROV1032;Чистополь
PROV1033;Симбирск
PROV1034;Самара
PROV1035;Сызрань
PROV1036;Астрахань
PROV1037;Саратов
PROV1038;Ново-Узенск
PROV1039;Царицын
PROV1040;Заревка
PROV1041;Елица
PROV1042;Уфа
PROV1043;Бусулук
PROV1044;Оренбург
PROV1045;Миголинская
PROV1046;Чирская
PROV1047;Азов
PROV1048;Екатеринодар
PROV1049;Новороссийск
PROV1050;Ставрополь
PROV1051;Адыгей
PROV1052;Дербент
PROV1053;Гуниб
PROV1054;Владикавказ
PROV1055;Грозный
PROV1056;Пятигорск
PROV1057;Кизыляр
PROV1058;Екатеринбург
PROV1059;Челябинск
PROV1060;Орск
PROV1061;Тюмень
PROV1062;Березов
PROV1063;Томск
PROV1064;Омск
PROV1065;Нижневартовск
PROV1066;Тобольск
PROV1067;Барнаул
PROV1068;Улала
PROV1069;Вилюйск
PROV1070;Брянка
PROV1071;Бытантайск
PROV1072;Охотск
PROV1073;Евенск
PROV1074;Петропавловск
PROV1075;Иркутск
PROV1076;Братск
PROV1077;Красноярск
PROV1078;Чита
PROV1079;Нерчинск
PROV1080;Черномин
PROV1081;Якса
PROV1082;Хайшенвай
PROV1083;Боли
PROV1084;Утчан
PROV1085;Улусамудан
PROV1086;Погоби
PROV1087;Оотомари
PROV1088;Шумшу
PROV1089;Эторофу
PROV1090;Тбилиси
PROV1091;Пасанаури
PROV1092;Кутаиси
PROV1093;Ахалцихе
PROV1094;Поти
PROV1095;Сухуми
PROV1096;Батум
PROV1097;Новая Каледония
PROV1098;Эривань
PROV1099;Гюмри
PROV1100;Капан
PROV1101;Нахичевань
PROV1102;Баку
PROV1103;Сиязен
PROV1104;Шеки
PROV1105;Гянджа
PROV1106;Агдам
PROV1107;Ленкорань
PROV1108;Тебриз
PROV1109;Хвой
PROV1110;Урумия
PROV1111;Махабад
PROV1112;Ардебиль
PROV1113;Рашт
PROV1114;Ношер
PROV1115;Сари
PROV1116;Горган
PROV1117;Керманшах
PROV1118;Санандадж
PROV1119;Илам
PROV1120;Хорамабад
PROV1121;Тегеран
PROV1122;Хамадан
PROV1123;Зенджан
PROV1124;Казвин
PROV1125;Кум
PROV1126;Семнан
PROV1127;Исфахан
PROV1128;Арак
PROV1129;Кашан
PROV1130;Йезд
PROV1131;Ахваз
PROV1132;Абадан
PROV1133;Дезфул
PROV1134;Дехкорд
PROV1135;Шираз
PROV1136;Бушир
PROV1137;Ясудж
PROV1138;Канган
PROV1139;Сирджан
PROV1140;Керман
PROV1141;Ленге
PROV1142;Бандар-Аббас
PROV1143;Бам
PROV1144;Захедан
PROV1145;Джаск
PROV1146;Чабахар
PROV1147;Мешхед
PROV1148;Бирджанд
PROV1149;Сабзевар
PROV1150;Бойнурд
PROV1151;Мекка
PROV1152;Джидда
PROV1153;Медина
PROV1154;Табук
PROV1155;Абха
PROV1156;Каф
PROV1157;Эр-Рияд
PROV1158;Рафха
PROV1159;Халабан
PROV1160;Град
PROV1161;Шарура
PROV1162;Бахрейн
PROV1163;Катиф
PROV1164;Хуфуф
PROV1165;Доха
PROV1166;Маскат
PROV1167;Абу Даби
PROV1168;Дубай
PROV1169;Сохар
PROV1170;Низва
PROV1171;Сур
PROV1172;Дукм
PROV1173;Мукалла
PROV1174;Салала
PROV1175;Гайда
PROV1176;Байда
PROV1177;Сокотра
PROV1178;Сана
PROV1179;Ходейда
PROV1180;Таизз
PROV1181;Караганда
PROV1182;Гурьев
PROV1183;Актобе
PROV1184;Кокшетау
PROV1185;Яси
PROV1186;Алма-Ата
PROV1187;Семипалатинск
PROV1188;Каратал
PROV1189;Бишкек
PROV1190;Нарын
PROV1191;Хива
PROV1192;Нукус
PROV1193;Кызылорда
PROV1194;Актау
PROV1195;Ташкент
PROV1196;Дашховуз
PROV1197;Шымкент
PROV1198;Бухара
PROV1199;Самарканд
PROV1200;Карши
PROV1201;Ходжанд
PROV1202;Коканд
PROV1203;Ош
PROV1204;Ашхабад
PROV1205;Кызыл Арват
PROV1206;Мерв
PROV1207;Куляб
PROV1208;Хорог
PROV1209;Кабул
PROV1210;Файзабад
PROV1211;Балх
PROV1212;Герат
PROV1213;Бамиан
PROV1214;Фарра
PROV1215;Кандагар
PROV1216;Джелалабад
PROV1217;Газни
PROV1218;Пешавар
PROV1219;Кветта
PROV1220;Далбандин
PROV1221;Калат
PROV1222;Бела
PROV1223;Читрал
PROV1224;Шринагар
PROV1225;Гилгит
PROV1226;Лех
PROV1227;Лахор
PROV1228;Мултан
PROV1229;Сиалкот
PROV1230;Атток
PROV1231;Бахавалпур
PROV1232;Шахпур
PROV1233;Амритсар
PROV1234;Фирозпур
PROV1235;Симла
PROV1236;Дели
PROV1237;Панипат
PROV1238;Дехра Дун
PROV1239;Меерут
PROV1240;Агра
PROV1241;Канпур
PROV1242;Лакнау
PROV1243;Аллахабад
PROV1244;Физабад
PROV1245;Бенарес
PROV1246;Горакхпур
PROV1247;Патна
PROV1248;Гая
PROV1249;Харсвари
PROV1250;Бхагалпур
PROV1251;Калькутта
PROV1252;Дарджилинг
PROV1253;Бардван
PROV1254;Дакка
PROV1255;Раджшахи
PROV1256;Джессор
