PROV1;Sitka
PROV97;Salt Lake City
PROV98;Loa
PROV99;Moab
PROV100;Phoenix
PROV101;Flagstaff
PROV102;Tucson
PROV103;Santa Fe
PROV104;Albuquerque
PROV105;Las Cruces
PROV106;Denver
PROV107;Grand Junction
PROV108;Alamosa
PROV109;Pueblo
PROV110;Cheyenne
PROV111;Cody
PROV112;Casper
PROV113;Bozeman
PROV114;Missoula
PROV115;Great Falls
PROV116;Billings
PROV117;Bismarck
PROV118;Minot
PROV119;Dickinson
PROV120;Sioux Falls
PROV121;Dupree
PROV122;Rapid City
PROV123;Omaha
PROV124;Alliance
PROV125;North Platte
PROV126;Topeka
PROV127;Goodland
PROV128;Wichita
PROV129;Oklahoma City
PROV130;Tahlequah
PROV131;Okmulgee
PROV132;Houston
PROV133;Austin
PROV134;Dallas
PROV135;Lubbock
PROV136;El Paso
PROV137;San Antonio
PROV138;Laredo
PROV139;New Orleans
PROV140;Baton Rouge
PROV141;Lake Charles
PROV142;Shreveport
PROV143;Little Rock
PROV144;Hot Springs
PROV145;Fayetteville
PROV146;St Louis
PROV147;Joplin
PROV148;Malden
PROV149;Jefferson City
PROV150;Kansas City
PROV151;Des Moines
PROV152;Oskaloosa
PROV153;Cedar Rapids
PROV154;Sioux City
PROV155;Minneapolis
PROV156;Granite Falls
PROV157;Moorhead
PROV158;Duluth
PROV159;Milwaukee
PROV160;Eau Claire
PROV161;Green Bay
PROV162;Madison
PROV163;Chicago
PROV164;Rockford
PROV165;Champaign
PROV166;Peoria
PROV167;Springfield
PROV168;Carbondale
PROV169;Indianapolis
PROV170;Evansville
PROV171;South Bend
PROV172;Fort Wayne
PROV173;Detroit
PROV174;Grand Rapids
PROV175;Saginaw
PROV176;Traverse City
PROV177;Marquette
PROV178;Cleveland
PROV179;Columbus
PROV180;Sandusky
PROV181;Dayton
PROV182;Cincinnati
PROV183;Marietta
PROV184;Louisville
PROV185;Lexington
PROV186;Bowling Green
PROV187;Paducah
PROV188;Nashville
PROV189;Memphis
PROV190;Knoxville
PROV191;Chattanooga
PROV192;Jackson
PROV193;Vicksburg
PROV194;Biloxi
PROV195;Montgomery
PROV196;Tuscaloosa
PROV197;Mobile
PROV198;Tallahassee
PROV199;St Augustine
PROV200;Tampa
PROV201;Atlanta
PROV202;Valdosta
PROV203;Bermuda
PROV204;Savannah
PROV205;Charleston
PROV206;Columbia
PROV207;Greenville
PROV208;Raleigh
PROV209;Charlotte
PROV210;Wilmington
PROV211;Richmond
PROV212;Manassas
PROV213;Fredericksburg
PROV214;Norfolk
PROV215;Staunton
PROV216;Roanoke
PROV217;Wheeling
PROV218;Huntington
PROV219;Baltimore
PROV220;Washington
PROV221;Hagerstown
PROV222;Dover
PROV223;Philadelphia
PROV224;Scranton
PROV225;Williamsport
PROV226;Harrisburg
PROV227;Pittsburgh
PROV228;Erie
PROV229;Newark
PROV230;Trenton
PROV231;Atlantic City
PROV232;New York
PROV233;Long Island
PROV234;Albany
PROV235;Binghamton
PROV236;Buffalo
PROV237;Rochester
PROV238;Syracuse
PROV239;Watertown
PROV240;Plattsburgh
PROV241;Hartford
PROV242;Providence
PROV243;Boston
PROV244;New Bedford
PROV245;Pittsfield
PROV246;Burlington
PROV247;Concord
PROV248;Lewiston
PROV249;Bangor
PROV250;Caribou
PROV251;Godthab
PROV252;Iceland
PROV253;Faroe Islands
PROV254;Belfast
PROV255;Londonderry
PROV256;Armagh
PROV257;Donegal
PROV258;Galway
PROV259;Sligo
PROV260;Cork
PROV261;Limerick
PROV262;Waterford
PROV263;Dublin
PROV264;Kildare
PROV265;Wexford
PROV266;Aberdeen
PROV267;Inverness
PROV268;Dundee
PROV269;Edinburgh
PROV270;Stirling
PROV271;Glasgow
PROV272;Dumfries
PROV273;Cardiff
PROV274;Cardigan
PROV275;Llandrindod
PROV276;Holyhead
PROV277;Liverpool
PROV278;Manchester
PROV279;Carlisle
PROV280;Newcastle-upon-Tyne
PROV281;Hull
PROV282;Leeds
PROV283;Sheffield
PROV284;Birmingham
PROV285;Chester
PROV286;Shrewsbury
PROV287;Coventry
PROV288;Nottingham
PROV289;Leicester
PROV290;Lincoln
PROV291;Cambridge
PROV292;Ipswich
PROV293;Chelmsford
PROV294;Oxford
PROV295;St Albans
PROV296;Bristol
PROV297;Salisbury
PROV298;Bath
PROV299;Plymouth
PROV300;London
PROV301;Canterbury
PROV302;Brighton
PROV303;Southampton
PROV304;Isle of Man
PROV305;Trondheim
PROV306;Bodo
PROV307;Hammerfest
PROV308;Alesund
PROV309;Bergen
PROV310;Christianssand
PROV311;Skien
PROV312;Drammen
PROV313;Christiania
PROV314;Hamar
PROV315;Lillehammer
PROV316;Frederiksstad
PROV317;Gävle
PROV318;Sundsvall
PROV319;Östersund
PROV320;Umeĺ
PROV321;Luleĺ
PROV322;Stockholm
PROV323;Falun
PROV324;Uppsala
PROV325;Norrköping
PROV326;Västerĺs
PROV327;Örebro
PROV328;Karlstad
PROV329;Göteborg
PROV330;Borĺs
PROV331;Gotland
PROV332;Kalmar
PROV333;Växjö
PROV334;Malmö
PROV335;Karlskrona
PROV336;Oulu
PROV337;Kajaani
PROV338;Tornio
PROV339;Viipuri
PROV340;Kotka
PROV341;Mikkeli
PROV342;Kuopio
PROV343;Helsinki
PROV344;Hämeenlinna
PROV345;Turku
PROV346;Vaasa
PROV347;Tampere
PROV348;Ĺland Islands
PROV349;Reval
PROV350;Narva
PROV351;Pärnu
PROV352;Dorpat
PROV353;Ösel
PROV354;Riga
PROV355;Valmiera
PROV356;Daugavpils
PROV357;Jelgava
PROV358;Ventspils
PROV359;Liepaja
PROV360;Vilnius
PROV361;Kaunas
PROV362;Marijampole
PROV363;Panevezys
PROV364;Siauliai
PROV365;Palanga
PROV366;Aarhus
PROV367;Aalborg
PROV368;Ribe
PROV369;Kiel
PROV370;Flensburg
PROV371;Aabenraa
PROV372;Copenhagen
PROV373;Odense
PROV374;Bornholm
PROV375;Amsterdam
PROV376;Rotterdam
PROV377;Utrecht
PROV378;Middelburg
PROV379;Eindhoven
PROV380;Breda
PROV381;Maastricht
PROV382;Arnhem
PROV383;Groningen
PROV384;Zwolle
PROV385;Leeuwarden
PROV386;Assen
PROV387;Brussels
PROV388;Bruges
PROV389;Ghent
PROV390;Antwerp
PROV391;Hasselt
PROV392;Namur
PROV393;Tournai
PROV394;Charleroi
PROV395;Ličge
PROV396;Spa
PROV397;Luxembourg
PROV398;Arlon
PROV399;Lille
PROV400;Dunkirk
PROV401;Arras
PROV402;Amiens
PROV403;Laon
PROV404;Cambrai
PROV405;Charleville
PROV406;Troyes
PROV407;Chaumont
PROV408;Chalons
PROV409;Strasbourg
PROV410;Colmar
PROV411;Nancy
PROV412;Metz
PROV413;Verdun
PROV414;Épinal
PROV415;Rouen
PROV416;Évreux
PROV417;Alençon
PROV418;Caen
PROV419;Channel Islands
PROV420;Brest
PROV421;St Brieuc
PROV422;Vannes
PROV423;Nantes
PROV424;Rennes
PROV425;Paris
PROV426;Chartres
PROV427;Melun
PROV428;Dijon
PROV429;Auxerre
PROV430;Moulins
PROV431;Macon
PROV432;Besançon
PROV433;Lons
PROV434;Angers
PROV435;Laval
PROV436;Le Mans
PROV437;La Roche
PROV438;Orléans
PROV439;Bourges
PROV440;Blois
PROV441;Tours
PROV442;La Rochelle
PROV443;Poitiers
PROV444;Angoulęme
PROV445;Limoges
PROV446;Châteauroux
PROV447;Tulle
PROV448;Clermont-Ferrand
PROV449;Aurillac
PROV450;Cahors
PROV451;Lyon
PROV452;St Étienne
PROV453;Valence
PROV454;Grenoble
PROV455;Toulouse
PROV456;Montauban
PROV457;Foix
PROV458;Bordeaux
PROV459;Mont de Marsan
PROV460;Pau
PROV461;Montpellier
PROV462;Rodez
PROV463;Carcassonne
PROV464;Perpignan
PROV465;Annecy
PROV466;Chambéry
PROV467;Marseilles
PROV468;Avignon
PROV469;Digne
PROV470;Toulon
PROV471;Frejus
PROV472;Nice
PROV473;Corsica
PROV474;La Coruńa
PROV475;Oviedo
PROV476;Vigo
PROV477;León
PROV478;Santander
PROV479;Burgos
PROV480;Valladolid
PROV481;Soria
PROV482;Salamanca
PROV483;Ávila
PROV484;Badajoz
PROV485;Almendralejo
PROV486;Cáceres
PROV487;Madrid
PROV488;Sigüenza
PROV489;Toledo
PROV490;Cuenca
PROV491;Ciudad Real
PROV492;Bilbao
PROV493;Pamplona
PROV494;Logrońo
PROV495;Zaragoza
PROV496;Huesca
PROV497;Teruel
PROV498;Barcelona
PROV499;Gerona
PROV500;Lérida
PROV501;Tarragona
PROV502;Balearic Islands
PROV503;Valencia
PROV504;Castellón
PROV505;Alicante
PROV506;Cartagena
PROV507;Murcia
PROV508;Albacete
PROV509;Seville
PROV510;Córdoba
PROV511;Huelva
PROV512;Cádiz
PROV513;Granada
PROV514;Málaga
PROV515;Almería
PROV516;Jaén
PROV517;Gibraltar
PROV518;Oporto
PROV519;Vila Real
PROV520;Covilhă
PROV521;Lisbon
PROV522;Coimbra
PROV523;Abrantes
PROV524;Setubal
PROV525;Évora
PROV526;Beja
PROV527;Faro
PROV528;Hamburg
PROV529;Lauenburg
PROV530;Lübeck
PROV531;Stade
PROV532;Lüneburg
PROV533;Heligoland
PROV534;Hanover
PROV535;Nienburg
PROV536;Brunswick
PROV537;Göttingen
PROV538;Osnabrück
PROV539;Bremen
PROV540;Oldenburg
PROV541;Cloppenburg
PROV542;Lingen
PROV543;Emden
PROV544;Schwerin
PROV545;Neustrelitz
PROV546;Stettin
PROV547;Swinemünde
PROV548;Stralsund
PROV549;Berlin
PROV550;Prenzlau
PROV551;Pritzwalk
PROV552;Cottbus
PROV553;Magdeburg
PROV554;Erfurt
PROV555;Dessau
PROV556;Halle
PROV557;Stendal
PROV558;Dresden
PROV559;Leipzig
PROV560;Chemnitz
PROV561;Weimar
PROV562;Gotha
PROV563;Meiningen
PROV564;Frankfurt
PROV565;Wiesbaden
PROV566;Kassel
PROV567;Giessen
PROV568;Fulda
PROV569;Mannheim
PROV570;Mainz
PROV571;Kaiserslautern
PROV572;Trier
PROV573;Saarbrücken
PROV574;Kreuznach
PROV575;Cologne
PROV576;Aachen
PROV577;Cleves
PROV578;Düsseldorf
PROV579;Koblenz
PROV580;Dortmund
PROV581;Münster
PROV582;Minden
PROV583;Siegen
PROV584;Korbach
PROV585;Detmold
PROV586;Karlsruhe
PROV587;Freiburg
PROV588;Konstanz
PROV589;Stuttgart
PROV590;Heilbronn
PROV591;Tübingen
PROV592;Augsburg
PROV593;Ulm
PROV594;Sigmaringen
PROV595;Nuremberg
PROV596;Aschaffenburg
PROV597;Würzburg
PROV598;Bayreuth
PROV599;Munich
PROV600;Landshut
PROV601;Ingolstadt
PROV602;Regensburg
PROV603;Zurich
PROV604;Basel
PROV605;Bern
PROV606;Lucerne
PROV607;Geneva
PROV608;Neuchâtel
PROV609;Sitten
PROV610;Ponape
PROV611;Chur
PROV612;Innsbruck
PROV613;Salzburg
PROV614;Bregenz
PROV615;Lienz
PROV616;Graz
PROV617;Judenburg
PROV618;Klagenfurt
PROV619;Vienna
PROV620;Sankt Pölten
PROV621;Krems
PROV622;Linz
PROV623;Sopron
PROV624;Eisenstadt
PROV625;Prague
PROV626;Hradec Králové
PROV627;Karlsbad
PROV628;Aussig
PROV629;Plzen
PROV630;Budejovice
PROV631;Brno
PROV632;Olomouc
PROV633;Bratislava
PROV634;Trencín
PROV635;Nitra
PROV636;Banská Bystrica
PROV637;Košice
PROV638;Rožnava
PROV639;Zalaegerszeg
PROV640;Pécs
PROV641;Budapest
PROV642;Gyor
PROV643;Székesfehérvár
PROV644;Kaposvár
PROV645;Kecskemét
PROV646;Miskolc
PROV647;Oradea
PROV648;Debrecen
PROV649;Szeged
PROV650;Békéscsaba
PROV651;Szatmár
PROV652;Temesvar
PROV653;Resicabánya
PROV654;Cluj
PROV655;Gyulafehervar
PROV656;Deva
PROV657;Nagyszeben
PROV658;Hawaii
PROV659;Brasso
PROV660;Udvarhely
PROV661;Beszterce
PROV662;Cernauti
PROV663;Suceava
PROV664;Bucharest
PROV665;Tirgu Jiu
PROV666;Craiova
PROV667;Tirgoviste
PROV668;Braila
PROV669;Calarasi
PROV670;Iasi
PROV671;Botosani
PROV672;Bacau
PROV673;Galati
PROV674;Constanta
PROV675;Tulcea
PROV676;Chisinau
PROV677;Balti
PROV678;Izmail
PROV679;Kolberg
PROV680;Köslin
PROV681;Küstrin
PROV682;Breslau
PROV683;Liegnitz
PROV684;Oppeln
PROV685;Kattowitz
PROV686;Line Islands
PROV687;Görlitz
PROV688;Troppau
PROV689;Tesin
PROV690;Danzig
PROV691;Tuchel
PROV692;Deutsch Krone
PROV693;Elbing
PROV694;Torun
PROV695;Königsberg
PROV696;Allenstein
PROV697;Gumbinnen
PROV698;Memel
PROV699;Posen
PROV700;Bromberg
PROV701;Gniezno
PROV702;Lvov
PROV703;Krakow
PROV704;Novy Sacz
PROV705;Przemysl
PROV706;Warsaw
PROV707;Suwalki
PROV708;Plock
PROV709;Lomza
PROV710;Skierniewice
PROV711;Siedlice
PROV712;Lodz
PROV713;Radom
PROV714;Tarnow
PROV715;Lublin
PROV716;Kielce
PROV717;Kalisz
PROV718;Minsk
PROV719;Bialystock
PROV720;Turin
PROV721;Aosta
PROV722;Novara
PROV723;Alessandria
PROV724;Genoa
PROV725;Savona
PROV726;Milan
PROV727;Bergamo
PROV728;Brescia
PROV729;Venice
PROV730;Verona
PROV731;Padua
PROV732;Treviso
PROV733;Udine
PROV734;Trent
PROV735;Bozen
PROV736;Trieste
PROV737;Gorizia
PROV738;Parma
PROV739;Modena
PROV740;Massa
PROV741;Bologna
PROV742;Ferrara
PROV743;Ravenna
PROV744;Florence
PROV745;Leghorn
PROV746;Lucca
PROV747;Siena
PROV748;Grosetto
PROV749;Rome
PROV750;Viterbo
PROV751;Perugia
PROV752;Ancona
PROV753;Aquila
PROV754;Naples
PROV755;Salerno
PROV756;Bari
PROV757;Foggia
PROV758;Brindisi
PROV759;Reggio di Calabria
PROV760;Catanzaro
PROV761;Potenza
PROV762;Palermo
PROV763;Messina
PROV764;Catania
PROV765;Cagliari
PROV766;Sassari
PROV767;Maribor
PROV768;Ljubljana
PROV769;Postojna
PROV770;Pola
PROV771;Zagreb
PROV772;Sisak
PROV773;Karlovac
PROV774;Senj
PROV775;Varaždin
PROV776;Bjelovar
PROV777;Požega
PROV778;Fiume
PROV779;Osijek
PROV780;Split
PROV781;Zadar
PROV782;Dubrovnik
PROV783;Sarajevo
PROV784;Bihac
PROV785;Banja Luka
PROV786;Tuzla
PROV787;Foca
PROV788;Mostar
PROV789;Livno
PROV790;Kitwe
PROV791;Mitrovica
PROV792;Pancevo
PROV793;Vukovar
PROV794;Belgrade
PROV795;Bor
PROV796;Kragujevac
PROV797;Užice
PROV798;Niš
PROV799;Leskovac
PROV800;Ulcinj
PROV801;Tahiti
PROV802;Pristina
PROV803;Prizren
PROV804;Novi Pazar
PROV805;Salonika
PROV806;Skopje
PROV807;Bitola
PROV808;Petrich
PROV809;Sofia
PROV810;Vidin
PROV811;Ruse
PROV812;Pleven
PROV813;Shumen
PROV814;Varna
PROV815;Plovdiv
PROV816;Stara Zagora
PROV817;Burgas
PROV818;Silistre
PROV819;Florina
PROV820;Grevena
PROV821;Edessa
PROV822;Polygyros
PROV823;Kavala
PROV824;Janina
PROV825;Arta
PROV826;Corfu
PROV827;Zante
PROV828;Edirne
PROV829;Xanthe
PROV830;Dedeagatch
PROV831;Larissa
PROV832;Volos
PROV833;Trikkala
PROV834;Athens
PROV835;Amfissa
PROV836;Lamia
PROV837;Missolonghi
PROV838;Khalkis
PROV839;Nafplion
PROV840;Corinth
PROV841;Kalamata
PROV842;Patras
PROV843;Chios
PROV844;Myteline
PROV845;Cyclades
PROV846;Dodecanese
PROV847;Chania
PROV848;Iraklion
PROV849;Tirana
PROV850;Shkoder
PROV851;Durres
PROV852;Vlore
PROV853;Gjirokaster
PROV854;Malta
PROV855;Nicosia
PROV856;Limassol
PROV857;Famagusta
PROV858;Kirklareli
PROV859;Gallipoli
PROV860;Istanbul
PROV861;Üsküdar
PROV862;Izmit
PROV863;Bursa
PROV864;Balikesir
PROV865;Canakkale
PROV866;Afyon
PROV867;Kütahya
PROV868;Eskishehir
PROV869;Izmir
PROV870;Manisa
PROV871;Denizli
PROV872;Mugla
PROV873;Konya
PROV874;Burdur
PROV875;Antalya
PROV876;Ankara
PROV877;Amasya
PROV878;Kayseri
PROV879;Sivas
PROV880;Kastamonu
PROV881;Bolu
PROV882;Trabzon
PROV883;Sinop
PROV884;Giresun
PROV885;Kars
PROV886;Ardahan
PROV887;Erzurum
PROV888;Erzincan
PROV889;Malatya
PROV890;Van
PROV891;Bitlis
PROV892;Hakkari
PROV893;Diyarbakir
PROV894;Adana
PROV895;Mersin
PROV896;Marash
PROV897;Aleppo
PROV898;Antep
PROV899;Urfa
PROV900;Antioch
PROV901;Dayr al-Zour
PROV902;Damascus
PROV903;Homs
PROV904;Hama
PROV905;Latakia
PROV906;Suwayda
PROV907;Palmyra
PROV908;Amman
PROV909;Jerash
PROV910;Ruwayshid
PROV911;Maan
PROV912;Baalbeck
PROV913;Beirut
PROV914;Askaleh
PROV915;Sidon
PROV916;Acre
PROV917;Jerusalem
PROV918;Nablus
PROV919;Jaffa
PROV920;Gaza
PROV921;Beersheba
PROV922;Aqaba
PROV923;Mosul
PROV924;Arbil
PROV925;Kirkuk
PROV926;Baghdad
PROV927;Samarra
PROV928;Mendeli
PROV929;Karbala
PROV930;Kut
PROV931;Rutbah
PROV932;Basra
PROV933;Nasiriyya
PROV934;Najaf
PROV935;Kuwait
PROV936;Grodno
PROV937;Brest-Litovsk
PROV938;Lida
PROV939;Baranovichi
PROV940;Pinsk
PROV941;Slutsk
PROV942;Mozyr
PROV943;Smolensk
PROV944;Orsha
PROV945;Vitebsk
PROV946;Polotsk
PROV947;Pastavy
PROV948;Mogilev
PROV949;Gomel
PROV950;Uzgorord
PROV951;Stryi
PROV952;Ternopil
PROV953;Stanislavov
PROV954;Vinnitsa
PROV955;Proskorov
PROV956;Rovne
PROV957;Kovel
PROV958;Kiev
PROV959;Korosten
PROV960;Zhitomir
PROV961;Cherkassy
PROV962;Chernigov
PROV963;Poltava
PROV964;Simferopol
PROV965;Cherson
PROV966;Kerch
PROV967;Sevastopol
PROV968;Odessa
PROV969;Pervomaisk
PROV970;Nikolaev
PROV971;Krivoy Rog
PROV972;Ekaterinoslav
PROV973;Melitopol
PROV974;Kramatorsk
PROV975;Yuzovka
PROV976;Mariupol
PROV977;Kursk
PROV978;Kharkov
PROV979;Rostov
PROV980;Luhansk
PROV981;Archangel
PROV982;Petsamo
PROV983;Kandalaksha
PROV984;Kostomushka
PROV985;Mezen
PROV986;Naryn Mar
PROV987;Ust Sysolsk
PROV988;Povyents
PROV989;Vologda
PROV990;Kotlas
PROV991;Uglich
PROV992;Belozersk
PROV993;Vyterga
PROV994;St Petersburg
PROV995;Petrozavorsk
PROV996;Luga
PROV997;Gdov
PROV998;Tver
PROV999;Rzhev
PROV1000;Staritsa
PROV1001;Yaroslavl
PROV1002;Manzhouli
PROV1003;Novgorod
PROV1004;Tikhvin
PROV1005;Borovichi
PROV1006;Pskov
PROV1007;Velikiye Luki
PROV1008;Moscow
PROV1009;Borodino
PROV1010;Kaluga
PROV1011;Tula
PROV1012;Ryazan
PROV1013;Vladimir
PROV1014;Vyazma
PROV1015;Peremyshl
PROV1016;Bryansk
PROV1017;Orel
PROV1018;Belgorod
PROV1019;Voronets
PROV1020;Nizhni Novgorod
PROV1021;Penza
PROV1022;Ivanovo
PROV1023;Kostorma
PROV1024;Galich
PROV1025;Tambov
PROV1026;Perm
PROV1027;Vetluga
PROV1028;Vyatkha
PROV1029;Glasov
PROV1030;Kazan
PROV1031;Sarapul
PROV1032;Chistopol
PROV1033;Simbirsk
PROV1034;Samara
PROV1035;Syzran
PROV1036;Astrakhan
PROV1037;Saratov
PROV1038;Novo Uzensk
PROV1039;Tsaritsyn
PROV1040;Zarevka
PROV1041;Elitsa
PROV1042;Ufa
PROV1043;Busuluk
PROV1044;Orenburg
PROV1045;Migolinskaya
PROV1046;Chirskaya
PROV1047;Azov
PROV1048;Ekaterinodar
PROV1049;Novorossiysk
PROV1050;Stavropol
PROV1051;Adygei
PROV1052;Derbent
PROV1053;Gunib
PROV1054;Vladikavkaz
PROV1055;Grozny
PROV1056;Pyatigorsk
PROV1057;Kizylyar
PROV1058;Ekaterinburg
PROV1059;Chelyabinsk
PROV1060;Orsk
PROV1061;Tyumen
PROV1062;Berezov
PROV1063;Tomsk
PROV1064;Omsk
PROV1065;Nizhnevartovsk
PROV1066;Tobolsk
PROV1067;Barnaul
PROV1068;Ulala
PROV1069;Vilyuysk
PROV1070;Bryanka
PROV1071;Bytantaysk
PROV1072;Okhotsk
PROV1073;Yevensk
PROV1074;Petropavlovsk
PROV1075;Irkutsk
PROV1076;Bratsk
PROV1077;Krasnoyarsk
PROV1078;Chita
PROV1079;Nerchinsk
PROV1080;Chernomin
PROV1081;Yaksa
PROV1082;Haishenwai
PROV1083;Boli
PROV1084;Utchan
PROV1085;Ulusamudan
PROV1086;Pogobi
PROV1087;Ootomari
PROV1088;Shumshu
PROV1089;Etorofu
PROV1090;Tblisi
PROV1091;Pasanauri
PROV1092;Kutaisi
PROV1093;Akhaltsikhe
PROV1094;Poti
PROV1095;Sukhumi
PROV1096;Batum
PROV1097;New Caledonia
PROV1098;Erivan
PROV1099;Gyumri
PROV1100;Kapan
PROV1101;Nakhichevan
PROV1102;Baku
PROV1103;Siyazen
PROV1104;Sheki
PROV1105;Ganja
PROV1106;Agdam
PROV1107;Lankaran
PROV1108;Tabriz
PROV1109;Khvoy
PROV1110;Urumia
PROV1111;Mahabad
PROV1112;Ardabil
PROV1113;Rasht
PROV1114;Noshehr
PROV1115;Sari
PROV1116;Gorgan
PROV1117;Kermanshah
PROV1118;Sanandaj
PROV1119;Ilam
PROV1120;Khoramabad
PROV1121;Tehran
PROV1122;Hamadan
PROV1123;Zanjan
PROV1124;Qazvin
PROV1125;Qom
PROV1126;Semnan
PROV1127;Isfahan
PROV1128;Arak
PROV1129;Kashan
PROV1130;Yazd
PROV1131;Ahvaz
PROV1132;Abadan
PROV1133;Dezful
PROV1134;Dehkord
PROV1135;Shiraz
PROV1136;Bushire
PROV1137;Yasuj
PROV1138;Kangan
PROV1139;Sirjan
PROV1140;Kerman
PROV1141;Lengeh
PROV1142;Bandar Abbas
PROV1143;Bam
PROV1144;Zahedan
PROV1145;Jask
PROV1146;Chabahar
PROV1147;Mashhad
PROV1148;Birjand
PROV1149;Sabzevar
PROV1150;Bojnurd
PROV1151;Mecca
PROV1152;Jidda
PROV1153;Medina
PROV1154;Tabuk
PROV1155;Abha
PROV1156;Kaf
PROV1157;Riyadh
PROV1158;Rafha
PROV1159;Halaban
PROV1160;Hail
PROV1161;Sharurah
PROV1162;Bahrain
PROV1163;Qatif
PROV1164;Hufuf
PROV1165;Doha
PROV1166;Muscat
PROV1167;Abu Dhabi
PROV1168;Dubai
PROV1169;Sohar
PROV1170;Nizwa
PROV1171;Sur
PROV1172;Duqm
PROV1173;Mukalla
PROV1174;Salalah
PROV1175;Ghayda
PROV1176;Bayda
PROV1177;Socotra
PROV1178;Sana
PROV1179;Hodeida
PROV1180;Taizz
PROV1181;Qaraganda
PROV1182;Guryev
PROV1183;Aqtobe
PROV1184;Kokshetau
PROV1185;Yasi
PROV1186;Alma Ata
PROV1187;Semipalatinsk
PROV1188;Qaratal
PROV1189;Bishkek
PROV1190;Naryn
PROV1191;Khiva
PROV1192;Nukus
PROV1193;Kyzylorda
PROV1194;Aqtau
PROV1195;Tashkent
PROV1196;Dashhowuz
PROV1197;Shymkent
PROV1198;Bukhara
PROV1199;Samarkand
PROV1200;Qarshi
PROV1201;Khojand
PROV1202;Kokand
PROV1203;Osh
PROV1204;Ashkhabad
PROV1205;Kyzyl Arvat
PROV1206;Merv
PROV1207;Kulob
PROV1208;Khorug
PROV1209;Kabul
PROV1210;Faizabad
PROV1211;Balkh
PROV1212;Herat
PROV1213;Bamyan
PROV1214;Farrah
PROV1215;Kandahar
PROV1216;Jalalabad
PROV1217;Ghazni
PROV1218;Peshawar
PROV1219;Quetta
PROV1220;Dalbandin
PROV1221;Kalat
PROV1222;Bela
PROV1223;Chitral
PROV1224;Srinagar
PROV1225;Gilgit
PROV1226;Leh
PROV1227;Lahore
PROV1228;Multan
PROV1229;Sialkot
PROV1230;Attock
PROV1231;Bahawalpur
PROV1232;Shahpur
PROV1233;Amritsar
PROV1234;Firozpur
PROV1235;Simla
PROV1236;Delhi
PROV1237;Panipat
PROV1238;Dehra Dun
PROV1239;Meerut
PROV1240;Agra
PROV1241;Cawnpore
PROV1242;Lucknow
PROV1243;Allahabad
PROV1244;Fyzabad
PROV1245;Benares
PROV1246;Gorakhpur
PROV1247;Patna
PROV1248;Gaya
PROV1249;Kharswari
PROV1250;Bhagalpur
PROV1251;Calcutta
PROV1252;Darjeeling
PROV1253;Bardwan
PROV1254;Dacca
PROV1255;Rajshahi
PROV1256;Jessore
PROV1257;Chittagong
PROV1258;Gauhati
PROV1259;Imphal
PROV1260;Dibrugarh
PROV1261;Cuttack
PROV1262;Keunjahr
PROV1263;Sambalpur
PROV1264;Ajmer
PROV1265;Jaisalmer
PROV1266;Jodhpur
PROV1267;Bikaner
PROV1268;Jaipur
PROV1269;Udaipur
PROV1270;Gwalior
PROV1271;Indore
PROV1272;Bhopal
PROV1273;Chhatarpur
PROV1274;Rewa
