ui_element_name;Name: ?Y$x$?!
core_return;$adj$ cores are returned to $text$
core_return_short;$adj$ cores are returned
change_province_controller;change province controller to $text$
change_state_controller;change state controller to $text$
pop_savings;Pop savings
leadership_points;Leadership points
release_as_vassal;Release $text$ as a vassal
end_alliance;End alliance with $text$
end_war_with;End war with $text$
enable_ideology;Enable ideology ?Y$text$?!
enable_technology;Give technology ?Y$text$?!
enable_invention;Give invention ?Y$text$?!
change_ruling_party;Change ruling party to $text$
remove_prov_mod;Remove provincial modifier $text$
remove_nat_mod;Remove national modifier $text$
make_alliance;Enter into an alliance with $text$
becomes_independent;$text$ becomes an independent nation
release_as_independent;Release $text$ as an independent nation
set_global_flag;Set $text$ globally
remove_global_flag;Unset $text$ globally
change_national_value;Change national value to $text$
become_civ;Becomes a civilized nation
become_unciv;Becomes an uncivilized nation
free_slave_state;Becomes a free state
free_slave_pop;Is freed from slavery
hold_election;Hold election
issue_change;$issue$ changes to $text$
add_relative_income;Times last income added to treasury
make_neutral;All alliances ended and all vassals released
pop_size;Pop size
move_pop_to;Move pop to $text$
change_pop_type;Change pop type to $text$
years_of_research;Years of research
remove_mil_reforms;Remove $value$ military reforms
remove_econ_reforms;Remove $value$ economic reforms
add_crime;Add crime $text$
remove_crime;Remove active crime
perform_nationalization;Perform nationalization
build_factory_in_capital;Build $text$ in capital state
enable_great_wars;Great wars are enabled
enable_world_wars;World wars are enabled
disable_great_wars;Great wars are no longer possible
disable_world_wars;World wars are no longer possible
assimilate_pop;Change culture to $text$
assimilate_province;Change the culture of all pops to $text$
owner_primary_culture;its owner's primary culture
literacy;literacy
add_crisis_interest;Becomes interested in current crisis
crisis_temperature_plain;crisis temperature
militancy;militancy
consciousness;consciousness
rgo_size;RGO size
trigger_every_revolt;Trigger a revolt of every rebel faction
call_allies;Call allies into their current wars
truce_with;Truce with $text$ until ?Y$y$?!
diplomatic_influence_with;diplomatic influence with $text$
relations_with;relationship with $text$
add_modifier_until;Gets $text$ until $date$
add_modifier;Gets $text$
add_cb_months;Gets a $name$ casus belli against $text$ until $date$
add_cb_no_months;Gets a $name$ casus belli against $text$
add_cb_reversed_months;$text$ gets a $name$ casus belli against the nation in scope until $date$
add_cb_reversed_no_months;$text$ gets a $name$ casus belli against the nation in scope
remove_cb_reversed;Loses any $name$ casus bellis against $text$
remove_cb;$text$ loses any $name$ casus bellis against the nation in scope
set_national_variable_to;Set nation ?Y$text$?W to ?Y$value$?W
event_fires;Event $text$ is triggered
event_fires_in_days;Event $text$ is triggered in $value$ days
railroad_in_capital;?G+1?! railroad level in capital
railroad_in_capital_state;?G+1?! railroad level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
university_in_capital;?G+1?! university level in capital
university_in_capital_state;?G+1?! university level in capital state
bank_in_capital;?G+1?! bank level in capital
bank_in_capital_state;?G+1?! bank level in capital state
railroad_level;Railroad level
fort_level;fort level
naval_base_level;naval base level
university_base_level;naval base level
bank_base_level;naval base level
apply;Apply
ok;OK
close;Close
delete;Delete
new;New
reset;Reset
every;Every
ready;Ready
any;Any
none;None
random;A random
neighboring_province;neighboring province
where;where: 
neighboring_nation;neighboring nation
nation;nation
continent;continent
same_continent;on the same continent as
empty_neighboring_province;Empty neighboring province
poor_strata_pop;poor strata pop
middle_strata_pop;middle strata pop
rich_strata_pop;rich strata pop
pop;Pop
owned_province;province belonging to
singular_nation;that nation
singular_state;that state
singular_province;that province
singular_pop;that pop
one_of_the_following;one of the following effects:
this_nation;this nation
this_state;this state
this_province;this province
this_pop;this pop
from_nation;from nation
from_state;from state
from_province;from province
from_pop;from pop
province_in;province in
this_nation_culture;The primary culture of this nation
from_nation_culture;The primary culture of the from nation
cultural_union_nation;The cultural union nation for its primary culture
core_of;core of
state_of;state of
chance_of;chance of:
owner_of;owner of
controller_of;controller of
location_of_pop;location of that pop
nation_of_pop;nation containing that pop
capital_of;capital of
containing_state;state containing
adjacent_sea;adjacent sea zone
cultural_union_of;cultural union of
overlord_of;overlord of
sphere_leader_of;sphere leader of
crisis_state;crisis state
reb_independence_nation;rebel independence nation
flashpoint_nation;flashpoint nation
rebel;Rebel
flashpoint_tension_label;Flashpoint tension
for_text; for $text$
where_ideology_is;Where its ideology is $text$
where_culture_is;Where its culture is $text$
where_religion_is;Where its religion is $text$
of_type;of type $text$
no_nation;no nation
declare_war_on;Declare war on $text$
attacker_wg_label;Attacker war goal: $text$
defender_wg_label;Defender war goal: $text$
attacker_no_allies;Attacker's allies will not be called in
attacker_yes_allies;Attacker's allies will be called in
war_start_date_desc;war started in ?Y$date$?!
cmp_ge;is at least
cmp_le;is at most
cmp_gt;is greater than
cmp_lt;is less than
cmp_eq;is
cmp_ne;is not
cmp_has_eq;has
cmp_has_ne;does not have
cmp_has_lt;has less than
cmp_has_gt;has more than
cmp_has_ge;has at least
cmp_has_le;has at most
all_of_the_following;All of the following:
any_of_the_following;Any of the following:
nation_at_war_against;nation at war against
core_in;core in
colonial_pop;located in a colonial province
substate_of;substate of
nation_in_sphere;nation in the sphere of
year;year
month;month
a_port;a port
national_rank;national rank
att_technology;technology
alice_technology_leadership_points;Leadership points:
strata;strata
rich;rich
poor;poor
middle;middle
minimum_state_life_raing;minimum life rating in state
an_empy_adj_prov;an empty adjacent province
belongs_to_same_state;belongs to the same state as $text$
does_not_belong_to_same_state;does not belong to the same state as $text$
contains_blank;contains $text$
does_not_contain_blank;does not contain $text$
times_target_needs_spending;times desired needs spending
unemployment;unemployment
slavery;slavery
allowed;allowed
a_slave_state;a slave state
a_slave;a slave
an_independent_nation;an independent nation
non_prim_culture_pops;non primary-culture pops
government;government
capital;capital
technology_school;technology school
primary_culture;primary culture
primary_culture_pop;the primary culture of the nation the pop is in
an_accepted_culture;an accepted culture
culture;Culture
dominant_culture;dominant culture
a_primary_or_accepted;a primary or accepted culture
rebel_culture;rebel culture
this_nation_prim_culture;the primary culture or an accepted culture of this nation
from_nation_prim_culture;the primary culture or an accepted culture of the from nation
culture_group;culture group
dominant_culture_group;dominant culture group
primary_culture_group;primary culture group
a_core_ob;a core owned by
rebel_culture_group;rebel cultural group
this_nation_culture_group;the same as the culture group of this nation 
from_nation_culture_group;the same as the culture group of the from nation
rebel_religion;the rebel religion
this_nation_religion;the national religion of this nation
from_nation_religion;the national religion of the from nation
province_terrain;province terrain
rgo_production;RGO production
a_secondary_power;a colonial power
owner;owner
an_active_rebel;an active rebel faction
a_member_of;a member of
unclaimed_cores;unclaimed cores
a_cultural_union;a cultural union
union_for_pop;the cultural union for the pop
union_for_nation;the cultural union for the nation
the_rebel_ind_nation;the rebel independence nation
capitalists_can_build;capitalists are allowed to build factories
capitalists_cannot_build;capitalists are not allowed to build factories
at_war;at war
total_blockade;total blockade
owns;owns
does_not_own;does not own
controls;controls
does_not_control;does not control
a_core_in;a core in
a_core_of;a core of
a_core_of_owner;a core of its owner
located_in_a_core_of;located in a core of
percentage_reb_control;percentage of rebel controlled provinces
num_of_reb_control;number of rebel controlled provinces
num_owned_provinces;number of owned provinces
num_provinces_owned_by;the number of provinces owned by
num_of_ports;number of ports
num_of_allies;number of allies
num_of_vassals;number of vassals
owned_by;owned by
exists;exists
does_not_exist;does not exist
att_set;set
in;in
located_in;located in
the_owner_of_region;the owner of every province in
a_casus_belli_against;a casus belli against
military_access_with;military access with
prestige_of;the prestige of
prestige;Prestige
a_railroad;a railroad
a_fort;a fort
a_naval_base;a naval base
a_factory;a factory
build_factory;Build factory
upgrade_factory;Upgrade factory
build_province_building;Build province building
resource_potential;Resource potential
available_potential;Local resources allow ?Y$val$?W levels of buildings producing $what$
factory_level;Factory level ?Y$val$
empty;unowned
blockaded;blockaded
national_modifier;national modifier
provincial_modifier;provincial modifier
part_of;part of
a_border_with;a border with
units_in_province;units in province
units_in_the_province;units in the province
units_in_the_state;units in the state
at_war_against;at war against
num_of_divisions;a number of divisions
an_ongoing_battle;an ongoing battle
an_assigned_leader;an assigned leader
leader_prestige;Leader prestige
treasury;treasury
o_treasury;owner's treasury
o_of_prov;the owner of the province
percentage_unowned_cores;percentage of unowned cores
a_vassal;a vassal
ruling_party_ideology;ruling party ideology
ruling_party;ruling party
enabled;enabled
political_reform_desire;political reform desire
social_reform_desire;social reform desire
num_of_ships;number of ships
crime_percent;percentage of provinces with crime
national_religion;the national_religion
member_of_nat_religion;a member of the national religion
dominant_religion;the dominant religion
same_rel_as_this;the same religion as this nation
this_pop_culture;the culture of this pop
this_nation_primary_culture;the primary culture of this nation
this_nation_accepted_culture;an accepted culture of this nation
coastal;coastal
in_sphere_of;in the sphere of
a_producer_of;a producer of
next_reform;next reform
always;always
never;never
percentage_recruited;percentage of recruited pops
in_cultural_core_prov;in a province with a core of the same culture
nationalism;nationalism
overseas;overseas
overseas_pop;located in an overseas province
controlled_by_rebel;controlled by rebels
controlled_by;controlled by
state_capital;the state capital
loc_state_capital;located in the state capital
a_truce_with;a truce with
att_population;population
size;size
pops_of_type;pops of type
of_type_plain;of type
ai_controlled;AI controlled
a_leader_named;a leader named
a_possible_vassal;a possible vassal
a_vassal_of;a vassal of
a_substate_of;a substate of
allied_to;allied to
has_recently_lost_war;has recently lost a war
has_not_recently_lost_war;has not recently lost a war
mobilized;mobilized
mobilization_size;mobilization size
admin_spending;administration spending
employment_type_no_education;Employment type: ?YNo education?W
employment_type_basic_education;Employment type: ?YBasic education?W
employment_type_high_education_and_accepted;Employment type: ?YHigh Education and Accepted?W
employment_type_high_education;Employment type: ?YHigh Education?W
employment_type_guild_education;Employment type: ?YGuild Education?W
employment_type_basic_education;Employment type: ?YBasic Education?W
employment_type_no_education;Employment type: ?YNo Education?W
alice_trade_attractiveness;Trade Route Attraction
trade_center;Trade Centre
trade_center_desc;Trade Centres manage trade inside the market and between state-level markets, buying goods up to desired stockpile and selling extras to neighbours.
trade_center_employment;Trade Center Employees: ?Y$value$?W
trade_centre_max_throughput;Max throughput: ?Y$value$?W
local_admin;Local Administration
capital_admin;Capital Administration
local_admin_spending;Estimated cost: ?Y$value$?W
admin_employment;Administration Employees: ?Y$value$?W
target_employment;Target employment: ?Y$value$?W
employment_satisfaction;Employment satisfaction: ?Y$value$?W
wage;Wage: ?Y$value$?W
local_admin_efficiency;Local administrations are ?Y$value$?W less efficient than the capital one.
tax_collection_rate;Tax collection rate: ?Y$value$?W
poor_potential;Potential poor taxes: ?Y$value$?W
mid_potential;Potential middle taxes: ?Y$value$?W
rich_potential;Potential rich taxes: ?Y$value$?W
poor_taxes;Actual poor taxes: ?Y$value$?W
mid_taxes;Actual middle taxes: ?Y$value$?W
rich_taxes;Actual rich taxes: ?Y$value$?W
greater_than_edu_spending;greater than education spending
support_for_rp;support for ruling party
colonial;colonial
in_default_to;in default to
in_bnkrpt;bankrupt
num_of_ports_connected;number of ports connected to capital
holding_an_election;holding an election
set_globally;set globally
national_value;national value
industrial_score;industrial score
industrial_score_of;the industrial score of
military_score;military score
military_score_of;the military score of
civilized;civilized
percent_occupied;percentage of occupied provinces
rich_tax;rich tax
middle_tax;middle tax
poor_tax;poor tax
soc_spending;social spending
edu_spending;education spending
mil_spending;military spending
colonies;colonies
dominant_ideology;dominant ideology
dominant_issue;dominant issue
poor_militancy;poor strata militancy
middle_militancy;middle strata militancy
rich_militancy;rich strata militancy
gt_poor_tax;greater than poor tax
cultural_union;cultural union
same_cultural_union;the same as the cultural union of
non_accepted_pops;non accepted pops
crime;crime
num_substates;number of substates
num_vassals_no_substates;number of non-substate vassals
num_regiments;number of regiments
owner_num_regiments;owner's number of regiments
num_regiments_of;the number of regiments belonging to
times_num_regiments_of;$x$ times the number of regiments belonging to
fabricating_on;fabricating a casus belli on
cb_discovered;casus belli fabrication has been discovered
cb_not_discovered;casus belli fabrication has not been discovered
cb_progress;casus belli fabrication progress
civ_progress;civilization progress
constructing_a;fabricating a
casus_belli;casus belli
nation_in_scope;the nation in scope
a_substate;a substate
gw_enabled;great wars are enabled
gw_not_enabled;great wars are not enabled
ww_enabled;world wars are enabled
ww_not_enabled;world wars are not enabled
can_perform_nationalization;can nationalize
cannot_perform_nationalization;can't nationalize
in_sphere;in a sphere of influence
num_states;number of states
a_releasable_vassal;a releasable vassal
recent_immigration;recent immigration
num_control_days;number of days under current control
disarmed;disarmed
social_mov_support;social movement support
political_mov_support;political movement support
a_member_of_social_mov;a member of a social movement
a_member_of_political_mov;a member of a political movement
cultural_sphere_members;sphere members in the same cultural group
pops;pops
this_pop_religion;the religion of this pop
pops_with;pops with
life_needs_satisfaction;life-needs satisfaction
everyday_needs_satisfaction;everyday-needs satisfaction
luxury_needs_satisfaction;luxury-needs satisfaction
present_in_state;present in state
flashpoint;Flashpoint
plurality_pop;the plurality of the nation the pop is in
an_ongoing_crisis;an ongoing crisis
there;There
current_crisis;current crisis
liberation_crisis;a liberation crisis
claim_crisis;a claim crisis
involved_in_crisis;involved in crisis
poor_life_needs_satisfaction;poor-strata life-needs satisfaction
poor_everyday_needs_satisfaction;poor-strata everyday-needs satisfaction
poor_luxury_needs_satisfaction;poor-strata luxury-needs satisfaction
middle_life_needs_satisfaction;middle-strata life-needs satisfaction
middle_everyday_needs_satisfaction;middle-strata everyday-needs satisfaction
middle_luxury_needs_satisfaction;middle-strata luxury-needs satisfaction
rich_life_needs_satisfaction;rich-strata life-needs satisfaction
rich_everyday_needs_satisfaction;rich-strata everyday-needs satisfaction
rich_luxury_needs_satisfaction;rich-strata luxury-needs satisfaction
dip_influence_over;diplomatic influence over
relationship_with;relationship with
this_pop_type;this pop type
nat_variable;national variable
support_in_uh;support in upper house
support_in;loyalty in
scope_province;province in scope
able_build_rr;able to build a railroad in this province
able_build_fort;able to build a fort in this province
able_build_naval_base;able to build a naval base in this province
work;work
available_for;available for:
support;support
percentage;percentage
stockpile;stockpile
potentials;Potentials
this_nat_religion;the national religion of this country
from_nat_religion;the national religion of the from country
event_show_requirements;Requirements for the event
event_only_other_requirements;This event is only triggered by other events
event_show_odds;Odds of the event
value_mod_product;Value $val$ is the product of:
value_mod_sum;Value $val$ is the sum of:
value_mod_sum_factor;Value $val$ is $x$ times the sum of:
admin_explain_1;Administrative efficiency modifier of $val$
admin_explain_2;Applied to the ratio of non-colonial bureaucrats: $val$
admin_explain_3;To the required percentage: $val$ (base $x$ + $y$ from reforms)
factory_condition_1;The nation is civilized
factory_condition_2;This is not a colonial state
factory_condition_3;The ruling party allows building factories
factory_condition_4;There are fewer than $val$ factories in the state
factory_condition_8;Factory type is allowed in colonial states
cant_subsidize_explanation;The ruling party does not allow us to subsidize factories
percent_of_pop_strata;$val$ of the population of their strata
cant_prioritize_explanation;The ruling party does not allow us to change factory priority
factory_upgrade_condition_1;The nation is civilized
factory_upgrade_condition_2;This is not a colonial state
factory_upgrade_condition_3;The technology requirements to construct the factory are met
factory_upgrade_condition_4;Your nation is a great power while the target nation is not
factory_upgrade_condition_5;The investment target is civilized
factory_upgrade_condition_6;The ruling party of the investment target allows foreign investment
factory_upgrade_condition_7;The investment target is not at war with you
factory_upgrade_condition_8;The ruling party allows upgrading factories
factory_upgrade_condition_9;The factory is not already being upgraded
factory_upgrade_condition_10;The factory is not at max level
factory_build_condition_11;State has available resource potentials
resource_potential;Resource potential
available_potential;Local resources allow ?Y$val$?W levels of buildings producing $what$
factory_upgrade_condition_11;State has available resource potentials
factory_delete_header;Delete factory
factory_delete_not_allowed;The ruling party does not allow us to delete factories
factory_level;Factory level ?Y$val$
factory_employment;Factory employees: ?Y$val$
factory_stats_1;Current production scale: ?Y$val$?W
factory_stats_2;Target production scale: ?Y$val$?W
factory_stats_3;Yesterday it produced ?Y$val$ $good$?W sold for ?Y$x$?W
factory_stats_4;It made a profit of $val$ in the previous day
factory_stats_5;Inputs availability:
factory_stats_6;Efficiency inputs availability:
factory_stats_7;Economy of scale throughput bonus: ?G+$val$?!
factory_stats_wage;Wage:
factory_stats_expenses;Total expenses
factory_stats_desired_income;Desired raw profit
factory_money_flow_sum;?Y$value$?W is predicted profit (income minus expenses)
factory_money_flow_sales;?G$value$?W is predicted income from sales
factory_money_flow_primary_inputs;?R$value$?W is predicted spending on inputs
factory_money_flow_secondary_inputs;?R$value$?W is predicted spending on efficiency inputs
factory_money_flow_expansion;?R$value$?W is predicted spending on factory expansion
factory_money_flow_maintenance;?R$value$?W is predicted spending on factory maintenance
factory_money_flow_wages;?R$value$?W is predicted spending on workers wages
factory_expansion_rate;We predict that factory will be expanded to accomodate ?Y$value$?W additional workers
factory_hiring_rate_unqualified;We predict that factory will attempt to ?Ghire?W ?Y$value$?W more people as ?Yunskilled workers?W. (Current target: ?Y$x$?W)
factory_hiring_rate_primary;We predict that factory will attempt to ?Ghire?W ?Y$value$?W more people as ?Ycraftsmen?W. (Current target: ?Y$x$?W)
factory_hiring_rate_secondary;We predict that factory will attempt to ?Ghire?W ?Y$value$?W more people as ?Ymanagers and engineers?W. (Current target: ?Y$x$?W)
factory_firing_rate_unqualified;We predict that factory will attempt to ?Rfire?W ?Y$value$?W ?Yunskilled workers?W. (Current target: ?Y$x$?W)
factory_firing_rate_primary;We predict that factory will attempt to ?Rfire?W ?Y$value$?W ?Ycraftsmen?W. (Current target: ?Y$x$?W)
factory_firing_rate_secondary;We predict that factory will attempt to ?Rfire?W ?Y$value$?W ?Ymanagers and engineers?W. (Current target: ?Y$x$?W)
factory_hired_unqualified;Factory hired ?Y$value$?W ?Yunskilled workers?W to do simple manual tasks. An ?Yunskilled worker?W provides only ?R$x$?W of a ?Ycraftsman?W output.
factory_hired_primary;Factory hired ?Y$value$?W ?Ycraftsmen?W.
factory_hired_secondary;Factory hired ?Y$value$?W ?Ymanagers and engineers?W. They multiply factory output by ?G$x$?W.
factory_throughput_explanation;Throughput is a measure of raw power of a factory. It's measured in ?Gproduction units?W. Throughput drives both consumption of inputs and production of output. The only source of throughput are ?Gemployment units?W generated by ?Yunskilled workers?W and ?Ycraftsmen?W. Technology advancements can increase amount of ?Gproduction units?W generated per worker. Current throughput modifier is ?G$val$?W. Thus, current ?Y$y$?W employment units generate ?Y$x$?W (?G$val$?W of ?Y$y$?W) production units. Essentially, increase of throughput allows capitalists to employ less workers for the same total wage.
factory_throughput_base;In Project Alice factories can access goods only from the local market. It means that in early game some goods are very hard to obtain. To partly compensate for it, there is a ?G$val$?W base multiplier to throughput.
factory_throughput_modifiers;Current technologies and other modifiers provide a throughput multiplier equal to ?G$val$?W
factory_input_multiplier_explanation;Inputs multiplier is the strongest industry-related multiplier as it doesn't suffer from diminishing returns. On the opposite, the more you stack a source of this multiplier, the stronger it becomes. Current multiplier is equal to ?G$val$?W.
factory_input_multiplier_competition;Local competition between capitalists encourages factories to be more efficient and consume only ?G$val$?W of required inputs.
factory_input_multiplier_scale;Smaller factories have to be lean and avoid waste to survive, current factory has ?G$val$?W multiplier due to this reason.
factory_input_multiplier_specialisation;Scientific, political and legal priorities of private and national agents aligned to provide this industry with ?G$val$?W input multiplier.
factory_input_multiplier_modifiers;Various technologies and inventions allow this factory to enjoy additional ?G$val$?W input multiplier.
factory_output_multiplier_explanation;Output multiplier is a strong multiplier but suffers from diminishing returns. Currently this factory has ?G$val$?W output multiplier.
factory_output_multiplier_lack_of_inputs;Due to lack of inputs, output of this factory is multiplied by ?R$val$?W.
factory_output_multiplier_efficiency_inputs;To achieve full output, factory has to consume special efficiency inputs. Currently it suffers ?R$val$?W multiplier due to inability to do so.
factory_output_multiplier_secondary_workers;Employed ?Ymanagers and engineers?W provide factory with ?G$val$?W output multiplier.
factory_output_multiplier_modifiers;Various technologies and inventions provide additional ?G$val$?W multiplier.
speed;$val$ kph
shift_to_hold_open;Hold ?YSHIFT?! to keep this window open, ?YSHIFT-Right-click?! to build this in every state (but not expand)
factory_upgrade_shortcuts;?YSHIFT-Left-click?W upgrade ?Gall?!S factories in a state\n?YSHIFT-Right-click?W upgrade ?Gall profitable?W factories in a state\n?YCTRL-Left-click?W upgrade ?Gall?W factories in a nation\n?YCTRL-Right-click?W upgrade ?Gall profitable?W factories in a nation\n?YCTRL-SHIFT-Left-click?W upgrade ?Gall profitable with full employment?W factories in a state\n?YCTRL-SHIFT-Right-click?W upgrade ?Gall profitable with full employment?W factories in a state
factory_total_size;Total factories: ?Y$val$?!
factory_consumer_count;Consumer factories: ?Y$val$?!
factory_heavy_count;Heavy industry factories: ?Y$val$?!
factory_military_count;Military factories: ?Y$val$?!
factory_processing_count;Processing factories: ?Y$val$?!
factory_industrial_and_consumer_count;Industrial and consumer goods factories: ?Y$val$?!
blank_org_gain;organization gain
plurality_change_reason;(based on the average consciousness)
revanchism_reason;Based on the number of unowned cores (cores with your primary culture count for more)
allow_reform_cond;Requirements:
reform_effect_if_desc;When activated, if
reform_effect_then_desc;Then:
reform_effect_desc;When activated:
special_rules;Special rules:
voting_rules;Voting rules:
hide_decision;Hide the notification for this decision
sup_point_gain;Monthly suppression point increase: ?G+$val$
sup_point_explain;From: base rate $x$ x $y$ from bureaucrats x $val$ from our modifier to suppression point gain
pop_size_1;In the coming month the size of this pop is expected to change by: 
pop_size_2;From growth: 
pop_size_3;From promotion and demotion: 
pop_size_4;From assimilation: 
pop_size_5;From internal migration: 
pop_size_6;From colonial migration: 
pop_size_7;From emigration: 
pop_size_8;From conversion: 
pop_l_migration_header;?YMigration away: $val$
pop_l_c_migration_header;?YColonial migration away: $val$
pop_l_emigration_header;?YEmigration away: $val$
pop_mig_1;There is no internal migration from colonial provinces
pop_mig_2;Slaves do not migrate internally
pop_mig_3;The number of people that will migrate internally is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$) times the migration factor ($val$)
pop_mig_4;?YMigration factor:
pop_migration_bureaucracy;Bureaucracy has to move around in order to administer the land: $x$
pop_cmig_1;The nation does not have any colonies
pop_cmig_2;There is no colonial migration from colonial provinces
pop_cmig_3;Slaves do not migrate colonially
pop_cmig_4;Rich-strata pops do not migrate colonially
pop_cmig_5;Factory workers do not migrate colonially
pop_cmig_6;The number of people that will migrate colonially is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$) times the province's colonial-migration modifier ($num$) times the colonial migration factor ($val$)
pop_cmig_7;?YColonial migration factor:
pop_emg_1;Pops can only emigrate from civilized nations
pop_emg_2;There is no emigration from colonial provinces
pop_emg_3;Slaves do not emigrate
pop_emg_4;Pops without an ?Yoverseas?! culture do not emigrate
pop_emg_5;The number of people that will emigrate is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$, squared if it's greater than 100%) times the emigration factor ($val$)
pop_emg_6;?YEmigration factor:
pop_prom_1;?YPromotion factor:
pop_prom_2;From national focus: ?G$val$
pop_prom_3;0 (because of national focus)
pop_prom_4;?YDemotion factor:
pop_prom_5;The pop is currently promoting because the promotion factor is greater than the demotion factor
pop_prom_6;The pop is currently demoting because the demotion factor is greater than the promotion factor
pop_prom_7;As both factors are negative, the pop is currently neither promoting nor demoting
pop_prom_8;The number of people that will promote is equal to the size of the pop times the promotion scale ($x$) times the promotion factor ($val$) times your administrative efficiency ($y$)
pop_prom_9;The number of people that will demote is equal to the size of the pop times the promotion scale ($x$) times the demotion factor ($val$)
pop_con_1;Monthly consciousness change: 
pop_con_2;Is the sum of:
pop_con_3;From luxury needs satisfaction: ?G+$x$
pop_con_4;From the local clergymen percentage ($val$): ?R$x$
pop_con_5;The plurality and literacy factor: ?G+$x$?!, which is the product of:
pop_con_6;Plurality: $x$
pop_con_7;The national modifier to literacy-on-consciousness impact: $x$
pop_con_8;The literacy impact factor: $x$
pop_con_9;The pop's literacy: $x$
pop_con_10;The colonial consciousness factor: $x$
pop_con_11;and 0.1
pop_con_12;Local pop consciousness modifier: 
pop_con_13;National pop consciousness modifier: 
pop_con_14;National non-colonial pop consciousness modifier: 
pop_con_15;National non-accepted pop consciousness modifier: 
pop_mil_1;Monthly militancy change: 
pop_mil_2;Is the sum of:
pop_mil_3;From life-needs satisfaction: ?R+$x$
pop_mil_4;From everyday-needs satisfaction: 
pop_mil_5;From luxury-needs satisfaction: ?G$x$
pop_mil_6;From conservatism support: ?G$x$
pop_mil_7;From ruling party support: ?G$x$
pop_mil_8;From reform desire: ?R+$x$
pop_mil_9;Local pop militancy modifier: 
pop_mil_10;National pop militancy modifier: 
pop_mil_11;National non-colonial pop militancy modifier: 
pop_mil_12;From separatism: ?R+$val$?! (?R+$x$?! times national separatism modifier ?R$y$)
pop_mil_13;From war exhaustion ?R+$val$?!
pop_lit_1;Monthly literacy change: 
pop_lit_2;Is the product of:
pop_lit_3;From the local clergymen percentage ($val$): $x$
pop_lit_4;Effective education spending: $x$
pop_lit_5;The national education-efficiency modifier: $x$
pop_lit_6;The modifier to the national education-efficiency modifier: $x$
pop_lit_7;The base literacy change rate: $x$
pop_lit_8;And 0.01
pop_literacy_spending;Pop is planning to spend ?Y$val$?W on education.
pop_literacy_spending_required;Max education spendings: ?Y$val$?W.
pop_literacy_spending_public;?Y$val$?W of expenses will be covered by public education budget.
pop_literacy_spending_ratio;Satisfied ratio: ?Y$x$?W.
pop_literacy_spending_result_success;As ?Y$x$?W is higher than ?Y$y$?W, literacy was increased by ?Y$val$?W
pop_literacy_spending_result_failure;As ?Y$x$?W is lower than ?Y$y$?W, literacy was decreased by ?Y$val$?W
pop_budget_explanation_header;Pop had accumulated ?Y$val$?W in personal assets.
pop_budget_explanation_life_needs;Pop will spend ?Y$x$?W (out of desired ?Y$y$?W) on life needs. Ratio: ?Y$val$?W
pop_budget_explanation_subsistence;Additionally, pop forages ?Y$x$?W of desired goods. Total satisfaction is ?Y$y$?W
