
mapmode_1;Terrain
mapmode_tooltip_population_change;Monthly population change: 
mapmode_tooltip_rebels_amount;Rebels active in province: 
mapmode_tooltip_rebels_none;There are no rebels in this province.
aml_civ_s1;Civilized
aml_civ_s2;Uncolonized
aml_civ_s3;100% Westernized
aml_civ_s4;0% Westernized
aml_civ_s5;Colony
aml_col_s1;Potential
aml_col_s2;NA
aml_col_s3;Can Invest
aml_col_s4;Colonizing
aml_dip_s1;Viewpoint
aml_dip_s2;Ally
aml_dip_s3;Enemy
aml_dip_s4;Puppet
aml_dip_s5;Sphere
aml_dip_s6;Other
aml_dip_s7;Core
aml_dip_s8;Non Core
aml_dip_s9;Union Core
aml_rr_s1;Level 0
aml_rr_s2;Level 6
aml_rr_s3;Upgrading
aml_rr_s4;Max level
aml_rr_s5;Blocked
aml_nav_s1;No base
aml_nav_s2;Max level
aml_nav_s3;Upgrading
aml_nav_s4;Upgradeable
aml_nav_s5;Constructible
aml_rank_s1;Great
aml_rank_s2;Secondary
aml_rank_s3;Civ
aml_rank_s4;Unciv
aml_rec_s1;Available
aml_rec_s2;All used
aml_rec_s3;None
